Orthogroup	CAPO3	APOSC_ok
OG0000003	CAPO301945	APOSC_09420, APOSC_22070, APOSC_13273, APOSC_13272, APOSC_21853, APOSC_21855, APOSC_00102, APOSC_28638, APOSC_28639, APOSC_26010, APOSC_06907, APOSC_24394, APOSC_02274, APOSC_01247, APOSC_01039, APOSC_08250, APOSC_08634, APOSC_17084, APOSC_28448, APOSC_01690, APOSC_12113, APOSC_02631, APOSC_04148, APOSC_07747, APOSC_20058, APOSC_08367, APOSC_26963, APOSC_22836, APOSC_06957, APOSC_05483, APOSC_22147, APOSC_01527, APOSC_27026, APOSC_05500, APOSC_20479, APOSC_07192, APOSC_04713, APOSC_02027, APOSC_28978, APOSC_03822, APOSC_06472
OG0000005	CAPO308356, CAPO307946	APOSC_24691, APOSC_28430, APOSC_12554, APOSC_26754, APOSC_11873, APOSC_03752, APOSC_17628, APOSC_24150, APOSC_27102, APOSC_20826, APOSC_07088, APOSC_23550, APOSC_22041, APOSC_27830, APOSC_04819, APOSC_14554, APOSC_09560, APOSC_20452, APOSC_23355, APOSC_10626, APOSC_18788, APOSC_17600, APOSC_23686, APOSC_20145, APOSC_28502, APOSC_09638, APOSC_03673, APOSC_25607, APOSC_10189, APOSC_26644, APOSC_15445, APOSC_13185, APOSC_03153, APOSC_23541, APOSC_21707
OG0000007	CAPO304209	APOSC_04562, APOSC_09541, APOSC_09542
OG0000007	CAPO303284	APOSC_22651
OG0000007	CAPO300935	APOSC_17950
OG0000007	CAPO305123	APOSC_07482
OG0000012	CAPO302923, CAPO302931	APOSC_26906, APOSC_13089, APOSC_13014, APOSC_18904, APOSC_16185, APOSC_27929, APOSC_28450, APOSC_10605, APOSC_00485, APOSC_13929, APOSC_27839, APOSC_02220, APOSC_02306, APOSC_12260, APOSC_27838, APOSC_16677, APOSC_16678, APOSC_19749, APOSC_06066, APOSC_04391, APOSC_15314, APOSC_13357, APOSC_14126, APOSC_26267, APOSC_20161, APOSC_12609, APOSC_06350, APOSC_05390, APOSC_15931, APOSC_01631, APOSC_26545, APOSC_14826
OG0000015	CAPO302521	APOSC_22269, APOSC_08494, APOSC_02353, APOSC_12040, APOSC_14290, APOSC_28281, APOSC_03142, APOSC_28752, APOSC_04279
OG0000016	CAPO300049	APOSC_05404, APOSC_06852, APOSC_19259
OG0000016	CAPO304360	APOSC_09217, APOSC_09216
