Orthogroup	CAPO3	CAEEL
OG0000003	CAPO301945	CAEEL08453, CAEEL08460, CAEEL18127, CAEEL14751, CAEEL20577, CAEEL19939
OG0000005	CAPO308356, CAPO307946	CAEEL05785, CAEEL06862, CAEEL01924, CAEEL13168, CAEEL20591, CAEEL05556, CAEEL19115, CAEEL04505, CAEEL19864, CAEEL17405, CAEEL08039, CAEEL04792
OG0000006	CAPO302620	CAEEL15182
OG0000007	CAPO304209	CAEEL10238, CAEEL04602
OG0000007	CAPO305123	CAEEL18586
OG0000012	CAPO302923, CAPO302931	CAEEL06401, CAEEL06400, CAEEL00461, CAEEL20690, CAEEL20293, CAEEL14039, CAEEL14036, CAEEL14035, CAEEL14043, CAEEL14262, CAEEL14332, CAEEL14331, CAEEL14330, CAEEL14630, CAEEL00027, CAEEL07052, CAEEL18698, CAEEL13039, CAEEL14777, CAEEL19132, CAEEL18995
OG0000015	CAPO302521	CAEEL03927, CAEEL15698, CAEEL11496, CAEEL06943, CAEEL19709, CAEEL14461, CAEEL18374, CAEEL05716, CAEEL18949, CAEEL07962, CAEEL08800, CAEEL08801, CAEEL08799, CAEEL20727, CAEEL14381, CAEEL17815, CAEEL12449, CAEEL00283, CAEEL04309, CAEEL09145, CAEEL09146, CAEEL15587, CAEEL16962, CAEEL16137, CAEEL14081, CAEEL01009, CAEEL01008, CAEEL00762, CAEEL04855
OG0000016	CAPO300049	CAEEL20493
OG0000016	CAPO304360	CAEEL19614, CAEEL20639, CAEEL17751, CAEEL09082, CAEEL18079, CAEEL18078
OG0000016	CAPO306803	CAEEL18647
OG0000023	CAPO307690	CAEEL17950, CAEEL16517, CAEEL15627, CAEEL08035, CAEEL13426, CAEEL20104, CAEEL06641, CAEEL07042, CAEEL07738
OG0000029	CAPO307131	CAEEL09623, CAEEL15333, CAEEL20320, CAEEL11851, CAEEL20612
OG0000030	CAPO305356, CAPO301638, CAPO307563	CAEEL20774, CAEEL00681, CAEEL00682, CAEEL00680, CAEEL03646, CAEEL03801, CAEEL04353, CAEEL12022, CAEEL10844, CAEEL09837, CAEEL06465, CAEEL19862, CAEEL12505, CAEEL15855, CAEEL16494, CAEEL16974, CAEEL00280, CAEEL15338, CAEEL14827, CAEEL17980, CAEEL05619, CAEEL05420, CAEEL05421, CAEEL05419, CAEEL05617, CAEEL03830
OG0000035	CAPO302784	CAEEL18183
OG0000035	CAPO307346, CAPO308354	CAEEL01943, CAEEL20458, CAEEL18575, CAEEL18576, CAEEL19501, CAEEL17643, CAEEL04743, CAEEL01696, CAEEL19995, CAEEL19624
OG0000038	CAPO307725	CAEEL05761, CAEEL02595, CAEEL01907, CAEEL08943
OG0000041	CAPO308025, CAPO306861	CAEEL16024, CAEEL05122, CAEEL05121, CAEEL19747, CAEEL05494, CAEEL14233, CAEEL09462, CAEEL19248, CAEEL08892, CAEEL08891, CAEEL15070, CAEEL15427
OG0000043	CAPO308256	CAEEL10737, CAEEL11712, CAEEL06333, CAEEL01948, CAEEL06326, CAEEL14855, CAEEL10930, CAEEL06322, CAEEL16894, CAEEL14940, CAEEL11691, CAEEL10934, CAEEL14937, CAEEL14954, CAEEL14951, CAEEL11702, CAEEL15122
OG0000048	CAPO303671, CAPO303687, CAPO303495	CAEEL04880, CAEEL12789, CAEEL04867, CAEEL06450, CAEEL06447, CAEEL04866
OG0000049	CAPO304018	CAEEL02028, CAEEL19631, CAEEL10349
OG0000051	CAPO307809, CAPO301249	CAEEL06290, CAEEL06567, CAEEL16967, CAEEL06566, CAEEL13114, CAEEL06291, CAEEL11393, CAEEL11392, CAEEL11394, CAEEL06558, CAEEL06559, CAEEL06560, CAEEL06565, CAEEL06563, CAEEL13156, CAEEL06562, CAEEL06561, CAEEL06297, CAEEL06296, CAEEL06294, CAEEL06295, CAEEL06293, CAEEL06292, CAEEL06289, CAEEL05347, CAEEL13599, CAEEL04240, CAEEL04251, CAEEL04236, CAEEL04237, CAEEL16848, CAEEL05769, CAEEL04235, CAEEL19606, CAEEL18565, CAEEL05770, CAEEL09464
OG0000054	CAPO302015	CAEEL17602, CAEEL12164, CAEEL11714, CAEEL10176
