Orthogroup	CAPO3	XENTR
OG0000003	CAPO301945	XENTR17803, XENTR03273
OG0000005	CAPO308356, CAPO307946	XENTR05002, XENTR05003, XENTR09503, XENTR09492, XENTR09491, XENTR09477, XENTR17068, XENTR04106, XENTR09142, XENTR16849, XENTR09568
OG0000007	CAPO304209	XENTR09461, XENTR01137, XENTR03031, XENTR06562
OG0000007	CAPO303284	XENTR16583
OG0000007	CAPO300935	XENTR09232, XENTR15271
OG0000012	CAPO302923, CAPO302931	XENTR00246, XENTR14489, XENTR13810, XENTR10002, XENTR07259, XENTR07258, XENTR07257, XENTR07260, XENTR18170, XENTR07256
OG0000015	CAPO302521	XENTR05642, XENTR10336, XENTR08668, XENTR08442, XENTR15573, XENTR12597, XENTR03461, XENTR00415, XENTR17900, XENTR14250, XENTR15058, XENTR02840, XENTR16072, XENTR03462, XENTR16073, XENTR12596, XENTR00414, XENTR17914, XENTR13566, XENTR03288, XENTR15069
OG0000016	CAPO300049	XENTR10586, XENTR06233
OG0000016	CAPO304360	XENTR01362, XENTR01363, XENTR07382, XENTR09539, XENTR00630
OG0000016	CAPO306803	XENTR12717
OG0000016	CAPO303259	XENTR17802
OG0000016	CAPO300936	XENTR18390
OG0000023	CAPO307690	XENTR02017, XENTR13173, XENTR18800, XENTR18648, XENTR00841, XENTR15918, XENTR00481, XENTR16829, XENTR12543, XENTR17774, XENTR00784, XENTR13097, XENTR04037, XENTR05209, XENTR05210, XENTR05772, XENTR05769, XENTR05767, XENTR05768, XENTR05773, XENTR05777, XENTR05778, XENTR12643, XENTR01709, XENTR01708, XENTR05774, XENTR05776, XENTR05775, XENTR18976
OG0000029	CAPO307131	XENTR18699, XENTR18411, XENTR10325, XENTR07438, XENTR16899, XENTR09562, XENTR10017, XENTR09646, XENTR13058, XENTR12335, XENTR11755, XENTR10534, XENTR08766, XENTR16200, XENTR13220, XENTR01288, XENTR01283, XENTR11880, XENTR11878, XENTR11881, XENTR11879, XENTR11883
OG0000030	CAPO300110	XENTR08639
OG0000030	CAPO305356, CAPO301638, CAPO307563	XENTR18375, XENTR18219, XENTR14147, XENTR17120, XENTR14281, XENTR00656, XENTR05598, XENTR12816
OG0000031	CAPO303729	XENTR00229
OG0000031	CAPO302122	XENTR02595, XENTR11133
OG0000035	CAPO307346, CAPO308354	XENTR05239, XENTR05079, XENTR05317, XENTR05866, XENTR05867, XENTR07648, XENTR17453, XENTR14129, XENTR07651, XENTR11799, XENTR11499, XENTR11381, XENTR11382, XENTR12076, XENTR01605, XENTR09858, XENTR13293, XENTR09857
OG0000039	CAPO306958, CAPO306959	XENTR03946, XENTR03945
OG0000041	CAPO308025, CAPO306861	XENTR14135, XENTR16713, XENTR17286, XENTR13662, XENTR02569, XENTR12683, XENTR11379, XENTR11378, XENTR01609, XENTR11377, XENTR01610, XENTR10042, XENTR03001, XENTR09331, XENTR13929, XENTR05159, XENTR10869
OG0000043	CAPO308256	XENTR06023, XENTR06022, XENTR15011, XENTR02820, XENTR17525, XENTR15026, XENTR16861, XENTR19244, XENTR15665, XENTR15670, XENTR16896, XENTR15671, XENTR16897, XENTR16572, XENTR16573, XENTR17993, XENTR15664
OG0000048	CAPO305301	XENTR03701
OG0000049	CAPO304018	XENTR00212, XENTR08482, XENTR07031, XENTR06401, XENTR01319, XENTR18684, XENTR07961, XENTR13014, XENTR10377, XENTR07960, XENTR13015
OG0000051	CAPO307809, CAPO301249	XENTR08842
OG0000054	CAPO302015	XENTR04962, XENTR04961
OG0000054	CAPO303797	XENTR00035, XENTR00034, XENTR00033, XENTR00032, XENTR11898, XENTR11899, XENTR11900
OG0000056	CAPO305974, CAPO306012, CAPO306941	XENTR00422, XENTR06505, XENTR06516, XENTR06514, XENTR06515, XENTR06513, XENTR06506, XENTR00781
OG0000058	CAPO305595	XENTR09300, XENTR11839
OG0000060	CAPO305373	XENTR09513, XENTR11489, XENTR04114, XENTR08957
OG0000062	CAPO300910	XENTR06154, XENTR13824, XENTR13820, XENTR13825, XENTR13823, XENTR15204, XENTR13819, XENTR15200, XENTR18547, XENTR13817, XENTR15205, XENTR15201, XENTR15202, XENTR13818, XENTR15203, XENTR15531, XENTR15501, XENTR17622, XENTR14200, XENTR18173, XENTR15500, XENTR15498, XENTR15499, XENTR15497, XENTR15494, XENTR11355, XENTR11358, XENTR11354, XENTR16052, XENTR16051, XENTR19033, XENTR17596, XENTR16050, XENTR15496, XENTR09512
OG0000063	CAPO300270	XENTR10234, XENTR04709, XENTR00319, XENTR11311, XENTR04708, XENTR15638, XENTR08048, XENTR02007, XENTR01303
OG0000066	CAPO308057	XENTR18882
OG0000069	CAPO302182	XENTR15529
OG0000069	CAPO301523, CAPO305173	XENTR16269
OG0000082	CAPO304738	XENTR16096
OG0000082	CAPO306626	XENTR01624, XENTR01625
