Orthogroup	CAPO3	AMPFI_ok
OG0000003	CAPO301945	AMPFI_14596, AMPFI_15515, AMPFI_16631, AMPFI_12750, AMPFI_04384, AMPFI_16210, AMPFI_13329, AMPFI_20804, AMPFI_11026, AMPFI_25419, AMPFI_16064, AMPFI_00352, AMPFI_02665, AMPFI_03204, AMPFI_07815, AMPFI_25889, AMPFI_17434, AMPFI_10369, AMPFI_18906, AMPFI_11277, AMPFI_13080, AMPFI_14508, AMPFI_22992, AMPFI_23508, AMPFI_02231, AMPFI_00462, AMPFI_16213, AMPFI_23034, AMPFI_24242, AMPFI_13081, AMPFI_01108, AMPFI_17831, AMPFI_20373, AMPFI_11730, AMPFI_16587, AMPFI_13138, AMPFI_18427, AMPFI_25711, AMPFI_01607, AMPFI_17593, AMPFI_10595, AMPFI_18383, AMPFI_15011, AMPFI_13545, AMPFI_13340, AMPFI_02133, AMPFI_10984, AMPFI_16139, AMPFI_15012, AMPFI_02028, AMPFI_17117, AMPFI_14862, AMPFI_13136, AMPFI_02273, AMPFI_14808, AMPFI_19265, AMPFI_09603, AMPFI_21929, AMPFI_23519, AMPFI_13846, AMPFI_15473, AMPFI_11654, AMPFI_16634, AMPFI_10596, AMPFI_16630, AMPFI_04001, AMPFI_18895, AMPFI_14207, AMPFI_01423, AMPFI_22677, AMPFI_02209, AMPFI_22111, AMPFI_23718, AMPFI_14216, AMPFI_11534, AMPFI_16981, AMPFI_14748, AMPFI_23185, AMPFI_14507, AMPFI_04480, AMPFI_14217, AMPFI_16278, AMPFI_25043, AMPFI_02366, AMPFI_04818, AMPFI_18391, AMPFI_13137, AMPFI_11583, AMPFI_15510, AMPFI_04899, AMPFI_21369, AMPFI_09604
OG0000005	CAPO308356, CAPO307946	AMPFI_18504, AMPFI_17853, AMPFI_00525, AMPFI_25233, AMPFI_12439, AMPFI_11815, AMPFI_06236, AMPFI_18823, AMPFI_12557, AMPFI_17233, AMPFI_06946
OG0000006	CAPO306217	AMPFI_05750
OG0000006	CAPO302620	AMPFI_12555
OG0000007	CAPO304209	AMPFI_26059, AMPFI_15806
OG0000007	CAPO303284	AMPFI_22204
OG0000007	CAPO300935	AMPFI_21281
OG0000007	CAPO305123	AMPFI_23280
OG0000012	CAPO302923, CAPO302931	AMPFI_05035, AMPFI_18913, AMPFI_24706, AMPFI_24214, AMPFI_11332, AMPFI_02225, AMPFI_15893, AMPFI_06478, AMPFI_16130
OG0000015	CAPO302521	AMPFI_03480, AMPFI_23995
