Orthogroup	CAPO3	HELIO_ok
OG0000003	CAPO301945	HELIO_07277, HELIO_03324, HELIO_02559, HELIO_06998, HELIO_07220, HELIO_07172, HELIO_07118, HELIO_08034, HELIO_07314, HELIO_08472, HELIO_00669, HELIO_06573, HELIO_09381, HELIO_06283, HELIO_06076, HELIO_08521, HELIO_05042, HELIO_00523, HELIO_01732, HELIO_04717, HELIO_10386, HELIO_04687, HELIO_09894, HELIO_06251, HELIO_00920, HELIO_07587, HELIO_00130, HELIO_07060, HELIO_05284, HELIO_02003, HELIO_06683, HELIO_04847, HELIO_01179, HELIO_04393, HELIO_00919
OG0000005	CAPO308356, CAPO307946	HELIO_02981, HELIO_07411, HELIO_06771, HELIO_04530, HELIO_05062, HELIO_02098, HELIO_00211, HELIO_09686, HELIO_04655
OG0000007	CAPO304209	HELIO_03703, HELIO_07978
OG0000007	CAPO303284	HELIO_03118
OG0000007	CAPO300935	HELIO_04275
OG0000007	CAPO305123	HELIO_11721
OG0000012	CAPO302923, CAPO302931	HELIO_04072, HELIO_05750, HELIO_06347, HELIO_04223, HELIO_03832, HELIO_07604, HELIO_05989, HELIO_00143, HELIO_04633, HELIO_04925, HELIO_00422, HELIO_06460, HELIO_07259, HELIO_06831
OG0000015	CAPO302521	HELIO_10603, HELIO_09049, HELIO_10798
OG0000016	CAPO300049	HELIO_05159, HELIO_08806, HELIO_03950, HELIO_10054
OG0000016	CAPO304360	HELIO_05456
OG0000016	CAPO306803	HELIO_09779, HELIO_03738
OG0000016	CAPO303259	HELIO_04647
OG0000016	CAPO300936	HELIO_07791, HELIO_11041, HELIO_07322, HELIO_06996, HELIO_05885, HELIO_04527, HELIO_04564
OG0000023	CAPO307690	HELIO_07781, HELIO_08618, HELIO_08359, HELIO_11316, HELIO_00065, HELIO_06675, HELIO_04231, HELIO_07887, HELIO_10788, HELIO_06647, HELIO_00907, HELIO_07600, HELIO_09870
OG0000029	CAPO307131	HELIO_10546, HELIO_00115, HELIO_05447, HELIO_05915, HELIO_11308, HELIO_11942, HELIO_00268, HELIO_06866, HELIO_02296, HELIO_09944, HELIO_05648, HELIO_01633, HELIO_06816
OG0000030	CAPO305356, CAPO301638, CAPO307563	HELIO_11997, HELIO_04525, HELIO_09505, HELIO_00137, HELIO_06719, HELIO_06628
OG0000031	CAPO303729	HELIO_11573
OG0000031	CAPO307573	HELIO_11428
OG0000035	CAPO307346, CAPO308354	HELIO_06273, HELIO_04621, HELIO_03945, HELIO_04376, HELIO_12501, HELIO_03534, HELIO_07811, HELIO_06366, HELIO_00732, HELIO_11539, HELIO_10164, HELIO_04984
OG0000041	CAPO308025, CAPO306861	HELIO_03057
