Orthogroup	CAPO3	SCHMD
OG0000003	CAPO301945	SCHMD14034, SCHMD24187, SCHMD29314, SCHMD02634, SCHMD26463, SCHMD28579, SCHMD15478, SCHMD23092, SCHMD08141, SCHMD02635, SCHMD12732, SCHMD00325, SCHMD18315, SCHMD11370, SCHMD05302, SCHMD14033, SCHMD00694, SCHMD23428
OG0000005	CAPO308356, CAPO307946	SCHMD06848, SCHMD09862, SCHMD04325, SCHMD02886, SCHMD16397, SCHMD12141, SCHMD01757, SCHMD06849, SCHMD15919
OG0000006	CAPO302620	SCHMD18814
OG0000007	CAPO304209	SCHMD08922, SCHMD00556, SCHMD22068, SCHMD08894, SCHMD06998
OG0000007	CAPO303284	SCHMD19134
OG0000007	CAPO305123	SCHMD02246
OG0000012	CAPO302923, CAPO302931	SCHMD06044, SCHMD24599, SCHMD26528, SCHMD04657, SCHMD00960, SCHMD06045, SCHMD22580
OG0000015	CAPO302521	SCHMD16725, SCHMD16724, SCHMD18317, SCHMD16528, SCHMD16031, SCHMD20432, SCHMD08587, SCHMD04522, SCHMD13015, SCHMD10907, SCHMD09424, SCHMD18443, SCHMD06091, SCHMD04398, SCHMD21895, SCHMD16722
OG0000016	CAPO304360	SCHMD13029, SCHMD08193, SCHMD03294, SCHMD13027, SCHMD08194, SCHMD01357, SCHMD21350
OG0000016	CAPO306803	SCHMD16694
OG0000016	CAPO303259	SCHMD02183
OG0000016	CAPO300936	SCHMD09773, SCHMD05700
OG0000023	CAPO307690	SCHMD04923, SCHMD05376, SCHMD14075
OG0000029	CAPO307131	SCHMD10229, SCHMD16285, SCHMD03695, SCHMD08074, SCHMD15862, SCHMD11804, SCHMD02858, SCHMD00228, SCHMD00039, SCHMD09250, SCHMD09249, SCHMD21600, SCHMD23194, SCHMD18727
OG0000030	CAPO300110	SCHMD17295
OG0000030	CAPO305356, CAPO301638, CAPO307563	SCHMD20337, SCHMD17827, SCHMD07576, SCHMD09292, SCHMD17204, SCHMD27027, SCHMD25154, SCHMD28242, SCHMD23250, SCHMD20495, SCHMD12490, SCHMD25384, SCHMD27555, SCHMD26819, SCHMD26942, SCHMD20336, SCHMD29499, SCHMD22579, SCHMD25391, SCHMD25427, SCHMD17912, SCHMD19398
OG0000031	CAPO308265, CAPO303729, CAPO307573	SCHMD00185
OG0000031	CAPO302122	SCHMD17865
OG0000035	CAPO307346, CAPO308354	SCHMD06303, SCHMD10019, SCHMD14794, SCHMD08606, SCHMD15627, SCHMD19701, SCHMD08028, SCHMD13399, SCHMD19456, SCHMD24285, SCHMD27391, SCHMD19457, SCHMD13398, SCHMD15992, SCHMD21366, SCHMD28112, SCHMD23652, SCHMD05993, SCHMD19700, SCHMD08604, SCHMD17446, SCHMD16716
OG0000038	CAPO307725	SCHMD04461, SCHMD04816, SCHMD04460
OG0000039	CAPO306958, CAPO306959, CAPO302254	SCHMD12270
OG0000041	CAPO308025, CAPO306861	SCHMD16871, SCHMD04540, SCHMD27454, SCHMD18676, SCHMD26156, SCHMD24512, SCHMD26802, SCHMD13244, SCHMD23473, SCHMD08254, SCHMD16501, SCHMD03485, SCHMD03487, SCHMD24504, SCHMD27330, SCHMD22218, SCHMD24321, SCHMD16915, SCHMD24513, SCHMD13245, SCHMD18501, SCHMD24533, SCHMD27375, SCHMD19541, SCHMD24652, SCHMD18848, SCHMD18236, SCHMD01855, SCHMD05642, SCHMD04611, SCHMD00627, SCHMD25467, SCHMD20856, SCHMD04612, SCHMD18642, SCHMD19674, SCHMD22231, SCHMD13559, SCHMD17541, SCHMD21245, SCHMD24303, SCHMD14104, SCHMD15881, SCHMD26428, SCHMD20308, SCHMD01472, SCHMD01473, SCHMD17447, SCHMD15880, SCHMD14684, SCHMD25470, SCHMD01841, SCHMD06678
OG0000043	CAPO301478, CAPO305172	SCHMD29320, SCHMD14186, SCHMD13218, SCHMD11361, SCHMD08066
OG0000043	CAPO308256	SCHMD05570, SCHMD05172, SCHMD24343, SCHMD10917, SCHMD15077, SCHMD11820, SCHMD11455, SCHMD00424, SCHMD17991, SCHMD07284, SCHMD04436, SCHMD10964, SCHMD10708, SCHMD11041, SCHMD12622, SCHMD10248, SCHMD06829, SCHMD01198, SCHMD04068
OG0000049	CAPO304018	SCHMD02961, SCHMD14840, SCHMD07231, SCHMD18899, SCHMD19386, SCHMD26352, SCHMD17006, SCHMD16048, SCHMD25010, SCHMD17007, SCHMD13819, SCHMD22370
OG0000051	CAPO307809, CAPO301249	SCHMD14701, SCHMD19681, SCHMD00914, SCHMD02148, SCHMD06279
OG0000055	CAPO301479, CAPO301432	SCHMD14415, SCHMD22203, SCHMD17892, SCHMD29195
OG0000056	CAPO305974, CAPO306012, CAPO306941	SCHMD18401, SCHMD20469
OG0000058	CAPO305595	SCHMD04270
OG0000058	CAPO307225	SCHMD06371, SCHMD12285, SCHMD12283, SCHMD15378, SCHMD12280, SCHMD21116, SCHMD21114, SCHMD24429, SCHMD12833, SCHMD06108, SCHMD02122
OG0000060	CAPO305373	SCHMD28975, SCHMD17528, SCHMD01311, SCHMD15619, SCHMD01313, SCHMD03061, SCHMD19006, SCHMD24601, SCHMD05372, SCHMD13182, SCHMD07987, SCHMD16998, SCHMD17292, SCHMD03062
OG0000062	CAPO300910	SCHMD03372, SCHMD29099, SCHMD15194, SCHMD14172, SCHMD18015, SCHMD15195, SCHMD23769
OG0000063	CAPO300270	SCHMD13250, SCHMD04855, SCHMD12212, SCHMD14138, SCHMD05647, SCHMD19061, SCHMD12558, SCHMD09653, SCHMD16488, SCHMD24452, SCHMD26478, SCHMD21709
OG0000066	CAPO308057	SCHMD27134, SCHMD02363, SCHMD06601, SCHMD06030, SCHMD05807, SCHMD11629, SCHMD22506, SCHMD11161, SCHMD06602, SCHMD01861, SCHMD26212, SCHMD01829, SCHMD17583, SCHMD06603, SCHMD09194, SCHMD22265
OG0000069	CAPO301523, CAPO305173	SCHMD05798, SCHMD12262
OG0000079	CAPO302518	SCHMD06941, SCHMD04736
