Orthogroup	CAPO3	DROME
OG0000005	CAPO308356, CAPO307946	DROME07278, DROME16769, DROME16768, DROME05759, DROME05760, DROME12663, DROME12658, DROME09622, DROME09655, DROME16321, DROME03536, DROME05689, DROME15227, DROME16771, DROME15219, DROME15220
OG0000006	CAPO302620	DROME21674, DROME21675, DROME21673
OG0000007	CAPO304209	DROME14142, DROME19603, DROME19602
OG0000007	CAPO303284	DROME10668, DROME10667, DROME10669, DROME10670, DROME10671
OG0000007	CAPO305123	DROME21792, DROME00712, DROME00713
OG0000012	CAPO302923, CAPO302931	DROME14687, DROME14686, DROME12555, DROME06410, DROME06409, DROME07595, DROME19081, DROME01821, DROME14253, DROME01820
OG0000015	CAPO302521	DROME10325, DROME10328, DROME10327, DROME10326, DROME10329, DROME20983, DROME11913, DROME20981, DROME20982, DROME15820, DROME14399, DROME14400, DROME14397, DROME14398, DROME15824, DROME15834, DROME15829, DROME15825, DROME15826, DROME15832, DROME15828, DROME15833, DROME15830, DROME15827, DROME15831
OG0000016	CAPO304360	DROME02422, DROME02430, DROME02437, DROME02423, DROME02429, DROME02435, DROME02434, DROME02428, DROME02433, DROME02424, DROME02436, DROME02427, DROME02426, DROME02431, DROME02432, DROME02425
OG0000016	CAPO306803	DROME16828, DROME17675, DROME07519, DROME17674, DROME04855, DROME04854, DROME01619, DROME03269, DROME14337, DROME15853, DROME15855, DROME15854, DROME03271, DROME03270, DROME03589
OG0000016	CAPO303259	DROME01609
OG0000023	CAPO307690	DROME04919, DROME04917, DROME04918, DROME08346, DROME08342, DROME08344, DROME08347, DROME08345, DROME08343
OG0000029	CAPO307131	DROME18440, DROME18439, DROME18441, DROME09446, DROME19091, DROME01527, DROME01529
OG0000030	CAPO300110	DROME12966
OG0000030	CAPO305356, CAPO301638, CAPO307563	DROME07429, DROME07428, DROME15149, DROME11112, DROME11110, DROME11113, DROME11111, DROME02191, DROME02193, DROME02192, DROME12173, DROME12176, DROME06898, DROME12965
OG0000035	CAPO307346, CAPO308354	DROME11928, DROME05348, DROME01725, DROME03666, DROME01724, DROME19358, DROME19359, DROME17164, DROME17163, DROME10260, DROME18635
OG0000041	CAPO308025, CAPO306861	DROME00693, DROME00694, DROME00695, DROME00691, DROME00692, DROME01788, DROME01789, DROME21438, DROME21440, DROME21441, DROME21439, DROME21435, DROME21437, DROME21436, DROME21444, DROME21442, DROME21443, DROME21445, DROME09067, DROME09061, DROME09065, DROME09068, DROME09063, DROME09062, DROME09064, DROME09066, DROME09069
OG0000043	CAPO308256	DROME03726, DROME03741, DROME03696, DROME03781, DROME03716, DROME03731, DROME03721, DROME03706, DROME03711, DROME03751, DROME03746, DROME03678, DROME03736, DROME03701, DROME03687, DROME03756, DROME03776, DROME03766, DROME03761, DROME03771
OG0000048	CAPO305301	DROME07309
OG0000048	CAPO304823	DROME01500
OG0000049	CAPO304018	DROME04610, DROME04609, DROME04608, DROME04607, DROME04606, DROME18357, DROME18359, DROME18358
OG0000051	CAPO307809, CAPO301249	DROME06654, DROME06655
OG0000054	CAPO303213, CAPO305653	DROME20361
OG0000054	CAPO302015	DROME11951, DROME18814, DROME18815, DROME18820, DROME18819, DROME01420, DROME08996, DROME18821, DROME09916, DROME18822, DROME04594, DROME04595, DROME01843, DROME04592, DROME04593, DROME20803, DROME20238, DROME18477, DROME18041, DROME06360
OG0000054	CAPO303797	DROME21992
OG0000055	CAPO301479, CAPO301432	DROME03691, DROME03682, DROME03686, DROME03760, DROME03750, DROME03735, DROME03720, DROME03770, DROME03765, DROME03740, DROME03755, DROME03725, DROME03710, DROME03730, DROME03700, DROME03780, DROME03705, DROME03775, DROME03715, DROME03745, DROME03695, DROME03673, DROME03677
OG0000056	CAPO305974, CAPO306012, CAPO306941	DROME04626, DROME04628, DROME04625, DROME04627, DROME04623, DROME04624
OG0000058	CAPO305595	DROME14598
OG0000060	CAPO305373	DROME18201, DROME02317, DROME02583, DROME02316, DROME07035, DROME07034, DROME07036, DROME07859, DROME07858, DROME04014, DROME07857, DROME07856, DROME07855, DROME07854, DROME18200, DROME07037, DROME07038, DROME04458, DROME04457, DROME19175, DROME06539, DROME06538, DROME20480, DROME07291, DROME06112, DROME00867, DROME00220, DROME15948, DROME00430
OG0000062	CAPO300910	DROME03387, DROME03389, DROME03388, DROME03386, DROME03390, DROME01439, DROME01441, DROME01443, DROME01440, DROME01442, DROME02848, DROME01444
OG0000063	CAPO300270	DROME03407, DROME03409, DROME03405, DROME03404, DROME03403, DROME03408, DROME03406, DROME17704, DROME17705, DROME17706, DROME17703, DROME17707, DROME10983, DROME10982
OG0000066	CAPO308057	DROME14379, DROME12296, DROME07231
OG0000069	CAPO302182	DROME03713
OG0000069	CAPO301523, CAPO305173	DROME19859, DROME00928
OG0000082	CAPO304738	DROME20298
OG0000082	CAPO306626	DROME05998
OG0000082	CAPO300843	DROME11174, DROME11173, DROME15008
OG0000082	CAPO306232	DROME14666, DROME14429, DROME14428, DROME14566, DROME14568, DROME14567, DROME14565, DROME16705
OG0000085	CAPO303047	DROME19132, DROME19130, DROME19134, DROME19131, DROME19133, DROME10293, DROME10294, DROME10289, DROME10292, DROME00999, DROME00998, DROME01000, DROME19740, DROME10832, DROME10831
OG0000089	CAPO300386, CAPO300810, CAPO302098	DROME18066, DROME18069, DROME12817
OG0000091	CAPO301134	DROME20804, DROME18437, DROME18438, DROME20481, DROME00247, DROME16587, DROME05722, DROME16586, DROME16589, DROME16588, DROME21691, DROME21692, DROME21693, DROME16133, DROME19941
OG0000095	CAPO301288, CAPO306046	DROME01438
OG0000096	CAPO301431	DROME08870
OG0000096	CAPO307955	DROME13163
OG0000096	CAPO307522	DROME06400
OG0000096	CAPO300294	DROME13915
OG0000096	CAPO307017	DROME09341
OG0000101	CAPO306858	DROME17779, DROME05458
OG0000103	CAPO302453	DROME02978, DROME02981, DROME02974, DROME02980, DROME02972, DROME02982, DROME02975, DROME02990, DROME02977, DROME02985, DROME02984, DROME02983, DROME02986, DROME02973, DROME02979, DROME02987, DROME02991, DROME02976, DROME02988, DROME02989, DROME08435, DROME08438, DROME08434, DROME08440, DROME08436, DROME08437, DROME08439
OG0000106	CAPO300017	DROME19783, DROME02609, DROME14085, DROME16348, DROME17377, DROME10894, DROME10895
OG0000107	CAPO301524	DROME03683, DROME03679, DROME03732, DROME03722, DROME03762, DROME03717, DROME03767, DROME03727, DROME03772, DROME03712, DROME03702, DROME03707, DROME03737, DROME03674, DROME03692, DROME03697, DROME03688, DROME03742, DROME14911, DROME03777, DROME03747, DROME03757, DROME03752
OG0000110	CAPO300387	DROME04794, DROME04795, DROME04798, DROME11669, DROME11670, DROME20727
OG0000116	CAPO305622	DROME05231
OG0000119	CAPO304642	DROME20499, DROME20496, DROME20497, DROME20498, DROME20500, DROME20501, DROME21220, DROME21219, DROME06207, DROME06208, DROME08017, DROME06209
OG0000122	CAPO307824	DROME10483, DROME10478, DROME10477, DROME10479, DROME10481, DROME10480, DROME10476, DROME01359, DROME01363, DROME01361, DROME01366, DROME01365, DROME01360, DROME01358, DROME01362, DROME01367, DROME01364
OG0000124	CAPO304324	DROME08713, DROME09900
OG0000124	CAPO302553	DROME21734
OG0000126	CAPO301836	DROME01805, DROME01804
OG0000126	CAPO302484	DROME21081, DROME21082, DROME21083, DROME21080
