Orthogroup	CAPO3	ORYLA
OG0000003	CAPO301945	ORYLA18464, ORYLA05141
OG0000005	CAPO308356, CAPO307946	ORYLA03896, ORYLA03898, ORYLA03897, ORYLA03895, ORYLA19606, ORYLA19605, ORYLA00089, ORYLA04143, ORYLA04443, ORYLA11947, ORYLA01858, ORYLA06713, ORYLA06714, ORYLA09160, ORYLA11550, ORYLA04733
OG0000006	CAPO302620	ORYLA04691
OG0000007	CAPO304209	ORYLA03471, ORYLA17615, ORYLA01042, ORYLA11394, ORYLA05164
OG0000007	CAPO303284	ORYLA00561, ORYLA16283, ORYLA08278
OG0000007	CAPO300935	ORYLA15605, ORYLA13871, ORYLA05828
OG0000007	CAPO305123	ORYLA10158, ORYLA04736
OG0000012	CAPO302923, CAPO302931	ORYLA07628, ORYLA15107, ORYLA15108, ORYLA15199
OG0000015	CAPO302521	ORYLA00867, ORYLA20430, ORYLA00866, ORYLA04638, ORYLA19973, ORYLA01229, ORYLA13511, ORYLA08714, ORYLA04332, ORYLA10753, ORYLA11923, ORYLA10179, ORYLA11921, ORYLA10367, ORYLA08817, ORYLA04154, ORYLA03899, ORYLA10757, ORYLA08711, ORYLA01414, ORYLA19970, ORYLA04333, ORYLA13514, ORYLA08713, ORYLA08712, ORYLA13513, ORYLA01230, ORYLA01413, ORYLA19971, ORYLA09940, ORYLA09941, ORYLA00953, ORYLA04300, ORYLA18852, ORYLA01514
OG0000016	CAPO300049	ORYLA12720, ORYLA00945
OG0000016	CAPO304360	ORYLA17171, ORYLA00784, ORYLA19764, ORYLA05054
OG0000016	CAPO306803	ORYLA09921
OG0000016	CAPO303259	ORYLA00030
OG0000016	CAPO300936	ORYLA08665, ORYLA11245, ORYLA15380
OG0000023	CAPO307690	ORYLA08126, ORYLA02861, ORYLA18687, ORYLA06733, ORYLA07486, ORYLA12741, ORYLA15296, ORYLA13800, ORYLA07073, ORYLA08963, ORYLA07951, ORYLA02776, ORYLA01476, ORYLA03601, ORYLA14352, ORYLA16095, ORYLA03721, ORYLA03720, ORYLA12643, ORYLA15685, ORYLA18659, ORYLA18660
OG0000029	CAPO307131	ORYLA01422, ORYLA01423, ORYLA13081, ORYLA13154, ORYLA04292, ORYLA04294, ORYLA04293, ORYLA15257, ORYLA13110, ORYLA02813, ORYLA04764, ORYLA00213, ORYLA03112, ORYLA15906, ORYLA08651, ORYLA09837
OG0000030	CAPO300110	ORYLA18077
OG0000030	CAPO305356, CAPO301638, CAPO307563	ORYLA01628, ORYLA19626, ORYLA02922, ORYLA07170, ORYLA04224, ORYLA03718, ORYLA07582, ORYLA07744, ORYLA16997, ORYLA20234, ORYLA08220, ORYLA10728
OG0000031	CAPO303729	ORYLA10394, ORYLA11971
OG0000031	CAPO302122	ORYLA14237, ORYLA15433
OG0000035	CAPO307346, CAPO308354	ORYLA16101, ORYLA17474, ORYLA12588, ORYLA14952, ORYLA11104, ORYLA14870, ORYLA12119, ORYLA18031, ORYLA17191, ORYLA15336, ORYLA11216, ORYLA11278, ORYLA13992, ORYLA14838, ORYLA12754, ORYLA14991, ORYLA14992, ORYLA11268, ORYLA14782, ORYLA12073, ORYLA12074, ORYLA17117, ORYLA14783
OG0000039	CAPO306958, CAPO306959	ORYLA13584, ORYLA13588, ORYLA13587
OG0000041	CAPO308025, CAPO306861	ORYLA07969, ORYLA14839, ORYLA15678, ORYLA15677, ORYLA16345, ORYLA07970, ORYLA13989, ORYLA15806, ORYLA13990, ORYLA15807, ORYLA14735, ORYLA19535, ORYLA15808, ORYLA14736, ORYLA19536, ORYLA12118, ORYLA13695, ORYLA09068, ORYLA11484, ORYLA11472, ORYLA05357, ORYLA19350
OG0000043	CAPO308256	ORYLA04209, ORYLA03853, ORYLA11281, ORYLA00044, ORYLA03854
OG0000048	CAPO305301	ORYLA19472
OG0000048	CAPO304823	ORYLA15054
OG0000049	CAPO304018	ORYLA11559, ORYLA19044, ORYLA04067, ORYLA03584, ORYLA13704, ORYLA13828, ORYLA15018, ORYLA11032, ORYLA11031, ORYLA14189, ORYLA20256, ORYLA14320, ORYLA15992, ORYLA14028, ORYLA14561, ORYLA15871, ORYLA14190, ORYLA14191, ORYLA11029
OG0000051	CAPO307809, CAPO301249	ORYLA05117
OG0000054	CAPO302015	ORYLA00519
OG0000054	CAPO303797	ORYLA05953, ORYLA08804
OG0000056	CAPO305974, CAPO306012, CAPO306941	ORYLA07324, ORYLA00315, ORYLA13076, ORYLA07014, ORYLA16605, ORYLA00874, ORYLA00878, ORYLA16604, ORYLA13077, ORYLA17860
OG0000058	CAPO307225	ORYLA18104
OG0000060	CAPO305373	ORYLA01946, ORYLA04743, ORYLA16841, ORYLA08032, ORYLA12328, ORYLA14832, ORYLA15092
OG0000062	CAPO300910	ORYLA03553, ORYLA18121, ORYLA18156, ORYLA00681, ORYLA10025, ORYLA00679, ORYLA00682, ORYLA18500, ORYLA19830, ORYLA18157, ORYLA05590, ORYLA05591, ORYLA08512, ORYLA08511, ORYLA08509, ORYLA03554, ORYLA03555, ORYLA03552, ORYLA03551, ORYLA18546, ORYLA10585, ORYLA11804, ORYLA18499
OG0000063	CAPO300270	ORYLA07168, ORYLA06843, ORYLA13091, ORYLA13092, ORYLA07328, ORYLA00312, ORYLA12933, ORYLA19987, ORYLA10868, ORYLA20199, ORYLA14082, ORYLA04940, ORYLA08134
OG0000066	CAPO308057	ORYLA06398
OG0000069	CAPO301523, CAPO305173	ORYLA08015
OG0000082	CAPO304738	ORYLA02580
