HOG	OG	Gene Tree Parent Clade	AENJA_ok	AMPFI_ok	APOSC_ok	APOSJ_ok	ASTMX	BRAFL	BRALA	CAEEL	CAPO3	DANRE	DROME	HELIO_ok	HUMAN	LYTVA_ok	MOUSE	NEMVE	ORYLA	OWEFU	PFLAV	SACKO_ok	SCHMD	STRPU_ok	XENTR	YEAST
N4.HOG0000000	OG0000000	n27																					SCHMD27593, SCHMD10927, SCHMD15603, SCHMD10284			
N4.HOG0000001	OG0000000	n32																					SCHMD15791			
N4.HOG0000002	OG0000000	n47								CAEEL18735			DROME16218, DROME16219							OFUSG19483.1.p1, OFUSG18880.1.p1			SCHMD20461, SCHMD14540, SCHMD00971			
N4.HOG0000003	OG0000000	n97											DROME04813							OFUSG13305.1.p1						
N4.HOG0000004	OG0000000	n120											DROME07346													
N4.HOG0000005	OG0000000	n128											DROME14805, DROME14806							OFUSG05593.1.p1, OFUSG05592.1.p1						
N4.HOG0000006	OG0000000	n165								CAEEL01026																
N4.HOG0000007	OG0000000	n166								CAEEL01893										OFUSG18918.1.p1						
N4.HOG0000008	OG0000000	n189											DROME15599							OFUSG06560.1.p1						
N4.HOG0000009	OG0000000	n206								CAEEL18754			DROME15463, DROME15462							OFUSG05489.1.p1, OFUSG05755.1.p1, OFUSG06621.1.p1			SCHMD20523, SCHMD24588			
N4.HOG0000010	OG0000000	n251								CAEEL06523			DROME11250							OFUSG06970.1.p1			SCHMD03805			
N4.HOG0000011	OG0000000	n283								CAEEL00081			DROME14878							OFUSG05968.1.p1			SCHMD20256, SCHMD22099			
N4.HOG0000012	OG0000000	n304																					SCHMD07815			
N4.HOG0000013	OG0000000	n321											DROME21328, DROME21327							OFUSG07309.1.p1, OFUSG07308.1.p1			SCHMD09133, SCHMD27825			
N4.HOG0000014	OG0000000	n352																		OFUSG07307.1.p1						
N4.HOG0000015	OG0000000	n354								CAEEL18467, CAEEL18466																
N4.HOG0000016	OG0000000	n357																		OFUSG08786.1.p1						
N4.HOG0000017	OG0000000	n384											DROME20419										SCHMD03766			
N4.HOG0000018	OG0000000	n396								CAEEL04771			DROME03422							OFUSG09074.1.p1			SCHMD27182, SCHMD16896			
N4.HOG0000019	OG0000000	n413											DROME05373													
N4.HOG0000020	OG0000000	n416								CAEEL10851			DROME12799							OFUSG17443.1.p1			SCHMD28523			
N4.HOG0000021	OG0000000	n431								CAEEL18086			DROME16097							OFUSG19303.1.p1						
N4.HOG0000022	OG0000000	n456											DROME01107							OFUSG12013.1.p1						
N4.HOG0000023	OG0000000	n478																					SCHMD10926, SCHMD19942			
N4.HOG0000024	OG0000000	n484								CAEEL05734, CAEEL05228, CAEEL18573			DROME17319							OFUSG17426.1.p1						
N4.HOG0000025	OG0000000	n498								CAEEL08092			DROME13389, DROME13388							OFUSG13332.1.p1			SCHMD18969			
N4.HOG0000026	OG0000000	n538								CAEEL08135, CAEEL08091																
N4.HOG0000027	OG0000000	n542											DROME11314							OFUSG03265.2.p2, OFUSG03265.1.p1						
N4.HOG0000028	OG0000000	n566											DROME13405													
N4.HOG0000029	OG0000000	n580																		OFUSG13333.1.p1, OFUSG13334.1.p1, OFUSG13334.3.p1, OFUSG13334.2.p1						
N4.HOG0000030	OG0000000	n608											DROME13402, DROME13403										SCHMD15558			
N4.HOG0000031	OG0000000	n612											DROME13415							OFUSG03302.1.p1						
N4.HOG0000032	OG0000000	n634																					SCHMD22390, SCHMD21735			
N4.HOG0000033	OG0000000	n637											DROME13417, DROME13418, DROME13419, DROME13416							OFUSG13338.1.p1						
N4.HOG0000034	OG0000000	n706											DROME15339, DROME15340							OFUSG13339.1.p1, OFUSG13340.1.p1						
N4.HOG0000035	OG0000000	n721											DROME13413							OFUSG13335.1.p1						
N4.HOG0000036	OG0000000	n751											DROME13414							OFUSG13336.1.p1						
N4.HOG0000037	OG0000000	n786								CAEEL00979			DROME10025							OFUSG17003.1.p1			SCHMD21303			
N4.HOG0000038	OG0000000	n818											DROME16399							OFUSG21200.1.p1						
N4.HOG0000039	OG0000000	n855								CAEEL19601			DROME17718							OFUSG05673.1.p1, OFUSG05672.1.p1			SCHMD01868			
N4.HOG0000040	OG0000000	n889																					SCHMD02255			
N4.HOG0000041	OG0000000	n912											DROME15341, DROME15342, DROME15343													
N4.HOG0000042	OG0000000	n978																		OFUSG23416.1.p1						
N4.HOG0000043	OG0000000	n1006								CAEEL09056, CAEEL09057, CAEEL09058																
N4.HOG0000044	OG0000000	n1014								CAEEL07441			DROME03546, DROME03545							OFUSG03177.1.p1						
N4.HOG0000045	OG0000000	n1046								CAEEL08137, CAEEL17599			DROME13420							OFUSG13341.1.p1			SCHMD11888, SCHMD08259			
N4.HOG0000046	OG0000000	n1057																					SCHMD09565			
N4.HOG0000047	OG0000000	n1058								CAEEL08875			DROME04989							OFUSG12947.1.p1			SCHMD24693			
N4.HOG0000048	OG0000000	n1091											DROME16202							OFUSG05775.1.p1			SCHMD05281, SCHMD04291			
