HOG	OG	Gene Tree Parent Clade	AENJA_ok	AMPFI_ok	APOSC_ok	APOSJ_ok	ASTMX	BRAFL	BRALA	CAEEL	CAPO3	DANRE	DROME	HELIO_ok	HUMAN	LYTVA_ok	MOUSE	NEMVE	ORYLA	OWEFU	PFLAV	SACKO_ok	SCHMD	STRPU_ok	XENTR	YEAST
N7.HOG0000000	OG0000000	n47								CAEEL18735			DROME16218, DROME16219													
N7.HOG0000001	OG0000000	n97											DROME04813													
N7.HOG0000002	OG0000000	n120											DROME07346													
N7.HOG0000003	OG0000000	n128											DROME14805, DROME14806													
N7.HOG0000004	OG0000000	n165								CAEEL01026																
N7.HOG0000005	OG0000000	n166								CAEEL01893																
N7.HOG0000006	OG0000000	n189											DROME15599													
N7.HOG0000007	OG0000000	n206								CAEEL18754			DROME15463, DROME15462													
N7.HOG0000008	OG0000000	n251								CAEEL06523			DROME11250													
N7.HOG0000009	OG0000000	n283								CAEEL00081			DROME14878													
N7.HOG0000010	OG0000000	n321											DROME21328, DROME21327													
N7.HOG0000011	OG0000000	n354								CAEEL18467, CAEEL18466																
N7.HOG0000012	OG0000000	n384											DROME20419													
N7.HOG0000013	OG0000000	n396								CAEEL04771			DROME03422													
N7.HOG0000014	OG0000000	n413											DROME05373													
N7.HOG0000015	OG0000000	n416								CAEEL10851			DROME12799													
N7.HOG0000016	OG0000000	n431								CAEEL18086			DROME16097													
N7.HOG0000017	OG0000000	n456											DROME01107													
N7.HOG0000018	OG0000000	n484								CAEEL05734, CAEEL05228, CAEEL18573			DROME17319													
N7.HOG0000019	OG0000000	n498								CAEEL08092			DROME13389, DROME13388													
N7.HOG0000020	OG0000000	n538								CAEEL08135, CAEEL08091																
N7.HOG0000021	OG0000000	n542											DROME11314													
N7.HOG0000022	OG0000000	n566											DROME13405													
N7.HOG0000023	OG0000000	n608											DROME13402, DROME13403													
N7.HOG0000024	OG0000000	n612											DROME13415													
N7.HOG0000025	OG0000000	n637											DROME13417, DROME13418, DROME13419, DROME13416													
N7.HOG0000026	OG0000000	n706											DROME15339, DROME15340													
N7.HOG0000027	OG0000000	n721											DROME13413													
N7.HOG0000028	OG0000000	n751											DROME13414													
N7.HOG0000029	OG0000000	n786								CAEEL00979			DROME10025													
N7.HOG0000030	OG0000000	n818											DROME16399													
N7.HOG0000031	OG0000000	n855								CAEEL19601			DROME17718													
N7.HOG0000032	OG0000000	n912											DROME15341, DROME15342, DROME15343													
N7.HOG0000033	OG0000000	n1006								CAEEL09056, CAEEL09057, CAEEL09058																
N7.HOG0000034	OG0000000	n1014								CAEEL07441			DROME03546, DROME03545													
N7.HOG0000035	OG0000000	n1046								CAEEL08137, CAEEL17599			DROME13420													
N7.HOG0000036	OG0000000	n1058								CAEEL08875			DROME04989													
N7.HOG0000037	OG0000000	n1091											DROME16202													
N7.HOG0000038	OG0000000	n1122								CAEEL20161, CAEEL15696			DROME16201													
N7.HOG0000039	OG0000000	n1130								CAEEL15438																
N7.HOG0000040	OG0000000	n1209											DROME12831, DROME12829, DROME12828, DROME12830													
N7.HOG0000041	OG0000001	n3								CAEEL06769																
N7.HOG0000042	OG0000001	n30								CAEEL15812																
N7.HOG0000043	OG0000001	n100								CAEEL14831																
N7.HOG0000044	OG0000001	n104								CAEEL00558, CAEEL10892, CAEEL06622, CAEEL17769, CAEEL17450, CAEEL17770																
N7.HOG0000045	OG0000001	n157								CAEEL12710, CAEEL12709, CAEEL12708																
