HOG	OG	Gene Tree Parent Clade	AENJA_ok	AMPFI_ok	APOSC_ok	APOSJ_ok	ASTMX	BRAFL	BRALA	CAEEL	CAPO3	DANRE	DROME	HELIO_ok	HUMAN	LYTVA_ok	MOUSE	NEMVE	ORYLA	OWEFU	PFLAV	SACKO_ok	SCHMD	STRPU_ok	XENTR	YEAST
N15.HOG0000000	OG0000000	n21					ASTMX22979					DANRE01559														
N15.HOG0000001	OG0000000	n24										DANRE05955														
N15.HOG0000002	OG0000000	n60										DANRE06436														
N15.HOG0000003	OG0000000	n63					ASTMX02793					DANRE05762							ORYLA04928							
N15.HOG0000004	OG0000000	n92					ASTMX22512					DANRE00109							ORYLA02333							
N15.HOG0000005	OG0000000	n105					ASTMX17483					DANRE24636							ORYLA07037							
N15.HOG0000006	OG0000000	n109					ASTMX11444					DANRE35926							ORYLA08538							
N15.HOG0000007	OG0000000	n135					ASTMX18513					DANRE04899														
N15.HOG0000008	OG0000000	n138					ASTMX02535					DANRE05022							ORYLA05297							
N15.HOG0000009	OG0000000	n143					ASTMX04736					DANRE06714														
N15.HOG0000010	OG0000000	n173					ASTMX19308					DANRE37544							ORYLA07510							
N15.HOG0000011	OG0000000	n178					ASTMX03273					DANRE11226							ORYLA04677							
N15.HOG0000012	OG0000000	n198					ASTMX22570					DANRE04898							ORYLA10797							
N15.HOG0000013	OG0000000	n212					ASTMX10474, ASTMX18080					DANRE16356							ORYLA00843, ORYLA07411							
N15.HOG0000014	OG0000000	n225					ASTMX13971					DANRE11234							ORYLA04925							
N15.HOG0000015	OG0000000	n233					ASTMX13970					DANRE11232							ORYLA04924							
N15.HOG0000016	OG0000000	n238										DANRE16357							ORYLA08113							
N15.HOG0000017	OG0000000	n259					ASTMX12494					DANRE40796, DANRE40795														
N15.HOG0000018	OG0000000	n270					ASTMX05790					DANRE05964														
N15.HOG0000019	OG0000000	n274					ASTMX17479					DANRE19591, DANRE19592														
N15.HOG0000020	OG0000000	n335					ASTMX20577, ASTMX08977					DANRE34117, DANRE19532							ORYLA02858							
N15.HOG0000021	OG0000000	n342					ASTMX08271					DANRE36202							ORYLA12900							
N15.HOG0000022	OG0000000	n360					ASTMX14561					DANRE02487														
N15.HOG0000023	OG0000000	n364					ASTMX07042					DANRE13405							ORYLA03677							
N15.HOG0000024	OG0000000	n396					ASTMX10847					DANRE00977														
N15.HOG0000025	OG0000000	n431					ASTMX20299					DANRE04328, DANRE04330, DANRE04329														
N15.HOG0000026	OG0000000	n456					ASTMX10234					DANRE18867, DANRE18868							ORYLA11446							
N15.HOG0000027	OG0000000	n475										DANRE43385														
N15.HOG0000028	OG0000000	n513					ASTMX20113					DANRE23434														
N15.HOG0000029	OG0000000	n517					ASTMX01439, ASTMX16054					DANRE03839, DANRE29251							ORYLA08246							
N15.HOG0000030	OG0000000	n522					ASTMX20165					DANRE14339, DANRE14340							ORYLA01821							
