HOG	OG	Gene Tree Parent Clade	AENJA_ok	AMPFI_ok	APOSC_ok	APOSJ_ok	ASTMX	BRAFL	BRALA	CAEEL	CAPO3	DANRE	DROME	HELIO_ok	HUMAN	LYTVA_ok	MOUSE	NEMVE	ORYLA	OWEFU	PFLAV	SACKO_ok	SCHMD	STRPU_ok	XENTR	YEAST
N20.HOG0000000	OG0000000	n6			APOSC_17015	APOSJ_33268																				
N20.HOG0000001	OG0000000	n79			APOSC_11837	APOSJ_57731, APOSJ_57730, APOSJ_57727, APOSJ_21243, APOSJ_60924, APOSJ_57729, APOSJ_57728, APOSJ_21237																				
N20.HOG0000002	OG0000000	n87			APOSC_12606	APOSJ_45288, APOSJ_48391, APOSJ_48390, APOSJ_34578																				
N20.HOG0000003	OG0000000	n154			APOSC_11472	APOSJ_43984																				
N20.HOG0000004	OG0000000	n155			APOSC_29094	APOSJ_47154																				
N20.HOG0000005	OG0000000	n198			APOSC_19214																					
N20.HOG0000006	OG0000000	n206			APOSC_25410																					
N20.HOG0000007	OG0000000	n251			APOSC_11604	APOSJ_18686																				
N20.HOG0000008	OG0000000	n283			APOSC_28354	APOSJ_09863, APOSJ_52388, APOSJ_64477, APOSJ_29962																				
N20.HOG0000009	OG0000000	n321			APOSC_19137	APOSJ_32352																				
N20.HOG0000010	OG0000000	n352			APOSC_01732	APOSJ_60141																				
N20.HOG0000011	OG0000000	n357			APOSC_11544	APOSJ_18136																				
N20.HOG0000012	OG0000000	n396			APOSC_06717																					
N20.HOG0000013	OG0000000	n431			APOSC_04208	APOSJ_34245																				
N20.HOG0000014	OG0000000	n456			APOSC_07565	APOSJ_60507																				
N20.HOG0000015	OG0000000	n484			APOSC_11499																					
N20.HOG0000016	OG0000000	n498			APOSC_22022	APOSJ_35597, APOSJ_35599, APOSJ_35598, APOSJ_23220																				
N20.HOG0000017	OG0000000	n542			APOSC_04964																					
N20.HOG0000018	OG0000000	n566			APOSC_22917																					
N20.HOG0000019	OG0000000	n612			APOSC_16565	APOSJ_36728																				
N20.HOG0000020	OG0000000	n637			APOSC_27318	APOSJ_61187, APOSJ_61188, APOSJ_61189, APOSJ_61190																				
N20.HOG0000021	OG0000000	n712			APOSC_06302	APOSJ_20159																				
N20.HOG0000022	OG0000000	n751			APOSC_14732	APOSJ_40396																				
N20.HOG0000023	OG0000000	n786			APOSC_24894	APOSJ_37520																				
N20.HOG0000024	OG0000000	n818			APOSC_24788	APOSJ_38857, APOSJ_38860																				
N20.HOG0000025	OG0000000	n855			APOSC_28968	APOSJ_32562, APOSJ_32561																				
N20.HOG0000026	OG0000000	n913			APOSC_18629	APOSJ_47531, APOSJ_29010																				
N20.HOG0000027	OG0000000	n970			APOSC_01689	APOSJ_05847, APOSJ_05848																				
N20.HOG0000028	OG0000000	n984			APOSC_01343	APOSJ_38441																				
N20.HOG0000029	OG0000000	n993			APOSC_25317	APOSJ_62087																				
N20.HOG0000030	OG0000000	n1001			APOSC_25315, APOSC_25316	APOSJ_26760																				
N20.HOG0000031	OG0000000	n1014			APOSC_10621	APOSJ_33475, APOSJ_26082, APOSJ_33473, APOSJ_26081																				
N20.HOG0000032	OG0000000	n1057				APOSJ_36747																				
N20.HOG0000033	OG0000000	n1058			APOSC_22429																					
N20.HOG0000034	OG0000000	n1091			APOSC_04636	APOSJ_56734																				
N20.HOG0000035	OG0000000	n1136			APOSC_18693	APOSJ_31415																				
N20.HOG0000036	OG0000000	n1166			APOSC_00117	APOSJ_11629, APOSJ_11635, APOSJ_11634, APOSJ_11633																				
N20.HOG0000037	OG0000000	n1191			APOSC_08607	APOSJ_02527																				
N20.HOG0000038	OG0000001	n3			APOSC_11325, APOSC_21373																					
N20.HOG0000039	OG0000001	n45			APOSC_22156	APOSJ_37929																				
N20.HOG0000040	OG0000001	n50			APOSC_01815	APOSJ_51222																				
N20.HOG0000041	OG0000001	n52			APOSC_16060	APOSJ_62226																				
N20.HOG0000042	OG0000001	n65			APOSC_06332, APOSC_06333	APOSJ_25603																				
N20.HOG0000043	OG0000001	n67			APOSC_10705	APOSJ_52770																				
N20.HOG0000044	OG0000001	n73			APOSC_01009	APOSJ_36611																				
N20.HOG0000045	OG0000001	n74			APOSC_10025, APOSC_10024, APOSC_10026	APOSJ_05765																				
N20.HOG0000046	OG0000001	n77			APOSC_24040	APOSJ_13627																				
N20.HOG0000047	OG0000001	n78			APOSC_19294, APOSC_19295, APOSC_01893	APOSJ_55755																				
N20.HOG0000048	OG0000001	n83			APOSC_20334	APOSJ_26325																				
N20.HOG0000049	OG0000001	n84			APOSC_02191	APOSJ_26326																				
N20.HOG0000050	OG0000001	n85			APOSC_28216	APOSJ_18829																				
N20.HOG0000051	OG0000001	n88			APOSC_18157	APOSJ_49141																				
N20.HOG0000052	OG0000001	n89			APOSC_23353	APOSJ_54194, APOSJ_54195																				
N20.HOG0000053	OG0000001	n91			APOSC_19105	APOSJ_04615																				
N20.HOG0000054	OG0000001	n92			APOSC_25618, APOSC_25619, APOSC_25617	APOSJ_38875																				
N20.HOG0000055	OG0000001	n182			APOSC_07507	APOSJ_40516																				
N20.HOG0000056	OG0000001	n183			APOSC_17360	APOSJ_28860																				
N20.HOG0000057	OG0000001	n245			APOSC_02406																					
N20.HOG0000058	OG0000001	n248			APOSC_26455																					
N20.HOG0000059	OG0000001	n265			APOSC_22349, APOSC_16849																					
N20.HOG0000060	OG0000001	n299			APOSC_06282																					
N20.HOG0000061	OG0000001	n301			APOSC_27210																					
N20.HOG0000062	OG0000001	n361				APOSJ_12278																				
N20.HOG0000063	OG0000001	n363				APOSJ_36722																				
N20.HOG0000064	OG0000001	n638				APOSJ_62573, APOSJ_49921																				
N20.HOG0000065	OG0000001	n670			APOSC_12124	APOSJ_44200, APOSJ_44199																				
N20.HOG0000066	OG0000001	n672			APOSC_24525	APOSJ_61464, APOSJ_61463																				
N20.HOG0000067	OG0000001	n677			APOSC_00358	APOSJ_31549, APOSJ_31548																				
N20.HOG0000068	OG0000001	n680			APOSC_15381	APOSJ_61758																				
N20.HOG0000069	OG0000001	n681			APOSC_11275	APOSJ_36028																				
N20.HOG0000070	OG0000001	n682			APOSC_07220, APOSC_02525																					
N20.HOG0000071	OG0000001	n683			APOSC_09129	APOSJ_08947, APOSJ_08949, APOSJ_08948																				
N20.HOG0000072	OG0000001	n689			APOSC_04420	APOSJ_38838																				
N20.HOG0000073	OG0000001	n690			APOSC_26949	APOSJ_25728, APOSJ_31189, APOSJ_25730, APOSJ_25727																				
N20.HOG0000074	OG0000001	n695			APOSC_05393	APOSJ_39037, APOSJ_44320																				
N20.HOG0000075	OG0000001	n697			APOSC_00625	APOSJ_26026, APOSJ_23152																				
N20.HOG0000076	OG0000001	n703			APOSC_02499, APOSC_01751, APOSC_07766	APOSJ_36498																				
N20.HOG0000077	OG0000002	n29			APOSC_17563	APOSJ_36413																				
N20.HOG0000078	OG0000002	n87			APOSC_09040	APOSJ_41244, APOSJ_49613																				
N20.HOG0000079	OG0000002	n89			APOSC_26016	APOSJ_35530, APOSJ_35532, APOSJ_35531, APOSJ_22870																				
N20.HOG0000080	OG0000002	n124			APOSC_12200	APOSJ_53783, APOSJ_53781, APOSJ_65202																				
N20.HOG0000081	OG0000002	n127			APOSC_12199	APOSJ_53782																				
N20.HOG0000082	OG0000002	n128			APOSC_23614	APOSJ_49075, APOSJ_49076, APOSJ_49077, APOSJ_49074, APOSJ_49072, APOSJ_49071, APOSJ_54427, APOSJ_17873																				
N20.HOG0000083	OG0000002	n191			APOSC_00935	APOSJ_50646, APOSJ_61186, APOSJ_47171																				
N20.HOG0000084	OG0000002	n412			APOSC_18975	APOSJ_32422, APOSJ_05886																				
N20.HOG0000085	OG0000002	n416			APOSC_26427	APOSJ_09049, APOSJ_21222, APOSJ_21226, APOSJ_56330, APOSJ_56332, APOSJ_57911, APOSJ_56329, APOSJ_54856, APOSJ_21227, APOSJ_09048																				
N20.HOG0000086	OG0000002	n426			APOSC_18610	APOSJ_38446, APOSJ_40855, APOSJ_40858, APOSJ_11585, APOSJ_46757, APOSJ_40854																				
N20.HOG0000087	OG0000002	n463			APOSC_04905	APOSJ_42507, APOSJ_51187																				
N20.HOG0000088	OG0000002	n625			APOSC_26642	APOSJ_16645, APOSJ_07327																				
N20.HOG0000089	OG0000002	n671			APOSC_19154																					
N20.HOG0000090	OG0000002	n714			APOSC_21951																					
N20.HOG0000091	OG0000002	n726				APOSJ_21931																				
N20.HOG0000092	OG0000003	n25			APOSC_09420																					
N20.HOG0000093	OG0000003	n42				APOSJ_50244																				
N20.HOG0000094	OG0000003	n43				APOSJ_24854																				
N20.HOG0000095	OG0000003	n135				APOSJ_43552, APOSJ_43551																				
N20.HOG0000096	OG0000003	n138				APOSJ_43592, APOSJ_07424, APOSJ_43596																				
N20.HOG0000097	OG0000003	n152			APOSC_22070	APOSJ_20832, APOSJ_20829																				
N20.HOG0000098	OG0000003	n154			APOSC_13273, APOSC_13272	APOSJ_22272, APOSJ_03630																				
N20.HOG0000099	OG0000003	n164			APOSC_21853																					
N20.HOG0000100	OG0000003	n183				APOSJ_07887																				
N20.HOG0000101	OG0000003	n184			APOSC_21855	APOSJ_06613																				
N20.HOG0000102	OG0000003	n188			APOSC_00102	APOSJ_27925, APOSJ_44929																				
N20.HOG0000103	OG0000003	n204			APOSC_28638, APOSC_28639																					
N20.HOG0000104	OG0000003	n208			APOSC_26010																					
N20.HOG0000105	OG0000003	n210			APOSC_06907, APOSC_24394																					
N20.HOG0000106	OG0000003	n220				APOSJ_24559																				
N20.HOG0000107	OG0000003	n222			APOSC_02274	APOSJ_33006																				
N20.HOG0000108	OG0000003	n231			APOSC_01247, APOSC_01039																					
N20.HOG0000109	OG0000003	n237			APOSC_08250																					
N20.HOG0000110	OG0000003	n241			APOSC_08634																					
N20.HOG0000111	OG0000003	n242			APOSC_17084																					
N20.HOG0000112	OG0000003	n245				APOSJ_33662																				
N20.HOG0000113	OG0000003	n269			APOSC_28448, APOSC_01690, APOSC_12113																					
N20.HOG0000114	OG0000003	n283			APOSC_02631, APOSC_04148, APOSC_07747	APOSJ_41535, APOSJ_46680, APOSJ_41536																				
N20.HOG0000115	OG0000003	n292			APOSC_20058	APOSJ_07491																				
N20.HOG0000116	OG0000003	n301				APOSJ_53718																				
N20.HOG0000117	OG0000003	n309				APOSJ_62420, APOSJ_12361																				
N20.HOG0000118	OG0000003	n318				APOSJ_28104, APOSJ_21473																				
N20.HOG0000119	OG0000003	n320				APOSJ_28537																				
N20.HOG0000120	OG0000003	n338			APOSC_08367	APOSJ_48345																				
N20.HOG0000121	OG0000003	n344				APOSJ_47753																				
N20.HOG0000122	OG0000003	n347				APOSJ_37328, APOSJ_40157																				
N20.HOG0000123	OG0000003	n355				APOSJ_61298																				
N20.HOG0000124	OG0000003	n357				APOSJ_07258																				
N20.HOG0000125	OG0000003	n367				APOSJ_36444, APOSJ_17178																				
N20.HOG0000126	OG0000003	n393				APOSJ_13667																				
N20.HOG0000127	OG0000003	n394			APOSC_26963	APOSJ_36000																				
N20.HOG0000128	OG0000003	n395				APOSJ_48083, APOSJ_29731, APOSJ_28848, APOSJ_28852																				
N20.HOG0000129	OG0000003	n408			APOSC_22836																					
N20.HOG0000130	OG0000003	n415				APOSJ_43600																				
N20.HOG0000131	OG0000003	n422				APOSJ_22527																				
N20.HOG0000132	OG0000003	n428			APOSC_06957																					
N20.HOG0000133	OG0000003	n432			APOSC_05483	APOSJ_46106																				
N20.HOG0000134	OG0000003	n433			APOSC_22147	APOSJ_22526, APOSJ_22667																				
N20.HOG0000135	OG0000003	n438			APOSC_01527																					
N20.HOG0000136	OG0000003	n468				APOSJ_16637, APOSJ_17591																				
N20.HOG0000137	OG0000003	n472				APOSJ_58934																				
N20.HOG0000138	OG0000003	n475				APOSJ_04924																				
N20.HOG0000139	OG0000003	n481				APOSJ_19118																				
N20.HOG0000140	OG0000003	n485				APOSJ_02529																				
N20.HOG0000141	OG0000003	n489			APOSC_27026	APOSJ_52549																				
N20.HOG0000142	OG0000003	n492				APOSJ_22529, APOSJ_10268																				
N20.HOG0000143	OG0000003	n501				APOSJ_41438																				
N20.HOG0000144	OG0000003	n535				APOSJ_57640																				
