HOG	OG	Gene Tree Parent Clade	AENJA_ok	AMPFI_ok	APOSC_ok	APOSJ_ok	ASTMX	BRAFL	BRALA	CAEEL	CAPO3	DANRE	DROME	HELIO_ok	HUMAN	LYTVA_ok	MOUSE	NEMVE	ORYLA	OWEFU	PFLAV	SACKO_ok	SCHMD	STRPU_ok	XENTR	YEAST
N14.HOG0000000	OG0000000	n21																							XENTR09224, XENTR09222	
N14.HOG0000001	OG0000000	n24																							XENTR09223, XENTR09220	
N14.HOG0000002	OG0000000	n34													HUMAN06514, HUMAN08318											
N14.HOG0000003	OG0000000	n39															MOUSE46880									
N14.HOG0000004	OG0000000	n40															MOUSE20962									
N14.HOG0000005	OG0000000	n60													HUMAN22097		MOUSE35835								XENTR08878	
N14.HOG0000006	OG0000000	n63													HUMAN03752		MOUSE46731									
N14.HOG0000007	OG0000000	n92													HUMAN03811											
N14.HOG0000008	OG0000000	n105													HUMAN27271		MOUSE35499									
N14.HOG0000009	OG0000000	n109													HUMAN18431		MOUSE22971								XENTR18832, XENTR01079, XENTR01080	
N14.HOG0000010	OG0000000	n135													HUMAN17135		MOUSE40493									
N14.HOG0000011	OG0000000	n138													HUMAN03692		MOUSE21445								XENTR18066	
N14.HOG0000012	OG0000000	n143																							XENTR08976	
N14.HOG0000013	OG0000000	n145													HUMAN17136										XENTR07932	
N14.HOG0000014	OG0000000	n173													HUMAN03687, HUMAN17114		MOUSE40450									
N14.HOG0000015	OG0000000	n178													HUMAN03688		MOUSE21440								XENTR18621	
N14.HOG0000016	OG0000000	n189																							XENTR07929	
N14.HOG0000017	OG0000000	n212																							XENTR13401	
N14.HOG0000018	OG0000000	n225													HUMAN03744		MOUSE46719								XENTR10509	
N14.HOG0000019	OG0000000	n233													HUMAN03743		MOUSE46718								XENTR10508	
N14.HOG0000020	OG0000000	n238													HUMAN22196		MOUSE35959								XENTR13402	
N14.HOG0000021	OG0000000	n259													HUMAN27740		MOUSE47799								XENTR02223	
N14.HOG0000022	OG0000000	n270													HUMAN03805		MOUSE46854								XENTR10492	
N14.HOG0000023	OG0000000	n274													HUMAN22626		MOUSE36974								XENTR10560	
N14.HOG0000024	OG0000000	n335													HUMAN29337		MOUSE25533								XENTR07734	
N14.HOG0000025	OG0000000	n342													HUMAN01254		MOUSE37056								XENTR13891	
N14.HOG0000026	OG0000000	n360													HUMAN28889		MOUSE09344								XENTR17298	
N14.HOG0000027	OG0000000	n364													HUMAN05731		MOUSE50563								XENTR05705	
N14.HOG0000028	OG0000000	n396													HUMAN05644		MOUSE50880								XENTR16086	
N14.HOG0000029	OG0000000	n431													HUMAN03433		MOUSE20961								XENTR12445	
N14.HOG0000030	OG0000000	n456													HUMAN02527		MOUSE24692								XENTR07618	
N14.HOG0000031	OG0000000	n477															MOUSE36510									
N14.HOG0000032	OG0000000	n478															MOUSE39800									
N14.HOG0000033	OG0000000	n481													HUMAN17906		MOUSE26496, MOUSE26495									
N14.HOG0000034	OG0000000	n502													HUMAN12895, HUMAN12894		MOUSE05222									
N14.HOG0000035	OG0000000	n510													HUMAN17907		MOUSE26497								XENTR07167	
N14.HOG0000036	OG0000000	n517																							XENTR10848	
N14.HOG0000037	OG0000000	n522													HUMAN26096		MOUSE39799								XENTR03338	
N14.HOG0000038	OG0000000	n549													HUMAN07512		MOUSE38794								XENTR04390	
N14.HOG0000039	OG0000000	n555													HUMAN22413		MOUSE36509								XENTR05494	
N14.HOG0000040	OG0000000	n589															MOUSE26494									
N14.HOG0000041	OG0000000	n595													HUMAN12896		MOUSE05221								XENTR10849	
N14.HOG0000042	OG0000000	n600													HUMAN26097		MOUSE39801								XENTR03337	
N14.HOG0000043	OG0000000	n612													HUMAN07513		MOUSE38795								XENTR04389	
N14.HOG0000044	OG0000000	n642													HUMAN12904		MOUSE05214, MOUSE05213								XENTR10854	
N14.HOG0000045	OG0000000	n650													HUMAN06517		MOUSE14888								XENTR08539	
N14.HOG0000046	OG0000000	n655													HUMAN17904		MOUSE26490, MOUSE26491								XENTR07170	
N14.HOG0000047	OG0000000	n669													HUMAN12902		MOUSE05215									
N14.HOG0000048	OG0000000	n672													HUMAN26102		MOUSE39813, MOUSE39810									
N14.HOG0000049	OG0000000	n679													HUMAN12901		MOUSE05216								XENTR10853	
N14.HOG0000050	OG0000000	n686													HUMAN26101		MOUSE39808								XENTR03333	
N14.HOG0000051	OG0000000	n689													HUMAN06515		MOUSE14889								XENTR08540	
N14.HOG0000052	OG0000000	n728													HUMAN26099		MOUSE39806									
N14.HOG0000053	OG0000000	n732													HUMAN06518		MOUSE14890, MOUSE14891								XENTR08542	
N14.HOG0000054	OG0000000	n740													HUMAN12899		MOUSE05218								XENTR10851	
N14.HOG0000055	OG0000000	n746																							XENTR07169	
N14.HOG0000056	OG0000000	n749																							XENTR03335	
N14.HOG0000057	OG0000000	n767													HUMAN12900		MOUSE05217									
N14.HOG0000058	OG0000000	n772																							XENTR10852	
N14.HOG0000059	OG0000000	n773													HUMAN26100		MOUSE39807								XENTR03334	
N14.HOG0000060	OG0000000	n777													HUMAN06519		MOUSE14885								XENTR08541	
N14.HOG0000061	OG0000000	n796													HUMAN27325		MOUSE35589, MOUSE35590								XENTR06295	
N14.HOG0000062	OG0000000	n808													HUMAN27326										XENTR04184	
N14.HOG0000063	OG0000000	n836													HUMAN12743		MOUSE05644									
N14.HOG0000064	OG0000000	n841													HUMAN26016		MOUSE06967								XENTR03185	
N14.HOG0000065	OG0000000	n866													HUMAN22154		MOUSE36056								XENTR12464	
N14.HOG0000066	OG0000000	n871													HUMAN24253		MOUSE09425								XENTR08726	
N14.HOG0000067	OG0000000	n877															MOUSE46881									
N14.HOG0000068	OG0000000	n893													HUMAN08317		MOUSE07113								XENTR06680	
N14.HOG0000069	OG0000000	n898													HUMAN18755		MOUSE28108								XENTR12982	
N14.HOG0000070	OG0000000	n930													HUMAN06516		MOUSE14887								XENTR08538	
N14.HOG0000071	OG0000000	n941													HUMAN26103		MOUSE39814								XENTR03331	
N14.HOG0000072	OG0000000	n943													HUMAN17903		MOUSE26488								XENTR07171	
N14.HOG0000073	OG0000000	n945													HUMAN12905		MOUSE05211								XENTR10855, XENTR10856	
N14.HOG0000074	OG0000000	n957																							XENTR08537	
N14.HOG0000075	OG0000000	n960													HUMAN26104		MOUSE39816								XENTR03330	
N14.HOG0000076	OG0000000	n966															MOUSE39817									
N14.HOG0000077	OG0000000	n1031													HUMAN30050		MOUSE54681								XENTR00687	
N14.HOG0000078	OG0000000	n1039													HUMAN24067		MOUSE19588								XENTR13779	
N14.HOG0000079	OG0000000	n1043													HUMAN07515		MOUSE38796									
N14.HOG0000080	OG0000000	n1046															MOUSE42582									
N14.HOG0000081	OG0000000	n1078													HUMAN26107		MOUSE39822								XENTR03327	
N14.HOG0000082	OG0000000	n1084													HUMAN17898		MOUSE26482, MOUSE26483								XENTR07175	
N14.HOG0000083	OG0000000	n1100													HUMAN27579		MOUSE12761								XENTR01971	
N14.HOG0000084	OG0000000	n1113													HUMAN22230		MOUSE36110								XENTR14936	
N14.HOG0000085	OG0000000	n1118																							XENTR09546	
N14.HOG0000086	OG0000000	n1145													HUMAN27580		MOUSE12760								XENTR01972	
N14.HOG0000087	OG0000000	n1151													HUMAN03523		MOUSE21123								XENTR09547	
N14.HOG0000088	OG0000000	n1157													HUMAN24243		MOUSE17205								XENTR08722	
N14.HOG0000089	OG0000000	n1184													HUMAN18756		MOUSE28110								XENTR12981	
N14.HOG0000090	OG0000000	n1190															MOUSE28109									
N14.HOG0000091	OG0000000	n1191													HUMAN08319		MOUSE07114								XENTR06679	
N14.HOG0000092	OG0000001	n157															MOUSE47436									
N14.HOG0000093	OG0000001	n162													HUMAN01493, HUMAN01492		MOUSE30906								XENTR19191, XENTR05335, XENTR05334	
N14.HOG0000094	OG0000001	n265															MOUSE47424, MOUSE47422								XENTR06490	
N14.HOG0000095	OG0000001	n330													HUMAN03140, HUMAN03346		MOUSE11565, MOUSE20858, MOUSE11567								XENTR04259	
N14.HOG0000096	OG0000001	n386																							XENTR06493, XENTR06495, XENTR06496, XENTR06491, XENTR06492, XENTR06498, XENTR04248, XENTR04247	
N14.HOG0000097	OG0000001	n397													HUMAN14514, HUMAN14515		MOUSE47437, MOUSE47438, MOUSE47439, MOUSE47434, MOUSE47432, MOUSE47431, MOUSE47433, MOUSE47430, MOUSE47429, MOUSE47425, MOUSE47427, MOUSE47426, MOUSE47428, MOUSE47435									
N14.HOG0000098	OG0000001	n415													HUMAN14863											
N14.HOG0000099	OG0000001	n444													HUMAN17113, HUMAN17112, HUMAN05942, HUMAN05938, HUMAN05925, HUMAN05943, HUMAN05944		MOUSE40449, MOUSE40448, MOUSE41355, MOUSE41354, MOUSE41356, MOUSE41348, MOUSE41347, MOUSE41353, MOUSE41346, MOUSE41352, MOUSE41351, MOUSE41343, MOUSE41361, MOUSE41362									
N14.HOG0000100	OG0000001	n582													HUMAN14511		MOUSE47421, MOUSE47420, MOUSE47416, MOUSE47415, MOUSE47417, MOUSE47418, MOUSE47419									
N14.HOG0000101	OG0000001	n604													HUMAN10621, HUMAN10623											
N14.HOG0000102	OG0000002	n70													HUMAN22770		MOUSE31557, MOUSE31558								XENTR12747	
N14.HOG0000103	OG0000002	n234													HUMAN03456, HUMAN03459, HUMAN03828, HUMAN03454, HUMAN03455, HUMAN03453		MOUSE20993, MOUSE21009, MOUSE21010, MOUSE21011, MOUSE21008, MOUSE21000, MOUSE21001, MOUSE20997, MOUSE20998, MOUSE21012, MOUSE21138, MOUSE21137, MOUSE20995, MOUSE20994									
N14.HOG0000104	OG0000002	n254													HUMAN15589		MOUSE43167, MOUSE43166								XENTR12309, XENTR12000	
N14.HOG0000105	OG0000002	n258													HUMAN15587, HUMAN15585, HUMAN15586, HUMAN15588		MOUSE43157, MOUSE43142, MOUSE43143, MOUSE43145, MOUSE43144, MOUSE43158, MOUSE43165, MOUSE43164, MOUSE43147, MOUSE43160, MOUSE43159								XENTR09586, XENTR09587, XENTR12323, XENTR12325, XENTR12320, XENTR12319, XENTR12322, XENTR12321, XENTR12318, XENTR12317, XENTR12311, XENTR12314, XENTR12312, XENTR12313	
N14.HOG0000106	OG0000002	n286																							XENTR09131	
N14.HOG0000107	OG0000002	n364													HUMAN04207		MOUSE45935, MOUSE45932, MOUSE45933, MOUSE45934, MOUSE45931								XENTR16022	
N14.HOG0000108	OG0000002	n375													HUMAN20269		MOUSE14276, MOUSE14281, MOUSE14277, MOUSE14278, MOUSE14279, MOUSE14280, MOUSE14283, MOUSE14284								XENTR06263, XENTR03914, XENTR03913, XENTR03939, XENTR03940, XENTR05151, XENTR03912	
N14.HOG0000109	OG0000002	n488																							XENTR16271, XENTR03602, XENTR03603, XENTR03601	
N14.HOG0000110	OG0000002	n505																							XENTR03577, XENTR03576, XENTR18928, XENTR18929, XENTR03582, XENTR03581, XENTR03583, XENTR03579, XENTR18721, XENTR03578, XENTR03589, XENTR03580, XENTR19167, XENTR18665, XENTR03594, XENTR03590, XENTR03591, XENTR03595, XENTR03584, XENTR03574, XENTR03585, XENTR03586, XENTR03587, XENTR03588, XENTR03593, XENTR03592, XENTR03575, XENTR03600, XENTR03596, XENTR03597, XENTR03599, XENTR18361, XENTR18362, XENTR18519, XENTR03598	
N14.HOG0000111	OG0000002	n540													HUMAN01080		MOUSE33135, MOUSE33132, MOUSE33133, MOUSE33131, MOUSE33130, MOUSE33134, MOUSE33136									
N14.HOG0000112	OG0000002	n617															MOUSE43163, MOUSE43162									
N14.HOG0000113	OG0000002	n620													HUMAN20270		MOUSE33129									
N14.HOG0000114	OG0000002	n671															MOUSE15413, MOUSE15412									
N14.HOG0000115	OG0000002	n726																							XENTR17667	
N14.HOG0000116	OG0000003	n2															MOUSE23092									
N14.HOG0000117	OG0000003	n438															MOUSE23701, MOUSE23700									
N14.HOG0000118	OG0000003	n468													HUMAN18698		MOUSE08264									
N14.HOG0000119	OG0000003	n472																							XENTR17803	
N14.HOG0000120	OG0000003	n535													HUMAN10010											
N14.HOG0000121	OG0000003	n588																							XENTR03273	
N14.HOG0000122	OG0000003	n600													HUMAN02915											
N14.HOG0000123	OG0000003	n649															MOUSE36184									
N14.HOG0000124	OG0000004	n5													HUMAN17550											
N14.HOG0000125	OG0000004	n19													HUMAN27462, HUMAN27463										XENTR16872	
N14.HOG0000126	OG0000004	n21													HUMAN27619		MOUSE12693, MOUSE12692								XENTR15834	
N14.HOG0000127	OG0000004	n38													HUMAN13470		MOUSE06318, MOUSE06317, MOUSE06316									
N14.HOG0000128	OG0000004	n49													HUMAN27575		MOUSE21111								XENTR18073	
N14.HOG0000129	OG0000004	n81													HUMAN27464											
N14.HOG0000130	OG0000004	n124													HUMAN05920											
N14.HOG0000131	OG0000004	n349													HUMAN22815		MOUSE31437								XENTR04878	
N14.HOG0000132	OG0000004	n354																							XENTR07289, XENTR07290	
N14.HOG0000133	OG0000004	n533																							XENTR16281, XENTR16280, XENTR16356, XENTR16357	
N14.HOG0000134	OG0000004	n539																							XENTR07824, XENTR07823	
N14.HOG0000135	OG0000004	n541															MOUSE46906, MOUSE46905									
N14.HOG0000136	OG0000004	n557													HUMAN05919, HUMAN05921		MOUSE41373, MOUSE41374									
N14.HOG0000137	OG0000004	n570													HUMAN01911		MOUSE30144								XENTR07827, XENTR19087, XENTR07826	
N14.HOG0000138	OG0000004	n575																							XENTR18497	
N14.HOG0000139	OG0000004	n576																							XENTR04025, XENTR04024	
N14.HOG0000140	OG0000004	n636													HUMAN03733		MOUSE46694, MOUSE46695, MOUSE46693, MOUSE46689, MOUSE46690, MOUSE46688									
N14.HOG0000141	OG0000004	n675													HUMAN26466		MOUSE38228, MOUSE38227, MOUSE38229, MOUSE38231, MOUSE38230, MOUSE38226									
N14.HOG0000142	OG0000005	n14													HUMAN23763, HUMAN23764		MOUSE03525, MOUSE03521, MOUSE03523, MOUSE03522, MOUSE03519								XENTR05002, XENTR05003	
N14.HOG0000143	OG0000005	n98													HUMAN25098		MOUSE18207									
N14.HOG0000144	OG0000005	n112													HUMAN04828, HUMAN04827		MOUSE20294, MOUSE20293, MOUSE13586								XENTR09503	
N14.HOG0000145	OG0000005	n117													HUMAN04760, HUMAN04761		MOUSE20384, MOUSE20383								XENTR09492, XENTR09491	
N14.HOG0000146	OG0000005	n127															MOUSE20203								XENTR09477	
N14.HOG0000147	OG0000005	n132													HUMAN20683		MOUSE53215, MOUSE53214								XENTR17068	
N14.HOG0000148	OG0000005	n148													HUMAN25811, HUMAN25812		MOUSE16622, MOUSE16621								XENTR04106	
N14.HOG0000149	OG0000005	n154													HUMAN25813		MOUSE16620									
N14.HOG0000150	OG0000005	n191													HUMAN25469										XENTR09142	
N14.HOG0000151	OG0000005	n247															MOUSE03520									
N14.HOG0000152	OG0000005	n647													HUMAN01465		MOUSE30956, MOUSE30955, MOUSE30957								XENTR16849, XENTR09568	
N14.HOG0000153	OG0000006	n25													HUMAN17033											
N14.HOG0000154	OG0000006	n34															MOUSE03399									
N14.HOG0000155	OG0000006	n40													HUMAN20053		MOUSE48684, MOUSE48683									
N14.HOG0000156	OG0000006	n57													HUMAN30182, HUMAN30280, HUMAN21060		MOUSE11220								XENTR06019	
N14.HOG0000157	OG0000006	n74													HUMAN00944		MOUSE33561, MOUSE33562								XENTR00026	
