HOG	OG	Gene Tree Parent Clade	AENJA_ok	AMPFI_ok	APOSC_ok	APOSJ_ok	ASTMX	BRAFL	BRALA	CAEEL	CAPO3	DANRE	DROME	HELIO_ok	HUMAN	LYTVA_ok	MOUSE	NEMVE	ORYLA	OWEFU	PFLAV	SACKO_ok	SCHMD	STRPU_ok	XENTR	YEAST
N10.HOG0000000	OG0000000	n21					ASTMX22979					DANRE01559													XENTR09224, XENTR09222	
N10.HOG0000001	OG0000000	n24										DANRE05955													XENTR09223, XENTR09220	
N10.HOG0000002	OG0000000	n34													HUMAN06514, HUMAN08318											
N10.HOG0000003	OG0000000	n39															MOUSE46880									
N10.HOG0000004	OG0000000	n40															MOUSE20962									
N10.HOG0000005	OG0000000	n60										DANRE06436			HUMAN22097		MOUSE35835								XENTR08878	
N10.HOG0000006	OG0000000	n63					ASTMX02793					DANRE05762			HUMAN03752		MOUSE46731		ORYLA04928							
N10.HOG0000007	OG0000000	n92					ASTMX22512					DANRE00109			HUMAN03811				ORYLA02333							
N10.HOG0000008	OG0000000	n105					ASTMX17483					DANRE24636			HUMAN27271		MOUSE35499		ORYLA07037							
N10.HOG0000009	OG0000000	n109					ASTMX11444					DANRE35926			HUMAN18431		MOUSE22971		ORYLA08538						XENTR18832, XENTR01079, XENTR01080	
N10.HOG0000010	OG0000000	n135					ASTMX18513					DANRE04899			HUMAN17135		MOUSE40493									
N10.HOG0000011	OG0000000	n138					ASTMX02535					DANRE05022			HUMAN03692		MOUSE21445		ORYLA05297						XENTR18066	
N10.HOG0000012	OG0000000	n143					ASTMX04736					DANRE06714													XENTR08976	
N10.HOG0000013	OG0000000	n145													HUMAN17136										XENTR07932	
N10.HOG0000014	OG0000000	n173					ASTMX19308					DANRE37544			HUMAN03687, HUMAN17114		MOUSE40450		ORYLA07510							
N10.HOG0000015	OG0000000	n178					ASTMX03273					DANRE11226			HUMAN03688		MOUSE21440		ORYLA04677						XENTR18621	
N10.HOG0000016	OG0000000	n189																							XENTR07929	
N10.HOG0000017	OG0000000	n198					ASTMX22570					DANRE04898							ORYLA10797							
N10.HOG0000018	OG0000000	n212					ASTMX10474, ASTMX18080					DANRE16356							ORYLA00843, ORYLA07411						XENTR13401	
N10.HOG0000019	OG0000000	n225					ASTMX13971					DANRE11234			HUMAN03744		MOUSE46719		ORYLA04925						XENTR10509	
N10.HOG0000020	OG0000000	n233					ASTMX13970					DANRE11232			HUMAN03743		MOUSE46718		ORYLA04924						XENTR10508	
N10.HOG0000021	OG0000000	n238										DANRE16357			HUMAN22196		MOUSE35959		ORYLA08113						XENTR13402	
N10.HOG0000022	OG0000000	n259					ASTMX12494					DANRE40796, DANRE40795			HUMAN27740		MOUSE47799								XENTR02223	
N10.HOG0000023	OG0000000	n270					ASTMX05790					DANRE05964			HUMAN03805		MOUSE46854								XENTR10492	
N10.HOG0000024	OG0000000	n274					ASTMX17479					DANRE19591, DANRE19592			HUMAN22626		MOUSE36974								XENTR10560	
N10.HOG0000025	OG0000000	n335					ASTMX20577, ASTMX08977					DANRE34117, DANRE19532			HUMAN29337		MOUSE25533		ORYLA02858						XENTR07734	
N10.HOG0000026	OG0000000	n342					ASTMX08271					DANRE36202			HUMAN01254		MOUSE37056		ORYLA12900						XENTR13891	
N10.HOG0000027	OG0000000	n360					ASTMX14561					DANRE02487			HUMAN28889		MOUSE09344								XENTR17298	
N10.HOG0000028	OG0000000	n364					ASTMX07042					DANRE13405			HUMAN05731		MOUSE50563		ORYLA03677						XENTR05705	
N10.HOG0000029	OG0000000	n396					ASTMX10847					DANRE00977			HUMAN05644		MOUSE50880								XENTR16086	
N10.HOG0000030	OG0000000	n431					ASTMX20299					DANRE04328, DANRE04330, DANRE04329			HUMAN03433		MOUSE20961								XENTR12445	
N10.HOG0000031	OG0000000	n456					ASTMX10234					DANRE18867, DANRE18868			HUMAN02527		MOUSE24692		ORYLA11446						XENTR07618	
N10.HOG0000032	OG0000000	n475										DANRE43385														
N10.HOG0000033	OG0000000	n477															MOUSE36510									
N10.HOG0000034	OG0000000	n478															MOUSE39800									
N10.HOG0000035	OG0000000	n481													HUMAN17906		MOUSE26496, MOUSE26495									
N10.HOG0000036	OG0000000	n502													HUMAN12895, HUMAN12894		MOUSE05222									
N10.HOG0000037	OG0000000	n510													HUMAN17907		MOUSE26497								XENTR07167	
N10.HOG0000038	OG0000000	n513					ASTMX20113					DANRE23434														
N10.HOG0000039	OG0000000	n517					ASTMX01439, ASTMX16054					DANRE03839, DANRE29251							ORYLA08246						XENTR10848	
N10.HOG0000040	OG0000000	n522					ASTMX20165					DANRE14339, DANRE14340			HUMAN26096		MOUSE39799		ORYLA01821						XENTR03338	
N10.HOG0000041	OG0000000	n549					ASTMX16946					DANRE35277, DANRE35276			HUMAN07512		MOUSE38794		ORYLA04170						XENTR04390	
N10.HOG0000042	OG0000000	n555					ASTMX11106					DANRE17824			HUMAN22413		MOUSE36509		ORYLA18990						XENTR05494	
N10.HOG0000043	OG0000000	n574																	ORYLA15771							
N10.HOG0000044	OG0000000	n589					ASTMX01438, ASTMX20112										MOUSE26494		ORYLA08247							
N10.HOG0000045	OG0000000	n595					ASTMX16053					DANRE29250			HUMAN12896		MOUSE05221		ORYLA17164						XENTR10849	
N10.HOG0000046	OG0000000	n600					ASTMX01903, ASTMX20164					DANRE09540			HUMAN26097		MOUSE39801		ORYLA01822, ORYLA05619						XENTR03337	
N10.HOG0000047	OG0000000	n612					ASTMX06178					DANRE24278			HUMAN07513		MOUSE38795		ORYLA09108						XENTR04389	
N10.HOG0000048	OG0000000	n642					ASTMX16048					DANRE29240, DANRE03836			HUMAN12904		MOUSE05214, MOUSE05213		ORYLA17159						XENTR10854	
N10.HOG0000049	OG0000000	n650					ASTMX20108					DANRE23428			HUMAN06517		MOUSE14888		ORYLA15774						XENTR08539	
N10.HOG0000050	OG0000000	n655					ASTMX05323								HUMAN17904		MOUSE26490, MOUSE26491								XENTR07170	
N10.HOG0000051	OG0000000	n669					ASTMX16049					DANRE29241			HUMAN12902		MOUSE05215									
N10.HOG0000052	OG0000000	n672										DANRE29242			HUMAN26102		MOUSE39813, MOUSE39810									
N10.HOG0000053	OG0000000	n679					ASTMX01436, ASTMX16050					DANRE03837, DANRE29246			HUMAN12901		MOUSE05216		ORYLA08249						XENTR10853	
N10.HOG0000054	OG0000000	n686													HUMAN26101		MOUSE39808		ORYLA17160						XENTR03333	
N10.HOG0000055	OG0000000	n689					ASTMX20109, ASTMX05322					DANRE23430, DANRE23429, DANRE01703			HUMAN06515		MOUSE14889								XENTR08540	
N10.HOG0000056	OG0000000	n728													HUMAN26099		MOUSE39806									
