HOG	OG	Gene Tree Parent Clade	AENJA_ok	AMPFI_ok	APOSC_ok	APOSJ_ok	ASTMX	BRAFL	BRALA	CAEEL	CAPO3	DANRE	DROME	HELIO_ok	HUMAN	LYTVA_ok	MOUSE	NEMVE	ORYLA	OWEFU	PFLAV	SACKO_ok	SCHMD	STRPU_ok	XENTR	YEAST
N18.HOG0000000	OG0000000	n21					ASTMX22979					DANRE01559														
N18.HOG0000001	OG0000000	n24										DANRE05955														
N18.HOG0000002	OG0000000	n60										DANRE06436														
N18.HOG0000003	OG0000000	n63					ASTMX02793					DANRE05762														
N18.HOG0000004	OG0000000	n92					ASTMX22512					DANRE00109														
N18.HOG0000005	OG0000000	n105					ASTMX17483					DANRE24636														
N18.HOG0000006	OG0000000	n109					ASTMX11444					DANRE35926														
N18.HOG0000007	OG0000000	n135					ASTMX18513					DANRE04899														
N18.HOG0000008	OG0000000	n138					ASTMX02535					DANRE05022														
N18.HOG0000009	OG0000000	n143					ASTMX04736					DANRE06714														
N18.HOG0000010	OG0000000	n173					ASTMX19308					DANRE37544														
N18.HOG0000011	OG0000000	n178					ASTMX03273					DANRE11226														
N18.HOG0000012	OG0000000	n198					ASTMX22570					DANRE04898														
N18.HOG0000013	OG0000000	n212					ASTMX10474, ASTMX18080					DANRE16356														
N18.HOG0000014	OG0000000	n225					ASTMX13971					DANRE11234														
N18.HOG0000015	OG0000000	n233					ASTMX13970					DANRE11232														
N18.HOG0000016	OG0000000	n238										DANRE16357														
N18.HOG0000017	OG0000000	n259					ASTMX12494					DANRE40796, DANRE40795														
N18.HOG0000018	OG0000000	n270					ASTMX05790					DANRE05964														
N18.HOG0000019	OG0000000	n274					ASTMX17479					DANRE19591, DANRE19592														
N18.HOG0000020	OG0000000	n340					ASTMX20577					DANRE34117														
N18.HOG0000021	OG0000000	n341					ASTMX08977					DANRE19532														
N18.HOG0000022	OG0000000	n342					ASTMX08271					DANRE36202														
N18.HOG0000023	OG0000000	n360					ASTMX14561					DANRE02487														
N18.HOG0000024	OG0000000	n364					ASTMX07042					DANRE13405														
N18.HOG0000025	OG0000000	n396					ASTMX10847					DANRE00977														
N18.HOG0000026	OG0000000	n431					ASTMX20299					DANRE04328, DANRE04330, DANRE04329														
N18.HOG0000027	OG0000000	n456					ASTMX10234					DANRE18867, DANRE18868														
N18.HOG0000028	OG0000000	n475										DANRE43385														
N18.HOG0000029	OG0000000	n513					ASTMX20113					DANRE23434														
N18.HOG0000030	OG0000000	n520					ASTMX01439					DANRE03839														
N18.HOG0000031	OG0000000	n521					ASTMX16054					DANRE29251														
N18.HOG0000032	OG0000000	n522					ASTMX20165					DANRE14339, DANRE14340														
N18.HOG0000033	OG0000000	n549					ASTMX16946					DANRE35277, DANRE35276														
N18.HOG0000034	OG0000000	n555					ASTMX11106					DANRE17824														
N18.HOG0000035	OG0000000	n589					ASTMX01438, ASTMX20112																			
N18.HOG0000036	OG0000000	n595					ASTMX16053					DANRE29250														
N18.HOG0000037	OG0000000	n601					ASTMX01903					DANRE09540														
N18.HOG0000038	OG0000000	n606					ASTMX20164																			
N18.HOG0000039	OG0000000	n612					ASTMX06178					DANRE24278														
N18.HOG0000040	OG0000000	n642					ASTMX16048					DANRE29240, DANRE03836														
N18.HOG0000041	OG0000000	n650					ASTMX20108					DANRE23428														
N18.HOG0000042	OG0000000	n655					ASTMX05323																			
N18.HOG0000043	OG0000000	n669					ASTMX16049					DANRE29241														
N18.HOG0000044	OG0000000	n672										DANRE29242														
N18.HOG0000045	OG0000000	n682					ASTMX01436					DANRE03837														
N18.HOG0000046	OG0000000	n683					ASTMX16050					DANRE29246														
N18.HOG0000047	OG0000000	n693					ASTMX20109					DANRE23430, DANRE23429														
N18.HOG0000048	OG0000000	n695					ASTMX05322					DANRE01703														
N18.HOG0000049	OG0000000	n732					ASTMX05321, ASTMX20111					DANRE23433														
N18.HOG0000050	OG0000000	n740					ASTMX16051					DANRE29249														
N18.HOG0000051	OG0000000	n746					ASTMX12038					DANRE41434														
N18.HOG0000052	OG0000000	n749					ASTMX20162					DANRE14335														
N18.HOG0000053	OG0000000	n767					ASTMX01437					DANRE29247, DANRE03838														
N18.HOG0000054	OG0000000	n773					ASTMX20161					DANRE14338														
N18.HOG0000055	OG0000000	n777					ASTMX20110					DANRE23432, DANRE23431														
N18.HOG0000056	OG0000000	n797					ASTMX17422					DANRE38770														
N18.HOG0000057	OG0000000	n803					ASTMX12684, ASTMX17005					DANRE41587, DANRE15352, DANRE15353														
N18.HOG0000058	OG0000000	n836					ASTMX01447					DANRE03853, DANRE03854														
N18.HOG0000059	OG0000000	n846					ASTMX00835					DANRE14679														
N18.HOG0000060	OG0000000	n847					ASTMX16253					DANRE08590														
N18.HOG0000061	OG0000000	n866					ASTMX20873					DANRE06002														
N18.HOG0000062	OG0000000	n875					ASTMX04077					DANRE20421														
N18.HOG0000063	OG0000000	n876					ASTMX07972					DANRE06649														
N18.HOG0000064	OG0000000	n880					ASTMX05835					DANRE05182														
N18.HOG0000065	OG0000000	n881					ASTMX11919					DANRE16636														
N18.HOG0000066	OG0000000	n893					ASTMX08519					DANRE11732														
N18.HOG0000067	OG0000000	n901					ASTMX09510					DANRE11786, DANRE11785														
N18.HOG0000068	OG0000000	n904					ASTMX01253					DANRE18799														
N18.HOG0000069	OG0000000	n930					ASTMX05324, ASTMX20107					DANRE23427														
N18.HOG0000070	OG0000000	n937					ASTMX12036					DANRE41435														
N18.HOG0000071	OG0000000	n945					ASTMX16047					DANRE29239, DANRE29238														
N18.HOG0000072	OG0000000	n953					ASTMX01904					DANRE09539														
N18.HOG0000073	OG0000000	n955					ASTMX20160																			
N18.HOG0000074	OG0000000	n960					ASTMX01905					DANRE09538														
N18.HOG0000075	OG0000000	n966					ASTMX20159					DANRE29237														
N18.HOG0000076	OG0000000	n1031					ASTMX08795					DANRE06945, DANRE06944														
N18.HOG0000077	OG0000000	n1039					ASTMX17999					DANRE20512														
N18.HOG0000078	OG0000000	n1043					ASTMX15569																			
N18.HOG0000079	OG0000000	n1046										DANRE24055														
N18.HOG0000080	OG0000000	n1074					ASTMX16045					DANRE29235, DANRE29234														
N18.HOG0000081	OG0000000	n1078					ASTMX20156					DANRE14325, DANRE14326														
N18.HOG0000082	OG0000000	n1084					ASTMX12031					DANRE41441														
N18.HOG0000083	OG0000000	n1100					ASTMX17267					DANRE41165														
N18.HOG0000084	OG0000000	n1113					ASTMX11612					DANRE05977														
N18.HOG0000085	OG0000000	n1118					ASTMX02802					DANRE05743														
N18.HOG0000086	OG0000000	n1145					ASTMX17266					DANRE41166														
N18.HOG0000087	OG0000000	n1151					ASTMX02801					DANRE05745, DANRE05744														
N18.HOG0000088	OG0000000	n1157					ASTMX07975					DANRE06657														
N18.HOG0000089	OG0000000	n1184					ASTMX09511					DANRE11796, DANRE11795														
N18.HOG0000090	OG0000000	n1190										DANRE18798														
N18.HOG0000091	OG0000000	n1191					ASTMX08520																			
N18.HOG0000092	OG0000001	n299					ASTMX18932																			
