HOG	OG	Gene Tree Parent Clade	AENJA_ok	AMPFI_ok	APOSC_ok	APOSJ_ok	ASTMX	BRAFL	BRALA	CAEEL	CAPO3	DANRE	DROME	HELIO_ok	HUMAN	LYTVA_ok	MOUSE	NEMVE	ORYLA	OWEFU	PFLAV	SACKO_ok	SCHMD	STRPU_ok	XENTR	YEAST
N12.HOG0000000	OG0000000	n32																				SACKO_11053				
N12.HOG0000001	OG0000000	n47																			TCONS_00026365.p1	SACKO_12749				
N12.HOG0000002	OG0000000	n97																			TCONS_00019737.p1	SACKO_19677				
N12.HOG0000003	OG0000000	n128																			TCONS_00027826.p1	SACKO_25619				
N12.HOG0000004	OG0000000	n166																			TCONS_00026910.p1	SACKO_25616				
N12.HOG0000005	OG0000000	n198																			TCONS_00026836.p1	SACKO_25266				
N12.HOG0000006	OG0000000	n206																			TCONS_00026612.p1	SACKO_05553				
N12.HOG0000007	OG0000000	n251																			TCONS_00026711.p1	SACKO_16683				
N12.HOG0000008	OG0000000	n283																			TCONS_00026377.p1	SACKO_25799				
N12.HOG0000009	OG0000000	n306																			TCONS_00027287.p1, TCONS_00027293.p1	SACKO_25349, SACKO_25351				
N12.HOG0000010	OG0000000	n314																				SACKO_24146, SACKO_24093, SACKO_24170				
N12.HOG0000011	OG0000000	n330																			TCONS_00014809.p1	SACKO_08208				
N12.HOG0000012	OG0000000	n331																			TCONS_00014810.p1	SACKO_08197				
N12.HOG0000013	OG0000000	n357																			TCONS_00018852.p1	SACKO_32730, SACKO_17792				
N12.HOG0000014	OG0000000	n384																			TCONS_00015367.p1	SACKO_03962				
N12.HOG0000015	OG0000000	n396																			TCONS_00017786.p1	SACKO_19489				
N12.HOG0000016	OG0000000	n416																			TCONS_00020801.p1	SACKO_26485				
N12.HOG0000017	OG0000000	n431																			TCONS_00026487.p1	SACKO_31887				
N12.HOG0000018	OG0000000	n456																			TCONS_00010493.p1					
N12.HOG0000019	OG0000000	n476																			TCONS_00027285.p1, TCONS_00027291.p1					
N12.HOG0000020	OG0000000	n484																			TCONS_00020105.p1	SACKO_26668				
N12.HOG0000021	OG0000000	n498																			TCONS_00032259.p1	SACKO_24012				
N12.HOG0000022	OG0000000	n542																			TCONS_00043772.p1	SACKO_11590				
N12.HOG0000023	OG0000000	n566																			TCONS_00032261.p1	SACKO_24001				
N12.HOG0000024	OG0000000	n580																			TCONS_00032260.p1	SACKO_24040				
N12.HOG0000025	OG0000000	n612																			TCONS_00043771.p1	SACKO_11588				
N12.HOG0000026	OG0000000	n637																			TCONS_00032269.p1	SACKO_24002				
N12.HOG0000027	OG0000000	n706																			TCONS_00032266.p1	SACKO_24009				
N12.HOG0000028	OG0000000	n712																			TCONS_00032267.p1	SACKO_24031				
N12.HOG0000029	OG0000000	n721																			TCONS_00032262.p1	SACKO_24024				
N12.HOG0000030	OG0000000	n751																			TCONS_00032264.p1	SACKO_24025				
N12.HOG0000031	OG0000000	n786																			TCONS_00019139.p1	SACKO_26673				
N12.HOG0000032	OG0000000	n818																			TCONS_00018960.p1, TCONS_00018945.p1	SACKO_06485				
N12.HOG0000033	OG0000000	n855																			TCONS_00027510.p1	SACKO_31872				
N12.HOG0000034	OG0000000	n913																			TCONS_00032270.p1	SACKO_24017				
N12.HOG0000035	OG0000000	n970																			TCONS_00032272.p1	SACKO_23999				
N12.HOG0000036	OG0000000	n978																				SACKO_15987				
N12.HOG0000037	OG0000000	n991																			TCONS_00031628.p1	SACKO_23994				
N12.HOG0000038	OG0000000	n992																			TCONS_00031626.p1	SACKO_24038				
N12.HOG0000039	OG0000000	n1014																			TCONS_00042478.p1	SACKO_11599				
N12.HOG0000040	OG0000000	n1058																			TCONS_00031629.p1	SACKO_22872				
N12.HOG0000041	OG0000000	n1091																			TCONS_00026601.p1	SACKO_31901				
N12.HOG0000042	OG0000000	n1136																			TCONS_00026600.p1	SACKO_31899				
N12.HOG0000043	OG0000000	n1166																			TCONS_00009627.p1	SACKO_11978				
N12.HOG0000044	OG0000000	n1191																			TCONS_00009628.p1	SACKO_12011				
N12.HOG0000045	OG0000001	n3																				SACKO_00349				
N12.HOG0000046	OG0000001	n9																			TCONS_00033511.p1, TCONS_00027082.p1					
N12.HOG0000047	OG0000001	n13																			TCONS_00043545.p1, TCONS_00043951.p1					
N12.HOG0000048	OG0000001	n15																			TCONS_00022392.p1					
N12.HOG0000049	OG0000001	n19																			TCONS_00012440.p1	SACKO_11349				
N12.HOG0000050	OG0000001	n23																				SACKO_32654, SACKO_33857				
N12.HOG0000051	OG0000001	n157																				SACKO_04731				
N12.HOG0000052	OG0000001	n162																				SACKO_21170				
N12.HOG0000053	OG0000001	n173																				SACKO_04733				
N12.HOG0000054	OG0000001	n176																			TCONS_00027439.p1					
N12.HOG0000055	OG0000001	n244																				SACKO_14088				
N12.HOG0000056	OG0000001	n265																			TCONS_00017174.p1, TCONS_00004253.p1, TCONS_00003247.p1, TCONS_00024691.p1, TCONS_00021678.p1, TCONS_00004251.p1, TCONS_00004252.p1, TCONS_00004254.p1, TCONS_00003212.p1, TCONS_00021683.p1, TCONS_00021682.p1, TCONS_00021679.p1, TCONS_00003213.p1	SACKO_30873				
N12.HOG0000057	OG0000001	n290																				SACKO_25200				
N12.HOG0000058	OG0000001	n301																				SACKO_18839				
N12.HOG0000059	OG0000001	n359																				SACKO_04743, SACKO_04719				
N12.HOG0000060	OG0000001	n363																			TCONS_00034555.p1					
N12.HOG0000061	OG0000001	n366																			TCONS_00007091.p1	SACKO_23106				
