HOG	OG	Gene Tree Parent Clade	AENJA_ok	AMPFI_ok	APOSC_ok	APOSJ_ok	ASTMX	BRAFL	BRALA	CAEEL	CAPO3	DANRE	DROME	HELIO_ok	HUMAN	LYTVA_ok	MOUSE	NEMVE	ORYLA	OWEFU	PFLAV	SACKO_ok	SCHMD	STRPU_ok	XENTR	YEAST
N11.HOG0000000	OG0000000	n4						bflo_13437	BRALA17843																	
N11.HOG0000001	OG0000000	n39							BRALA25846																	
N11.HOG0000002	OG0000000	n40							BRALA11737																	
N11.HOG0000003	OG0000000	n75						bflo_10712	BRALA16375																	
N11.HOG0000004	OG0000000	n76						bflo_10733	BRALA16376																	
N11.HOG0000005	OG0000000	n97						bflo_04183	BRALA00047																	
N11.HOG0000006	OG0000000	n120						bflo_26461, bflo_26462	BRALA18569																	
N11.HOG0000007	OG0000000	n158						bflo_24421	BRALA19584																	
N11.HOG0000008	OG0000000	n160						bflo_24425	BRALA19585																	
N11.HOG0000009	OG0000000	n161						bflo_09165	BRALA25857																	
N11.HOG0000010	OG0000000	n166						bflo_24954	BRALA17283																	
N11.HOG0000011	OG0000000	n189						bflo_08798	BRALA25847																	
N11.HOG0000012	OG0000000	n206						bflo_09701	BRALA24482																	
N11.HOG0000013	OG0000000	n251						bflo_10072	BRALA16262																	
N11.HOG0000014	OG0000000	n283						bflo_10147	BRALA16263																	
N11.HOG0000015	OG0000000	n309						bflo_10759	BRALA16378																	
N11.HOG0000016	OG0000000	n310						bflo_10751	BRALA16379																	
N11.HOG0000017	OG0000000	n314						bflo_23278	BRALA25044																	
N11.HOG0000018	OG0000000	n321						bflo_16599	BRALA18359																	
N11.HOG0000019	OG0000000	n357						bflo_24252	BRALA29522																	
N11.HOG0000020	OG0000000	n384						bflo_16111	BRALA21349																	
N11.HOG0000021	OG0000000	n395						bflo_10815																		
N11.HOG0000022	OG0000000	n396						bflo_08732	BRALA24707																	
N11.HOG0000023	OG0000000	n416						bflo_26435	BRALA18600																	
N11.HOG0000024	OG0000000	n431						bflo_10637	BRALA28387																	
N11.HOG0000025	OG0000000	n456						bflo_19045	BRALA21476																	
N11.HOG0000026	OG0000000	n484						bflo_00450	BRALA00440																	
