HOG	OG	Gene Tree Parent Clade	AENJA_ok	AMPFI_ok	APOSC_ok	APOSJ_ok	ASTMX	BRAFL	BRALA	CAEEL	CAPO3	DANRE	DROME	HELIO_ok	HUMAN	LYTVA_ok	MOUSE	NEMVE	ORYLA	OWEFU	PFLAV	SACKO_ok	SCHMD	STRPU_ok	XENTR	YEAST
N22.HOG0000000	OG0000000	n47												HELIO_01999										STRPU_10146, STRPU_10084		
N22.HOG0000001	OG0000000	n97																						STRPU_22262		
N22.HOG0000002	OG0000000	n128												HELIO_08880										STRPU_10304		
N22.HOG0000003	OG0000000	n189												HELIO_10837										STRPU_10010		
N22.HOG0000004	OG0000000	n206												HELIO_06752										STRPU_10083, STRPU_10145		
N22.HOG0000005	OG0000000	n251												HELIO_10666										STRPU_10015		
N22.HOG0000006	OG0000000	n283												HELIO_00795										STRPU_10016		
N22.HOG0000007	OG0000000	n321																						STRPU_19865, STRPU_19892		
N22.HOG0000008	OG0000000	n357																						STRPU_02929		
N22.HOG0000009	OG0000000	n384																						STRPU_19906		
N22.HOG0000010	OG0000000	n396												HELIO_03148										STRPU_03800		
N22.HOG0000011	OG0000000	n416												HELIO_09005										STRPU_23673, STRPU_23648		
N22.HOG0000012	OG0000000	n431												HELIO_02157										STRPU_09982, STRPU_09961		
N22.HOG0000013	OG0000000	n456												HELIO_11687										STRPU_20780		
N22.HOG0000014	OG0000000	n484																						STRPU_23557		
N22.HOG0000015	OG0000000	n498																						STRPU_23206		
N22.HOG0000016	OG0000000	n542																						STRPU_05654		
N22.HOG0000017	OG0000000	n565																						STRPU_23204		
N22.HOG0000018	OG0000000	n574																						STRPU_23203		
N22.HOG0000019	OG0000000	n612												HELIO_04988										STRPU_05390		
N22.HOG0000020	OG0000000	n637																						STRPU_23197, STRPU_23198		
N22.HOG0000021	OG0000000	n712												HELIO_00700										STRPU_23196		
N22.HOG0000022	OG0000000	n751																						STRPU_23194		
N22.HOG0000023	OG0000000	n783																						STRPU_23195		
N22.HOG0000024	OG0000000	n786												HELIO_00534										STRPU_23756		
N22.HOG0000025	OG0000000	n818																						STRPU_22253		
N22.HOG0000026	OG0000000	n853												HELIO_08573										STRPU_09852		
N22.HOG0000027	OG0000000	n913																						STRPU_23199		
N22.HOG0000028	OG0000000	n970																						STRPU_23200		
N22.HOG0000029	OG0000000	n984												HELIO_11400										STRPU_25072		
N22.HOG0000030	OG0000000	n993												HELIO_04994										STRPU_23201		
N22.HOG0000031	OG0000000	n999																						STRPU_25677		
N22.HOG0000032	OG0000000	n1001																						STRPU_23202		
N22.HOG0000033	OG0000000	n1014																						STRPU_05830		
N22.HOG0000034	OG0000000	n1058												HELIO_06829										STRPU_23207		
N22.HOG0000035	OG0000000	n1091																						STRPU_10189		
N22.HOG0000036	OG0000000	n1136																						STRPU_09890		
N22.HOG0000037	OG0000000	n1166												HELIO_00816										STRPU_21017		
N22.HOG0000038	OG0000000	n1191												HELIO_04090										STRPU_21014		
N22.HOG0000039	OG0000001	n23																						STRPU_14334		
N22.HOG0000040	OG0000001	n54																						STRPU_05173, STRPU_05094		
N22.HOG0000041	OG0000001	n104												HELIO_11550										STRPU_16294, STRPU_16314, STRPU_16310, STRPU_16293, STRPU_16221		
N22.HOG0000042	OG0000001	n185																						STRPU_00074		
N22.HOG0000043	OG0000001	n325																						STRPU_01290, STRPU_18232, STRPU_01177, STRPU_19476, STRPU_18414		
N22.HOG0000044	OG0000001	n491																						STRPU_02027, STRPU_07060, STRPU_08023, STRPU_02028, STRPU_08024, STRPU_02029, STRPU_16260, STRPU_16256, STRPU_16259, STRPU_16275, STRPU_16315, STRPU_16295, STRPU_16296, STRPU_16218, STRPU_16250, STRPU_16276, STRPU_16261, STRPU_16277, STRPU_16262		
N22.HOG0000045	OG0000001	n591												HELIO_00196												
N22.HOG0000046	OG0000001	n599												HELIO_00018												
N22.HOG0000047	OG0000001	n600												HELIO_00128												
N22.HOG0000048	OG0000001	n611												HELIO_06891										STRPU_07468, STRPU_07469, STRPU_07465, STRPU_07471, STRPU_07897, STRPU_07925, STRPU_07896, STRPU_07924, STRPU_07461, STRPU_07462, STRPU_07464, STRPU_07466, STRPU_07467, STRPU_07463, STRPU_07470		
N22.HOG0000049	OG0000001	n627												HELIO_10957										STRPU_14233, STRPU_14227		
N22.HOG0000050	OG0000001	n642												HELIO_04926										STRPU_19145		
N22.HOG0000051	OG0000001	n643												HELIO_03604										STRPU_04228, STRPU_09860		
N22.HOG0000052	OG0000001	n647																						STRPU_06022		
N22.HOG0000053	OG0000001	n648												HELIO_03121										STRPU_06407, STRPU_06414, STRPU_06404, STRPU_06405		
N22.HOG0000054	OG0000001	n654																						STRPU_24972		
N22.HOG0000055	OG0000001	n656																						STRPU_10538, STRPU_10540, STRPU_10542		
N22.HOG0000056	OG0000001	n660												HELIO_03866										STRPU_07738, STRPU_12930, STRPU_07737, STRPU_07352		
N22.HOG0000057	OG0000001	n666												HELIO_06455										STRPU_11067		
N22.HOG0000058	OG0000001	n711																						STRPU_12910		
N22.HOG0000059	OG0000001	n713																						STRPU_12667		
N22.HOG0000060	OG0000001	n716																						STRPU_13102		
N22.HOG0000061	OG0000002	n29												HELIO_06940										STRPU_21867		
N22.HOG0000062	OG0000002	n97												HELIO_06215										STRPU_01111, STRPU_24188		
N22.HOG0000063	OG0000002	n103												HELIO_12339										STRPU_24739, STRPU_12686		
N22.HOG0000064	OG0000002	n106												HELIO_07200										STRPU_23131		
N22.HOG0000065	OG0000002	n110												HELIO_07091										STRPU_24784, STRPU_24781		
N22.HOG0000066	OG0000002	n112												HELIO_05970										STRPU_24779, STRPU_24782		
N22.HOG0000067	OG0000002	n115												HELIO_10154										STRPU_24496		
N22.HOG0000068	OG0000002	n137																						STRPU_22731		
N22.HOG0000069	OG0000002	n141												HELIO_04237										STRPU_04929		
N22.HOG0000070	OG0000002	n143																						STRPU_10056, STRPU_10135, STRPU_10129, STRPU_13264, STRPU_11045, STRPU_00383, STRPU_10128		
N22.HOG0000071	OG0000002	n151																						STRPU_13989, STRPU_13992, STRPU_13990, STRPU_13991		
N22.HOG0000072	OG0000002	n213												HELIO_03388										STRPU_25851		
N22.HOG0000073	OG0000002	n215												HELIO_11987										STRPU_22729		
N22.HOG0000074	OG0000002	n354																						STRPU_07176		
N22.HOG0000075	OG0000002	n355												HELIO_05342										STRPU_07177, STRPU_18026		
N22.HOG0000076	OG0000002	n359												HELIO_01248										STRPU_03083		
N22.HOG0000077	OG0000002	n435												HELIO_10853										STRPU_22053, STRPU_10449, STRPU_10451, STRPU_10453		
N22.HOG0000078	OG0000002	n440																						STRPU_11801		
N22.HOG0000079	OG0000002	n442												HELIO_05803										STRPU_04204, STRPU_04244		
N22.HOG0000080	OG0000002	n446																						STRPU_03069		
N22.HOG0000081	OG0000002	n448																						STRPU_04415, STRPU_16798		
N22.HOG0000082	OG0000002	n451																						STRPU_15494, STRPU_16800, STRPU_16796		
N22.HOG0000083	OG0000002	n455												HELIO_02102										STRPU_04913		
N22.HOG0000084	OG0000002	n457												HELIO_10641										STRPU_04447		
N22.HOG0000085	OG0000002	n587																						STRPU_06289, STRPU_06334		
N22.HOG0000086	OG0000002	n625												HELIO_06844										STRPU_25048		
N22.HOG0000087	OG0000002	n646																						STRPU_20582, STRPU_20566		
N22.HOG0000088	OG0000002	n662												HELIO_12021, HELIO_07207										STRPU_00361		
N22.HOG0000089	OG0000002	n718																						STRPU_18021, STRPU_18027		
N22.HOG0000090	OG0000003	n20																						STRPU_19737		
N22.HOG0000091	OG0000003	n30												HELIO_07277										STRPU_08514		
N22.HOG0000092	OG0000003	n43												HELIO_03324												
N22.HOG0000093	OG0000003	n51																						STRPU_24147		
N22.HOG0000094	OG0000003	n59																						STRPU_06865		
N22.HOG0000095	OG0000003	n76																						STRPU_12381, STRPU_12395, STRPU_12415, STRPU_12400, STRPU_12399, STRPU_12411, STRPU_12398, STRPU_12397, STRPU_12396, STRPU_12394, STRPU_12393, STRPU_12392, STRPU_12391, STRPU_12390, STRPU_12389, STRPU_12388, STRPU_12387, STRPU_12386, STRPU_12385, STRPU_12384, STRPU_12383, STRPU_12382, STRPU_12380, STRPU_12379, STRPU_12378		
N22.HOG0000096	OG0000003	n111																						STRPU_04933, STRPU_22487, STRPU_22462, STRPU_22485, STRPU_08169, STRPU_07935, STRPU_22967		
N22.HOG0000097	OG0000003	n122																						STRPU_14457		
N22.HOG0000098	OG0000003	n135																						STRPU_00063		
N22.HOG0000099	OG0000003	n147																						STRPU_21266		
N22.HOG0000100	OG0000003	n164																						STRPU_08968, STRPU_08981		
N22.HOG0000101	OG0000003	n183																						STRPU_02656		
N22.HOG0000102	OG0000003	n184												HELIO_02559										STRPU_06609		
N22.HOG0000103	OG0000003	n188												HELIO_06998, HELIO_07220										STRPU_07634		
N22.HOG0000104	OG0000003	n257												HELIO_07172										STRPU_17011		
N22.HOG0000105	OG0000003	n278																						STRPU_08627		
N22.HOG0000106	OG0000003	n280												HELIO_07118, HELIO_08034												
N22.HOG0000107	OG0000003	n292																						STRPU_02120		
N22.HOG0000108	OG0000003	n301																						STRPU_20651		
N22.HOG0000109	OG0000003	n320												HELIO_07314										STRPU_17996		
N22.HOG0000110	OG0000003	n343												HELIO_08472												
N22.HOG0000111	OG0000003	n344												HELIO_00669												
N22.HOG0000112	OG0000003	n347																						STRPU_00064		
N22.HOG0000113	OG0000003	n352																						STRPU_13505		
N22.HOG0000114	OG0000003	n355																						STRPU_01614, STRPU_08510		
N22.HOG0000115	OG0000003	n357												HELIO_06573										STRPU_22956, STRPU_00065		
N22.HOG0000116	OG0000003	n365																						STRPU_00036		
N22.HOG0000117	OG0000003	n367												HELIO_09381										STRPU_09153, STRPU_02119, STRPU_09154		
N22.HOG0000118	OG0000003	n375																						STRPU_09134		
N22.HOG0000119	OG0000003	n380																						STRPU_12409, STRPU_12413, STRPU_12410, STRPU_12414, STRPU_12412		
N22.HOG0000120	OG0000003	n389																						STRPU_12000		
N22.HOG0000121	OG0000003	n390																						STRPU_18662		
N22.HOG0000122	OG0000003	n401												HELIO_06283												
N22.HOG0000123	OG0000003	n415												HELIO_06076										STRPU_08511		
N22.HOG0000124	OG0000003	n422												HELIO_08521												
N22.HOG0000125	OG0000003	n428												HELIO_05042												
N22.HOG0000126	OG0000003	n438												HELIO_00523, HELIO_01732												
N22.HOG0000127	OG0000003	n447												HELIO_04717												
N22.HOG0000128	OG0000003	n475																						STRPU_12408		
N22.HOG0000129	OG0000003	n481												HELIO_10386										STRPU_17010		
N22.HOG0000130	OG0000003	n508																						STRPU_05808, STRPU_19339		
N22.HOG0000131	OG0000003	n527												HELIO_09894												
N22.HOG0000132	OG0000003	n541												HELIO_06251												
N22.HOG0000133	OG0000003	n544												HELIO_00920										STRPU_15479, STRPU_02103		
N22.HOG0000134	OG0000003	n547																						STRPU_20154		
N22.HOG0000135	OG0000003	n560												HELIO_07587												
N22.HOG0000136	OG0000003	n614												HELIO_00130												
N22.HOG0000137	OG0000003	n631												HELIO_07060, HELIO_05284												
N22.HOG0000138	OG0000003	n641												HELIO_02003												
N22.HOG0000139	OG0000003	n657												HELIO_06683												
N22.HOG0000140	OG0000003	n658												HELIO_04847										STRPU_09130		
N22.HOG0000141	OG0000003	n669																						STRPU_06867, STRPU_06866		
N22.HOG0000142	OG0000003	n687												HELIO_04393												
N22.HOG0000143	OG0000003	n691												HELIO_00919												
N22.HOG0000144	OG0000004	n5																						STRPU_27010		
N22.HOG0000145	OG0000004	n24												HELIO_07338										STRPU_25308		
N22.HOG0000146	OG0000004	n61																						STRPU_02122		
N22.HOG0000147	OG0000004	n68																						STRPU_15691		
N22.HOG0000148	OG0000004	n93																						STRPU_27431		
N22.HOG0000149	OG0000004	n95												HELIO_03376										STRPU_02833, STRPU_09499, STRPU_09497, STRPU_09498		
N22.HOG0000150	OG0000004	n112																						STRPU_07696, STRPU_07682		
N22.HOG0000151	OG0000004	n118												HELIO_00029												
N22.HOG0000152	OG0000004	n121												HELIO_11549, HELIO_05294										STRPU_22142		
N22.HOG0000153	OG0000004	n129												HELIO_07102										STRPU_04563		
N22.HOG0000154	OG0000004	n150												HELIO_05964, HELIO_06973												
