HOG	OG	Gene Tree Parent Clade	AENJA_ok	AMPFI_ok	APOSC_ok	APOSJ_ok	ASTMX	BRAFL	BRALA	CAEEL	CAPO3	DANRE	DROME	HELIO_ok	HUMAN	LYTVA_ok	MOUSE	NEMVE	ORYLA	OWEFU	PFLAV	SACKO_ok	SCHMD	STRPU_ok	XENTR	YEAST
N19.HOG0000000	OG0000000	n6			APOSC_17015	APOSJ_33268																				
N19.HOG0000001	OG0000000	n32														LYTVA_09514										
N19.HOG0000002	OG0000000	n47			APOSC_11837, APOSC_12606	APOSJ_57731, APOSJ_57730, APOSJ_57727, APOSJ_21243, APOSJ_60924, APOSJ_57729, APOSJ_57728, APOSJ_21237, APOSJ_45288, APOSJ_48391, APOSJ_48390, APOSJ_34578								HELIO_01999		LYTVA_01679								STRPU_10146, STRPU_10084		
N19.HOG0000003	OG0000000	n97														LYTVA_23170								STRPU_22262		
N19.HOG0000004	OG0000000	n128			APOSC_11472, APOSC_29094	APOSJ_43984, APOSJ_47154								HELIO_08880		LYTVA_01380								STRPU_10304		
N19.HOG0000005	OG0000000	n189												HELIO_10837		LYTVA_25096								STRPU_10010		
N19.HOG0000006	OG0000000	n198			APOSC_19214																					
N19.HOG0000007	OG0000000	n206			APOSC_25410									HELIO_06752		LYTVA_01827								STRPU_10083, STRPU_10145		
N19.HOG0000008	OG0000000	n251			APOSC_11604	APOSJ_18686								HELIO_10666		LYTVA_18988								STRPU_10015		
N19.HOG0000009	OG0000000	n283			APOSC_28354	APOSJ_09863, APOSJ_52388, APOSJ_64477, APOSJ_29962								HELIO_00795		LYTVA_18985								STRPU_10016		
N19.HOG0000010	OG0000000	n321			APOSC_19137	APOSJ_32352																		STRPU_19865, STRPU_19892		
N19.HOG0000011	OG0000000	n352			APOSC_01732	APOSJ_60141																				
N19.HOG0000012	OG0000000	n357			APOSC_11544	APOSJ_18136										LYTVA_13103								STRPU_02929		
N19.HOG0000013	OG0000000	n384														LYTVA_27688								STRPU_19906		
N19.HOG0000014	OG0000000	n396			APOSC_06717									HELIO_03148										STRPU_03800		
N19.HOG0000015	OG0000000	n416												HELIO_09005		LYTVA_21959								STRPU_23673, STRPU_23648		
N19.HOG0000016	OG0000000	n431			APOSC_04208	APOSJ_34245								HELIO_02157		LYTVA_22602								STRPU_09982, STRPU_09961		
N19.HOG0000017	OG0000000	n456			APOSC_07565	APOSJ_60507								HELIO_11687		LYTVA_19974								STRPU_20780		
N19.HOG0000018	OG0000000	n484			APOSC_11499											LYTVA_27704								STRPU_23557		
N19.HOG0000019	OG0000000	n498			APOSC_22022	APOSJ_35597, APOSJ_35599, APOSJ_35598, APOSJ_23220										LYTVA_08678								STRPU_23206		
N19.HOG0000020	OG0000000	n542			APOSC_04964																			STRPU_05654		
N19.HOG0000021	OG0000000	n565																						STRPU_23204		
N19.HOG0000022	OG0000000	n566			APOSC_22917																					
N19.HOG0000023	OG0000000	n574														LYTVA_08668								STRPU_23203		
N19.HOG0000024	OG0000000	n612			APOSC_16565	APOSJ_36728								HELIO_04988		LYTVA_23667								STRPU_05390		
N19.HOG0000025	OG0000000	n637			APOSC_27318	APOSJ_61187, APOSJ_61188, APOSJ_61189, APOSJ_61190										LYTVA_22477								STRPU_23197, STRPU_23198		
N19.HOG0000026	OG0000000	n712			APOSC_06302	APOSJ_20159								HELIO_00700		LYTVA_22478								STRPU_23196		
N19.HOG0000027	OG0000000	n751			APOSC_14732	APOSJ_40396										LYTVA_22480								STRPU_23194		
N19.HOG0000028	OG0000000	n783														LYTVA_22479								STRPU_23195		
N19.HOG0000029	OG0000000	n786			APOSC_24894	APOSJ_37520								HELIO_00534		LYTVA_23047								STRPU_23756		
N19.HOG0000030	OG0000000	n818			APOSC_24788	APOSJ_38857, APOSJ_38860										LYTVA_14838								STRPU_22253		
N19.HOG0000031	OG0000000	n853												HELIO_08573										STRPU_09852		
N19.HOG0000032	OG0000000	n855			APOSC_28968	APOSJ_32562, APOSJ_32561										LYTVA_06897										
N19.HOG0000033	OG0000000	n889														LYTVA_22068										
N19.HOG0000034	OG0000000	n913			APOSC_18629	APOSJ_47531, APOSJ_29010										LYTVA_22476								STRPU_23199		
