HOG	OG	Gene Tree Parent Clade	AENJA_ok	AMPFI_ok	APOSC_ok	APOSJ_ok	ASTMX	BRAFL	BRALA	CAEEL	CAPO3	DANRE	DROME	HELIO_ok	HUMAN	LYTVA_ok	MOUSE	NEMVE	ORYLA	OWEFU	PFLAV	SACKO_ok	SCHMD	STRPU_ok	XENTR	YEAST
N6.HOG0000000	OG0000000	n27																					SCHMD27593, SCHMD10927, SCHMD15603, SCHMD10284			
N6.HOG0000001	OG0000000	n32																					SCHMD15791			
N6.HOG0000002	OG0000000	n47																		OFUSG19483.1.p1, OFUSG18880.1.p1			SCHMD20461, SCHMD14540, SCHMD00971			
N6.HOG0000003	OG0000000	n97																		OFUSG13305.1.p1						
N6.HOG0000004	OG0000000	n128																		OFUSG05593.1.p1, OFUSG05592.1.p1						
N6.HOG0000005	OG0000000	n166																		OFUSG18918.1.p1						
N6.HOG0000006	OG0000000	n189																		OFUSG06560.1.p1						
N6.HOG0000007	OG0000000	n206																		OFUSG05489.1.p1, OFUSG05755.1.p1, OFUSG06621.1.p1			SCHMD20523, SCHMD24588			
N6.HOG0000008	OG0000000	n251																		OFUSG06970.1.p1			SCHMD03805			
N6.HOG0000009	OG0000000	n283																		OFUSG05968.1.p1			SCHMD20256, SCHMD22099			
N6.HOG0000010	OG0000000	n304																					SCHMD07815			
N6.HOG0000011	OG0000000	n321																		OFUSG07309.1.p1, OFUSG07308.1.p1			SCHMD09133, SCHMD27825			
N6.HOG0000012	OG0000000	n352																		OFUSG07307.1.p1						
N6.HOG0000013	OG0000000	n357																		OFUSG08786.1.p1						
N6.HOG0000014	OG0000000	n384																					SCHMD03766			
N6.HOG0000015	OG0000000	n396																		OFUSG09074.1.p1			SCHMD27182, SCHMD16896			
N6.HOG0000016	OG0000000	n416																		OFUSG17443.1.p1			SCHMD28523			
N6.HOG0000017	OG0000000	n431																		OFUSG19303.1.p1						
N6.HOG0000018	OG0000000	n456																		OFUSG12013.1.p1						
N6.HOG0000019	OG0000000	n478																					SCHMD10926, SCHMD19942			
N6.HOG0000020	OG0000000	n484																		OFUSG17426.1.p1						
N6.HOG0000021	OG0000000	n498																		OFUSG13332.1.p1			SCHMD18969			
N6.HOG0000022	OG0000000	n542																		OFUSG03265.2.p2, OFUSG03265.1.p1						
N6.HOG0000023	OG0000000	n580																		OFUSG13333.1.p1, OFUSG13334.1.p1, OFUSG13334.3.p1, OFUSG13334.2.p1						
N6.HOG0000024	OG0000000	n608																					SCHMD15558			
N6.HOG0000025	OG0000000	n612																		OFUSG03302.1.p1						
N6.HOG0000026	OG0000000	n634																					SCHMD22390, SCHMD21735			
N6.HOG0000027	OG0000000	n637																		OFUSG13338.1.p1						
N6.HOG0000028	OG0000000	n706																		OFUSG13339.1.p1, OFUSG13340.1.p1						
N6.HOG0000029	OG0000000	n721																		OFUSG13335.1.p1						
N6.HOG0000030	OG0000000	n751																		OFUSG13336.1.p1						
N6.HOG0000031	OG0000000	n786																		OFUSG17003.1.p1			SCHMD21303			
N6.HOG0000032	OG0000000	n818																		OFUSG21200.1.p1						
N6.HOG0000033	OG0000000	n855																		OFUSG05673.1.p1, OFUSG05672.1.p1			SCHMD01868			
N6.HOG0000034	OG0000000	n889																					SCHMD02255			
N6.HOG0000035	OG0000000	n978																		OFUSG23416.1.p1						
N6.HOG0000036	OG0000000	n1014																		OFUSG03177.1.p1						
N6.HOG0000037	OG0000000	n1046																		OFUSG13341.1.p1			SCHMD11888, SCHMD08259			
N6.HOG0000038	OG0000000	n1057																					SCHMD09565			
N6.HOG0000039	OG0000000	n1058																		OFUSG12947.1.p1			SCHMD24693			
N6.HOG0000040	OG0000000	n1091																		OFUSG05775.1.p1			SCHMD05281, SCHMD04291			
N6.HOG0000041	OG0000000	n1122																					SCHMD04779			
N6.HOG0000042	OG0000000	n1130																					SCHMD15082			
N6.HOG0000043	OG0000000	n1136																		OFUSG06109.1.p1						
N6.HOG0000044	OG0000000	n1166																		OFUSG12225.3.p1, OFUSG12225.2.p1, OFUSG12225.1.p1						
N6.HOG0000045	OG0000000	n1191																		OFUSG21806.1.p1						
N6.HOG0000046	OG0000001	n19																		OFUSG04431.1.p1						
N6.HOG0000047	OG0000001	n23																		OFUSG26260.1.p1, OFUSG08771.1.p1						
N6.HOG0000048	OG0000001	n54																		OFUSG08662.1.p1						
N6.HOG0000049	OG0000001	n100																		OFUSG17419.1.p1						
N6.HOG0000050	OG0000001	n104																		OFUSG10216.1.p1, OFUSG15117.1.p1						
N6.HOG0000051	OG0000001	n153																		OFUSG22334.1.p1						
N6.HOG0000052	OG0000001	n162																		OFUSG18749.1.p1						
N6.HOG0000053	OG0000001	n185																		OFUSG21348.1.p1						
N6.HOG0000054	OG0000001	n187																		OFUSG06637.1.p1						
N6.HOG0000055	OG0000001	n219																		OFUSG07880.1.p1, OFUSG17580.1.p1, OFUSG11591.1.p1, OFUSG11593.1.p1, OFUSG06797.1.p1, OFUSG05636.1.p1, OFUSG14751.1.p1, OFUSG02932.1.p1, OFUSG01783.1.p1, OFUSG01765.1.p1, OFUSG01912.1.p1						
N6.HOG0000056	OG0000001	n235																		OFUSG13301.1.p1						
N6.HOG0000057	OG0000001	n239																		OFUSG13891.1.p1						
N6.HOG0000058	OG0000001	n242																		OFUSG11967.1.p1						
N6.HOG0000059	OG0000001	n265																		OFUSG04205.1.p1						
N6.HOG0000060	OG0000001	n286																		OFUSG01600.1.p1, OFUSG03605.1.p1						
N6.HOG0000061	OG0000001	n296																		OFUSG07127.1.p1			SCHMD23406			
N6.HOG0000062	OG0000001	n299																		OFUSG03269.1.p1						
N6.HOG0000063	OG0000001	n301																					SCHMD16416, SCHMD29191, SCHMD06012, SCHMD21903, SCHMD22399, SCHMD17317, SCHMD22397, SCHMD07964, SCHMD00532, SCHMD00529, SCHMD00530, SCHMD00533, SCHMD06482, SCHMD28258, SCHMD18274, SCHMD22533, SCHMD13793, SCHMD24709, SCHMD23603			
N6.HOG0000064	OG0000001	n330																					SCHMD16091			
N6.HOG0000065	OG0000001	n342																		OFUSG17423.1.p1						
N6.HOG0000066	OG0000001	n556																		OFUSG06369.1.p1, OFUSG09030.1.p1			SCHMD02916			
