#Name (cmd = mergePeaks /home/ska/aperpos/projects/ptychodera_cisreg_development/outputs/homer/stage_specific_gene_clusters/motif_enrichments_promoters/homer_outputs//homer_output_clu_22_promoters/bg.clean.pos /home/ska/aperpos/projects/ptychodera_cisreg_development/outputs/homer/stage_specific_gene_clusters/motif_enrichments_promoters/homer_outputs//homer_output_clu_22_promoters/target.clean..pos -d 200 -cobound 1 -prefix /home/ska/aperpos/projects/ptychodera_cisreg_development/outputs/homer/stage_specific_gene_clusters/motif_enrichments_promoters/homer_outputs//homer_output_clu_22_promoters/0.571742510729567.2.tmp)	chr	start	end	strand	stat	stat2	/home/ska/aperpos/projects/ptychodera_cisreg_development/outputs/homer/stage_specific_gene_clusters/motif_enrichments_promoters/homer_outputs//homer_output_clu_22_promoters/target.clean..pos
BGTCONS_00025952	Scaffold_20_1_contigs	1962607	1963006	+	0.000	0.000	TCONS_00025952
BGTCONS_00026035	Scaffold_20_1_contigs	4995196	4995595	+	0.000	0.000	TCONS_00026035
BGTCONS_00026202	Scaffold_20_1_contigs	10665386	10665785	+	0.000	0.000	TCONS_00026202
BGTCONS_00026290	Scaffold_20_1_contigs	14132625	14133024	+	0.000	0.000	TCONS_00027257
BGTCONS_00026370	Scaffold_20_1_contigs	16476674	16477073	+	0.000	0.000	TCONS_00026370
BGTCONS_00026935	Scaffold_20_1_contigs	402613	403012	-	0.000	0.000	TCONS_00026935
BGTCONS_00027020	Scaffold_20_1_contigs	3725444	3725843	-	0.000	0.000	TCONS_00027020
BGTCONS_00027237	Scaffold_20_1_contigs	13125985	13126384	-	0.000	0.000	TCONS_00027237
BGTCONS_00027240	Scaffold_20_1_contigs	13154532	13154931	-	0.000	0.000	TCONS_00027240
BGTCONS_00027257	Scaffold_20_1_contigs	14132455	14132854	-	0.000	0.000	TCONS_00027257
BGTCONS_00027265	Scaffold_20_1_contigs	14334175	14334574	-	0.000	0.000	TCONS_00027265
BGTCONS_00027458	Scaffold_20_1_contigs	22994744	22995143	-	0.000	0.000	TCONS_00027458
BGTCONS_00027517	Scaffold_20_1_contigs	25639335	25639734	-	0.000	0.000	TCONS_00027517
BGTCONS_00027723	Scaffold_20_1_contigs	33040278	33040677	-	0.000	0.000	TCONS_00027723
BGTCONS_00027921	Scaffold_21_1_contigs	2258681	2259080	+	0.000	0.000	TCONS_00027921
BGTCONS_00010117	Scaffold_14_1_contigs	20075028	20075427	+	0.000	0.000	TCONS_00010117
BGTCONS_00010122	Scaffold_14_1_contigs	20369488	20369887	+	0.000	0.000	TCONS_00010122
