#Name (cmd = mergePeaks /home/ska/aperpos/projects/ptychodera_cisreg_development/outputs/homer/stage_specific_gene_clusters/motif_enrichments_promoters/homer_outputs//homer_output_clu_07_promoters/bg.clean.pos /home/ska/aperpos/projects/ptychodera_cisreg_development/outputs/homer/stage_specific_gene_clusters/motif_enrichments_promoters/homer_outputs//homer_output_clu_07_promoters/target.clean..pos -d 200 -cobound 1 -prefix /home/ska/aperpos/projects/ptychodera_cisreg_development/outputs/homer/stage_specific_gene_clusters/motif_enrichments_promoters/homer_outputs//homer_output_clu_07_promoters/0.712830448829667.2.tmp)	chr	start	end	strand	stat	stat2	/home/ska/aperpos/projects/ptychodera_cisreg_development/outputs/homer/stage_specific_gene_clusters/motif_enrichments_promoters/homer_outputs//homer_output_clu_07_promoters/target.clean..pos
BGpeak38520	Scaffold_19_1_contigs	25579621	25579980	+	0.000	0.000	TCONS_00021437
BGpeak38689	Scaffold_19_1_contigs	27017197	27018304	+	0.000	0.000	TCONS_00022596
BGpeak38897	Scaffold_19_1_contigs	29899579	29900360	+	0.000	0.000	TCONS_00022707
BGpeak38909	Scaffold_19_1_contigs	30081083	30081595	+	0.000	0.000	TCONS_00021569
BGpeak39002	Scaffold_19_1_contigs	30801080	30801235	+	0.000	0.000	TCONS_00022734
BGpeak22630	Scaffold_15_1_contigs	4868950	4869808	+	0.000	0.000	TCONS_00012365
BGpeak22876	Scaffold_15_1_contigs	7021213	7021494	+	0.000	0.000	TCONS_00012416
BGpeak4071	Scaffold_11_1_contigs	7730917	7731147	+	0.000	0.000	TCONS_00002747
BGpeak4280	Scaffold_11_1_contigs	9509314	9509607	+	0.000	0.000	TCONS_00002775
BGpeak4882	Scaffold_11_1_contigs	17086698	17086902	+	0.000	0.000	TCONS_00003894
BGpeak76027	Scaffold_8_1_contigs	9343498	9343928	+	0.000	0.000	TCONS_00053837
BGpeak76065	Scaffold_8_1_contigs	10026573	10026791	+	0.000	0.000	TCONS_00052771
BGpeak76996	Scaffold_8_1_contigs	23446718	23446947	+	0.000	0.000	TCONS_00054163
BGpeak24413	Scaffold_15_1_contigs	23689175	23689388	+	0.000	0.000	TCONS_00014134
BGpeak77356	Scaffold_8_1_contigs	27875585	27875908	+	0.000	0.000	TCONS_00053178
BGpeak6278	Scaffold_11_1_contigs	39929424	39929630	+	0.000	0.000	TCONS_00003443
BGpeak25111	Scaffold_15_1_contigs	30546687	30546950	+	0.000	0.000	TCONS_00014305
BGpeak25195	Scaffold_15_1_contigs	31329741	31330050	+	0.000	0.000	TCONS_00014322
BGpeak25773	Scaffold_15_1_contigs	38376631	38376845	+	0.000	0.000	TCONS_00014549
BGpeak60300	Scaffold_4_1_contigs	12898849	12899340	+	0.000	0.000	TCONS_00041848
BGpeak60733	Scaffold_4_1_contigs	17185568	17185936	+	0.000	0.000	TCONS_00041972
BGpeak78554	Scaffold_8_1_contigs	41798702	41798997	+	0.000	0.000	TCONS_00054652
BGpeak7678	Scaffold_1_1_contigs	21774570	21774793	+	0.000	0.000	TCONS_00023509
BGpeak61491	Scaffold_4_1_contigs	27281751	27282109	+	0.000	0.000	TCONS_00043604
BGpeak61549	Scaffold_4_1_contigs	28676915	28677451	+	0.000	0.000	TCONS_00043631
BGpeak79469	Scaffold_9_1_contigs	9057417	9057761	+	0.000	0.000	TCONS_00055068
BGpeak79756	Scaffold_9_1_contigs	14493226	14493455	+	0.000	0.000	TCONS_00056393
BGpeak62231	Scaffold_4_1_contigs	35993084	35993248	+	0.000	0.000	TCONS_00043817
BGpeak62448	Scaffold_4_1_contigs	37455489	37455937	+	0.000	0.000	TCONS_00043865
BGpeak62629	Scaffold_4_1_contigs	39419542	39419710	+	0.000	0.000	TCONS_00043944
BGpeak10724	Scaffold_12_1_contigs	10659326	10659844	+	0.000	0.000	TCONS_00006179
BGpeak10741	Scaffold_12_1_contigs	10731774	10731965	+	0.000	0.000	TCONS_00004896
BGpeak9506	Scaffold_1_1_contigs	53502388	53502572	+	0.000	0.000	TCONS_00025651
BGpeak28441	Scaffold_16_1_contigs	23039156	23039820	+	0.000	0.000	TCONS_00016323
BGpeak28486	Scaffold_16_1_contigs	23350797	23351092	+	0.000	0.000	TCONS_00015247
BGpeak63022	Scaffold_4_1_contigs	43023061	43023427	+	0.000	0.000	TCONS_00044053
BGpeak28747	Scaffold_16_1_contigs	27817292	27817792	+	0.000	0.000	TCONS_00016446
BGpeak28790	Scaffold_16_1_contigs	28241751	28242099	+	0.000	0.000	TCONS_00016466
BGpeak11069	Scaffold_12_1_contigs	13227347	13227906	+	0.000	0.000	TCONS_00006239
BGpeak11465	Scaffold_12_1_contigs	16854663	16855351	+	0.000	0.000	TCONS_00005114
BGpeak11569	Scaffold_12_1_contigs	17815703	17816084	+	0.000	0.000	TCONS_00005156
BGpeak11826	Scaffold_12_1_contigs	19994542	19995083	+	0.000	0.000	TCONS_00005258
BGpeak64360	Scaffold_5_1_contigs	5974712	5974982	+	0.000	0.000	TCONS_00045841
BGpeak13919	Scaffold_13_1_contigs	5017720	5018101	+	0.000	0.000	TCONS_00007117
BGpeak66885	Scaffold_5_1_contigs	40450911	40451620	+	0.000	0.000	TCONS_00046683
BGpeak66945	Scaffold_5_1_contigs	41033771	41034492	+	0.000	0.000	TCONS_00045550
BGpeak14144	Scaffold_13_1_contigs	6663303	6663573	+	0.000	0.000	TCONS_00008486
BGpeak14296	Scaffold_13_1_contigs	8205759	8206203	+	0.000	0.000	TCONS_00007243
BGpeak14362	Scaffold_13_1_contigs	9674450	9674923	+	0.000	0.000	TCONS_00008588
BGpeak67497	Scaffold_57_1_contigs	584106	584314	+	0.000	0.000	TCONS_00044540
BGpeak50504	Scaffold_2_1_contigs	51408486	51408748	+	0.000	0.000	TCONS_00037057
BGpeak50902	Scaffold_22_1_contigs	6025443	6025652	+	0.000	0.000	TCONS_00030781
BGpeak68388	Scaffold_6_1_contigs	9244119	9244304	+	0.000	0.000	TCONS_00048808
BGpeak68868	Scaffold_6_1_contigs	15717929	15718751	+	0.000	0.000	TCONS_00048956
BGpeak68973	Scaffold_6_1_contigs	16710306	16710571	+	0.000	0.000	TCONS_00047616
BGpeak16379	Scaffold_13_1_contigs	31990416	31990813	+	0.000	0.000	TCONS_00009178
BGpeak16415	Scaffold_13_1_contigs	32516796	32516952	+	0.000	0.000	TCONS_00009191
BGpeak16436	Scaffold_13_1_contigs	32643490	32643733	+	0.000	0.000	TCONS_00007990
BGpeak16692	Scaffold_13_1_contigs	35296949	35297308	+	0.000	0.000	TCONS_00009275
BGpeak51075	Scaffold_22_1_contigs	7519152	7519375	+	0.000	0.000	TCONS_00030031
BGpeak51244	Scaffold_22_1_contigs	9246901	9247073	+	0.000	0.000	TCONS_00030078
BGpeak51781	Scaffold_22_1_contigs	14992791	14993139	+	0.000	0.000	TCONS_00030970
BGpeak51829	Scaffold_22_1_contigs	15241089	15241370	+	0.000	0.000	TCONS_00030974
BGpeak69584	Scaffold_6_1_contigs	24285902	24286112	+	0.000	0.000	TCONS_00047865
BGpeak52266	Scaffold_22_1_contigs	19471443	19471988	+	0.000	0.000	TCONS_00031091
BGpeak52330	Scaffold_22_1_contigs	19889202	19889416	+	0.000	0.000	TCONS_00031105
BGpeak52760	Scaffold_22_1_contigs	26948609	26948763	+	0.000	0.000	TCONS_00031264
BGpeak52786	Scaffold_22_1_contigs	27164117	27164583	+	0.000	0.000	TCONS_00031273
BGpeak53113	Scaffold_22_1_contigs	30730352	30730718	+	0.000	0.000	TCONS_00030526
BGpeak53120	Scaffold_22_1_contigs	30756056	30756392	+	0.000	0.000	TCONS_00031395
BGpeak18948	Scaffold_14_1_contigs	12785088	12785304	+	0.000	0.000	TCONS_00011224
BGpeak53752	Scaffold_23_1_contigs	4504150	4504613	+	0.000	0.000	TCONS_00031599
BGpeak53997	Scaffold_23_1_contigs	8391277	8392093	+	0.000	0.000	TCONS_00031689
BGpeak19126	Scaffold_14_1_contigs	14759966	14760522	+	0.000	0.000	TCONS_00011301
BGpeak19508	Scaffold_14_1_contigs	18344549	18344774	+	0.000	0.000	TCONS_00010068
BGpeak19689	Scaffold_14_1_contigs	19518298	19518709	+	0.000	0.000	TCONS_00011450
BGpeak19700	Scaffold_14_1_contigs	19658999	19659296	+	0.000	0.000	TCONS_00010102
BGpeak54433	Scaffold_23_1_contigs	17272730	17272982	+	0.000	0.000	TCONS_00031847
BGpeak215	Scaffold_10_1_contigs	2385803	2386226	+	0.000	0.000	TCONS_00001281
BGpeak55697	Scaffold_24_1_contigs	22159833	22160054	+	0.000	0.000	TCONS_00033148
BGpeak57621	Scaffold_3_1_contigs	9351212	9351413	+	0.000	0.000	TCONS_00040341
BGpeak40180	Scaffold_20_1_contigs	1557658	1558542	+	0.000	0.000	TCONS_00026983
BGpeak40922	Scaffold_20_1_contigs	8299305	8300110	+	0.000	0.000	TCONS_00026134
BGpeak58468	Scaffold_3_1_contigs	34691064	34691331	+	0.000	0.000	TCONS_00040791
BGpeak41328	Scaffold_20_1_contigs	11652940	11653284	+	0.000	0.000	TCONS_00027197
BGpeak41709	Scaffold_20_1_contigs	15776200	15776634	+	0.000	0.000	TCONS_00026349
BGpeak59376	Scaffold_39_1_contigs	290271	290619	+	0.000	0.000	TCONS_00039102
BGpeak42737	Scaffold_20_1_contigs	25380361	25380864	+	0.000	0.000	TCONS_00026609
BGpeak43607	Scaffold_20_1_contigs	35401474	35402188	+	0.000	0.000	TCONS_00026876
BGpeak43763	Scaffold_20_1_contigs	36694381	36694696	+	0.000	0.000	TCONS_00027822
BGpeak44705	Scaffold_21_1_contigs	5917735	5917938	+	0.000	0.000	TCONS_00028047
BGpeak80175	Scaffold_9_1_contigs	19371097	19371413	+	0.000	0.000	TCONS_00056535
BGpeak80408	Scaffold_9_1_contigs	21904790	21905088	+	0.000	0.000	TCONS_00055429
BGpeak46950	Scaffold_21_1_contigs	28139572	28139754	+	0.000	0.000	TCONS_00029673
BGpeak81477	Scaffold_9_1_contigs	33721540	33721810	+	0.000	0.000	TCONS_00056930
BGpeak47122	Scaffold_21_1_contigs	29887059	29887444	+	0.000	0.000	TCONS_00029725
BGpeak47497	Scaffold_21_1_contigs	34126549	34126811	+	0.000	0.000	TCONS_00028826
BGpeak30071	Scaffold_17_1_contigs	3877117	3877465	+	0.000	0.000	TCONS_00016882
BGpeak48924	Scaffold_2_1_contigs	25013836	25014160	+	0.000	0.000	TCONS_00037635
BGpeak31255	Scaffold_17_1_contigs	16504074	16504362	+	0.000	0.000	TCONS_00017266
BGpeak31669	Scaffold_17_1_contigs	20944591	20944852	+	0.000	0.000	TCONS_00017373
BGpeak49754	Scaffold_2_1_contigs	41044465	41045563	+	0.000	0.000	TCONS_00036833
BGpeak49756	Scaffold_2_1_contigs	41046032	41046610	+	0.000	0.000	TCONS_00037977
BGpeak33040	Scaffold_17_1_contigs	39328125	39329098	+	0.000	0.000	TCONS_00018879
BGpeak34191	Scaffold_18_1_contigs	14185992	14186160	+	0.000	0.000	TCONS_00019204
BGpeak36218	Scaffold_18_1_contigs	35839589	35839902	+	0.000	0.000	TCONS_00020749
BGpeak37316	Scaffold_19_1_contigs	11731647	11731894	+	0.000	0.000	TCONS_00021076
BGpeak37319	Scaffold_19_1_contigs	11733022	11733266	+	0.000	0.000	TCONS_00022169
BGpeak72777	Scaffold_7_1_contigs	17250284	17250588	+	0.000	0.000	TCONS_00050422
BGpeak1353	Scaffold_10_1_contigs	19902963	19903125	+	0.000	0.000	TCONS_00000636
BGpeak20142	Scaffold_14_1_contigs	23445054	23445321	+	0.000	0.000	TCONS_00010208
BGpeak20291	Scaffold_14_1_contigs	24586352	24587019	+	0.000	0.000	TCONS_00010243
BGpeak20637	Scaffold_14_1_contigs	27284393	27284675	+	0.000	0.000	TCONS_00010346
BGpeak20638	Scaffold_14_1_contigs	27285199	27285623	+	0.000	0.000	TCONS_00011693
BGpeak20986	Scaffold_14_1_contigs	30947409	30948217	+	0.000	0.000	TCONS_00011840
