GENE.OFUSG00006.1~~OFUSG00006.1	OFUSG00006.1.p1
GENE.OFUSG00007.1~~OFUSG00007.1	OFUSG00007.1.p1
GENE.OFUSG00008.1~~OFUSG00008.1	OFUSG00008.1.p1
GENE.OFUSG00020.1~~OFUSG00020.1	OFUSG00020.1.p1
GENE.OFUSG00026.1~~OFUSG00026.1	OFUSG00026.1.p1
GENE.OFUSG00027.1~~OFUSG00027.1	OFUSG00027.1.p1
GENE.OFUSG00030.1~~OFUSG00030.1	OFUSG00030.1.p1
GENE.OFUSG00034.1~~OFUSG00034.1	OFUSG00034.1.p1
GENE.OFUSG00035.1~~OFUSG00035.1	OFUSG00035.1.p1
GENE.OFUSG00040.1~~OFUSG00040.1	OFUSG00040.1.p1
GENE.OFUSG00040.1~~OFUSG00040.1	OFUSG00040.1.p1
GENE.OFUSG00045.1~~OFUSG00045.1	OFUSG00045.1.p1
GENE.OFUSG00046.1~~OFUSG00046.1	OFUSG00046.1.p1
GENE.OFUSG00049.1~~OFUSG00049.1	OFUSG00049.1.p1
GENE.OFUSG00051.1~~OFUSG00051.1	OFUSG00051.1.p1
GENE.OFUSG00054.1~~OFUSG00054.1	OFUSG00054.1.p1
GENE.OFUSG00061.1~~OFUSG00061.1	OFUSG00061.1.p1
GENE.OFUSG00062.1~~OFUSG00062.1	OFUSG00062.1.p1
GENE.OFUSG00067.1~~OFUSG00067.1	OFUSG00067.1.p1
GENE.OFUSG00069.1~~OFUSG00069.1	OFUSG00069.1.p1
GENE.OFUSG00072.1~~OFUSG00072.1	OFUSG00072.1.p1
GENE.OFUSG00072.1~~OFUSG00072.1	OFUSG00072.1.p1
GENE.OFUSG00079.1~~OFUSG00079.1	OFUSG00079.1.p1
GENE.OFUSG00080.1~~OFUSG00080.1	OFUSG00080.1.p1
GENE.OFUSG00086.1~~OFUSG00086.1	OFUSG00086.1.p1
GENE.OFUSG00087.1~~OFUSG00087.1	OFUSG00087.1.p1
GENE.OFUSG00087.1~~OFUSG00087.1	OFUSG00087.1.p1
GENE.OFUSG00088.1~~OFUSG00088.1	OFUSG00088.1.p1
GENE.OFUSG00097.1~~OFUSG00097.1	OFUSG00097.1.p1
GENE.OFUSG00097.1~~OFUSG00097.1	OFUSG00097.1.p1
GENE.OFUSG00106.1~~OFUSG00106.1	OFUSG00106.1.p1
GENE.OFUSG00108.1~~OFUSG00108.1	OFUSG00108.1.p1
GENE.OFUSG00110.1~~OFUSG00110.1	OFUSG00110.1.p1
GENE.OFUSG00112.1~~OFUSG00112.1	OFUSG00112.1.p1
GENE.OFUSG00116.1~~OFUSG00116.1	OFUSG00116.1.p1
GENE.OFUSG00127.1~~OFUSG00127.1	OFUSG00127.1.p1
GENE.OFUSG00129.1~~OFUSG00129.1	OFUSG00129.1.p1
GENE.OFUSG00130.1~~OFUSG00130.1	OFUSG00130.1.p1
GENE.OFUSG00131.1~~OFUSG00131.1	OFUSG00131.1.p1
GENE.OFUSG00139.1~~OFUSG00139.1	OFUSG00139.1.p1
GENE.OFUSG00147.1~~OFUSG00147.1	OFUSG00147.1.p1
GENE.OFUSG00147.1~~OFUSG00147.1	OFUSG00147.1.p1
