TCONS_00000016	BRALA21886
TCONS_00000070	BRALA12604
TCONS_00000093	BRALA00473
TCONS_00000107	BRALA34215
TCONS_00000115	BRALA29239
TCONS_00000118	BRALA28202
TCONS_00000122	BRALA06861
TCONS_00000125	BRALA24820
TCONS_00000136	BRALA14563
TCONS_00000145	BRALA00625
TCONS_00000153	BRALA19292
TCONS_00000162	BRALA34439
TCONS_00000164	BRALA19309
TCONS_00000170	BRALA19302
TCONS_00000173	BRALA16909
TCONS_00000180	BRALA16922
TCONS_00000181	BRALA22973
TCONS_00000185	BRALA23724
TCONS_00000187	BRALA24502
TCONS_00000199	BRALA12417
TCONS_00000201	BRALA20644
TCONS_00000270	BRALA18794
TCONS_00000287	BRALA23897
TCONS_00000299	BRALA33708
TCONS_00000311	BRALA19059
TCONS_00000320	BRALA34308
TCONS_00000323	BRALA01956
TCONS_00000342	BRALA27978
TCONS_00000395	BRALA28633
TCONS_00000403	BRALA04843
TCONS_00000406	BRALA17090
TCONS_00000409	BRALA28829
TCONS_00000411	BRALA32346
TCONS_00000421	BRALA15525
TCONS_00000422	BRALA06289
TCONS_00000425	BRALA24506
TCONS_00000431	BRALA28626
TCONS_00000434	BRALA24221
TCONS_00000461	BRALA26509
TCONS_00000493	BRALA06294
TCONS_00000495	BRALA19316
TCONS_00000497	BRALA19004
TCONS_00000524	BRALA16853
TCONS_00000535	BRALA05126
TCONS_00000558	BRALA16460
TCONS_00000575	BRALA27520
TCONS_00000579	BRALA24505
TCONS_00000589	BRALA12384
TCONS_00000616	BRALA24867
TCONS_00000626	BRALA33303
TCONS_00000635	BRALA23874
TCONS_00000636	BRALA16863
TCONS_00000637	BRALA16865
TCONS_00000638	BRALA16866
TCONS_00000640	BRALA25426
TCONS_00000643	BRALA12314
TCONS_00000645	BRALA12338
TCONS_00000655	BRALA13465
TCONS_00000676	BRALA04099
TCONS_00000684	BRALA29361
TCONS_00000718	BRALA11295
TCONS_00000727	BRALA16857
TCONS_00000742	BRALA19033
TCONS_00000749	BRALA12414
TCONS_00000776	BRALA21137
TCONS_00000787	BRALA20697
TCONS_00000805	BRALA33541
TCONS_00000822	BRALA16896
TCONS_00000826	BRALA02854
TCONS_00000852	BRALA09011
TCONS_00000854	BRALA23721
TCONS_00000855	BRALA19668
TCONS_00000865	BRALA24507
TCONS_00000875	BRALA15214
TCONS_00000879	BRALA18211
TCONS_00000895	BRALA19061
TCONS_00000896	BRALA19696
TCONS_00000926	BRALA15659
TCONS_00000938	BRALA19317
TCONS_00000960	BRALA19297
TCONS_00000976	BRALA14198
TCONS_00000978	BRALA28820
TCONS_00000980	BRALA28831
TCONS_00000983	BRALA19286
TCONS_00000994	BRALA09005
TCONS_00000996	BRALA29796
TCONS_00000999	BRALA12420
TCONS_00001002	BRALA28211
TCONS_00001003	BRALA32734
TCONS_00001004	BRALA08959
TCONS_00001015	BRALA18840
TCONS_00001025	BRALA33702
TCONS_00001041	BRALA18839
TCONS_00001075	BRALA12361
TCONS_00001085	BRALA27980
TCONS_00001090	BRALA24801
TCONS_00001097	BRALA29789
TCONS_00001125	BRALA23710
TCONS_00001126	BRALA29479
TCONS_00001132	BRALA30419
TCONS_00001135	BRALA28196
TCONS_00001138	BRALA28833
TCONS_00001141	BRALA12258
TCONS_00001168	BRALA30045
TCONS_00001169	BRALA15697
TCONS_00001170	BRALA19311
TCONS_00001171	BRALA24520
TCONS_00001174	BRALA24516
TCONS_00001195	BRALA13463
TCONS_00001197	BRALA33934
TCONS_00001203	BRALA12268
TCONS_00001205	BRALA12306
TCONS_00001225	BRALA31683
TCONS_00001238	BRALA22981
TCONS_00001243	BRALA22056
TCONS_00001245	BRALA12426
TCONS_00001249	BRALA24816
TCONS_00001253	BRALA09721
TCONS_00001265	BRALA24813
TCONS_00001267	BRALA29541
TCONS_00001275	BRALA15694
TCONS_00001276	BRALA26582
TCONS_00001281	BRALA16890
TCONS_00001284	BRALA15670
TCONS_00001304	BRALA23733
TCONS_00001305	BRALA23698
TCONS_00001309	BRALA27864
TCONS_00001321	BRALA16908
TCONS_00001324	BRALA16910
TCONS_00001337	BRALA23723
TCONS_00001344	BRALA33764
TCONS_00001354	BRALA31269
TCONS_00001362	BRALA18459
TCONS_00001363	BRALA04611
TCONS_00001389	BRALA19293
TCONS_00001400	BRALA20727
TCONS_00001401	BRALA22990
TCONS_00001410	BRALA28821
TCONS_00001411	BRALA12737
TCONS_00001432	BRALA29882
TCONS_00001442	BRALA22055
TCONS_00001447	BRALA19057
TCONS_00001462	BRALA03050
TCONS_00001465	BRALA04830
TCONS_00001479	BRALA27977
TCONS_00001483	BRALA34657
TCONS_00001488	BRALA16303
TCONS_00001489	BRALA29788
TCONS_00001513	BRALA19588
TCONS_00001533	BRALA24522
TCONS_00001536	BRALA28628
TCONS_00001538	BRALA19644
TCONS_00001551	BRALA30260
TCONS_00001664	BRALA04404
TCONS_00001668	BRALA10061
TCONS_00001669	BRALA15684
TCONS_00001685	BRALA02556
TCONS_00001697	BRALA04250
TCONS_00001705	BRALA34016
TCONS_00001710	BRALA10077
TCONS_00001733	BRALA16861
TCONS_00001780	BRALA15559
TCONS_00001797	BRALA12313
TCONS_00001800	BRALA19669
TCONS_00001806	BRALA18887
TCONS_00001811	BRALA23802
TCONS_00001819	BRALA23711
TCONS_00001864	BRALA15692
TCONS_00001868	BRALA10715
TCONS_00001870	BRALA14527
TCONS_00001871	BRALA34233
TCONS_00001885	BRALA28228
TCONS_00001907	BRALA31885
TCONS_00001942	BRALA27521
TCONS_00001991	BRALA19707
TCONS_00002010	BRALA14280
TCONS_00002011	BRALA25395
TCONS_00002013	BRALA22987
TCONS_00002016	BRALA14407
TCONS_00002023	BRALA19055
TCONS_00002027	BRALA16928
TCONS_00002029	BRALA15658
TCONS_00002033	BRALA15657
TCONS_00002034	BRALA15706
TCONS_00002044	BRALA19310
TCONS_00002049	BRALA33620
TCONS_00002083	BRALA32698
TCONS_00002094	BRALA25429
TCONS_00002100	BRALA19278
TCONS_00002113	BRALA34167
TCONS_00002118	BRALA19285
TCONS_00002120	BRALA19283
TCONS_00002121	BRALA19276
TCONS_00002127	BRALA19298
TCONS_00002128	BRALA19296
TCONS_00002136	BRALA28832
TCONS_00002138	BRALA22998
TCONS_00002156	BRALA28210
TCONS_00002157	BRALA32733
TCONS_00002163	BRALA34122
TCONS_00002164	BRALA15716
TCONS_00002167	BRALA15722
TCONS_00002185	BRALA14083
TCONS_00002186	BRALA27979
TCONS_00002187	BRALA29356
TCONS_00002188	BRALA23718
TCONS_00002190	BRALA25405
TCONS_00002213	BRALA29246
TCONS_00002237	BRALA14932
TCONS_00002239	BRALA07669
TCONS_00002255	BRALA24804
TCONS_00002256	BRALA24802
TCONS_00002264	BRALA02508
TCONS_00002280	BRALA34413
TCONS_00002283	BRALA33714
TCONS_00002286	BRALA23709
TCONS_00002300	BRALA31008
TCONS_00002307	BRALA16632
TCONS_00002311	BRALA16849
TCONS_00002326	BRALA16854
TCONS_00002328	BRALA20231
TCONS_00002346	BRALA08955
TCONS_00002347	BRALA16651
TCONS_00002351	BRALA31856
TCONS_00002353	BRALA28209
TCONS_00002354	BRALA15698
TCONS_00002386	BRALA28203
TCONS_00002389	BRALA08218
TCONS_00002390	BRALA25411
TCONS_00002402	BRALA12341
TCONS_00002403	BRALA00100
TCONS_00002405	BRALA03980
TCONS_00002468	BRALA25487
TCONS_00002498	BRALA33427
TCONS_00002528	BRALA32159
TCONS_00002541	BRALA03746
TCONS_00002544	BRALA06678
TCONS_00002547	BRALA29978
TCONS_00002576	BRALA04756
TCONS_00002600	BRALA04755
TCONS_00002609	BRALA27890
TCONS_00002618	BRALA08307
TCONS_00002645	BRALA04795
TCONS_00002651	BRALA16158
TCONS_00002654	BRALA26237
TCONS_00002664	BRALA12194
TCONS_00002672	BRALA02169
TCONS_00002675	BRALA11399
TCONS_00002678	BRALA04550
TCONS_00002699	BRALA07013
TCONS_00002702	BRALA11356
TCONS_00002703	BRALA19023
TCONS_00002718	BRALA04834
TCONS_00002723	BRALA07016
TCONS_00002725	BRALA11316
TCONS_00002728	BRALA11318
TCONS_00002759	BRALA29363
TCONS_00002762	BRALA11330
TCONS_00002763	BRALA07054
TCONS_00002769	BRALA07036
TCONS_00002772	BRALA26584
TCONS_00002775	BRALA04828
TCONS_00002776	BRALA04825
TCONS_00002858	BRALA18368
TCONS_00002865	BRALA04572
TCONS_00002869	BRALA25380
TCONS_00002892	BRALA13648
TCONS_00002909	BRALA11287
TCONS_00002911	BRALA31006
TCONS_00002918	BRALA28981
TCONS_00002920	BRALA20327
TCONS_00002924	BRALA12504
TCONS_00002936	BRALA06969
TCONS_00002955	BRALA04851
TCONS_00002976	BRALA15878
TCONS_00002992	BRALA04717
TCONS_00002993	BRALA23183
TCONS_00002995	BRALA21368
TCONS_00002996	BRALA04725
TCONS_00003003	BRALA11298
TCONS_00003010	BRALA08899
TCONS_00003029	BRALA18749
TCONS_00003033	BRALA05422
TCONS_00003067	BRALA17480
TCONS_00003074	BRALA28683
TCONS_00003079	BRALA21927
TCONS_00003081	BRALA04734
TCONS_00003109	BRALA06951
TCONS_00003116	BRALA04656
TCONS_00003122	BRALA04651
TCONS_00003157	BRALA04628
TCONS_00003168	BRALA07220
TCONS_00003180	BRALA04782
TCONS_00003218	BRALA06924
TCONS_00003234	BRALA11374
TCONS_00003253	BRALA06936
TCONS_00003294	BRALA12730
TCONS_00003309	BRALA07064
TCONS_00003369	BRALA17683
TCONS_00003376	BRALA28529
TCONS_00003382	BRALA34300
TCONS_00003394	BRALA21165
TCONS_00003431	BRALA23536
TCONS_00003441	BRALA28035
TCONS_00003451	BRALA04540
TCONS_00003459	BRALA28978
TCONS_00003461	BRALA28977
TCONS_00003478	BRALA30382
TCONS_00003488	BRALA29451
TCONS_00003491	BRALA17080
TCONS_00003492	BRALA22472
TCONS_00003495	BRALA24434
TCONS_00003499	BRALA25937
TCONS_00003503	BRALA28152
TCONS_00003511	BRALA12059
TCONS_00003524	BRALA02762
TCONS_00003536	BRALA30973
TCONS_00003540	BRALA30970
TCONS_00003571	BRALA29366
TCONS_00003573	BRALA14124
TCONS_00003580	BRALA04663
TCONS_00003583	BRALA04559
TCONS_00003584	BRALA27671
TCONS_00003601	BRALA29905
TCONS_00003603	BRALA31005
TCONS_00003609	BRALA22123
TCONS_00003618	BRALA04764
TCONS_00003624	BRALA04957
TCONS_00003630	BRALA04914
TCONS_00003631	BRALA04910
TCONS_00003638	BRALA11179
TCONS_00003641	BRALA11400
TCONS_00003646	BRALA09766
TCONS_00003660	BRALA07061
TCONS_00003661	BRALA17352
TCONS_00003662	BRALA16960
TCONS_00003682	BRALA30661
TCONS_00003702	BRALA07037
TCONS_00003784	BRALA07031
TCONS_00003785	BRALA04845
TCONS_00003814	BRALA33264
TCONS_00003830	BRALA11358
TCONS_00003832	BRALA21370
TCONS_00003868	BRALA04989
