GENE.OFUSG00006.1~~OFUSG00006.1	OFUSG00006.1.p1
GENE.OFUSG00007.1~~OFUSG00007.1	OFUSG00007.1.p1
GENE.OFUSG00007.1~~OFUSG00007.1	OFUSG00007.1.p1
GENE.OFUSG00008.1~~OFUSG00008.1	OFUSG00008.1.p1
GENE.OFUSG00020.1~~OFUSG00020.1	OFUSG00020.1.p1
GENE.OFUSG00025.1~~OFUSG00025.1	OFUSG00025.1.p1
GENE.OFUSG00027.1~~OFUSG00027.1	OFUSG00027.1.p1
GENE.OFUSG00031.1~~OFUSG00031.1	OFUSG00031.1.p1
GENE.OFUSG00034.1~~OFUSG00034.1	OFUSG00034.1.p1
GENE.OFUSG00035.1~~OFUSG00035.1	OFUSG00035.1.p1
GENE.OFUSG00039.1~~OFUSG00039.1	OFUSG00039.1.p1
GENE.OFUSG00045.1~~OFUSG00045.1	OFUSG00045.1.p1
GENE.OFUSG00046.1~~OFUSG00046.1	OFUSG00046.1.p1
GENE.OFUSG00049.1~~OFUSG00049.1	OFUSG00049.1.p1
GENE.OFUSG00051.1~~OFUSG00051.1	OFUSG00051.1.p1
GENE.OFUSG00053.1~~OFUSG00053.1	OFUSG00053.1.p1
GENE.OFUSG00054.1~~OFUSG00054.1	OFUSG00054.1.p1
GENE.OFUSG00062.1~~OFUSG00062.1	OFUSG00062.1.p1
GENE.OFUSG00067.1~~OFUSG00067.1	OFUSG00067.1.p1
GENE.OFUSG00069.1~~OFUSG00069.1	OFUSG00069.1.p1
GENE.OFUSG00072.1~~OFUSG00072.1	OFUSG00072.1.p1
GENE.OFUSG00079.1~~OFUSG00079.1	OFUSG00079.1.p1
GENE.OFUSG00084.1~~OFUSG00084.1	OFUSG00084.1.p1
GENE.OFUSG00085.1~~OFUSG00085.1	OFUSG00085.1.p1
GENE.OFUSG00086.1~~OFUSG00086.1	OFUSG00086.1.p1
GENE.OFUSG00087.1~~OFUSG00087.1	OFUSG00087.1.p1
GENE.OFUSG00097.1~~OFUSG00097.1	OFUSG00097.1.p1
GENE.OFUSG00097.1~~OFUSG00097.1	OFUSG00097.1.p1
GENE.OFUSG00097.1~~OFUSG00097.1	OFUSG00097.1.p1
GENE.OFUSG00097.1~~OFUSG00097.1	OFUSG00097.1.p1
GENE.OFUSG00097.1~~OFUSG00097.1	OFUSG00097.1.p1
GENE.OFUSG00097.1~~OFUSG00097.1	OFUSG00097.1.p1
GENE.OFUSG00097.1~~OFUSG00097.1	OFUSG00097.1.p1
GENE.OFUSG00098.1~~OFUSG00098.1	OFUSG00098.1.p1
GENE.OFUSG00100.1~~OFUSG00100.1	OFUSG00100.1.p1
GENE.OFUSG00108.1~~OFUSG00108.1	OFUSG00108.1.p1
GENE.OFUSG00112.1~~OFUSG00112.1	OFUSG00112.1.p1
GENE.OFUSG00116.1~~OFUSG00116.1	OFUSG00116.1.p1
GENE.OFUSG00118.1~~OFUSG00118.1	OFUSG00118.1.p1
GENE.OFUSG00120.1~~OFUSG00120.1	OFUSG00120.1.p1
