STRPU_00017	BRALA22047
STRPU_00031	BRALA31759
STRPU_00032	BRALA21433
STRPU_00034	BRALA14217
STRPU_00036	BRALA27556
STRPU_00053	BRALA01940
STRPU_00072	BRALA03883
STRPU_00075	BRALA27166
STRPU_00076	BRALA03932
STRPU_00097	BRALA11639
STRPU_00098	BRALA25931
STRPU_00105	BRALA00557
STRPU_00107	BRALA20229
STRPU_00119	BRALA13003
STRPU_00130	BRALA23158
STRPU_00139	BRALA25267
STRPU_00168	BRALA25070
STRPU_00174	BRALA23820
STRPU_00180	BRALA01769
STRPU_00190	BRALA19087
STRPU_00198	BRALA25111
STRPU_00265	BRALA32992
STRPU_00280	BRALA11796
STRPU_00286	BRALA25784
STRPU_00295	BRALA23461
STRPU_00343	BRALA31253
STRPU_00438	BRALA31830
STRPU_00475	BRALA00181
STRPU_00530	BRALA20924
STRPU_00539	BRALA34465
STRPU_00544	BRALA14533
STRPU_00599	BRALA21102
STRPU_00606	BRALA31330
STRPU_00668	BRALA27874
STRPU_00701	BRALA32043
STRPU_00728	BRALA32102
STRPU_00761	BRALA00838
STRPU_00766	BRALA33048
STRPU_00795	BRALA22241
STRPU_00833	BRALA10852
STRPU_00835	BRALA17706
STRPU_00899	BRALA04025
STRPU_00969	BRALA15565
STRPU_00980	BRALA06377
STRPU_00981	BRALA11174
STRPU_01032	BRALA10747
STRPU_01049	BRALA27729
STRPU_01086	BRALA17814
STRPU_01099	BRALA01716
STRPU_01116	BRALA17450
STRPU_01132	BRALA01078
STRPU_01157	BRALA08556
STRPU_01167	BRALA01325
STRPU_01173	BRALA04141
STRPU_01198	BRALA05752
STRPU_01211	BRALA20638
STRPU_01224	BRALA02790
STRPU_01293	BRALA01330
STRPU_01325	BRALA04773
STRPU_01335	BRALA08732
STRPU_01342	BRALA18838
STRPU_01355	BRALA34209
STRPU_01397	BRALA15502
STRPU_01437	BRALA20204
STRPU_01474	BRALA32665
STRPU_01504	BRALA23683
STRPU_01547	BRALA11299
STRPU_01570	BRALA11522
STRPU_01611	BRALA07411
STRPU_01652	BRALA21562
STRPU_01669	BRALA04174
STRPU_01814	BRALA16909
STRPU_01836	BRALA20733
STRPU_01844	BRALA16845
STRPU_01914	BRALA07897
STRPU_01934	BRALA19741
STRPU_01942	BRALA08714
STRPU_01981	BRALA20439
STRPU_02007	BRALA35885
STRPU_02098	BRALA13736
STRPU_02167	BRALA25107
STRPU_02274	BRALA05237
STRPU_02318	BRALA33548
STRPU_02319	BRALA14698
STRPU_02334	BRALA29562
STRPU_02344	BRALA11072
STRPU_02393	BRALA11364
STRPU_02428	BRALA17504
STRPU_02432	BRALA05063
STRPU_02465	BRALA14483
STRPU_02474	BRALA10622
STRPU_02548	BRALA03550
STRPU_02564	BRALA32492
STRPU_02572	BRALA14449
STRPU_02605	BRALA32510
STRPU_02634	BRALA07018
STRPU_02640	BRALA29973
STRPU_02654	BRALA30393
STRPU_02657	BRALA29056
STRPU_02658	BRALA34139
STRPU_02684	BRALA33654
STRPU_02698	BRALA18342
STRPU_02700	BRALA28409
STRPU_02711	BRALA24699
STRPU_02712	BRALA17638
STRPU_02714	BRALA23393
STRPU_02721	BRALA21635
STRPU_02770	BRALA31860
STRPU_02771	BRALA24486
STRPU_02772	BRALA25098
STRPU_02778	BRALA05583
STRPU_02783	BRALA30389
STRPU_02790	BRALA28119
STRPU_02791	BRALA01041
STRPU_02793	BRALA04348
STRPU_02795	BRALA08019
STRPU_02801	BRALA04435
STRPU_02807	BRALA10112
STRPU_02810	BRALA23943
STRPU_02818	BRALA03521
STRPU_02838	BRALA21305
STRPU_02866	BRALA15255
STRPU_02898	BRALA09052
STRPU_02900	BRALA04240
STRPU_02902	BRALA24120
STRPU_02904	BRALA24673
STRPU_02910	BRALA18492
STRPU_02913	BRALA25940
STRPU_02914	BRALA03509
STRPU_02919	BRALA08225
STRPU_02933	BRALA17819
STRPU_02935	BRALA16744
STRPU_02973	BRALA22742
STRPU_02975	BRALA33406
STRPU_02997	BRALA00594
STRPU_03005	BRALA17778
STRPU_03014	BRALA01759
STRPU_03038	BRALA17926
STRPU_03068	BRALA01629
STRPU_03082	BRALA29937
STRPU_03085	BRALA25128
STRPU_03091	BRALA03662
STRPU_03092	BRALA29412
STRPU_03094	BRALA01251
STRPU_03104	BRALA14248
STRPU_03121	BRALA32674
STRPU_03140	BRALA08899
STRPU_03150	BRALA13976
STRPU_03161	BRALA35333
STRPU_03200	BRALA05109
STRPU_03201	BRALA13792
STRPU_03202	BRALA31719
STRPU_03239	BRALA10562
STRPU_03241	BRALA16682
STRPU_03265	BRALA21729
STRPU_03304	BRALA25700
STRPU_03305	BRALA11435
STRPU_03308	BRALA17605
STRPU_03309	BRALA25002
STRPU_03310	BRALA34431
STRPU_03339	BRALA03692
STRPU_03347	BRALA24887
STRPU_03358	BRALA11220
STRPU_03363	BRALA31688
STRPU_03424	BRALA14712
STRPU_03425	BRALA15295
STRPU_03428	BRALA15942
STRPU_03430	BRALA19009
STRPU_03433	BRALA17785
STRPU_03439	BRALA09824
STRPU_03442	BRALA01985
STRPU_03450	BRALA01853
STRPU_03452	BRALA24124
STRPU_03467	BRALA22097
STRPU_03468	BRALA10859
STRPU_03483	BRALA29425
STRPU_03487	BRALA27664
STRPU_03622	BRALA29059
STRPU_03628	BRALA21190
STRPU_03630	BRALA23080
STRPU_03631	BRALA12217
STRPU_03679	BRALA22689
STRPU_03683	BRALA31389
STRPU_03684	BRALA32983
STRPU_03686	BRALA24675
STRPU_03693	BRALA29054
STRPU_03707	BRALA12054
STRPU_03708	BRALA12052
STRPU_03709	BRALA10092
STRPU_03710	BRALA25695
STRPU_03727	BRALA06773
STRPU_03729	BRALA28212
STRPU_03730	BRALA12180
STRPU_03731	BRALA27274
STRPU_03741	BRALA01795
STRPU_03743	BRALA03798
STRPU_03777	BRALA18863
STRPU_03804	BRALA26240
STRPU_03853	BRALA24840
STRPU_03861	BRALA12043
STRPU_03873	BRALA21189
STRPU_03890	BRALA16584
STRPU_03923	BRALA05365
STRPU_03930	BRALA22370
STRPU_03942	BRALA33911
STRPU_03973	BRALA33854
STRPU_03986	BRALA12899
STRPU_04023	BRALA20287
STRPU_04029	BRALA28665
STRPU_04036	BRALA23954
STRPU_04042	BRALA03655
STRPU_04046	BRALA06722
STRPU_04047	BRALA31059
STRPU_04051	BRALA06824
STRPU_04052	BRALA03739
STRPU_04062	BRALA03853
STRPU_04070	BRALA06594
STRPU_04074	BRALA18066
STRPU_04087	BRALA03864
STRPU_04095	BRALA03898
STRPU_04103	BRALA31941
STRPU_04104	BRALA06743
STRPU_04111	BRALA18087
STRPU_04113	BRALA03720
STRPU_04115	BRALA08324
STRPU_04120	BRALA23958
STRPU_04125	BRALA06714
STRPU_04131	BRALA23619
STRPU_04132	BRALA03669
STRPU_04134	BRALA03913
STRPU_04135	BRALA06823
STRPU_04136	BRALA03851
STRPU_04141	BRALA06660
STRPU_04151	BRALA06692
STRPU_04161	BRALA00974
STRPU_04169	BRALA26175
STRPU_04170	BRALA03979
STRPU_04174	BRALA21286
STRPU_04175	BRALA06736
STRPU_04177	BRALA03670
STRPU_04178	BRALA03719
STRPU_04194	BRALA06603
STRPU_04270	BRALA03608
STRPU_04274	BRALA29256
STRPU_04278	BRALA06713
STRPU_04298	BRALA01094
STRPU_04331	BRALA14971
STRPU_04346	BRALA06640
STRPU_04349	BRALA04703
STRPU_04357	BRALA03357
STRPU_04364	BRALA03727
STRPU_04370	BRALA00019
STRPU_04372	BRALA06666
STRPU_04374	BRALA16322
STRPU_04376	BRALA06690
STRPU_04377	BRALA17931
STRPU_04383	BRALA03897
STRPU_04392	BRALA18100
STRPU_04410	BRALA06623
STRPU_04421	BRALA27926
STRPU_04423	BRALA03643
STRPU_04442	BRALA25248
STRPU_04443	BRALA03717
STRPU_04449	BRALA03845
STRPU_04460	BRALA03647
STRPU_04464	BRALA33401
STRPU_04465	BRALA03837
STRPU_04467	BRALA12491
STRPU_04469	BRALA12493
STRPU_04470	BRALA03835
STRPU_04476	BRALA06614
STRPU_04546	BRALA03973
STRPU_04548	BRALA03994
STRPU_04569	BRALA06731
STRPU_04579	BRALA03664
STRPU_04581	BRALA15977
STRPU_04601	BRALA03733
STRPU_04602	BRALA03732
STRPU_04610	BRALA17943
STRPU_04612	BRALA18097
STRPU_04619	BRALA06641
STRPU_04620	BRALA06615
STRPU_04672	BRALA32124
STRPU_04674	BRALA06618
STRPU_04675	BRALA06637
STRPU_04676	BRALA03663
STRPU_04685	BRALA03693
STRPU_04687	BRALA03975
