Orthogroup	ORYLA	CAEEL
OG0000000	ORYLA04928	CAEEL18735
OG0000000	ORYLA07510, ORYLA04677	CAEEL01893
OG0000000	ORYLA10797	CAEEL08140
OG0000000	ORYLA00843, ORYLA07411, ORYLA07410, ORYLA04925, ORYLA04924, ORYLA08113	CAEEL18754
OG0000000	ORYLA18170	CAEEL06523
OG0000000	ORYLA02858, ORYLA12900	CAEEL18467, CAEEL18466
OG0000000	ORYLA17165, ORYLA08246, ORYLA01821	CAEEL08092
OG0000000	ORYLA04170, ORYLA18990, ORYLA15771, ORYLA08247, ORYLA17164, ORYLA01822, ORYLA05619, ORYLA09108, ORYLA17159, ORYLA15774, ORYLA08249, ORYLA17160, ORYLA04681, ORYLA15776, ORYLA17162, ORYLA09898, ORYLA01825, ORYLA08248, ORYLA17161, ORYLA15775	CAEEL08135, CAEEL08091
OG0000000	ORYLA09198, ORYLA12232, ORYLA10052	CAEEL00979
OG0000000	ORYLA03925, ORYLA14471, ORYLA05095, ORYLA19386, ORYLA19387	CAEEL19601
OG0000000	ORYLA15773, ORYLA15772, ORYLA09896, ORYLA17158, ORYLA05618, ORYLA01824, ORYLA01826, ORYLA04682, ORYLA01827, ORYLA05617	CAEEL09056, CAEEL09057, CAEEL09058
OG0000000	ORYLA01029, ORYLA04459	CAEEL07441
OG0000000	ORYLA04630	CAEEL08137, CAEEL17599
OG0000000	ORYLA17155, ORYLA01830, ORYLA09892	CAEEL08875
OG0000000	ORYLA17730, ORYLA05045, ORYLA01322, ORYLA11797, ORYLA10603, ORYLA10060	CAEEL16213
OG0000001	ORYLA02547	CAEEL06722
OG0000002	ORYLA13467, ORYLA16691	CAEEL18977
OG0000005	ORYLA19606, ORYLA19605, ORYLA00089, ORYLA04143, ORYLA04443, ORYLA11947, ORYLA01858, ORYLA06713, ORYLA06714, ORYLA09160	CAEEL01924
OG0000006	ORYLA20407, ORYLA03595	CAEEL00696
OG0000006	ORYLA10511, ORYLA11827	CAEEL07700
OG0000006	ORYLA16517, ORYLA16515	CAEEL05532
OG0000006	ORYLA13656, ORYLA07153, ORYLA02533	CAEEL01533
OG0000006	ORYLA20473, ORYLA04673, ORYLA03873	CAEEL12101
OG0000006	ORYLA03827, ORYLA03500, ORYLA10460, ORYLA00215, ORYLA04762	CAEEL17819
OG0000006	ORYLA04691	CAEEL15182
OG0000007	ORYLA14937, ORYLA17526	CAEEL04050
OG0000007	ORYLA03070, ORYLA10601, ORYLA19360	CAEEL17965
OG0000007	ORYLA00267, ORYLA17457, ORYLA13245, ORYLA02416, ORYLA13595	CAEEL05829
OG0000007	ORYLA13335, ORYLA07003, ORYLA12464	CAEEL01108
OG0000007	ORYLA03471, ORYLA17615, ORYLA01042, ORYLA11394, ORYLA05164	CAEEL10238, CAEEL04602
OG0000007	ORYLA10158, ORYLA04736	CAEEL18586
OG0000010	ORYLA03275, ORYLA06010, ORYLA03414, ORYLA07950, ORYLA16250, ORYLA16252, ORYLA16251, ORYLA16253, ORYLA07946, ORYLA07947, ORYLA19018, ORYLA07556, ORYLA07557, ORYLA07940, ORYLA16255, ORYLA16310, ORYLA16306, ORYLA16308, ORYLA16304, ORYLA16305, ORYLA16303, ORYLA16307, ORYLA16319, ORYLA16309	CAEEL04259
OG0000012	ORYLA07628	CAEEL20690
OG0000013	ORYLA00386, ORYLA20078, ORYLA06697, ORYLA06696, ORYLA19175, ORYLA17235, ORYLA08330, ORYLA16166, ORYLA16167, ORYLA07272, ORYLA19251, ORYLA12627, ORYLA12626, ORYLA19586, ORYLA04041, ORYLA12625, ORYLA19174	CAEEL19127
OG0000015	ORYLA11923, ORYLA10179, ORYLA11921, ORYLA10367, ORYLA08817, ORYLA04154	CAEEL09145
OG0000015	ORYLA03899, ORYLA10757, ORYLA08711, ORYLA01414, ORYLA19970, ORYLA04333, ORYLA13514, ORYLA08713, ORYLA08712, ORYLA13513, ORYLA01230, ORYLA01413, ORYLA19971	CAEEL15587
OG0000015	ORYLA09940, ORYLA09941, ORYLA00953, ORYLA04300, ORYLA18852, ORYLA01514	CAEEL16962, CAEEL16137, CAEEL14081, CAEEL01009, CAEEL01008, CAEEL00762, CAEEL04855
OG0000016	ORYLA12720, ORYLA00945	CAEEL20493
OG0000016	ORYLA17171, ORYLA00784, ORYLA19764, ORYLA05054	CAEEL19614, CAEEL20639, CAEEL17751, CAEEL09082, CAEEL18079, CAEEL18078
OG0000016	ORYLA09921	CAEEL18647
OG0000019	ORYLA16405, ORYLA07040	CAEEL15403
OG0000020	ORYLA06780	CAEEL00627
OG0000020	ORYLA15647, ORYLA00902, ORYLA00505	CAEEL05927
OG0000020	ORYLA02546	CAEEL13362
OG0000020	ORYLA06519	CAEEL09273
OG0000021	ORYLA13904, ORYLA15936, ORYLA11094	CAEEL15603
OG0000021	ORYLA03698, ORYLA17601	CAEEL00422
OG0000021	ORYLA12092, ORYLA14389	CAEEL00784, CAEEL15377
OG0000023	ORYLA03721, ORYLA03720, ORYLA12643, ORYLA15685, ORYLA18659, ORYLA18660	CAEEL13426
OG0000026	ORYLA19214	CAEEL07477
OG0000027	ORYLA04739	CAEEL17825
OG0000028	ORYLA01107, ORYLA00838, ORYLA05731, ORYLA12623, ORYLA12624, ORYLA00837, ORYLA01106, ORYLA11312, ORYLA15414, ORYLA01105, ORYLA00835, ORYLA09887, ORYLA09886, ORYLA04684	CAEEL01691, CAEEL12110, CAEEL19077, CAEEL19076, CAEEL00764, CAEEL00826, CAEEL19899, CAEEL19703, CAEEL20254, CAEEL00656
OG0000028	ORYLA20303, ORYLA20302, ORYLA00834, ORYLA01103, ORYLA05749, ORYLA01547	CAEEL01726, CAEEL20276, CAEEL05087, CAEEL06397, CAEEL18628, CAEEL05010, CAEEL01184, CAEEL14863, CAEEL14864, CAEEL10517
OG0000029	ORYLA01422, ORYLA01423, ORYLA13081, ORYLA13154, ORYLA04292, ORYLA04294, ORYLA04293, ORYLA15257, ORYLA13110, ORYLA02813, ORYLA04764, ORYLA00213, ORYLA03112	CAEEL20612
OG0000030	ORYLA01628, ORYLA19626, ORYLA02922	CAEEL00681, CAEEL00682, CAEEL00680
OG0000030	ORYLA08220	CAEEL15855, CAEEL16494, CAEEL16974, CAEEL00280, CAEEL15338, CAEEL14827, CAEEL17980, CAEEL05619, CAEEL05420, CAEEL05421, CAEEL05419, CAEEL05617, CAEEL03830
OG0000031	ORYLA04590	CAEEL17953
OG0000031	ORYLA09861, ORYLA15740, ORYLA13928, ORYLA09882, ORYLA05598, ORYLA01771, ORYLA18563	CAEEL02023
OG0000031	ORYLA06561, ORYLA14932	CAEEL04718
OG0000031	ORYLA04591, ORYLA04917	CAEEL07076
OG0000032	ORYLA14771, ORYLA03482, ORYLA10827, ORYLA12826, ORYLA04475, ORYLA04474, ORYLA14976, ORYLA12717	CAEEL19615
OG0000032	ORYLA15502, ORYLA06416	CAEEL08739, CAEEL18742, CAEEL18342
OG0000034	ORYLA07927, ORYLA16241, ORYLA04579, ORYLA02286, ORYLA17781	CAEEL07900
OG0000034	ORYLA16358, ORYLA12476, ORYLA15138, ORYLA11195, ORYLA16147	CAEEL13037
OG0000034	ORYLA17140, ORYLA07963, ORYLA14023, ORYLA15996, ORYLA11192, ORYLA14993, ORYLA14558	CAEEL04773, CAEEL04774, CAEEL06717, CAEEL13034
OG0000034	ORYLA07312	CAEEL01132
OG0000034	ORYLA12339, ORYLA14860	CAEEL03140, CAEEL03141
OG0000035	ORYLA16101	CAEEL01943
OG0000036	ORYLA15615, ORYLA15153, ORYLA07495, ORYLA20280, ORYLA12724	CAEEL18405, CAEEL11240, CAEEL15057
OG0000036	ORYLA12571	CAEEL10476, CAEEL02253, CAEEL00335, CAEEL15639, CAEEL03284, CAEEL09948
OG0000037	ORYLA05151, ORYLA08136, ORYLA03090	CAEEL17629, CAEEL17628
OG0000037	ORYLA15954, ORYLA02209, ORYLA10771, ORYLA11448	CAEEL03654, CAEEL20275
OG0000037	ORYLA04725	CAEEL09012, CAEEL08645
OG0000038	ORYLA16179	CAEEL05762
OG0000038	ORYLA08393, ORYLA09754	CAEEL07106
OG0000039	ORYLA15984, ORYLA18454, ORYLA16125	CAEEL01773
OG0000039	ORYLA16124	CAEEL00466
OG0000039	ORYLA05812, ORYLA00801, ORYLA00802	CAEEL18993
OG0000041	ORYLA07969, ORYLA14839, ORYLA15678, ORYLA15677	CAEEL19747
OG0000041	ORYLA16345, ORYLA07970, ORYLA13989, ORYLA15806, ORYLA13990, ORYLA15807, ORYLA14735, ORYLA19535, ORYLA15808, ORYLA14736, ORYLA19536, ORYLA12118	CAEEL05494
OG0000041	ORYLA11484, ORYLA11472, ORYLA05357, ORYLA19350	CAEEL14233, CAEEL09462, CAEEL19248, CAEEL08892, CAEEL08891, CAEEL15070, CAEEL15427
OG0000044	ORYLA05174	CAEEL19378, CAEEL14467, CAEEL20173, CAEEL14097
OG0000049	ORYLA11559, ORYLA19044, ORYLA04067, ORYLA03584	CAEEL02028
OG0000049	ORYLA13704, ORYLA13828, ORYLA15018	CAEEL19631
OG0000049	ORYLA11032, ORYLA11031, ORYLA14189, ORYLA20256, ORYLA14320, ORYLA15992, ORYLA14028, ORYLA14561, ORYLA15871	CAEEL10349
OG0000051	ORYLA05117	CAEEL09464
OG0000054	ORYLA00519	CAEEL17602, CAEEL12164, CAEEL11714, CAEEL10176
OG0000055	ORYLA00098, ORYLA00083, ORYLA00100	CAEEL06327, CAEEL06332, CAEEL10935, CAEEL10929, CAEEL06323, CAEEL14939, CAEEL14938, CAEEL16893, CAEEL14854, CAEEL14953, CAEEL14952, CAEEL15123, CAEEL11701, CAEEL11692, CAEEL11711, CAEEL10738
OG0000056	ORYLA07324, ORYLA00315, ORYLA13076, ORYLA07014, ORYLA16605, ORYLA00874, ORYLA00878, ORYLA16604, ORYLA13077	CAEEL05273
