Orthogroup	ORYLA	PFLAV
OG0000000	ORYLA04928	TCONS_00026365.p1
OG0000000	ORYLA07037, ORYLA08538	TCONS_00019737.p1
OG0000000	ORYLA05297	TCONS_00027826.p1
OG0000000	ORYLA07510, ORYLA04677	TCONS_00026910.p1
OG0000000	ORYLA10797	TCONS_00026836.p1
OG0000000	ORYLA04924, ORYLA08113	TCONS_00026612.p1
OG0000000	ORYLA18170	TCONS_00026711.p1
OG0000000	ORYLA02858, ORYLA12900	TCONS_00014809.p1, TCONS_00014810.p1
OG0000000	ORYLA03677	TCONS_00018852.p1
OG0000000	ORYLA11446	TCONS_00010493.p1
OG0000000	ORYLA17165, ORYLA08246, ORYLA01821	TCONS_00032259.p1
OG0000000	ORYLA04170, ORYLA18990	TCONS_00043772.p1
OG0000000	ORYLA08247, ORYLA17164, ORYLA01822, ORYLA05619	TCONS_00032260.p1
OG0000000	ORYLA09108	TCONS_00043771.p1
OG0000000	ORYLA17159, ORYLA15774, ORYLA08249, ORYLA17160	TCONS_00032269.p1
OG0000000	ORYLA04681, ORYLA15776, ORYLA17162, ORYLA09898	TCONS_00032262.p1
OG0000000	ORYLA01825, ORYLA08248, ORYLA17161, ORYLA15775	TCONS_00032264.p1
OG0000000	ORYLA09198, ORYLA12232, ORYLA10052	TCONS_00019139.p1
OG0000000	ORYLA08225, ORYLA06162	TCONS_00018960.p1, TCONS_00018945.p1
OG0000000	ORYLA03925, ORYLA14471, ORYLA05095, ORYLA19386, ORYLA19387	TCONS_00027510.p1
OG0000000	ORYLA15773, ORYLA15772, ORYLA09896, ORYLA17158, ORYLA05618, ORYLA01824, ORYLA01826, ORYLA04682, ORYLA01827, ORYLA05617	TCONS_00032270.p1
OG0000000	ORYLA01029, ORYLA04459	TCONS_00042478.p1
OG0000000	ORYLA17155, ORYLA01830, ORYLA09892	TCONS_00031629.p1
OG0000000	ORYLA00932	TCONS_00026601.p1
OG0000000	ORYLA17730, ORYLA05045, ORYLA01322	TCONS_00026600.p1
OG0000000	ORYLA11797, ORYLA10603	TCONS_00009627.p1
OG0000000	ORYLA10060	TCONS_00009628.p1
OG0000001	ORYLA00821, ORYLA00820, ORYLA00819, ORYLA06087, ORYLA01582, ORYLA19233, ORYLA01576, ORYLA01896, ORYLA01897	TCONS_00034555.p1, TCONS_00007091.p1
OG0000002	ORYLA00438	TCONS_00008473.p1, TCONS_00020039.p1
OG0000002	ORYLA12350	TCONS_00017417.p1, TCONS_00017418.p1, TCONS_00053860.p1, TCONS_00053848.p1, TCONS_00018470.p1, TCONS_00001082.p1
OG0000002	ORYLA11640, ORYLA16693, ORYLA11641, ORYLA13465, ORYLA13463, ORYLA13464, ORYLA13468, ORYLA13466, ORYLA13469, ORYLA13571	TCONS_00050428.p1, TCONS_00050118.p1
OG0000002	ORYLA03052, ORYLA16692	TCONS_00000388.p1, TCONS_00000392.p1, TCONS_00000390.p1, TCONS_00000387.p1, TCONS_00000394.p1, TCONS_00000393.p1, TCONS_00000389.p1
OG0000002	ORYLA13467, ORYLA16691	TCONS_00048938.p1
OG0000004	ORYLA04400, ORYLA08919	TCONS_00039987.p1
OG0000005	ORYLA03896, ORYLA03898, ORYLA03897, ORYLA03895	TCONS_00049335.p1, TCONS_00047603.p1, TCONS_00047643.p1, TCONS_00047644.p1, TCONS_00047602.p1, TCONS_00049337.p1, TCONS_00047645.p1, TCONS_00016788.p1, TCONS_00017981.p1, TCONS_00000197.p1, TCONS_00001362.p1
OG0000005	ORYLA19606, ORYLA19605, ORYLA00089, ORYLA04143, ORYLA04443, ORYLA11947, ORYLA01858, ORYLA06713, ORYLA06714, ORYLA09160	TCONS_00020906.p1, TCONS_00020909.p1, TCONS_00020911.p1
OG0000006	ORYLA04794	TCONS_00016792.p1, TCONS_00023587.p1
OG0000006	ORYLA13204, ORYLA13568, ORYLA06565	TCONS_00031049.p1, TCONS_00031040.p1, TCONS_00031041.p1, TCONS_00031046.p1, TCONS_00031039.p1
OG0000006	ORYLA20407, ORYLA03595	TCONS_00042787.p1
OG0000006	ORYLA03421, ORYLA09483	TCONS_00021207.p1
OG0000006	ORYLA13382	TCONS_00016646.p1
OG0000006	ORYLA09038	TCONS_00021581.p1
OG0000006	ORYLA15680, ORYLA07217, ORYLA12345, ORYLA14784	TCONS_00023551.p1
OG0000006	ORYLA10511, ORYLA11827	TCONS_00003496.p1
OG0000006	ORYLA16517	TCONS_00012810.p1
OG0000006	ORYLA16515	TCONS_00013984.p1
OG0000006	ORYLA17394	TCONS_00027932.p1
OG0000006	ORYLA05082	TCONS_00045950.p1, TCONS_00031211.p1, TCONS_00031188.p1, TCONS_00031189.p1, TCONS_00031212.p1
OG0000006	ORYLA13656, ORYLA07153, ORYLA02533	TCONS_00028953.p1
OG0000006	ORYLA20473, ORYLA04673, ORYLA03873	TCONS_00030792.p1
OG0000006	ORYLA03827, ORYLA03500, ORYLA10460, ORYLA00215, ORYLA04762	TCONS_00011491.p1
OG0000006	ORYLA04691	TCONS_00011052.p1
OG0000007	ORYLA13334	TCONS_00008966.p1
OG0000007	ORYLA14937, ORYLA17526	TCONS_00029574.p1
OG0000007	ORYLA03070, ORYLA10601, ORYLA19360	TCONS_00009611.p1
OG0000007	ORYLA00267, ORYLA17457, ORYLA13245, ORYLA02416, ORYLA13595	TCONS_00052518.p1
OG0000007	ORYLA00451, ORYLA13596	TCONS_00052512.p1
OG0000007	ORYLA10719	TCONS_00026068.p1
OG0000007	ORYLA18472	TCONS_00051149.p1
OG0000007	ORYLA09030	TCONS_00007744.p1
OG0000007	ORYLA13335, ORYLA07003, ORYLA12464	TCONS_00008967.p1
OG0000007	ORYLA13010	TCONS_00024115.p1
OG0000007	ORYLA03471, ORYLA17615	TCONS_00055417.p1
OG0000007	ORYLA01042, ORYLA11394, ORYLA05164	TCONS_00011336.p1
OG0000007	ORYLA00561, ORYLA16283, ORYLA08278	TCONS_00014249.p1
OG0000007	ORYLA16317	TCONS_00012754.p1
OG0000007	ORYLA15605, ORYLA13871, ORYLA05828	TCONS_00051990.p1, TCONS_00051989.p1
OG0000007	ORYLA10158, ORYLA04736	TCONS_00009689.p1
OG0000008	ORYLA06372, ORYLA06647, ORYLA13248	TCONS_00054315.p1
OG0000008	ORYLA19926, ORYLA19925, ORYLA18489, ORYLA19927, ORYLA18477, ORYLA00582	TCONS_00054316.p1
OG0000010	ORYLA06892, ORYLA19685, ORYLA19686	TCONS_00031213.p1, TCONS_00031190.p1
OG0000010	ORYLA09104, ORYLA13024	TCONS_00018080.p1
OG0000010	ORYLA03275, ORYLA06010, ORYLA03414, ORYLA07950, ORYLA16250, ORYLA16252, ORYLA16251, ORYLA16253, ORYLA07946, ORYLA07947, ORYLA19018, ORYLA07556, ORYLA07557, ORYLA07940, ORYLA16255, ORYLA16310, ORYLA16306, ORYLA16308, ORYLA16304, ORYLA16305, ORYLA16303, ORYLA16307, ORYLA16319, ORYLA16309	TCONS_00017959.p1, TCONS_00017993.p1, TCONS_00018277.p1
OG0000010	ORYLA18230	TCONS_00026035.p1, TCONS_00030635.p1
OG0000011	ORYLA04501	TCONS_00056711.p1, TCONS_00034080.p1
OG0000012	ORYLA07628	TCONS_00015125.p1, TCONS_00011214.p1, TCONS_00011213.p1, TCONS_00011211.p1, TCONS_00009883.p1, TCONS_00015085.p1, TCONS_00044328.p1, TCONS_00015086.p1, TCONS_00011207.p1, TCONS_00011209.p1, TCONS_00021579.p1, TCONS_00021578.p1
OG0000012	ORYLA15199	TCONS_00041660.p1, TCONS_00041661.p1
OG0000013	ORYLA20078, ORYLA06697, ORYLA06696, ORYLA19175, ORYLA17235, ORYLA08330, ORYLA16166, ORYLA16167, ORYLA07272, ORYLA19251, ORYLA12627, ORYLA12626, ORYLA19586, ORYLA04041, ORYLA12625, ORYLA19174	TCONS_00023863.p1
OG0000014	ORYLA13996, ORYLA16200, ORYLA10845, ORYLA16010, ORYLA14063, ORYLA17181, ORYLA08263	TCONS_00011557.p1, TCONS_00011560.p1, TCONS_00011559.p1, TCONS_00010527.p1, TCONS_00011555.p1
OG0000014	ORYLA15682	TCONS_00011740.p1, TCONS_00011745.p1, TCONS_00011746.p1, TCONS_00011744.p1, TCONS_00011747.p1, TCONS_00049090.p1, TCONS_00049091.p1, TCONS_00049087.p1, TCONS_00049133.p1, TCONS_00049134.p1, TCONS_00029612.p1, TCONS_00047816.p1
OG0000014	ORYLA04907	TCONS_00050449.p1, TCONS_00050450.p1, TCONS_00050447.p1, TCONS_00050443.p1, TCONS_00050441.p1, TCONS_00050444.p1, TCONS_00050448.p1, TCONS_00042641.p1, TCONS_00043962.p1, TCONS_00043963.p1, TCONS_00043964.p1, TCONS_00042645.p1, TCONS_00010921.p1, TCONS_00042643.p1
OG0000014	ORYLA11600, ORYLA01088	TCONS_00048226.p1, TCONS_00048227.p1, TCONS_00048225.p1, TCONS_00001555.p1, TCONS_00000431.p1
OG0000015	ORYLA00867, ORYLA20430, ORYLA00866	TCONS_00008348.p1
OG0000015	ORYLA04638, ORYLA19973, ORYLA01229, ORYLA13511, ORYLA08714, ORYLA04332, ORYLA10753	TCONS_00043861.p1
OG0000015	ORYLA03899, ORYLA10757, ORYLA08711, ORYLA01414, ORYLA19970, ORYLA04333, ORYLA13514, ORYLA08713, ORYLA08712, ORYLA13513, ORYLA01230, ORYLA01413, ORYLA19971	TCONS_00042561.p1, TCONS_00043863.p1
OG0000015	ORYLA09940, ORYLA09941, ORYLA00953, ORYLA04300, ORYLA18852, ORYLA01514	TCONS_00017456.p1, TCONS_00018530.p1, TCONS_00017014.p1, TCONS_00018220.p1, TCONS_00042403.p1, TCONS_00047528.p1, TCONS_00048847.p1, TCONS_00017787.p1, TCONS_00042857.p1, TCONS_00017072.p1, TCONS_00018222.p1, TCONS_00055081.p1, TCONS_00043497.p1, TCONS_00029340.p1, TCONS_00028215.p1, TCONS_00028475.p1, TCONS_00029530.p1, TCONS_00017844.p1, TCONS_00042572.p1, TCONS_00008338.p1, TCONS_00055260.p1, TCONS_00055261.p1, TCONS_00008346.p1, TCONS_00017849.p1, TCONS_00017852.p1
OG0000016	ORYLA12720, ORYLA00945	TCONS_00021465.p1, TCONS_00021468.p1, TCONS_00022584.p1, TCONS_00021259.p1, TCONS_00021263.p1, TCONS_00021262.p1, TCONS_00021257.p1, TCONS_00021260.p1, TCONS_00021265.p1, TCONS_00021132.p1, TCONS_00022476.p1, TCONS_00021082.p1
OG0000016	ORYLA09921	TCONS_00021462.p1, TCONS_00015926.p1, TCONS_00022185.p1, TCONS_00048322.p1, TCONS_00049537.p1, TCONS_00047912.p1
OG0000016	ORYLA00030	TCONS_00003602.p1
OG0000016	ORYLA08665	TCONS_00048341.p1
OG0000016	ORYLA11245, ORYLA15380	TCONS_00048016.p1, TCONS_00006587.p1, TCONS_00006585.p1, TCONS_00006586.p1, TCONS_00025201.p1, TCONS_00044922.p1, TCONS_00049648.p1, TCONS_00049647.p1, TCONS_00047522.p1, TCONS_00047523.p1, TCONS_00020558.p1, TCONS_00020423.p1, TCONS_00020419.p1, TCONS_00020810.p1, TCONS_00020323.p1, TCONS_00020321.p1, TCONS_00047919.p1, TCONS_00047915.p1, TCONS_00047927.p1, TCONS_00047930.p1, TCONS_00047932.p1, TCONS_00047911.p1, TCONS_00047917.p1, TCONS_00047907.p1, TCONS_00049536.p1, TCONS_00049538.p1, TCONS_00049540.p1, TCONS_00049543.p1, TCONS_00049542.p1, TCONS_00048321.p1, TCONS_00048323.p1, TCONS_00048325.p1, TCONS_00048328.p1
OG0000017	ORYLA04686	TCONS_00037236.p1
OG0000018	ORYLA02836, ORYLA14501	TCONS_00002126.p1, TCONS_00045766.p1, TCONS_00050663.p1, TCONS_00014702.p2, TCONS_00054542.p1, TCONS_00015986.p1, TCONS_00002662.p1, TCONS_00016420.p1, TCONS_00034742.p1, TCONS_00025800.p1, TCONS_00020519.p1, TCONS_00031825.p1
OG0000018	ORYLA18860, ORYLA00684, ORYLA17944	TCONS_00037698.p1, TCONS_00033891.p1, TCONS_00031409.p1, TCONS_00051415.p1, TCONS_00030438.p1, TCONS_00045433.p1, TCONS_00018885.p1, TCONS_00030533.p1
OG0000019	ORYLA16405, ORYLA07040	TCONS_00042378.p1
OG0000019	ORYLA07041, ORYLA14014, ORYLA15975, ORYLA16411, ORYLA20089, ORYLA20088	TCONS_00020725.p1, TCONS_00007955.p1, TCONS_00020293.p1, TCONS_00020282.p1
OG0000020	ORYLA12531	TCONS_00055662.p1
OG0000020	ORYLA15493	TCONS_00041842.p1
OG0000020	ORYLA10559	TCONS_00011932.p1, TCONS_00014940.p1, TCONS_00014941.p1
