Orthogroup	ORYLA	OWEFU
OG0000000	ORYLA04928	OFUSG19483.1.p1, OFUSG18880.1.p1
OG0000000	ORYLA07037, ORYLA08538	OFUSG13305.1.p1
OG0000000	ORYLA05297	OFUSG05593.1.p1, OFUSG05592.1.p1
OG0000000	ORYLA07510, ORYLA04677	OFUSG18918.1.p1
OG0000000	ORYLA04924, ORYLA08113	OFUSG05755.1.p1
OG0000000	ORYLA18170	OFUSG06970.1.p1
OG0000000	ORYLA02858, ORYLA12900	OFUSG07309.1.p1, OFUSG07308.1.p1
OG0000000	ORYLA03677	OFUSG08786.1.p1
OG0000000	ORYLA11446	OFUSG12013.1.p1
OG0000000	ORYLA17165, ORYLA08246, ORYLA01821	OFUSG13332.1.p1
OG0000000	ORYLA04170, ORYLA18990	OFUSG03265.2.p2, OFUSG03265.1.p1
OG0000000	ORYLA08247, ORYLA17164, ORYLA01822, ORYLA05619	OFUSG13333.1.p1, OFUSG13334.1.p1, OFUSG13334.3.p1, OFUSG13334.2.p1
OG0000000	ORYLA09108	OFUSG03302.1.p1
OG0000000	ORYLA04681, ORYLA15776, ORYLA17162, ORYLA09898	OFUSG13335.1.p1
OG0000000	ORYLA01825, ORYLA08248, ORYLA17161, ORYLA15775	OFUSG13336.1.p1
OG0000000	ORYLA09198, ORYLA12232, ORYLA10052	OFUSG17003.1.p1
OG0000000	ORYLA08225, ORYLA06162	OFUSG21200.1.p1
OG0000000	ORYLA14471, ORYLA05095, ORYLA19386, ORYLA19387	OFUSG05672.1.p1
OG0000000	ORYLA01029, ORYLA04459	OFUSG03177.1.p1
OG0000000	ORYLA04630	OFUSG13341.1.p1
OG0000000	ORYLA17155, ORYLA01830, ORYLA09892	OFUSG12947.1.p1
OG0000000	ORYLA05044, ORYLA00932	OFUSG05775.1.p1
OG0000000	ORYLA17730, ORYLA05045, ORYLA01322	OFUSG06109.1.p1
OG0000000	ORYLA11797, ORYLA10603	OFUSG12225.3.p1, OFUSG12225.2.p1, OFUSG12225.1.p1
OG0000000	ORYLA10060	OFUSG21806.1.p1
OG0000001	ORYLA01580	OFUSG01600.1.p1, OFUSG03605.1.p1
OG0000002	ORYLA00438	OFUSG12055.1.p1
OG0000002	ORYLA11640, ORYLA16693, ORYLA11641, ORYLA13465, ORYLA13463, ORYLA13464, ORYLA13468, ORYLA13466, ORYLA13469, ORYLA13571	OFUSG09076.1.p1
OG0000002	ORYLA03052, ORYLA16692	OFUSG22946.2.p1
OG0000002	ORYLA13467, ORYLA16691	OFUSG18506.1.p1
OG0000005	ORYLA03896, ORYLA03898, ORYLA03897, ORYLA03895	OFUSG24728.1.p1, OFUSG03693.1.p1
OG0000005	ORYLA11550	OFUSG01432.2.p1, OFUSG01432.1.p1, OFUSG01434.1.p1, OFUSG01434.2.p1, OFUSG22435.1.p1, OFUSG07985.1.p1, OFUSG00507.1.p1, OFUSG04765.1.p1, OFUSG01152.1.p1, OFUSG04763.1.p1, OFUSG04764.1.p1, OFUSG17307.1.p1, OFUSG01079.1.p1, OFUSG20722.1.p1, OFUSG20723.1.p1, OFUSG20721.1.p1, OFUSG03976.2.p1, OFUSG03976.3.p1, OFUSG03976.1.p1, OFUSG20962.1.p1, OFUSG26395.1.p1, OFUSG26404.1.p1, OFUSG17086.1.p1, OFUSG23479.1.p1, OFUSG23482.2.p1, OFUSG23482.1.p1
OG0000005	ORYLA04733	OFUSG20119.1.p1, OFUSG08484.1.p1
OG0000006	ORYLA13204, ORYLA13568, ORYLA06565	OFUSG17934.3.p1, OFUSG17934.2.p1, OFUSG17934.1.p1
OG0000006	ORYLA20407, ORYLA03595	OFUSG02905.1.p1
OG0000006	ORYLA03421, ORYLA09483	OFUSG14509.1.p1
