Orthogroup	ORYLA	AMPFI_ok
OG0000000	ORYLA04928	AMPFI_12098
OG0000000	ORYLA07037, ORYLA08538	AMPFI_16114
OG0000000	ORYLA05297	AMPFI_11894
OG0000000	ORYLA07410, ORYLA04925, ORYLA04924, ORYLA08113	AMPFI_12336
OG0000000	ORYLA02858, ORYLA12900	AMPFI_08228
OG0000000	ORYLA11446	AMPFI_10716
OG0000000	ORYLA09108	AMPFI_19781
OG0000000	ORYLA03925, ORYLA14471, ORYLA05095, ORYLA19386, ORYLA19387	AMPFI_12478
OG0000000	ORYLA01029, ORYLA04459	AMPFI_20876
OG0000000	ORYLA17729, ORYLA05044, ORYLA00932	AMPFI_21326
OG0000000	ORYLA11797, ORYLA10603	AMPFI_01589
OG0000000	ORYLA10060	AMPFI_10655
OG0000001	ORYLA01580	AMPFI_19631
OG0000001	ORYLA00821, ORYLA00820, ORYLA00819, ORYLA06087, ORYLA01582, ORYLA19233, ORYLA01576, ORYLA01896, ORYLA01897	AMPFI_18148, AMPFI_13477
OG0000001	ORYLA02547	AMPFI_07438, AMPFI_25876
OG0000002	ORYLA12350	AMPFI_05274, AMPFI_05275, AMPFI_21942
OG0000002	ORYLA03052, ORYLA16692	AMPFI_10257, AMPFI_10256, AMPFI_17364, AMPFI_17537, AMPFI_23709
OG0000002	ORYLA13467, ORYLA16691	AMPFI_02191, AMPFI_00932, AMPFI_04499, AMPFI_00565, AMPFI_17812, AMPFI_23663
OG0000003	ORYLA18464	AMPFI_17593, AMPFI_10595
OG0000003	ORYLA05141	AMPFI_14862
OG0000004	ORYLA04400, ORYLA08919	AMPFI_04189
OG0000004	ORYLA11723, ORYLA15657	AMPFI_03068
OG0000005	ORYLA04733	AMPFI_12557, AMPFI_17233, AMPFI_06946
OG0000006	ORYLA04794	AMPFI_22255, AMPFI_24001
OG0000006	ORYLA13382	AMPFI_22262
OG0000006	ORYLA09038	AMPFI_22463
OG0000006	ORYLA15680, ORYLA07217, ORYLA12345, ORYLA14784	AMPFI_10542, AMPFI_00206
OG0000006	ORYLA10511, ORYLA11827	AMPFI_02520
OG0000006	ORYLA13656, ORYLA07153, ORYLA02533	AMPFI_09123
OG0000006	ORYLA20473, ORYLA04673, ORYLA03873	AMPFI_18507
OG0000006	ORYLA03827, ORYLA03500, ORYLA10460, ORYLA00215, ORYLA04762	AMPFI_17130
OG0000006	ORYLA04691	AMPFI_12555
OG0000007	ORYLA14937, ORYLA17526	AMPFI_02812
OG0000007	ORYLA03070, ORYLA10601, ORYLA19360	AMPFI_07094
OG0000007	ORYLA09030	AMPFI_15871
OG0000007	ORYLA03471, ORYLA17615	AMPFI_26059
OG0000007	ORYLA01042, ORYLA11394, ORYLA05164	AMPFI_15806
OG0000007	ORYLA00561, ORYLA16283, ORYLA08278	AMPFI_22204
OG0000007	ORYLA16317	AMPFI_08786
OG0000007	ORYLA15605, ORYLA13871, ORYLA05828	AMPFI_21281
OG0000007	ORYLA10158, ORYLA04736	AMPFI_23280
OG0000008	ORYLA06372, ORYLA06647, ORYLA13248	AMPFI_03619
OG0000008	ORYLA02437, ORYLA18129	AMPFI_18464
OG0000008	ORYLA01591, ORYLA05589, ORYLA06938	AMPFI_13893
OG0000010	ORYLA14018, ORYLA14016, ORYLA14015, ORYLA14017, ORYLA17718, ORYLA15599, ORYLA15600, ORYLA12063, ORYLA05561	AMPFI_14170
OG0000010	ORYLA06892, ORYLA19685, ORYLA19686	AMPFI_04353
OG0000011	ORYLA04501	AMPFI_20107
OG0000012	ORYLA07628	AMPFI_05035, AMPFI_18913
OG0000013	ORYLA20078, ORYLA06697, ORYLA06696, ORYLA19175, ORYLA17235, ORYLA08330, ORYLA16166, ORYLA16167, ORYLA07272, ORYLA19251, ORYLA12627, ORYLA12626, ORYLA19586, ORYLA04041, ORYLA12625, ORYLA19174	AMPFI_13640
OG0000014	ORYLA07442, ORYLA17297, ORYLA15314, ORYLA13996, ORYLA16200, ORYLA10845, ORYLA16010, ORYLA14063, ORYLA17181, ORYLA08263, ORYLA04835, ORYLA19923, ORYLA15682	AMPFI_05504, AMPFI_16319
OG0000014	ORYLA04907	AMPFI_18330
OG0000014	ORYLA11600, ORYLA01088	AMPFI_16339
OG0000015	ORYLA09940, ORYLA09941, ORYLA00953, ORYLA04300, ORYLA18852, ORYLA01514	AMPFI_23995
OG0000016	ORYLA12720, ORYLA00945	AMPFI_14639
OG0000016	ORYLA09921	AMPFI_02509, AMPFI_18398, AMPFI_25432, AMPFI_13256, AMPFI_19016, AMPFI_14283, AMPFI_00661, AMPFI_20589, AMPFI_24031, AMPFI_06919, AMPFI_11939
OG0000016	ORYLA00030	AMPFI_06248
OG0000016	ORYLA08665	AMPFI_18220
OG0000017	ORYLA04686	AMPFI_13530, AMPFI_01348, AMPFI_00180
