Orthogroup	ORYLA	BRAFL
OG0000000	ORYLA04928	bflo_10712, bflo_10733
OG0000000	ORYLA07037, ORYLA08538	bflo_04183
OG0000000	ORYLA05297	bflo_24421, bflo_24425, bflo_09165
OG0000000	ORYLA07510, ORYLA04677	bflo_24954
OG0000000	ORYLA04924, ORYLA08113	bflo_09701
OG0000000	ORYLA18170	bflo_10072
OG0000000	ORYLA02858, ORYLA12900	bflo_16599
OG0000000	ORYLA03677	bflo_24252
OG0000000	ORYLA11446	bflo_19045
OG0000000	ORYLA17165, ORYLA08246, ORYLA01821	bflo_00191
OG0000000	ORYLA04170, ORYLA18990	bflo_15523
OG0000000	ORYLA08247	bflo_00189
OG0000000	ORYLA17164, ORYLA01822, ORYLA05619	bflo_00196
OG0000000	ORYLA04681, ORYLA15776, ORYLA17162, ORYLA09898	bflo_00192
OG0000000	ORYLA01825, ORYLA08248, ORYLA17161, ORYLA15775	bflo_00197
OG0000000	ORYLA09198, ORYLA12232, ORYLA10052	bflo_00617, bflo_23916
OG0000000	ORYLA08225, ORYLA06162	bflo_00176
OG0000000	ORYLA03925, ORYLA14471, ORYLA05095, ORYLA19386, ORYLA19387	bflo_10639
OG0000000	ORYLA01827, ORYLA05617	bflo_00920
OG0000000	ORYLA01029, ORYLA04459, ORYLA04630	bflo_14857
OG0000000	ORYLA17155, ORYLA01830, ORYLA09892	bflo_00526
OG0000000	ORYLA05044, ORYLA00932	bflo_10437
OG0000000	ORYLA17730, ORYLA05045, ORYLA01322	bflo_10148
OG0000000	ORYLA10060	bflo_18457
OG0000001	ORYLA00821, ORYLA00820, ORYLA00819, ORYLA06087, ORYLA01582, ORYLA19233, ORYLA01576, ORYLA01896, ORYLA01897	bflo_13782, bflo_21347, bflo_23767, bflo_16185
OG0000001	ORYLA02547	bflo_01216, bflo_22963, bflo_15401, bflo_01765, bflo_21469
OG0000002	ORYLA00438	bflo_03228, bflo_21287, bflo_03227, bflo_23657, bflo_04290, bflo_00094, bflo_17367, bflo_18222, bflo_07006, bflo_15449, bflo_00884, bflo_00880, bflo_00879, bflo_09101, bflo_09095, bflo_09111, bflo_09109, bflo_12588
OG0000002	ORYLA03051	bflo_17497, bflo_02368, bflo_17498, bflo_25563, bflo_06206, bflo_06205, bflo_25930, bflo_26131, bflo_26130, bflo_25287, bflo_00331, bflo_25393, bflo_26134, bflo_26137, bflo_25819, bflo_25402, bflo_11581, bflo_22671, bflo_22660, bflo_11130
OG0000004	ORYLA08163	bflo_07914
OG0000004	ORYLA04400, ORYLA08919	bflo_04032
OG0000005	ORYLA03896, ORYLA03898, ORYLA03897, ORYLA03895	bflo_16145, bflo_16762, bflo_16144, bflo_15993, bflo_16755, bflo_04838, bflo_00488, bflo_17720, bflo_17905, bflo_09935, bflo_16770
OG0000005	ORYLA11550	bflo_26492, bflo_15967, bflo_15868, bflo_16776, bflo_21372
OG0000006	ORYLA13568, ORYLA06565	bflo_07660
OG0000006	ORYLA20407, ORYLA03595	bflo_14856, bflo_15258
OG0000006	ORYLA03421, ORYLA09483	bflo_22120
OG0000006	ORYLA13382	bflo_16305
OG0000006	ORYLA09038	bflo_22526
OG0000006	ORYLA15680, ORYLA07217, ORYLA12345, ORYLA14784	bflo_10066, bflo_10065
OG0000006	ORYLA10511, ORYLA11827	bflo_12576
OG0000006	ORYLA16517	bflo_23572
OG0000006	ORYLA16515	bflo_23665
OG0000006	ORYLA17394	bflo_06220
OG0000006	ORYLA05082	bflo_08237
OG0000006	ORYLA13656, ORYLA07153, ORYLA02533	bflo_06222
OG0000006	ORYLA20473, ORYLA04673, ORYLA03873	bflo_08431
