Orthogroup	ORYLA	CAPO3
OG0000003	ORYLA18464, ORYLA05141	CAPO301945
OG0000005	ORYLA03896, ORYLA03898, ORYLA03897, ORYLA03895, ORYLA19606, ORYLA19605, ORYLA00089, ORYLA04143, ORYLA04443, ORYLA11947, ORYLA01858, ORYLA06713, ORYLA06714, ORYLA09160, ORYLA11550, ORYLA04733	CAPO308356, CAPO307946
OG0000006	ORYLA04691	CAPO302620
OG0000007	ORYLA03471, ORYLA17615, ORYLA01042, ORYLA11394, ORYLA05164	CAPO304209
OG0000007	ORYLA00561, ORYLA16283, ORYLA08278	CAPO303284
OG0000007	ORYLA15605, ORYLA13871, ORYLA05828	CAPO300935
OG0000007	ORYLA10158, ORYLA04736	CAPO305123
OG0000012	ORYLA07628, ORYLA15107, ORYLA15108, ORYLA15199	CAPO302923, CAPO302931
OG0000015	ORYLA00867, ORYLA20430, ORYLA00866, ORYLA04638, ORYLA19973, ORYLA01229, ORYLA13511, ORYLA08714, ORYLA04332, ORYLA10753, ORYLA11923, ORYLA10179, ORYLA11921, ORYLA10367, ORYLA08817, ORYLA04154, ORYLA03899, ORYLA10757, ORYLA08711, ORYLA01414, ORYLA19970, ORYLA04333, ORYLA13514, ORYLA08713, ORYLA08712, ORYLA13513, ORYLA01230, ORYLA01413, ORYLA19971, ORYLA09940, ORYLA09941, ORYLA00953, ORYLA04300, ORYLA18852, ORYLA01514	CAPO302521
OG0000016	ORYLA12720, ORYLA00945	CAPO300049
OG0000016	ORYLA17171, ORYLA00784, ORYLA19764, ORYLA05054	CAPO304360
OG0000016	ORYLA09921	CAPO306803
OG0000016	ORYLA00030	CAPO303259
OG0000016	ORYLA08665, ORYLA11245, ORYLA15380	CAPO300936
OG0000023	ORYLA08126, ORYLA02861, ORYLA18687, ORYLA06733, ORYLA07486, ORYLA12741, ORYLA15296, ORYLA13800, ORYLA07073, ORYLA08963, ORYLA07951, ORYLA02776, ORYLA01476, ORYLA03601, ORYLA14352, ORYLA16095, ORYLA03721, ORYLA03720, ORYLA12643, ORYLA15685, ORYLA18659, ORYLA18660	CAPO307690
OG0000029	ORYLA01422, ORYLA01423, ORYLA13081, ORYLA13154, ORYLA04292, ORYLA04294, ORYLA04293, ORYLA15257, ORYLA13110, ORYLA02813, ORYLA04764, ORYLA00213, ORYLA03112, ORYLA15906, ORYLA08651, ORYLA09837	CAPO307131
OG0000030	ORYLA18077	CAPO300110
