Orthogroup	ORYLA	HELIO_ok
OG0000000	ORYLA04928	HELIO_01999
OG0000000	ORYLA05297	HELIO_08880
OG0000000	ORYLA00843, ORYLA07411, ORYLA07410, ORYLA04925, ORYLA04924, ORYLA08113	HELIO_06752
OG0000000	ORYLA18170	HELIO_10666
OG0000000	ORYLA11446	HELIO_11687
OG0000000	ORYLA09108	HELIO_04988
OG0000000	ORYLA09198, ORYLA12232, ORYLA10052	HELIO_00534
OG0000000	ORYLA03925, ORYLA14471, ORYLA05095, ORYLA19386, ORYLA19387	HELIO_08573
OG0000000	ORYLA17155, ORYLA01830, ORYLA09892	HELIO_06829
OG0000000	ORYLA11797, ORYLA10603	HELIO_00816
OG0000000	ORYLA10060	HELIO_04090
OG0000002	ORYLA00438	HELIO_06215, HELIO_12339, HELIO_07200, HELIO_07091, HELIO_05970, HELIO_10154, HELIO_04237
OG0000002	ORYLA12350	HELIO_05342, HELIO_01248
OG0000002	ORYLA13467, ORYLA16691	HELIO_12021, HELIO_07207
OG0000003	ORYLA18464	HELIO_06573
OG0000003	ORYLA05141	HELIO_00523, HELIO_01732
OG0000004	ORYLA11723, ORYLA15657	HELIO_05213
OG0000005	ORYLA04733	HELIO_04655
OG0000006	ORYLA13204, ORYLA13568, ORYLA06565	HELIO_09248
OG0000006	ORYLA15680, ORYLA07217, ORYLA12345, ORYLA14784	HELIO_08707, HELIO_08259, HELIO_08264
OG0000006	ORYLA10511, ORYLA11827	HELIO_06349
OG0000006	ORYLA16517	HELIO_00150
OG0000006	ORYLA17394	HELIO_12770
OG0000006	ORYLA13656, ORYLA07153, ORYLA02533	HELIO_08890
OG0000006	ORYLA20473, ORYLA04673, ORYLA03873	HELIO_11381, HELIO_00450
OG0000006	ORYLA03827, ORYLA03500, ORYLA10460, ORYLA00215, ORYLA04762	HELIO_06418
OG0000007	ORYLA13334	HELIO_01296
OG0000007	ORYLA14937, ORYLA17526	HELIO_10106
OG0000007	ORYLA03070, ORYLA10601, ORYLA19360	HELIO_00643
OG0000007	ORYLA00267, ORYLA17457, ORYLA13245, ORYLA02416, ORYLA13595	HELIO_00352
OG0000007	ORYLA10719	HELIO_11362
OG0000007	ORYLA15197	HELIO_11129
OG0000007	ORYLA13335, ORYLA07003, ORYLA12464	HELIO_04873
OG0000007	ORYLA13010	HELIO_06738
OG0000007	ORYLA03471, ORYLA17615	HELIO_03703
