Orthogroup	ORYLA	MOUSE
OG0000000	ORYLA04928	MOUSE46731
OG0000000	ORYLA07037	MOUSE35499
OG0000000	ORYLA08538	MOUSE22971
OG0000000	ORYLA05297	MOUSE21445
OG0000000	ORYLA07510	MOUSE40450
OG0000000	ORYLA04677	MOUSE21440
OG0000000	ORYLA04925	MOUSE46719
OG0000000	ORYLA04924	MOUSE46718
OG0000000	ORYLA08113	MOUSE35959
OG0000000	ORYLA18170	MOUSE46854, MOUSE36974
OG0000000	ORYLA02858	MOUSE25533
OG0000000	ORYLA12900	MOUSE37056
OG0000000	ORYLA03677	MOUSE50563
OG0000000	ORYLA11446	MOUSE24692
OG0000000	ORYLA01821	MOUSE39799
OG0000000	ORYLA04170	MOUSE38794
OG0000000	ORYLA18990	MOUSE36509
OG0000000	ORYLA08247	MOUSE26494
OG0000000	ORYLA17164	MOUSE05221
OG0000000	ORYLA01822	MOUSE39801
OG0000000	ORYLA09108	MOUSE38795
OG0000000	ORYLA17159	MOUSE05214, MOUSE05213
OG0000000	ORYLA15774	MOUSE14888
OG0000000	ORYLA08249	MOUSE05216
OG0000000	ORYLA17160	MOUSE39808
OG0000000	ORYLA15776	MOUSE14890, MOUSE14891
OG0000000	ORYLA17162	MOUSE05218
OG0000000	ORYLA08248	MOUSE05217
OG0000000	ORYLA15775	MOUSE14885
OG0000000	ORYLA09198	MOUSE35589, MOUSE35590
OG0000000	ORYLA08225	MOUSE05644
OG0000000	ORYLA06162	MOUSE06967
OG0000000	ORYLA14471	MOUSE36056
OG0000000	ORYLA05095	MOUSE46881
OG0000000	ORYLA10061	MOUSE07113
OG0000000	ORYLA11798	MOUSE28108
OG0000000	ORYLA15773	MOUSE14887
OG0000000	ORYLA09896	MOUSE39814, MOUSE26488
OG0000000	ORYLA17158	MOUSE05211
OG0000000	ORYLA01827, ORYLA05617	MOUSE39816
OG0000000	ORYLA01029	MOUSE54681
OG0000000	ORYLA04459	MOUSE19588, MOUSE38796
OG0000000	ORYLA04630	MOUSE42582
OG0000000	ORYLA01830	MOUSE39822
OG0000000	ORYLA09892	MOUSE26482, MOUSE26483
OG0000000	ORYLA17729	MOUSE12761
OG0000000	ORYLA00932	MOUSE36110
OG0000000	ORYLA05045	MOUSE21123
OG0000000	ORYLA01322	MOUSE17205
OG0000000	ORYLA10603	MOUSE28110
OG0000000	ORYLA10060	MOUSE07114
OG0000001	ORYLA00821, ORYLA00820, ORYLA00819	MOUSE47437, MOUSE47438, MOUSE47439, MOUSE47434, MOUSE47432, MOUSE47431, MOUSE47433, MOUSE47430, MOUSE47429, MOUSE47425, MOUSE47427, MOUSE47426, MOUSE47428, MOUSE47435
OG0000002	ORYLA00438	MOUSE31557, MOUSE31558
OG0000002	ORYLA03051	MOUSE20993, MOUSE21009, MOUSE21010, MOUSE21011, MOUSE21008, MOUSE21000, MOUSE21001, MOUSE20997, MOUSE20998, MOUSE21012, MOUSE21138, MOUSE21137, MOUSE20995, MOUSE20994, MOUSE43167, MOUSE43166, MOUSE43157, MOUSE43142, MOUSE43143, MOUSE43145, MOUSE43144, MOUSE43158, MOUSE43165, MOUSE43164, MOUSE43147, MOUSE43160, MOUSE43159
OG0000002	ORYLA12350	MOUSE45935
OG0000002	ORYLA13465	MOUSE33135, MOUSE33132, MOUSE33133, MOUSE33131, MOUSE33130, MOUSE33134, MOUSE33136
