Orthogroup	ORYLA	APOSC_ok
OG0000000	ORYLA04928	APOSC_11837, APOSC_12606
OG0000000	ORYLA05297	APOSC_11472, APOSC_29094
OG0000000	ORYLA10797	APOSC_19214
OG0000000	ORYLA07410, ORYLA04925, ORYLA04924, ORYLA08113	APOSC_25410
OG0000000	ORYLA18170	APOSC_11604
OG0000000	ORYLA02858, ORYLA12900	APOSC_19137
OG0000000	ORYLA03677	APOSC_11544
OG0000000	ORYLA11446	APOSC_07565
OG0000000	ORYLA17165, ORYLA08246, ORYLA01821	APOSC_22022
OG0000000	ORYLA04170, ORYLA18990	APOSC_04964
OG0000000	ORYLA09108	APOSC_16565
OG0000000	ORYLA17159, ORYLA15774, ORYLA08249, ORYLA17160	APOSC_27318
OG0000000	ORYLA01825, ORYLA08248, ORYLA17161, ORYLA15775	APOSC_14732
OG0000000	ORYLA09198, ORYLA12232, ORYLA10052	APOSC_24894
OG0000000	ORYLA08225, ORYLA06162	APOSC_24788
OG0000000	ORYLA03925, ORYLA14471, ORYLA05095, ORYLA19386, ORYLA19387	APOSC_28968
OG0000000	ORYLA15773, ORYLA15772, ORYLA09896, ORYLA17158, ORYLA05618, ORYLA01824, ORYLA01826, ORYLA04682, ORYLA01827, ORYLA05617	APOSC_18629
OG0000000	ORYLA01029, ORYLA04459	APOSC_10621
OG0000000	ORYLA17155, ORYLA01830, ORYLA09892	APOSC_22429
OG0000000	ORYLA17729, ORYLA05044, ORYLA00932	APOSC_04636
OG0000000	ORYLA17730, ORYLA05045, ORYLA01322	APOSC_18693
OG0000000	ORYLA11797, ORYLA10603	APOSC_00117
OG0000000	ORYLA10060	APOSC_08607
OG0000002	ORYLA00438	APOSC_09040, APOSC_26016, APOSC_12200, APOSC_12199, APOSC_23614
OG0000002	ORYLA13467, ORYLA16691	APOSC_19154
OG0000003	ORYLA05141	APOSC_01527
OG0000004	ORYLA11723, ORYLA15657	APOSC_28247
OG0000005	ORYLA04733	APOSC_21707
OG0000006	ORYLA13204, ORYLA13568, ORYLA06565	APOSC_10640
OG0000006	ORYLA20407, ORYLA03595	APOSC_17637
OG0000006	ORYLA03421, ORYLA09483	APOSC_08216
OG0000006	ORYLA13382	APOSC_08805
OG0000006	ORYLA15680, ORYLA07217, ORYLA12345, ORYLA14784	APOSC_27173, APOSC_08430, APOSC_08431
OG0000006	ORYLA10511, ORYLA11827	APOSC_25251, APOSC_25252
OG0000006	ORYLA16517	APOSC_19228
OG0000006	ORYLA17394	APOSC_11581
OG0000006	ORYLA05082	APOSC_02745
OG0000006	ORYLA13656, ORYLA07153, ORYLA02533	APOSC_10711
OG0000006	ORYLA20473, ORYLA04673, ORYLA03873	APOSC_28483, APOSC_20785, APOSC_25644
OG0000006	ORYLA03827, ORYLA03500, ORYLA10460, ORYLA00215, ORYLA04762	APOSC_06790, APOSC_06791
OG0000007	ORYLA13334	APOSC_04982
OG0000007	ORYLA14937, ORYLA17526	APOSC_19545
OG0000007	ORYLA03070, ORYLA10601, ORYLA19360	APOSC_11262
OG0000007	ORYLA00267, ORYLA17457, ORYLA13245, ORYLA02416, ORYLA13595	APOSC_29119
OG0000007	ORYLA10719	APOSC_07509
OG0000007	ORYLA15197	APOSC_11745
OG0000007	ORYLA09030	APOSC_20868
OG0000007	ORYLA13335, ORYLA07003, ORYLA12464	APOSC_25152
OG0000007	ORYLA13010	APOSC_15698
OG0000007	ORYLA03471, ORYLA17615	APOSC_04562
OG0000007	ORYLA01042, ORYLA11394, ORYLA05164	APOSC_09541, APOSC_09542
OG0000007	ORYLA00561, ORYLA16283, ORYLA08278	APOSC_22651
OG0000007	ORYLA16317	APOSC_10715
OG0000007	ORYLA15605, ORYLA13871, ORYLA05828	APOSC_17950
OG0000007	ORYLA10158, ORYLA04736	APOSC_07482
OG0000008	ORYLA02437, ORYLA18129	APOSC_05395
OG0000008	ORYLA01591, ORYLA05589, ORYLA06938	APOSC_25161
OG0000010	ORYLA12063	APOSC_17642
OG0000010	ORYLA15708	APOSC_18394, APOSC_00478, APOSC_18393, APOSC_18395, APOSC_12160
OG0000010	ORYLA20398	APOSC_25939
OG0000012	ORYLA07628	APOSC_26906, APOSC_13089
OG0000012	ORYLA15199	APOSC_26545
OG0000013	ORYLA00386	APOSC_00689
OG0000013	ORYLA20078, ORYLA06697, ORYLA06696, ORYLA19175, ORYLA17235, ORYLA08330, ORYLA16166, ORYLA16167, ORYLA07272, ORYLA19251, ORYLA12627, ORYLA12626, ORYLA19586, ORYLA04041, ORYLA12625, ORYLA19174	APOSC_26024, APOSC_17612
OG0000014	ORYLA11600, ORYLA01088	APOSC_00187
OG0000015	ORYLA00867, ORYLA20430, ORYLA00866	APOSC_22269
OG0000015	ORYLA03899, ORYLA10757, ORYLA08711, ORYLA01414, ORYLA19970, ORYLA04333, ORYLA13514, ORYLA08713, ORYLA08712, ORYLA13513, ORYLA01230, ORYLA01413, ORYLA19971	APOSC_04279
OG0000016	ORYLA12720, ORYLA00945	APOSC_05404, APOSC_06852, APOSC_19259
OG0000016	ORYLA17171, ORYLA00784, ORYLA19764	APOSC_09216
OG0000016	ORYLA09921	APOSC_00060, APOSC_00061, APOSC_17734, APOSC_26907
OG0000016	ORYLA00030	APOSC_14883
OG0000016	ORYLA08665	APOSC_28721
OG0000016	ORYLA11245, ORYLA15380	APOSC_19884
OG0000018	ORYLA02836, ORYLA14501	APOSC_08452, APOSC_21594, APOSC_14592, APOSC_10136, APOSC_24463, APOSC_06216, APOSC_11694, APOSC_11405, APOSC_11402, APOSC_28174, APOSC_28173, APOSC_15394, APOSC_07808, APOSC_07807
OG0000018	ORYLA18860, ORYLA00684, ORYLA17944	APOSC_18141, APOSC_26690, APOSC_28962, APOSC_22915, APOSC_22631, APOSC_07163, APOSC_26689
OG0000019	ORYLA07041, ORYLA14014, ORYLA15975, ORYLA16411, ORYLA20089, ORYLA20088	APOSC_14801, APOSC_11507
OG0000020	ORYLA12531	APOSC_14708
OG0000020	ORYLA10559	APOSC_13376
OG0000020	ORYLA06663	APOSC_28648
OG0000020	ORYLA16727	APOSC_09964
OG0000020	ORYLA06780	APOSC_00691
OG0000020	ORYLA01097, ORYLA00349	APOSC_03094
OG0000020	ORYLA00902	APOSC_05461
OG0000020	ORYLA02546	APOSC_14067
OG0000020	ORYLA06519	APOSC_25230
OG0000021	ORYLA13904, ORYLA15936, ORYLA11094	APOSC_11990
OG0000021	ORYLA20207, ORYLA15834	APOSC_06563, APOSC_06562
OG0000021	ORYLA03698, ORYLA17601	APOSC_02202
OG0000021	ORYLA04373	APOSC_27384
OG0000021	ORYLA12092, ORYLA14389	APOSC_03399, APOSC_23486, APOSC_20200, APOSC_20201, APOSC_00458, APOSC_17587, APOSC_13199, APOSC_11609, APOSC_23651, APOSC_17223, APOSC_20614
OG0000021	ORYLA06753	APOSC_04995, APOSC_08508, APOSC_08509, APOSC_11901, APOSC_23082
OG0000023	ORYLA08126	APOSC_14758
OG0000023	ORYLA02861, ORYLA18687, ORYLA06733, ORYLA07486, ORYLA12741, ORYLA15296, ORYLA13800, ORYLA07073, ORYLA08963, ORYLA07951, ORYLA02776, ORYLA01476	APOSC_23823, APOSC_12992, APOSC_08983, APOSC_08982
OG0000023	ORYLA03721, ORYLA03720, ORYLA12643, ORYLA15685, ORYLA18659, ORYLA18660	APOSC_23115
OG0000024	ORYLA12557, ORYLA19130, ORYLA18208, ORYLA03774, ORYLA18873, ORYLA03822, ORYLA04064	APOSC_12646, APOSC_04236, APOSC_19476, APOSC_14174, APOSC_24397, APOSC_23909, APOSC_28972, APOSC_07572, APOSC_01461, APOSC_26217, APOSC_01854, APOSC_01855, APOSC_18488, APOSC_05397, APOSC_28827, APOSC_12673, APOSC_17746, APOSC_17532, APOSC_17533, APOSC_28434, APOSC_09826, APOSC_02940, APOSC_15787, APOSC_15998, APOSC_01155, APOSC_26603, APOSC_13066, APOSC_21939, APOSC_21316
OG0000024	ORYLA17936, ORYLA08736, ORYLA06589, ORYLA12747	APOSC_27461, APOSC_10842
OG0000024	ORYLA12762	APOSC_04012, APOSC_04013, APOSC_04014, APOSC_08549
OG0000024	ORYLA08413, ORYLA19485, ORYLA02911, ORYLA10288	APOSC_17589
OG0000026	ORYLA09539	APOSC_13965
OG0000028	ORYLA20303, ORYLA20302, ORYLA00834, ORYLA01103, ORYLA05749, ORYLA01547	APOSC_17838, APOSC_17839
