Orthogroup	ORYLA	YEAST
OG0000000	ORYLA04928, ORYLA02333, ORYLA07037, ORYLA08538, ORYLA05297, ORYLA07510, ORYLA04677, ORYLA10797, ORYLA00843, ORYLA07411, ORYLA07410, ORYLA04925, ORYLA04924, ORYLA08113, ORYLA18170, ORYLA02858, ORYLA12900, ORYLA03677, ORYLA11446, ORYLA17165, ORYLA08246, ORYLA01821, ORYLA04170, ORYLA18990, ORYLA15771, ORYLA08247, ORYLA17164, ORYLA01822, ORYLA05619, ORYLA09108, ORYLA17159, ORYLA15774, ORYLA08249, ORYLA17160, ORYLA04681, ORYLA15776, ORYLA17162, ORYLA09898, ORYLA01825, ORYLA08248, ORYLA17161, ORYLA15775, ORYLA09198, ORYLA12232, ORYLA10052, ORYLA08225, ORYLA06162	YEAST00701
OG0000000	ORYLA04630	YEAST04484
OG0000006	ORYLA04794	YEAST01430
OG0000007	ORYLA13010	YEAST00671
OG0000007	ORYLA00561, ORYLA16283, ORYLA08278	YEAST01568, YEAST05134
OG0000011	ORYLA04501	YEAST02600, YEAST01619
OG0000013	ORYLA00386, ORYLA20078, ORYLA06697, ORYLA06696, ORYLA19175, ORYLA17235, ORYLA08330, ORYLA16166, ORYLA16167, ORYLA07272, ORYLA19251, ORYLA12627, ORYLA12626, ORYLA19586, ORYLA04041, ORYLA12625, ORYLA19174	YEAST04082
OG0000014	ORYLA07442, ORYLA17297, ORYLA15314, ORYLA13996, ORYLA16200, ORYLA10845, ORYLA16010, ORYLA14063, ORYLA17181, ORYLA08263, ORYLA04835, ORYLA19923, ORYLA15682, ORYLA04907, ORYLA11600, ORYLA01088, ORYLA07812, ORYLA17200	YEAST03484, YEAST05078, YEAST05334, YEAST05768
OG0000016	ORYLA12720, ORYLA00945	YEAST03839, YEAST02807, YEAST03817
OG0000016	ORYLA17171, ORYLA00784, ORYLA19764, ORYLA05054	YEAST03870, YEAST01103
OG0000031	ORYLA04590, ORYLA09861, ORYLA15740, ORYLA13928, ORYLA09882, ORYLA05598, ORYLA01771, ORYLA18563, ORYLA01770, ORYLA06561, ORYLA14932, ORYLA17720, ORYLA05367, ORYLA00795, ORYLA10394, ORYLA11971, ORYLA14237, ORYLA15433, ORYLA04591, ORYLA04917, ORYLA06754, ORYLA07156, ORYLA02513, ORYLA09501, ORYLA00346, ORYLA09459, ORYLA08614, ORYLA06390, ORYLA06240	YEAST02238
OG0000034	ORYLA07927, ORYLA16241, ORYLA04579, ORYLA02286, ORYLA17781, ORYLA16358, ORYLA12476, ORYLA15138, ORYLA11195, ORYLA16147, ORYLA17140, ORYLA07963, ORYLA14023, ORYLA15996, ORYLA11192, ORYLA14993, ORYLA14558, ORYLA07312, ORYLA12339, ORYLA14860, ORYLA19697, ORYLA14655	YEAST04436, YEAST05550, YEAST05115
OG0000036	ORYLA07477, ORYLA12738, ORYLA06564, ORYLA02184, ORYLA15615, ORYLA15153, ORYLA07495, ORYLA20280, ORYLA12724, ORYLA20440, ORYLA11184, ORYLA12571	YEAST02545, YEAST02806
OG0000037	ORYLA10680, ORYLA05584, ORYLA10681, ORYLA11814, ORYLA12530, ORYLA11609, ORYLA10251, ORYLA04338, ORYLA01058, ORYLA05151, ORYLA08136, ORYLA03090, ORYLA15954, ORYLA02209, ORYLA10771, ORYLA11448, ORYLA04725	YEAST03227
OG0000038	ORYLA16079, ORYLA04512, ORYLA16141, ORYLA16180, ORYLA16179, ORYLA09756, ORYLA04780, ORYLA09755, ORYLA06128, ORYLA16181, ORYLA04511, ORYLA08393, ORYLA09754	YEAST04422, YEAST04379
OG0000043	ORYLA04209, ORYLA03853, ORYLA11281, ORYLA00044, ORYLA03854, ORYLA03388	YEAST00224, YEAST01200
OG0000048	ORYLA15052	YEAST05020
OG0000048	ORYLA19472, ORYLA03737, ORYLA03687, ORYLA17217, ORYLA14101, ORYLA09010, ORYLA09283, ORYLA10119, ORYLA14965, ORYLA19631, ORYLA08002, ORYLA11420, ORYLA15054	YEAST05707
OG0000054	ORYLA00519, ORYLA05953, ORYLA08804	YEAST01385
OG0000055	ORYLA00098, ORYLA00083, ORYLA00100	YEAST01199, YEAST00225
OG0000058	ORYLA18104, ORYLA11895, ORYLA12524, ORYLA19070, ORYLA00576, ORYLA16972, ORYLA18102, ORYLA18100, ORYLA18099, ORYLA18101, ORYLA18068	YEAST02120
OG0000069	ORYLA08015	YEAST05172
OG0000079	ORYLA09899, ORYLA15778, ORYLA00899, ORYLA18734, ORYLA00922, ORYLA20485, ORYLA00903, ORYLA02351, ORYLA01210, ORYLA04604, ORYLA04303, ORYLA04302, ORYLA14111, ORYLA18726, ORYLA17895, ORYLA13165	YEAST05330
OG0000082	ORYLA02580	YEAST03287
OG0000082	ORYLA01470	YEAST04267, YEAST01834, YEAST03359
OG0000082	ORYLA16249, ORYLA15676, ORYLA09330, ORYLA03293, ORYLA05560	YEAST03862, YEAST00076, YEAST01992, YEAST00148
OG0000082	ORYLA19108	YEAST04992, YEAST00735
OG0000095	ORYLA14595, ORYLA20341, ORYLA20340, ORYLA09081, ORYLA08748, ORYLA09168, ORYLA08687	YEAST02993
OG0000096	ORYLA01048, ORYLA09916, ORYLA08764, ORYLA06904, ORYLA03328, ORYLA16077, ORYLA13956, ORYLA11296	YEAST02643
OG0000096	ORYLA13747, ORYLA08870	YEAST00638
OG0000096	ORYLA15103, ORYLA16842, ORYLA19281, ORYLA15104, ORYLA12353, ORYLA17186, ORYLA10017	YEAST05104, YEAST05564
OG0000103	ORYLA18349, ORYLA06785, ORYLA13767, ORYLA13768, ORYLA18738, ORYLA18739, ORYLA16588, ORYLA16584, ORYLA16587, ORYLA18654, ORYLA16586, ORYLA15171, ORYLA18507, ORYLA11651, ORYLA06786, ORYLA06787, ORYLA08966, ORYLA05784, ORYLA17049, ORYLA00063, ORYLA17050, ORYLA16263, ORYLA00786, ORYLA17085, ORYLA00059	YEAST02873
OG0000107	ORYLA00097, ORYLA00082, ORYLA00110, ORYLA00109, ORYLA18785	YEAST05173
OG0000113	ORYLA17645, ORYLA13433, ORYLA10928, ORYLA14685, ORYLA14684, ORYLA10897, ORYLA10893, ORYLA10892, ORYLA10894, ORYLA10895, ORYLA10896, ORYLA15283	YEAST00378, YEAST01351, YEAST05581
OG0000116	ORYLA09389, ORYLA19541	YEAST04456
OG0000122	ORYLA07892, ORYLA16400, ORYLA09254, ORYLA06471, ORYLA02327, ORYLA17983, ORYLA02410, ORYLA19820, ORYLA19819, ORYLA01684, ORYLA06197, ORYLA08626, ORYLA09819, ORYLA20153	YEAST04928
OG0000124	ORYLA04499, ORYLA01264	YEAST05021
OG0000124	ORYLA05871, ORYLA01892, ORYLA14227, ORYLA16018, ORYLA14228, ORYLA16019	YEAST04122
OG0000127	ORYLA09546, ORYLA01017, ORYLA13298, ORYLA18247, ORYLA09922, ORYLA05476, ORYLA10382, ORYLA11714, ORYLA16210, ORYLA09241, ORYLA09240, ORYLA16687, ORYLA17012, ORYLA18446, ORYLA16683	YEAST06208
OG0000128	ORYLA06619, ORYLA09314	YEAST03441, YEAST01398, YEAST05967, YEAST05716
OG0000132	ORYLA13789, ORYLA03852, ORYLA04393, ORYLA00046, ORYLA00081, ORYLA00043, ORYLA08009	YEAST06016
OG0000137	ORYLA01561, ORYLA05405, ORYLA11449, ORYLA01560, ORYLA20491, ORYLA06196, ORYLA16275, ORYLA11370, ORYLA08706	YEAST01851, YEAST00637
OG0000142	ORYLA08857, ORYLA18004, ORYLA10671, ORYLA16620, ORYLA01917, ORYLA05889, ORYLA06988, ORYLA13949	YEAST02122
OG0000157	ORYLA13712	YEAST02851
OG0000158	ORYLA13317, ORYLA13316, ORYLA00712, ORYLA06676, ORYLA13319, ORYLA13320, ORYLA06673, ORYLA13322, ORYLA13321, ORYLA02577, ORYLA02576, ORYLA02575, ORYLA13315, ORYLA13314, ORYLA06675, ORYLA06677, ORYLA16215, ORYLA04882, ORYLA09237, ORYLA07104	YEAST05568
OG0000160	ORYLA15840, ORYLA02669, ORYLA17886, ORYLA02668, ORYLA17884	YEAST04194
OG0000175	ORYLA13694, ORYLA09065, ORYLA06318, ORYLA14503, ORYLA14504	YEAST00850, YEAST04327
OG0000179	ORYLA08077, ORYLA04985, ORYLA02338, ORYLA18117	YEAST01123, YEAST04430
OG0000179	ORYLA18062, ORYLA18061, ORYLA14649	YEAST02911, YEAST01281
OG0000179	ORYLA20422	YEAST04108, YEAST03346
OG0000181	ORYLA16498, ORYLA13742, ORYLA15752, ORYLA07049, ORYLA08335, ORYLA19060, ORYLA03346, ORYLA11594, ORYLA14523, ORYLA18853, ORYLA15035	YEAST00824, YEAST00771
OG0000186	ORYLA10669	YEAST00336
OG0000194	ORYLA03335, ORYLA10209, ORYLA09317	YEAST01410
OG0000195	ORYLA09172, ORYLA07416	YEAST03414
OG0000211	ORYLA03809, ORYLA03810, ORYLA05322, ORYLA04972, ORYLA14089, ORYLA02476, ORYLA17530, ORYLA18617, ORYLA15118, ORYLA12450	YEAST04964
OG0000221	ORYLA19844, ORYLA09679, ORYLA09153, ORYLA06716, ORYLA16420, ORYLA20056, ORYLA03306, ORYLA16226, ORYLA13864, ORYLA19366, ORYLA06146, ORYLA01810, ORYLA16468, ORYLA14776	YEAST05872
OG0000222	ORYLA03527, ORYLA14496, ORYLA13104, ORYLA13105	YEAST01460
OG0000225	ORYLA10962, ORYLA15835, ORYLA13765, ORYLA15534, ORYLA19091, ORYLA15739, ORYLA02794, ORYLA01507	YEAST06146
OG0000227	ORYLA01974, ORYLA09705, ORYLA16473, ORYLA07142, ORYLA14920, ORYLA14919, ORYLA08058, ORYLA16479, ORYLA19592, ORYLA07005, ORYLA07006, ORYLA13332	YEAST05815
OG0000228	ORYLA04088, ORYLA03535, ORYLA04089, ORYLA00004, ORYLA00005, ORYLA01119, ORYLA00170, ORYLA01127, ORYLA01126	YEAST04750
OG0000233	ORYLA05663, ORYLA18003	YEAST03726, YEAST03241, YEAST03242
OG0000238	ORYLA07768, ORYLA07061, ORYLA18743, ORYLA15964, ORYLA06983	YEAST06340, YEAST03834
OG0000240	ORYLA19584, ORYLA18684, ORYLA18226	YEAST03827
OG0000242	ORYLA11284, ORYLA20306, ORYLA07965, ORYLA20204, ORYLA11050	YEAST00734
OG0000246	ORYLA16344, ORYLA17250	YEAST01746, YEAST01747
OG0000250	ORYLA14962, ORYLA16891, ORYLA11002	YEAST04716
OG0000255	ORYLA04331, ORYLA12113	YEAST02822
OG0000256	ORYLA02742, ORYLA16602, ORYLA00877, ORYLA19550, ORYLA12202, ORYLA14805, ORYLA12201	YEAST00266
OG0000258	ORYLA05816, ORYLA16736, ORYLA00803, ORYLA19450, ORYLA00543, ORYLA13731, ORYLA14055, ORYLA11238, ORYLA10418, ORYLA04818, ORYLA08148	YEAST00118
OG0000260	ORYLA10907, ORYLA18428, ORYLA15874, ORYLA17877, ORYLA08131, ORYLA01145	YEAST04323
OG0000265	ORYLA17739, ORYLA10912, ORYLA14726	YEAST03885, YEAST03714
OG0000272	ORYLA04557, ORYLA03537, ORYLA01727, ORYLA05346, ORYLA10396, ORYLA15887, ORYLA20158, ORYLA03232, ORYLA18754	YEAST02076, YEAST01066
OG0000278	ORYLA04407	YEAST03847
OG0000278	ORYLA13179	YEAST03806
OG0000278	ORYLA04766	YEAST04060
OG0000284	ORYLA12966, ORYLA01651, ORYLA17103, ORYLA18256, ORYLA20455, ORYLA00383	YEAST05621
OG0000289	ORYLA05120, ORYLA13565, ORYLA06948, ORYLA17464, ORYLA12957, ORYLA11776	YEAST00645
OG0000305	ORYLA05505, ORYLA02167, ORYLA05631, ORYLA20085, ORYLA06691, ORYLA14370, ORYLA15761	YEAST04899
OG0000308	ORYLA08644, ORYLA03830, ORYLA03011, ORYLA01851, ORYLA08982	YEAST02548
OG0000310	ORYLA09618	YEAST02635
OG0000312	ORYLA12072, ORYLA02919, ORYLA07558, ORYLA20410, ORYLA04032	YEAST06260, YEAST02598, YEAST06261, YEAST02599, YEAST00807, YEAST04102
OG0000313	ORYLA07713, ORYLA09993, ORYLA12846, ORYLA05854	YEAST05106
OG0000316	ORYLA12240, ORYLA00490, ORYLA05028, ORYLA00489, ORYLA00488, ORYLA06812, ORYLA13482	YEAST01673
OG0000317	ORYLA17846, ORYLA11677, ORYLA02222, ORYLA11482, ORYLA19885, ORYLA01724, ORYLA05343	YEAST01356
OG0000321	ORYLA12958, ORYLA02627, ORYLA16703, ORYLA00623, ORYLA01005, ORYLA09493, ORYLA09170, ORYLA01006, ORYLA09494, ORYLA09171, ORYLA04617	YEAST03264
OG0000323	ORYLA08920, ORYLA03927, ORYLA19746, ORYLA05750, ORYLA06414, ORYLA19842, ORYLA10008	YEAST02249
OG0000326	ORYLA13891, ORYLA06903, ORYLA03641, ORYLA04182	YEAST06268, YEAST05286
OG0000326	ORYLA13893	YEAST06056, YEAST03472, YEAST00720, YEAST00712, YEAST04873, YEAST02103, YEAST02102
OG0000327	ORYLA14175, ORYLA16012, ORYLA16011, ORYLA14173, ORYLA14174	YEAST01354
OG0000334	ORYLA17002	YEAST05626
OG0000338	ORYLA03979, ORYLA03456, ORYLA02319, ORYLA17367, ORYLA06348	YEAST02967
OG0000338	ORYLA01999, ORYLA20309, ORYLA06130	YEAST04211
