Orthogroup	ORYLA	DANRE
OG0000000	ORYLA04928	DANRE05762
OG0000000	ORYLA02333	DANRE00109
OG0000000	ORYLA07037	DANRE24636
OG0000000	ORYLA08538	DANRE35926
OG0000000	ORYLA05297	DANRE05022
OG0000000	ORYLA07510	DANRE37544
OG0000000	ORYLA04677	DANRE11226
OG0000000	ORYLA10797	DANRE04898
OG0000000	ORYLA00843	DANRE16356
OG0000000	ORYLA04925	DANRE11234
OG0000000	ORYLA04924	DANRE11232
OG0000000	ORYLA08113	DANRE16357
OG0000000	ORYLA18170	DANRE05964, DANRE19591, DANRE19592
OG0000000	ORYLA02858	DANRE34117, DANRE19532
OG0000000	ORYLA12900	DANRE36202
OG0000000	ORYLA03677	DANRE13405
OG0000000	ORYLA11446	DANRE18867, DANRE18868
OG0000000	ORYLA08246	DANRE03839, DANRE29251
OG0000000	ORYLA01821	DANRE14339, DANRE14340
OG0000000	ORYLA04170	DANRE35277, DANRE35276
OG0000000	ORYLA18990	DANRE17824
OG0000000	ORYLA17164	DANRE29250
OG0000000	ORYLA01822	DANRE09540
OG0000000	ORYLA09108	DANRE24278
OG0000000	ORYLA17159	DANRE29240
OG0000000	ORYLA15774	DANRE23428
OG0000000	ORYLA08249	DANRE03837, DANRE29246
OG0000000	ORYLA15776	DANRE23433
OG0000000	ORYLA17162	DANRE29249
OG0000000	ORYLA09898	DANRE41434
OG0000000	ORYLA08248	DANRE29247, DANRE03838
OG0000000	ORYLA15775	DANRE23432, DANRE23431
OG0000000	ORYLA09198	DANRE38770
OG0000000	ORYLA12232	DANRE41587, DANRE15352, DANRE15353
OG0000000	ORYLA08225	DANRE03853, DANRE03854
OG0000000	ORYLA06162	DANRE14679, DANRE08590
OG0000000	ORYLA14471	DANRE06002
OG0000000	ORYLA05095	DANRE05182, DANRE16636
OG0000000	ORYLA10061	DANRE11732
OG0000000	ORYLA11798	DANRE11786, DANRE11785, DANRE18799
OG0000000	ORYLA15773	DANRE23427
OG0000000	ORYLA09896	DANRE41435
OG0000000	ORYLA17158	DANRE29239, DANRE29238
OG0000000	ORYLA05618	DANRE09539
OG0000000	ORYLA01827, ORYLA05617	DANRE09538
OG0000000	ORYLA01029	DANRE06945, DANRE06944
OG0000000	ORYLA04459	DANRE20512
OG0000000	ORYLA04630	DANRE24055
OG0000000	ORYLA17155	DANRE29235, DANRE29234
OG0000000	ORYLA01830	DANRE14325, DANRE14326
OG0000000	ORYLA09892	DANRE41441
OG0000000	ORYLA17729	DANRE41165
OG0000000	ORYLA00932	DANRE05977
OG0000000	ORYLA05045	DANRE05745, DANRE05744
OG0000000	ORYLA01322	DANRE06657
