amphioxus (BFL)	sea urchin (SPU)	hemichordate (PFL)
LOC118411994	LOC580010	XLOC_022938
LOC118412422	LOC373234	XLOC_014072
LOC118411916	LOC594620	XLOC_022697
LOC118410903	LOC105445244	XLOC_014113
LOC118411535	LOC576891	XLOC_013122
LOC118411611	LOC578083	XLOC_014377
LOC118411061	LOC373240	XLOC_023144
LOC118412269	LOC575234	XLOC_013712
LOC118412275	LOC582488	XLOC_023535
LOC118411318	LOC593676	XLOC_013430
LOC118411918	LOC586198	XLOC_023632
LOC118412108	LOC585561	XLOC_013124
LOC118411922	LOC582208	XLOC_013711
LOC118412278	LOC583107	XLOC_013987
LOC118412634	LOC578192	XLOC_013432
LOC118412329	LOC581024	XLOC_021862
LOC118412248	LOC115919301	XLOC_013424
LOC118411549	LOC580016	XLOC_022107
LOC118411589	LOC579944	XLOC_013663
LOC118412158	LOC578005	XLOC_022652
LOC118411911	LOC584318	XLOC_023179
LOC118412189	LOC594485	XLOC_013365
LOC118412414	LOC594826	XLOC_014004
LOC118412001	gnaq	XLOC_022636
LOC118412297	LOC579676	XLOC_013659
LOC118412341	LOC587197	XLOC_013260
LOC118412733	rab11	XLOC_014384
LOC118412101	LOC576972	XLOC_013233
LOC118411635	LOC100888145	XLOC_023630
LOC118410797	LOC756234	XLOC_014425
LOC118410906	LOC575560	XLOC_013237
LOC118411940	LOC578394	XLOC_014440
LOC118410804	LOC100887880	XLOC_013238
LOC118412191	LOC576399	XLOC_014002
LOC118412507	LOC753198	XLOC_013924
LOC118412450	LOC590445	XLOC_013809
LOC118411917	LOC594652	XLOC_023335
LOC118412737	LOC589684	XLOC_022521
LOC118411962	rab8	XLOC_023337
LOC118411196	LOC581153	XLOC_014000
LOC118411948	LOC577137	XLOC_023180
LOC118411705	LOC579306	XLOC_014396
LOC118412166	LOC590931	XLOC_013975
LOC118411999	LOC763089	XLOC_023282
LOC118412622	LOC592010	XLOC_013376
LOC118411499	LOC594488	XLOC_014311
LOC118411964	LOC583649	XLOC_023336
LOC118411224	LOC583286	XLOC_021968
LOC118411286	LOC588386	XLOC_014022
LOC118411500	LOC583339	XLOC_014301
LOC118411364	LOC576686	XLOC_014003
LOC118412311	LOC584529	XLOC_022915
LOC118411044	LOC579703	XLOC_014228
LOC118411978	LOC581228	XLOC_023315
LOC118411236	LOC576833	XLOC_013773
LOC118412688	LOC762467	XLOC_013241
LOC118411231	LOC581523	XLOC_022089
LOC118411936	LOC582724	XLOC_022960
LOC118411591	LOC115919158	XLOC_014372
LOC118412192	LOC576460	XLOC_013364
LOC118412510	LOC579637	XLOC_022663
LOC118412315	LOC582526	XLOC_022166
LOC118411069	LOC579661	XLOC_023178
LOC118412318	LOC575335	XLOC_013265
LOC118412322	LOC584749	XLOC_014081
LOC118411276	LOC575376	XLOC_013275
LOC118411119	LOC580618	XLOC_013152
LOC118411375	LOC580696	XLOC_023396
LOC118411984	LOC578794	XLOC_022959
LOC118411515	LOC581552	XLOC_014394
LOC118411509	LOC594046	XLOC_013905
