amphioxus (BFL)	sea urchin (SPU)	hemichordate (PFL)
LOC118403086	LOC591417	XLOC_014346
LOC118403919	LOC594811	XLOC_013596
LOC118403034	LOC579123	XLOC_013505
LOC118403913	LOC589630	XLOC_022831
LOC118403719	LOC115919156	XLOC_013389
LOC118432761	LOC575215	XLOC_013219
LOC118403146	LOC577868	XLOC_013521
LOC118432715	COLP1alpha	XLOC_013386
LOC118403189	LOC582717	XLOC_013207
LOC118403259	LOC115919281	XLOC_013818
LOC118403621	LOC591084	XLOC_013134
LOC118432841	LOC115918282	XLOC_022457
LOC118403748	LOC588665	XLOC_023078
LOC118403893	LOC586095	XLOC_014248
LOC118403390	LOC590877	XLOC_014223
LOC118403860	LOC576717	XLOC_022843
LOC118403095	LOC576276	XLOC_014209
LOC118403816	LOC576136	XLOC_013993
LOC118403316	LOC575126	XLOC_013204
LOC118403183	LOC581837	XLOC_013595
LOC118432747	LOC580371	XLOC_022622
LOC118403149	LOC115917948	XLOC_013221
LOC118403063	LOC586102	XLOC_023266
LOC118403923	LOC578762	XLOC_013330
LOC118403912	LOC580494	XLOC_013577
LOC118403581	LOC580798	XLOC_013670
LOC118403090	LOC594820	XLOC_013841
LOC118403015	LOC580797	XLOC_013992
LOC118403566	LOC585499	XLOC_013995
LOC118403861	LOC588558	XLOC_014367
LOC118403647	LOC578471	XLOC_013441
LOC118432703	LOC580653	XLOC_014286
LOC118403722	LOC582354	XLOC_022901
LOC118403075	LOC582039	XLOC_013884
LOC118403191	LOC115919390	XLOC_013860
LOC118403966	LOC576433	XLOC_013978
LOC118403583	LOC752864	XLOC_013852
LOC118403862	LOC589304	XLOC_021889
LOC118403274	LOC578330	XLOC_013507
LOC118403291	LOC582523	XLOC_023536
LOC118403207	LOC580713	XLOC_013187
LOC118403922	LOC100891619	XLOC_013977
LOC118403379	LOC588960	XLOC_013382
LOC118403595	LOC588140	XLOC_014231
LOC118403646	LOC581936	XLOC_014295
LOC118403139	LOC587933	XLOC_023395
LOC118403240	LOC578163	XLOC_013477
LOC118403084	LOC100889554	XLOC_014391
LOC118403845	LOC585950	XLOC_013379
LOC118403281	LOC578201	XLOC_013506
LOC118403550	LOC585512	XLOC_014044
LOC118403495	LOC574640	XLOC_014313
LOC118403358	LOC576167	XLOC_014075
LOC118432737	Dlx	XLOC_014417
LOC118403318	LOC587818	XLOC_022739
LOC118432754	LOC586939	XLOC_013409
LOC118403496	LOC577956	XLOC_014160
LOC118403337	LOC753088	XLOC_013611
LOC118403877	LOC756525	XLOC_013316
LOC118403195	LOC590017	XLOC_013395
LOC118403311	LOC105437221	XLOC_013434
LOC118403326	LOC581813	XLOC_013435
LOC118403253	LOC100892223	XLOC_014334
LOC118403528	LOC579111	XLOC_013380
LOC118403181	LOC588193	XLOC_023389
LOC118432708	LOC115929925	XLOC_014414
LOC118403119	LOC588533	XLOC_013188
LOC118403863	LOC581750	XLOC_013288
LOC118403202	LOC582121	XLOC_013223
LOC118403899	LOC580554	XLOC_022943
LOC118403563	LOC588186	XLOC_014292
LOC118403268	LOC583995	XLOC_013268
LOC118403551	LOC581957	XLOC_023219
LOC118403249	LOC588618	XLOC_014025
LOC118403103	LOC588358	XLOC_022445
LOC118403654	LOC581966	XLOC_013537
LOC118403798	LOC581581	XLOC_023055
LOC118403790	LOC578013	XLOC_021977
LOC118403348	LOC763347	XLOC_014038
LOC118403936	LOC575102	XLOC_013385
LOC118432748	LOC580337	XLOC_022623
LOC118403206	LOC115918293	XLOC_013880
LOC118403347	LOC115919396	XLOC_014119
LOC118403755	LOC578138	XLOC_013693
LOC118403813	LOC754309	XLOC_022676
LOC118403694	LOC578647	XLOC_022051
LOC118403223	LOC576369	XLOC_013271
LOC118403709	LOC755292	XLOC_013381
LOC118403908	LOC580556	XLOC_013578
LOC118403394	LOC105444658	XLOC_013931
LOC118403940	LOC577795	XLOC_013699
LOC118403470	LOC752896	XLOC_013850
LOC118403324	LOC576133	XLOC_013396
LOC118403522	LOC591657	XLOC_013623
LOC118403468	LOC764571	XLOC_013849
LOC118403296	LOC583818	XLOC_022114
LOC118403608	LOC587630	XLOC_022848
LOC118403381	LOC105440285	XLOC_014034
LOC118403901	LOC753062	XLOC_022854
LOC118403271	LOC580655	XLOC_013293
LOC118403312	LOC582313	XLOC_014331
LOC118403661	cdk4	XLOC_023218
LOC118403231	LOC115919292	XLOC_013694
LOC118403105	LOC100888432	XLOC_022447
LOC118403967	LOC578214	XLOC_013331
LOC118403083	LOC577108	XLOC_013132
LOC118403467	LOC580191	XLOC_013201
