Orthogroup	AMPFI_ok	APOSC_ok
OG0000000	AMPFI_12098	APOSC_11837, APOSC_12606
OG0000000	AMPFI_11894	APOSC_11472, APOSC_29094
OG0000000	AMPFI_12336	APOSC_25410
OG0000000	AMPFI_16025	APOSC_28354
OG0000000	AMPFI_08228	APOSC_19137
OG0000000	AMPFI_02168	APOSC_04208
OG0000000	AMPFI_10716	APOSC_07565
OG0000000	AMPFI_19781	APOSC_16565
OG0000000	AMPFI_22359	APOSC_06302
OG0000000	AMPFI_12478	APOSC_28968
OG0000000	AMPFI_25019	APOSC_01689
OG0000000	AMPFI_04297	APOSC_01343
OG0000000	AMPFI_05560	APOSC_25317
OG0000000	AMPFI_20876	APOSC_10621
OG0000000	AMPFI_21326	APOSC_04636
OG0000000	AMPFI_01589	APOSC_00117
OG0000000	AMPFI_10655	APOSC_08607
OG0000001	AMPFI_06127	APOSC_22156
OG0000001	AMPFI_11237	APOSC_01815
OG0000001	AMPFI_13782	APOSC_16060
OG0000001	AMPFI_23521	APOSC_06332, APOSC_06333, APOSC_10705, APOSC_01009, APOSC_10025, APOSC_10024, APOSC_10026, APOSC_24040, APOSC_19294, APOSC_19295, APOSC_01893, APOSC_20334, APOSC_02191, APOSC_28216, APOSC_18157, APOSC_23353, APOSC_19105, APOSC_25618, APOSC_25619, APOSC_25617
OG0000001	AMPFI_21297	APOSC_02406
OG0000001	AMPFI_19631	APOSC_22349, APOSC_16849
OG0000001	AMPFI_25090	APOSC_06282, APOSC_27210
OG0000001	AMPFI_00879	APOSC_12124, APOSC_24525, APOSC_00358, APOSC_15381, APOSC_11275, APOSC_07220, APOSC_02525, APOSC_09129, APOSC_04420, APOSC_26949, APOSC_05393, APOSC_00625, APOSC_18025
OG0000002	AMPFI_23102	APOSC_17563
OG0000002	AMPFI_19052, AMPFI_09634, AMPFI_20301, AMPFI_00785, AMPFI_19979	APOSC_18975, APOSC_26427, APOSC_18610, APOSC_20563
OG0000002	AMPFI_18855, AMPFI_10028, AMPFI_14105	APOSC_04905
OG0000002	AMPFI_02191, AMPFI_00932, AMPFI_04499, AMPFI_00565, AMPFI_17812, AMPFI_23663	APOSC_19154
OG0000002	AMPFI_17825	APOSC_21951
OG0000003	AMPFI_17434	APOSC_13273, APOSC_13272
OG0000003	AMPFI_10369	APOSC_21855
OG0000003	AMPFI_18906	APOSC_00102
OG0000003	AMPFI_11277	APOSC_06907, APOSC_24394
OG0000003	AMPFI_14508	APOSC_02274
OG0000003	AMPFI_22992	APOSC_01247, APOSC_01039
OG0000003	AMPFI_00462	APOSC_08250
OG0000003	AMPFI_16213	APOSC_08634, APOSC_17084
OG0000003	AMPFI_23034, AMPFI_24242	APOSC_28448, APOSC_01690, APOSC_12113
OG0000003	AMPFI_13081, AMPFI_01108, AMPFI_17831	APOSC_02631, APOSC_04148, APOSC_07747
OG0000003	AMPFI_13340, AMPFI_02133, AMPFI_10984	APOSC_22836
OG0000003	AMPFI_14862	APOSC_01527
OG0000003	AMPFI_09603, AMPFI_21929, AMPFI_23519, AMPFI_13846	APOSC_05500
OG0000003	AMPFI_16630, AMPFI_04001, AMPFI_18895, AMPFI_14207, AMPFI_01423, AMPFI_22677, AMPFI_02209, AMPFI_22111, AMPFI_23718, AMPFI_14216	APOSC_20479
OG0000003	AMPFI_23185	APOSC_02027
OG0000003	AMPFI_02366	APOSC_03822
OG0000003	AMPFI_18391, AMPFI_13137, AMPFI_11583, AMPFI_15510, AMPFI_04899, AMPFI_21369	APOSC_06472
OG0000004	AMPFI_23148, AMPFI_09184, AMPFI_25238	APOSC_06431, APOSC_27025
OG0000004	AMPFI_07977	APOSC_21785
OG0000004	AMPFI_21283	APOSC_20065, APOSC_20066, APOSC_25426, APOSC_09865, APOSC_00045
OG0000004	AMPFI_11893	APOSC_28260, APOSC_25240
OG0000004	AMPFI_11374, AMPFI_01179	APOSC_27205, APOSC_09030, APOSC_06178, APOSC_04579, APOSC_04580, APOSC_19837, APOSC_03036
OG0000004	AMPFI_03079	APOSC_11365
OG0000004	AMPFI_08501	APOSC_02487
OG0000004	AMPFI_13880	APOSC_00158
OG0000004	AMPFI_03336, AMPFI_12435	APOSC_08714, APOSC_11089, APOSC_11090, APOSC_17489, APOSC_17490
OG0000004	AMPFI_03068	APOSC_28247
OG0000005	AMPFI_18504	APOSC_28430, APOSC_12554
OG0000005	AMPFI_17853	APOSC_26754
OG0000005	AMPFI_11815, AMPFI_06236	APOSC_11873, APOSC_03752, APOSC_17628, APOSC_24150, APOSC_27102, APOSC_20826, APOSC_07088, APOSC_23550, APOSC_22041, APOSC_27830, APOSC_04819, APOSC_14554
OG0000005	AMPFI_18823	APOSC_18788, APOSC_17600, APOSC_23686, APOSC_20145, APOSC_28502, APOSC_09638, APOSC_03673, APOSC_25607, APOSC_10189, APOSC_26644
OG0000005	AMPFI_12557, AMPFI_17233, AMPFI_06946	APOSC_21707
OG0000006	AMPFI_22262	APOSC_08805
OG0000006	AMPFI_00206	APOSC_08430, APOSC_08431
OG0000006	AMPFI_02520	APOSC_25251, APOSC_25252
OG0000006	AMPFI_09123	APOSC_10711
OG0000006	AMPFI_18507	APOSC_28483, APOSC_20785, APOSC_25644
OG0000006	AMPFI_17130	APOSC_06790, APOSC_06791
OG0000006	AMPFI_05072, AMPFI_22396	APOSC_23470
OG0000007	AMPFI_02812	APOSC_19545
OG0000007	AMPFI_07094	APOSC_11262
OG0000007	AMPFI_16775	APOSC_11791
OG0000007	AMPFI_15871	APOSC_20868
OG0000007	AMPFI_26059	APOSC_04562
OG0000007	AMPFI_15806	APOSC_09541, APOSC_09542
