Orthogroup	AMPFI_ok	XENTR
OG0000000	AMPFI_12098	XENTR08878
OG0000000	AMPFI_16114	XENTR18832, XENTR01079, XENTR01080
OG0000000	AMPFI_11894	XENTR18066, XENTR08976, XENTR07932
OG0000000	AMPFI_12336	XENTR10509, XENTR10508, XENTR13402
OG0000000	AMPFI_08228	XENTR07734, XENTR13891
OG0000000	AMPFI_02168	XENTR12445
OG0000000	AMPFI_10716	XENTR07618
OG0000000	AMPFI_19781	XENTR04389
OG0000000	AMPFI_12478	XENTR12464, XENTR08726
OG0000000	AMPFI_20876	XENTR04388, XENTR00687, XENTR13779
OG0000000	AMPFI_21326	XENTR01971, XENTR14936, XENTR09546
OG0000000	AMPFI_01589	XENTR12981
OG0000000	AMPFI_10655	XENTR06679
OG0000001	AMPFI_19631	XENTR06490
OG0000001	AMPFI_03160	XENTR04259
OG0000001	AMPFI_18148, AMPFI_13477	XENTR06493, XENTR06495, XENTR06496, XENTR06491, XENTR06492, XENTR06498, XENTR04248, XENTR04247
OG0000002	AMPFI_05274, AMPFI_05275, AMPFI_21942	XENTR16022, XENTR06263, XENTR03914, XENTR03913, XENTR03939, XENTR03940, XENTR05151, XENTR03912
OG0000002	AMPFI_02191, AMPFI_00932, AMPFI_04499, AMPFI_00565, AMPFI_17812, AMPFI_23663, AMPFI_24271, AMPFI_17825, AMPFI_16931, AMPFI_22489, AMPFI_13725, AMPFI_24486, AMPFI_21278, AMPFI_04152	XENTR17667
OG0000004	AMPFI_23148, AMPFI_09184, AMPFI_25238	XENTR18073
OG0000004	AMPFI_11374, AMPFI_01179, AMPFI_03079, AMPFI_11065, AMPFI_20979, AMPFI_08501, AMPFI_13880, AMPFI_22025, AMPFI_01921	XENTR07291
OG0000004	AMPFI_04189	XENTR16281, XENTR16280, XENTR16356, XENTR16357, XENTR07824, XENTR07823, XENTR07827, XENTR19087, XENTR07826, XENTR18497, XENTR04025, XENTR04024
OG0000005	AMPFI_12557, AMPFI_17233, AMPFI_06946	XENTR16849, XENTR09568
OG0000006	AMPFI_22470	XENTR06019
OG0000006	AMPFI_22262	XENTR03954, XENTR14945
OG0000006	AMPFI_22463	XENTR03689
OG0000006	AMPFI_10542, AMPFI_00206	XENTR00399, XENTR09859
OG0000006	AMPFI_02520	XENTR09947, XENTR11692
OG0000006	AMPFI_09123	XENTR15729, XENTR08627
OG0000006	AMPFI_18507	XENTR04854, XENTR07280, XENTR07527
OG0000006	AMPFI_06099	XENTR07719
OG0000006	AMPFI_17130	XENTR12339, XENTR03854, XENTR12781
OG0000006	AMPFI_05072, AMPFI_22396	XENTR18680, XENTR15398
OG0000007	AMPFI_02812	XENTR10435
OG0000007	AMPFI_07094	XENTR12787, XENTR08906, XENTR06676
OG0000007	AMPFI_15871	XENTR11347, XENTR18406
