Orthogroup	AMPFI_ok	ORYLA
OG0000000	AMPFI_12098	ORYLA04928
OG0000000	AMPFI_16114	ORYLA07037, ORYLA08538
OG0000000	AMPFI_11894	ORYLA05297
OG0000000	AMPFI_12336	ORYLA07410, ORYLA04925, ORYLA04924, ORYLA08113
OG0000000	AMPFI_08228	ORYLA02858, ORYLA12900
OG0000000	AMPFI_10716	ORYLA11446
OG0000000	AMPFI_19781	ORYLA09108
OG0000000	AMPFI_12478	ORYLA03925, ORYLA14471, ORYLA05095, ORYLA19386, ORYLA19387
OG0000000	AMPFI_20876	ORYLA01029, ORYLA04459
OG0000000	AMPFI_21326	ORYLA17729, ORYLA05044, ORYLA00932
OG0000000	AMPFI_01589	ORYLA11797, ORYLA10603
OG0000000	AMPFI_10655	ORYLA10060
OG0000001	AMPFI_19631	ORYLA01580
OG0000001	AMPFI_18148, AMPFI_13477	ORYLA00821, ORYLA00820, ORYLA00819, ORYLA06087, ORYLA01582, ORYLA19233, ORYLA01576, ORYLA01896, ORYLA01897
OG0000001	AMPFI_07438, AMPFI_25876	ORYLA02547
OG0000002	AMPFI_05274, AMPFI_05275, AMPFI_21942	ORYLA12350
OG0000002	AMPFI_10257, AMPFI_10256, AMPFI_17364, AMPFI_17537, AMPFI_23709	ORYLA03052, ORYLA16692
OG0000002	AMPFI_02191, AMPFI_00932, AMPFI_04499, AMPFI_00565, AMPFI_17812, AMPFI_23663	ORYLA13467, ORYLA16691
OG0000003	AMPFI_17593, AMPFI_10595	ORYLA18464
OG0000003	AMPFI_14862	ORYLA05141
OG0000004	AMPFI_04189	ORYLA04400, ORYLA08919
OG0000004	AMPFI_03068	ORYLA11723, ORYLA15657
OG0000005	AMPFI_12557, AMPFI_17233, AMPFI_06946	ORYLA04733
OG0000006	AMPFI_22255, AMPFI_24001	ORYLA04794
OG0000006	AMPFI_22262	ORYLA13382
OG0000006	AMPFI_22463	ORYLA09038
OG0000006	AMPFI_10542, AMPFI_00206	ORYLA15680, ORYLA07217, ORYLA12345, ORYLA14784
OG0000006	AMPFI_02520	ORYLA10511, ORYLA11827
OG0000006	AMPFI_09123	ORYLA13656, ORYLA07153, ORYLA02533
OG0000006	AMPFI_18507	ORYLA20473, ORYLA04673, ORYLA03873
OG0000006	AMPFI_17130	ORYLA03827, ORYLA03500, ORYLA10460, ORYLA00215, ORYLA04762
OG0000006	AMPFI_12555	ORYLA04691
OG0000007	AMPFI_02812	ORYLA14937, ORYLA17526
OG0000007	AMPFI_07094	ORYLA03070, ORYLA10601, ORYLA19360
OG0000007	AMPFI_15871	ORYLA09030
OG0000007	AMPFI_26059	ORYLA03471, ORYLA17615
OG0000007	AMPFI_15806	ORYLA01042, ORYLA11394, ORYLA05164
OG0000007	AMPFI_22204	ORYLA00561, ORYLA16283, ORYLA08278
OG0000007	AMPFI_08786	ORYLA16317
