Orthogroup	AMPFI_ok	DANRE
OG0000000	AMPFI_12098	DANRE06436, DANRE05762
OG0000000	AMPFI_16114	DANRE24636, DANRE35926
OG0000000	AMPFI_11894	DANRE04899, DANRE05022, DANRE06714
OG0000000	AMPFI_12336	DANRE11234, DANRE11232, DANRE16357, DANRE04386
OG0000000	AMPFI_08228	DANRE34117, DANRE19532, DANRE36202
OG0000000	AMPFI_02168	DANRE04328, DANRE04330, DANRE04329
OG0000000	AMPFI_10716	DANRE18867, DANRE18868, DANRE43385
OG0000000	AMPFI_19781	DANRE24278
OG0000000	AMPFI_12478	DANRE06002, DANRE20421, DANRE06649, DANRE05182, DANRE16636
OG0000000	AMPFI_20876	DANRE06945, DANRE06944, DANRE20512
OG0000000	AMPFI_21326	DANRE41165, DANRE05977, DANRE05743
OG0000000	AMPFI_01589	DANRE11796, DANRE11795, DANRE18798
OG0000001	AMPFI_18148, AMPFI_13477	DANRE16953, DANRE16962, DANRE16961, DANRE16955, DANRE16957, DANRE16959, DANRE16956, DANRE16954, DANRE16958, DANRE16960, DANRE28471, DANRE00718, DANRE00765, DANRE00766, DANRE00769, DANRE00768, DANRE00812, DANRE00809, DANRE00810, DANRE00811, DANRE03280, DANRE00762, DANRE00763, DANRE00764, DANRE00767, DANRE14857, DANRE09569, DANRE13671, DANRE13664, DANRE13665, DANRE13666, DANRE13667, DANRE13668, DANRE13663, DANRE13812
OG0000001	AMPFI_00828, AMPFI_17788, AMPFI_06520, AMPFI_03907, AMPFI_04264, AMPFI_03487	DANRE29550
OG0000002	AMPFI_05274, AMPFI_05275, AMPFI_21942	DANRE38244, DANRE38242, DANRE38243
OG0000002	AMPFI_10257, AMPFI_10256, AMPFI_17364, AMPFI_17537, AMPFI_23709	DANRE28739
OG0000002	AMPFI_02191, AMPFI_00932, AMPFI_04499	DANRE23574
OG0000003	AMPFI_18383	DANRE40137
OG0000004	AMPFI_00502, AMPFI_04409, AMPFI_21966	DANRE02933
OG0000004	AMPFI_08378	DANRE10231
OG0000004	AMPFI_12413, AMPFI_00336, AMPFI_14906	DANRE31040
OG0000004	AMPFI_04189	DANRE31032, DANRE31033, DANRE31034, DANRE31044, DANRE31041, DANRE31047, DANRE31039, DANRE31031, DANRE31048, DANRE31046, DANRE31043, DANRE31042, DANRE30830, DANRE30828, DANRE30829, DANRE31045, DANRE30832, DANRE33319, DANRE29697
OG0000005	AMPFI_17853	DANRE17266
OG0000005	AMPFI_12557, AMPFI_17233, AMPFI_06946	DANRE11160
OG0000006	AMPFI_22255, AMPFI_24001	DANRE07563
OG0000006	AMPFI_22470	DANRE02891
OG0000006	AMPFI_22262	DANRE18291, DANRE26970, DANRE26971, DANRE18292
OG0000006	AMPFI_22463	DANRE20396, DANRE24336
OG0000006	AMPFI_10542, AMPFI_00206	DANRE40393, DANRE12604, DANRE38227, DANRE13192, DANRE13191
OG0000006	AMPFI_02520	DANRE11213, DANRE11212, DANRE11601
OG0000006	AMPFI_09123	DANRE20981, DANRE28318, DANRE19321
OG0000006	AMPFI_18507	DANRE07087, DANRE07088, DANRE04631, DANRE04632, DANRE20580
OG0000006	AMPFI_06099	DANRE11156, DANRE11155
OG0000006	AMPFI_17130	DANRE34403, DANRE08961, DANRE11849, DANRE11850, DANRE16704, DANRE11329
OG0000006	AMPFI_12555	DANRE04654, DANRE04655, DANRE18618
