Orthogroup	AMPFI_ok	HELIO_ok
OG0000000	AMPFI_12098	HELIO_01999
OG0000000	AMPFI_11894	HELIO_08880
OG0000000	AMPFI_12336	HELIO_06752
OG0000000	AMPFI_16025	HELIO_00795
OG0000000	AMPFI_02168	HELIO_02157
OG0000000	AMPFI_10716	HELIO_11687
OG0000000	AMPFI_19781	HELIO_04988
OG0000000	AMPFI_22359	HELIO_00700
OG0000000	AMPFI_12478	HELIO_08573
OG0000000	AMPFI_04297	HELIO_11400
OG0000000	AMPFI_05560	HELIO_04994
OG0000000	AMPFI_01589	HELIO_00816
OG0000000	AMPFI_10655	HELIO_04090
OG0000001	AMPFI_24482, AMPFI_16657	HELIO_00196
OG0000001	AMPFI_22650	HELIO_00018
OG0000001	AMPFI_17262	HELIO_00128
OG0000001	AMPFI_00828, AMPFI_17788, AMPFI_06520, AMPFI_03907, AMPFI_04264, AMPFI_03487	HELIO_06891, HELIO_10957
OG0000001	AMPFI_00879	HELIO_04926, HELIO_03604, HELIO_03121, HELIO_03866, HELIO_06455
OG0000002	AMPFI_23102	HELIO_06940
OG0000002	AMPFI_05274, AMPFI_05275, AMPFI_21942	HELIO_05342, HELIO_01248
OG0000002	AMPFI_19052, AMPFI_09634, AMPFI_20301, AMPFI_00785, AMPFI_19979	HELIO_10853, HELIO_05803, HELIO_05585, HELIO_02102, HELIO_10641
OG0000002	AMPFI_02191, AMPFI_00932, AMPFI_04499	HELIO_12021, HELIO_07207
OG0000003	AMPFI_12750	HELIO_07277
OG0000003	AMPFI_04384	HELIO_03324
OG0000003	AMPFI_10369	HELIO_02559
OG0000003	AMPFI_18906	HELIO_06998, HELIO_07220
OG0000003	AMPFI_17831	HELIO_07118, HELIO_08034
OG0000003	AMPFI_11730	HELIO_08472, HELIO_00669
OG0000003	AMPFI_17593, AMPFI_10595	HELIO_06573
OG0000003	AMPFI_15011	HELIO_09381
OG0000003	AMPFI_13340, AMPFI_02133, AMPFI_10984	HELIO_06283
OG0000003	AMPFI_16139	HELIO_06076
OG0000003	AMPFI_17117	HELIO_08521
OG0000003	AMPFI_14862	HELIO_00523, HELIO_01732
OG0000003	AMPFI_13136, AMPFI_02273	HELIO_04717
OG0000003	AMPFI_09603, AMPFI_21929, AMPFI_23519, AMPFI_13846, AMPFI_15473, AMPFI_11654, AMPFI_16634, AMPFI_10596	HELIO_04687
OG0000003	AMPFI_16630, AMPFI_04001	HELIO_09894
OG0000003	AMPFI_02209, AMPFI_22111	HELIO_06251
OG0000003	AMPFI_14216	HELIO_07587
OG0000003	AMPFI_25043	HELIO_02003
OG0000003	AMPFI_18391	HELIO_06683
OG0000003	AMPFI_13137	HELIO_04847
OG0000003	AMPFI_11583	HELIO_01179
OG0000003	AMPFI_21369	HELIO_04393
OG0000004	AMPFI_20212, AMPFI_25512, AMPFI_20381, AMPFI_24423	HELIO_07338
OG0000004	AMPFI_12413	HELIO_03376
OG0000004	AMPFI_07977	HELIO_07102
OG0000004	AMPFI_21283	HELIO_01465, HELIO_01464
