Orthogroup	AMPFI_ok	HUMAN
OG0000000	AMPFI_12098	HUMAN22097, HUMAN03752
OG0000000	AMPFI_16114	HUMAN27271, HUMAN18431
OG0000000	AMPFI_11894	HUMAN17135, HUMAN03692, HUMAN17136
OG0000000	AMPFI_12336	HUMAN03744, HUMAN03743, HUMAN22196
OG0000000	AMPFI_08228	HUMAN29337, HUMAN01254
OG0000000	AMPFI_02168	HUMAN03433
OG0000000	AMPFI_10716	HUMAN02527
OG0000000	AMPFI_19781	HUMAN07513
OG0000000	AMPFI_12478	HUMAN22154, HUMAN24253
OG0000000	AMPFI_20876	HUMAN30050, HUMAN24067, HUMAN07515
OG0000000	AMPFI_21326	HUMAN27579, HUMAN22230
OG0000000	AMPFI_01589	HUMAN18756
OG0000000	AMPFI_10655	HUMAN08319
OG0000001	AMPFI_19631, AMPFI_17354, AMPFI_25090	HUMAN10622
OG0000001	AMPFI_03160	HUMAN03140, HUMAN03346
OG0000001	AMPFI_18148, AMPFI_13477	HUMAN14514, HUMAN14515, HUMAN14863, HUMAN17113, HUMAN17112, HUMAN05942, HUMAN05938, HUMAN05925, HUMAN05943, HUMAN05944
OG0000001	AMPFI_24482, AMPFI_16657, AMPFI_02115, AMPFI_21709, AMPFI_22650, AMPFI_17262, AMPFI_21417, AMPFI_00689	HUMAN14511
OG0000001	AMPFI_00828, AMPFI_17788, AMPFI_06520, AMPFI_03907, AMPFI_04264, AMPFI_03487	HUMAN10621, HUMAN10623
OG0000002	AMPFI_05274, AMPFI_05275, AMPFI_21942	HUMAN04207, HUMAN20269
OG0000002	AMPFI_23105, AMPFI_23982, AMPFI_10257, AMPFI_10256, AMPFI_17364, AMPFI_17537, AMPFI_23709, AMPFI_23336	HUMAN20270
OG0000003	AMPFI_01423, AMPFI_22677	HUMAN10010
OG0000003	AMPFI_14748, AMPFI_23185	HUMAN02915
OG0000004	AMPFI_23148, AMPFI_09184, AMPFI_25238	HUMAN27575
OG0000004	AMPFI_08378	HUMAN27464
OG0000004	AMPFI_14906	HUMAN05920
OG0000004	AMPFI_04189	HUMAN05919, HUMAN05921, HUMAN01911
OG0000004	AMPFI_03068	HUMAN26466
OG0000005	AMPFI_12557, AMPFI_17233, AMPFI_06946	HUMAN01465
OG0000006	AMPFI_01603	HUMAN17033
OG0000006	AMPFI_22470	HUMAN30182, HUMAN30280, HUMAN21060
OG0000006	AMPFI_22262	HUMAN02118, HUMAN29294
OG0000006	AMPFI_22463	HUMAN29691
OG0000006	AMPFI_10542, AMPFI_00206	HUMAN01388, HUMAN06884, HUMAN04380
OG0000006	AMPFI_02520	HUMAN18782, HUMAN18784, HUMAN18783, HUMAN08640
OG0000006	AMPFI_09123	HUMAN14338, HUMAN14017
OG0000006	AMPFI_18507	HUMAN22793, HUMAN22791, HUMAN22792, HUMAN03581, HUMAN23822, HUMAN23823
OG0000006	AMPFI_06099	HUMAN08856, HUMAN19716
OG0000006	AMPFI_17130	HUMAN08442, HUMAN17032, HUMAN15898
OG0000006	AMPFI_12555	HUMAN24331
OG0000007	AMPFI_02812	HUMAN09570, HUMAN28803
OG0000007	AMPFI_07094	HUMAN15831, HUMAN18759, HUMAN08323
OG0000007	AMPFI_15871	HUMAN28408
OG0000007	AMPFI_26059	HUMAN12258, HUMAN07103, HUMAN07102
OG0000007	AMPFI_15806	HUMAN08775, HUMAN08776, HUMAN08774, HUMAN16949
OG0000007	AMPFI_22204	HUMAN25936, HUMAN13634
OG0000007	AMPFI_08786	HUMAN13395
OG0000007	AMPFI_21281	HUMAN00818, HUMAN00819, HUMAN05935
OG0000007	AMPFI_23280	HUMAN08248
