Orthogroup	AMPFI_ok	SACKO_ok
OG0000000	AMPFI_12098	SACKO_12749
OG0000000	AMPFI_16114	SACKO_19677
OG0000000	AMPFI_11894	SACKO_25619
OG0000000	AMPFI_12336	SACKO_05553
OG0000000	AMPFI_16025	SACKO_25799
OG0000000	AMPFI_08228	SACKO_08208, SACKO_08197
OG0000000	AMPFI_02168	SACKO_31887
OG0000000	AMPFI_19781	SACKO_11588
OG0000000	AMPFI_22359	SACKO_24031
OG0000000	AMPFI_12478	SACKO_31872
OG0000000	AMPFI_25019	SACKO_23999
OG0000000	AMPFI_04297	SACKO_23994, SACKO_24038
OG0000000	AMPFI_20876	SACKO_11599
OG0000000	AMPFI_21326	SACKO_31901
OG0000000	AMPFI_01589	SACKO_11978
OG0000000	AMPFI_10655	SACKO_12011
OG0000001	AMPFI_21297	SACKO_14088
OG0000001	AMPFI_19631	SACKO_30873
OG0000001	AMPFI_17354	SACKO_25200
OG0000001	AMPFI_25090	SACKO_18839
OG0000001	AMPFI_18148, AMPFI_13477	SACKO_04743, SACKO_04719
OG0000001	AMPFI_00828, AMPFI_17788, AMPFI_06520, AMPFI_03907, AMPFI_04264, AMPFI_03487, AMPFI_00879	SACKO_32181, SACKO_32204, SACKO_09602, SACKO_09587, SACKO_09589, SACKO_09586, SACKO_09607, SACKO_09600, SACKO_09584, SACKO_09591, SACKO_09592
OG0000002	AMPFI_23102	SACKO_14603
OG0000002	AMPFI_05274, AMPFI_05275, AMPFI_21942	SACKO_18256, SACKO_21544, SACKO_20829, SACKO_09450, SACKO_09460
OG0000002	AMPFI_19052, AMPFI_09634, AMPFI_20301, AMPFI_00785, AMPFI_19979, AMPFI_18855, AMPFI_10028, AMPFI_14105	SACKO_18605, SACKO_04997, SACKO_05015, SACKO_02276
OG0000002	AMPFI_23105, AMPFI_23982, AMPFI_10257, AMPFI_10256, AMPFI_17364, AMPFI_17537, AMPFI_23709, AMPFI_23336	SACKO_13458
OG0000002	AMPFI_02191, AMPFI_00932, AMPFI_04499, AMPFI_00565, AMPFI_17812, AMPFI_23663, AMPFI_24271, AMPFI_17825, AMPFI_16931, AMPFI_22489, AMPFI_13725, AMPFI_24486, AMPFI_21278, AMPFI_04152	SACKO_00245, SACKO_00252
OG0000003	AMPFI_16631	SACKO_19492
OG0000003	AMPFI_04384	SACKO_29380
OG0000003	AMPFI_16139	SACKO_27116
OG0000003	AMPFI_14748, AMPFI_23185	SACKO_32071
OG0000003	AMPFI_04480	SACKO_14086, SACKO_03045
OG0000003	AMPFI_04899	SACKO_05907
OG0000004	AMPFI_07977	SACKO_02249
OG0000004	AMPFI_11893	SACKO_32657, SACKO_20132
OG0000005	AMPFI_18504	SACKO_15042
OG0000005	AMPFI_17853	SACKO_08146
OG0000005	AMPFI_00525	SACKO_29311, SACKO_26465, SACKO_26431
