Orthogroup	AMPFI_ok	OWEFU
OG0000000	AMPFI_12098	OFUSG19483.1.p1, OFUSG18880.1.p1
OG0000000	AMPFI_16114	OFUSG13305.1.p1
OG0000000	AMPFI_11894	OFUSG05593.1.p1, OFUSG05592.1.p1
OG0000000	AMPFI_12336	OFUSG05489.1.p1, OFUSG05755.1.p1
OG0000000	AMPFI_16025	OFUSG05968.1.p1
OG0000000	AMPFI_08228	OFUSG07309.1.p1, OFUSG07308.1.p1
OG0000000	AMPFI_02168	OFUSG19303.1.p1
OG0000000	AMPFI_10716	OFUSG12013.1.p1
OG0000000	AMPFI_19781	OFUSG03302.1.p1
OG0000000	AMPFI_12478	OFUSG05673.1.p1, OFUSG05672.1.p1
OG0000000	AMPFI_20876	OFUSG03177.1.p1
OG0000000	AMPFI_21326	OFUSG05775.1.p1
OG0000000	AMPFI_01589	OFUSG12225.3.p1, OFUSG12225.2.p1, OFUSG12225.1.p1
OG0000000	AMPFI_10655	OFUSG21806.1.p1
OG0000001	AMPFI_23521	OFUSG08662.1.p1
OG0000001	AMPFI_19631	OFUSG04205.1.p1, OFUSG01600.1.p1, OFUSG03605.1.p1
OG0000001	AMPFI_25090	OFUSG07127.1.p1, OFUSG03269.1.p1
OG0000001	AMPFI_23234	OFUSG17423.1.p1
OG0000001	AMPFI_08190, AMPFI_16435	OFUSG06369.1.p1, OFUSG09030.1.p1
OG0000002	AMPFI_23102	OFUSG00560.1.p1
OG0000002	AMPFI_18855, AMPFI_10028, AMPFI_14105	OFUSG17657.1.p1, OFUSG13677.1.p1, OFUSG13676.1.p1, OFUSG19313.1.p1, OFUSG24110.1.p1, OFUSG03223.1.p1, OFUSG03217.1.p1, OFUSG18418.1.p1, OFUSG18418.2.p1, OFUSG23288.1.p1, OFUSG05627.1.p1, OFUSG19291.1.p1, OFUSG11944.1.p1, OFUSG01110.1.p1, OFUSG01110.2.p1, OFUSG18119.1.p1, OFUSG23287.1.p1
OG0000002	AMPFI_10257, AMPFI_10256, AMPFI_17364, AMPFI_17537, AMPFI_23709	OFUSG22946.2.p1
OG0000002	AMPFI_00565, AMPFI_17812, AMPFI_23663	OFUSG18506.1.p1
OG0000002	AMPFI_24271	OFUSG12538.1.p1
OG0000002	AMPFI_17825	OFUSG08182.1.p1, OFUSG08178.1.p1, OFUSG08180.1.p1
OG0000003	AMPFI_12750	OFUSG18790.1.p1
OG0000003	AMPFI_07815	OFUSG26305.1.p1, OFUSG17555.1.p1
OG0000003	AMPFI_17434	OFUSG19225.1.p1
OG0000003	AMPFI_18906	OFUSG16264.1.p1
OG0000003	AMPFI_22992	OFUSG14536.1.p1
OG0000003	AMPFI_23034, AMPFI_24242, AMPFI_13081, AMPFI_01108, AMPFI_17831	OFUSG05190.1.p1, OFUSG05194.1.p1
OG0000003	AMPFI_20373	OFUSG10601.1.p1, OFUSG12883.1.p1
OG0000003	AMPFI_15011	OFUSG01752.1.p1
OG0000003	AMPFI_13340, AMPFI_02133, AMPFI_10984	OFUSG04319.1.p1
OG0000003	AMPFI_02028	OFUSG05925.1.p1
OG0000003	AMPFI_17117	OFUSG18436.1.p1, OFUSG18438.1.p1
OG0000003	AMPFI_15473, AMPFI_11654, AMPFI_16634, AMPFI_10596	OFUSG05924.1.p1
OG0000003	AMPFI_16630, AMPFI_04001	OFUSG23734.1.p1
OG0000003	AMPFI_14216	OFUSG18791.1.p1
OG0000003	AMPFI_14748	OFUSG21073.1.p1
OG0000003	AMPFI_18391, AMPFI_13137	OFUSG02265.1.p1
OG0000003	AMPFI_11583	OFUSG04605.1.p1, OFUSG24540.1.p1, OFUSG24474.1.p1, OFUSG20752.1.p1, OFUSG01393.1.p1, OFUSG25330.1.p1
OG0000003	AMPFI_09604	OFUSG23317.1.p1
OG0000004	AMPFI_00502, AMPFI_04409, AMPFI_21966	OFUSG14165.1.p1
OG0000004	AMPFI_00336	OFUSG26229.2.p1, OFUSG18850.1.p1
OG0000004	AMPFI_14906	OFUSG20734.1.p1
OG0000004	AMPFI_24981, AMPFI_23786	OFUSG09262.1.p1, OFUSG02194.1.p1, OFUSG21058.1.p1
OG0000005	AMPFI_12557, AMPFI_17233, AMPFI_06946	OFUSG20119.1.p1, OFUSG08484.1.p1
OG0000006	AMPFI_01603	OFUSG11531.1.p1
OG0000006	AMPFI_22262	OFUSG25514.1.p1
OG0000006	AMPFI_22463	OFUSG14428.1.p1
OG0000006	AMPFI_10542, AMPFI_00206	OFUSG07929.1.p1
OG0000006	AMPFI_02520	OFUSG05068.1.p1, OFUSG21700.1.p1, OFUSG21701.1.p1
OG0000006	AMPFI_23503	OFUSG08660.1.p1
OG0000006	AMPFI_09123	OFUSG08659.1.p1
OG0000006	AMPFI_18507	OFUSG18494.1.p1, OFUSG18494.2.p1
OG0000006	AMPFI_06099	OFUSG11740.1.p1
OG0000006	AMPFI_17130	OFUSG11532.2.p1, OFUSG11532.1.p1, OFUSG11532.3.p1
OG0000006	AMPFI_12555	OFUSG11470.1.p1
OG0000006	AMPFI_05072, AMPFI_22396	OFUSG05485.1.p1
OG0000007	AMPFI_02812	OFUSG09476.1.p1
OG0000007	AMPFI_07094	OFUSG21527.1.p1
OG0000007	AMPFI_16775	OFUSG09642.1.p1, OFUSG09693.1.p1
OG0000007	AMPFI_15871	OFUSG04867.2.p1, OFUSG04867.1.p1
OG0000007	AMPFI_26059	OFUSG25429.1.p1
OG0000007	AMPFI_15806	OFUSG21828.2.p1, OFUSG21828.1.p1
OG0000007	AMPFI_08786	OFUSG10613.1.p1
OG0000007	AMPFI_21281	OFUSG23528.4.p1, OFUSG23528.1.p1, OFUSG23528.2.p1, OFUSG23528.3.p1
OG0000007	AMPFI_23280	OFUSG25241.1.p1
OG0000008	AMPFI_03619	OFUSG01560.1.p1
OG0000008	AMPFI_24346	OFUSG20435.1.p1
OG0000008	AMPFI_18464	OFUSG00781.1.p1, OFUSG00781.2.p1, OFUSG11535.1.p1, OFUSG02555.1.p1, OFUSG00311.1.p1, OFUSG02548.1.p1, OFUSG18114.1.p1, OFUSG03040.1.p1, OFUSG07904.1.p1, OFUSG03922.1.p1
OG0000008	AMPFI_19927	OFUSG22412.1.p1, OFUSG08236.1.p1
OG0000008	AMPFI_13893	OFUSG01705.1.p1, OFUSG01704.1.p1, OFUSG01067.1.p1
OG0000010	AMPFI_14170	OFUSG20029.1.p1, OFUSG26732.1.p1, OFUSG03629.1.p1, OFUSG16394.1.p1, OFUSG18342.1.p1, OFUSG21206.1.p1, OFUSG23433.1.p1
OG0000010	AMPFI_04353	OFUSG09248.1.p1
OG0000010	AMPFI_04364	OFUSG08801.1.p1, OFUSG04629.1.p1, OFUSG16371.1.p1, OFUSG03904.1.p1
OG0000012	AMPFI_05035, AMPFI_18913	OFUSG14153.2.p1, OFUSG14153.1.p1, OFUSG14153.3.p1
OG0000012	AMPFI_16130	OFUSG13750.1.p1, OFUSG26096.1.p1
