peak54432	promoter-TSS 
peak23762	promoter-TSS 
peak16647	exon 
peak28716	Intergenic
peak15762	Intergenic
peak80497	intron 
peak36165	Intergenic
peak37394	intron 
peak73460	promoter-TSS 
peak27246	promoter-TSS 
peak15916	Intergenic
peak27819	intron 
peak30202	intron 
peak22840	exon 
peak7558	Intergenic
peak8956	Intergenic
peak37078	Intergenic
peak19438	exon 
peak13631	promoter-TSS 
peak60704	Intergenic
peak29358	Intergenic
peak74894	Intergenic
peak43171	intron 
peak52344	Intergenic
peak46131	Intergenic
peak44888	intron 
peak72477	Intergenic
peak50269	Intergenic
peak39246	intron 
peak1765	exon 
peak60898	TTS 
peak5353	intron 
peak64878	Intergenic
peak32059	Intergenic
peak53290	Intergenic
peak17649	intron 
peak14546	exon 
peak40385	intron 
peak22674	Intergenic
peak2226	intron 
peak15932	intron 
peak77777	intron 
peak42851	promoter-TSS 
peak30147	intron 
peak12393	Intergenic
peak43962	intron 
peak8566	intron 
peak1818	Intergenic
peak68567	Intergenic
peak27779	Intergenic
peak24864	intron 
peak75505	Intergenic
peak73951	Intergenic
peak6463	intron 
peak48054	intron 
peak55941	Intergenic
peak38024	Intergenic
peak20685	promoter-TSS 
peak27151	intron 
peak32265	Intergenic
peak79717	intron 
peak79234	exon 
peak70681	intron 
peak54173	Intergenic
peak42332	Intergenic
peak45404	exon 
peak32751	promoter-TSS 
peak23088	Intergenic
peak3113	Intergenic
peak74692	exon 
peak55740	Intergenic
peak34050	Intergenic
peak786	TTS 
peak52476	Intergenic
peak44745	Intergenic
peak72024	Intergenic
peak59068	Intergenic
peak64825	promoter-TSS 
peak22620	Intergenic
peak22504	intron 
peak48303	Intergenic
peak6299	promoter-TSS 
peak24801	Intergenic
peak34382	Intergenic
peak79926	Intergenic
peak2797	Intergenic
peak22244	intron 
peak37139	Intergenic
peak44854	Intergenic
peak9272	exon 
peak8048	exon 
peak41252	Intergenic
peak24296	intron 
peak54303	Intergenic
peak76582	Intergenic
peak29022	exon 
peak34829	Intergenic
peak37723	intron 
peak4923	intron 
peak77906	promoter-TSS 
peak52528	Intergenic
peak47331	intron 
peak12806	intron 
peak59687	exon 
peak54482	exon 
peak23674	Intergenic
peak17690	promoter-TSS 
peak38700	Intergenic
peak78954	exon 
peak78447	intron 
peak47768	Intergenic
peak44145	intron 
peak57428	Intergenic
peak48433	promoter-TSS 
peak76468	exon 
peak49377	Intergenic
peak76328	Intergenic
peak60058	intron 
peak51391	intron 
peak32787	intron 
peak4882	promoter-TSS 
peak52784	exon 
peak28561	promoter-TSS 
peak53009	Intergenic
peak16948	exon 
peak15064	promoter-TSS 
peak13656	intron 
peak75556	TTS 
peak54979	Intergenic
peak13712	Intergenic
peak7434	intron 
peak45109	intron 
peak62951	intron 
peak61682	Intergenic
peak60637	intron 
peak50976	intron 
peak3609	Intergenic
peak59501	Intergenic
peak65704	Intergenic
peak51070	promoter-TSS 
peak33665	intron 
peak30513	Intergenic
peak71415	exon 
peak75407	exon 
peak75262	promoter-TSS 
peak74011	exon 
peak81490	promoter-TSS 
peak29316	Intergenic
peak77814	TTS 
peak7906	promoter-TSS 
peak70386	promoter-TSS 
peak48659	intron 
peak69480	Intergenic
peak6821	Intergenic
peak27982	intron 
peak74959	promoter-TSS 
peak69549	promoter-TSS 
peak11885	Intergenic
peak55216	promoter-TSS 
peak45448	intron 
peak42927	intron 
peak12822	intron 
peak67923	exon 
peak10376	intron 
peak43230	intron 
peak33624	Intergenic
peak69381	Intergenic
peak29571	Intergenic
peak22736	exon 
peak18026	promoter-TSS 
peak49843	Intergenic
peak14853	intron 
peak9923	Intergenic
peak11516	Intergenic
peak38101	intron 
peak66507	Intergenic
peak53756	exon 
peak54840	Intergenic
peak24954	Intergenic
peak43903	intron 
peak79807	Intergenic
peak82093	intron 
peak24125	intron 
peak340	promoter-TSS 
peak16354	promoter-TSS 
peak75664	Intergenic
peak68550	Intergenic
peak78014	intron 
peak63398	promoter-TSS 
peak40664	exon 
peak75865	Intergenic
peak79727	intron 
peak69125	promoter-TSS 
peak22164	intron 
peak39701	Intergenic
peak1926	intron 
peak44688	Intergenic
peak79994	Intergenic
