Orthogroup	STRPU_ok	AMPFI_ok
OG0000000	STRPU_10146, STRPU_10084	AMPFI_12098
OG0000000	STRPU_22262	AMPFI_16114
OG0000000	STRPU_10304	AMPFI_11894
OG0000000	STRPU_10083, STRPU_10145	AMPFI_12336
OG0000000	STRPU_10016	AMPFI_16025
OG0000000	STRPU_19865, STRPU_19892	AMPFI_08228
OG0000000	STRPU_09982, STRPU_09961	AMPFI_02168
OG0000000	STRPU_20780	AMPFI_10716
OG0000000	STRPU_05390	AMPFI_19781
OG0000000	STRPU_23196	AMPFI_22359
OG0000000	STRPU_09852	AMPFI_12478
OG0000000	STRPU_23200	AMPFI_25019
OG0000000	STRPU_25072	AMPFI_04297
OG0000000	STRPU_23201	AMPFI_05560
OG0000000	STRPU_05830	AMPFI_20876
OG0000000	STRPU_10189	AMPFI_21326
OG0000000	STRPU_21017	AMPFI_01589
OG0000000	STRPU_21014	AMPFI_10655
OG0000001	STRPU_05173, STRPU_05094	AMPFI_23521
OG0000001	STRPU_01290, STRPU_18232, STRPU_01177, STRPU_19476, STRPU_18414	AMPFI_03160, AMPFI_23234, AMPFI_18148, AMPFI_13477
OG0000001	STRPU_07468, STRPU_07469, STRPU_07465, STRPU_07471, STRPU_07897, STRPU_07925, STRPU_07896, STRPU_07924, STRPU_07461, STRPU_07462, STRPU_07464, STRPU_07466, STRPU_07467, STRPU_07463, STRPU_07470, STRPU_14233, STRPU_14227	AMPFI_00828, AMPFI_17788, AMPFI_06520, AMPFI_03907, AMPFI_04264, AMPFI_03487
OG0000001	STRPU_19145, STRPU_04228, STRPU_09860, STRPU_06022, STRPU_06407, STRPU_06414, STRPU_06404, STRPU_06405, STRPU_24972, STRPU_10538, STRPU_10540, STRPU_10542, STRPU_07738, STRPU_12930, STRPU_07737, STRPU_07352, STRPU_11067	AMPFI_00879
OG0000002	STRPU_21867	AMPFI_23102
OG0000002	STRPU_07176, STRPU_07177, STRPU_18026, STRPU_03083	AMPFI_05274, AMPFI_05275, AMPFI_21942
