Orthogroup	STRPU_ok	ORYLA
OG0000000	STRPU_10146, STRPU_10084	ORYLA04928
OG0000000	STRPU_22262	ORYLA07037, ORYLA08538
OG0000000	STRPU_10304	ORYLA05297
OG0000000	STRPU_10083, STRPU_10145	ORYLA00843, ORYLA07411, ORYLA07410, ORYLA04925, ORYLA04924, ORYLA08113
OG0000000	STRPU_10015	ORYLA18170
OG0000000	STRPU_19865, STRPU_19892	ORYLA02858, ORYLA12900
OG0000000	STRPU_02929	ORYLA03677
OG0000000	STRPU_20780	ORYLA11446
OG0000000	STRPU_23206	ORYLA17165, ORYLA08246, ORYLA01821
OG0000000	STRPU_05654	ORYLA04170, ORYLA18990
OG0000000	STRPU_23203	ORYLA15771
OG0000000	STRPU_05390	ORYLA09108
OG0000000	STRPU_23197, STRPU_23198	ORYLA17159, ORYLA15774, ORYLA08249, ORYLA17160
OG0000000	STRPU_23194	ORYLA01825, ORYLA08248, ORYLA17161, ORYLA15775
OG0000000	STRPU_23756	ORYLA09198, ORYLA12232, ORYLA10052
OG0000000	STRPU_22253	ORYLA08225, ORYLA06162
OG0000000	STRPU_09852	ORYLA03925, ORYLA14471, ORYLA05095, ORYLA19386, ORYLA19387
OG0000000	STRPU_23199	ORYLA15773, ORYLA15772, ORYLA09896, ORYLA17158, ORYLA05618, ORYLA01824, ORYLA01826, ORYLA04682, ORYLA01827, ORYLA05617
OG0000000	STRPU_05830	ORYLA01029, ORYLA04459
OG0000000	STRPU_23207	ORYLA17155, ORYLA01830, ORYLA09892
OG0000000	STRPU_10189	ORYLA17729, ORYLA05044, ORYLA00932
OG0000000	STRPU_09890	ORYLA17730, ORYLA05045, ORYLA01322
OG0000000	STRPU_21017	ORYLA11797, ORYLA10603
OG0000000	STRPU_21014	ORYLA10060
OG0000001	STRPU_01290, STRPU_18232, STRPU_01177, STRPU_19476, STRPU_18414	ORYLA00821, ORYLA00820, ORYLA00819, ORYLA06087, ORYLA01582, ORYLA19233, ORYLA01576, ORYLA01896, ORYLA01897
OG0000001	STRPU_02027, STRPU_07060, STRPU_08023, STRPU_02028, STRPU_08024, STRPU_02029, STRPU_16260, STRPU_16256, STRPU_16259, STRPU_16275, STRPU_16315, STRPU_16295, STRPU_16296, STRPU_16218, STRPU_16250, STRPU_16276, STRPU_16261, STRPU_16277, STRPU_16262	ORYLA01767, ORYLA01768, ORYLA01766, ORYLA07199, ORYLA07206, ORYLA07208, ORYLA07207
OG0000002	STRPU_01111, STRPU_24188, STRPU_24739, STRPU_12686, STRPU_23131, STRPU_24784, STRPU_24781, STRPU_24779, STRPU_24782, STRPU_24496, STRPU_22731, STRPU_04929, STRPU_10056, STRPU_10135, STRPU_10129, STRPU_13264, STRPU_11045, STRPU_00383, STRPU_10128, STRPU_13989, STRPU_13992, STRPU_13990, STRPU_13991	ORYLA00438
OG0000002	STRPU_07176, STRPU_07177, STRPU_18026, STRPU_03083	ORYLA12350
OG0000002	STRPU_00361	ORYLA13467, ORYLA16691
OG0000003	STRPU_22956, STRPU_00065	ORYLA18464
OG0000004	STRPU_19329	ORYLA04400, ORYLA08919
OG0000005	STRPU_02665, STRPU_01699	ORYLA04733
OG0000006	STRPU_04777	ORYLA13204, ORYLA13568, ORYLA06565
OG0000006	STRPU_05111, STRPU_05037	ORYLA20407, ORYLA03595
OG0000006	STRPU_06684	ORYLA03421, ORYLA09483
OG0000006	STRPU_19989	ORYLA13382
OG0000006	STRPU_12594, STRPU_12593	ORYLA15680, ORYLA07217, ORYLA12345, ORYLA14784
OG0000006	STRPU_20521	ORYLA10511, ORYLA11827
OG0000006	STRPU_09165, STRPU_02127	ORYLA16517
OG0000006	STRPU_09164	ORYLA16515
OG0000006	STRPU_27184, STRPU_27203	ORYLA17394
OG0000006	STRPU_07314	ORYLA05082
OG0000006	STRPU_27126	ORYLA13656, ORYLA07153, ORYLA02533
OG0000006	STRPU_04454, STRPU_04403, STRPU_04401	ORYLA20473, ORYLA04673, ORYLA03873
OG0000006	STRPU_21071	ORYLA03827, ORYLA03500, ORYLA10460, ORYLA00215, ORYLA04762
OG0000006	STRPU_14340	ORYLA04691
OG0000007	STRPU_25459	ORYLA13334
OG0000007	STRPU_26581	ORYLA14937, ORYLA17526
OG0000007	STRPU_21427	ORYLA03070, ORYLA10601, ORYLA19360
OG0000007	STRPU_18763	ORYLA00267, ORYLA17457, ORYLA13245, ORYLA02416, ORYLA13595
OG0000007	STRPU_09815	ORYLA10719
OG0000007	STRPU_10770	ORYLA18472
OG0000007	STRPU_25460	ORYLA15197
OG0000007	STRPU_25458	ORYLA13335, ORYLA07003, ORYLA12464
OG0000007	STRPU_08156, STRPU_08157	ORYLA13010
OG0000007	STRPU_16477	ORYLA03471, ORYLA17615
OG0000007	STRPU_21790	ORYLA01042, ORYLA11394, ORYLA05164
OG0000007	STRPU_08442	ORYLA00561, ORYLA16283, ORYLA08278
OG0000007	STRPU_08417	ORYLA16317
OG0000007	STRPU_10590	ORYLA15605, ORYLA13871, ORYLA05828
OG0000007	STRPU_21559	ORYLA10158, ORYLA04736
OG0000008	STRPU_23377, STRPU_23376	ORYLA01591, ORYLA05589, ORYLA06938
OG0000012	STRPU_06380, STRPU_06825	ORYLA07628
OG0000012	STRPU_23513	ORYLA15199
OG0000014	STRPU_17754, STRPU_17755	ORYLA11600, ORYLA01088
OG0000014	STRPU_19509	ORYLA07812, ORYLA17200
OG0000015	STRPU_05546, STRPU_05605	ORYLA04638, ORYLA19973, ORYLA01229, ORYLA13511, ORYLA08714, ORYLA04332, ORYLA10753
OG0000015	STRPU_05547, STRPU_05606	ORYLA03899, ORYLA10757, ORYLA08711, ORYLA01414, ORYLA19970, ORYLA04333, ORYLA13514, ORYLA08713, ORYLA08712, ORYLA13513, ORYLA01230, ORYLA01413, ORYLA19971
OG0000015	STRPU_21905	ORYLA09940, ORYLA09941, ORYLA00953, ORYLA04300, ORYLA18852, ORYLA01514
OG0000016	STRPU_06927, STRPU_06051, STRPU_06086, STRPU_06084, STRPU_06503, STRPU_06525, STRPU_06574, STRPU_06085, STRPU_06200, STRPU_06221	ORYLA12720, ORYLA00945
OG0000016	STRPU_09277	ORYLA17171, ORYLA00784, ORYLA19764
OG0000016	STRPU_19934, STRPU_02593, STRPU_06663, STRPU_23484	ORYLA09921
OG0000016	STRPU_15361, STRPU_21110	ORYLA00030
OG0000016	STRPU_22684, STRPU_23485, STRPU_23482, STRPU_23488, STRPU_23483, STRPU_23481, STRPU_23477, STRPU_23478, STRPU_22637, STRPU_00667, STRPU_23082	ORYLA11245, ORYLA15380
OG0000018	STRPU_21331	ORYLA02836, ORYLA14501
OG0000019	STRPU_23414, STRPU_01023	ORYLA07041, ORYLA14014, ORYLA15975, ORYLA16411, ORYLA20089, ORYLA20088
OG0000020	STRPU_13949	ORYLA12531
OG0000020	STRPU_20580	ORYLA10559
OG0000020	STRPU_19028, STRPU_00464	ORYLA06663
OG0000020	STRPU_22748, STRPU_01903	ORYLA16080
OG0000020	STRPU_07115	ORYLA09855
OG0000020	STRPU_26678	ORYLA06900, ORYLA09950
OG0000020	STRPU_22232	ORYLA16727
OG0000020	STRPU_19861, STRPU_19888	ORYLA06780
OG0000020	STRPU_05007	ORYLA01097, ORYLA00349
OG0000020	STRPU_11453	ORYLA15647
OG0000020	STRPU_04309, STRPU_04336	ORYLA00902
OG0000020	STRPU_05521	ORYLA02546
OG0000020	STRPU_21977	ORYLA06519
OG0000021	STRPU_23367	ORYLA13904, ORYLA15936, ORYLA11094
OG0000021	STRPU_25829	ORYLA12641, ORYLA05479
OG0000021	STRPU_02205, STRPU_15603	ORYLA03698, ORYLA17601
OG0000021	STRPU_02212, STRPU_15595	ORYLA04373
OG0000021	STRPU_18709, STRPU_19164, STRPU_19932, STRPU_02595, STRPU_19514, STRPU_20213	ORYLA12092, ORYLA14389
OG0000021	STRPU_05019, STRPU_05298, STRPU_05227, STRPU_05132, STRPU_05059	ORYLA06753
OG0000023	STRPU_09714, STRPU_09758	ORYLA08126
OG0000023	STRPU_05490, STRPU_14357, STRPU_15269, STRPU_14358	ORYLA02861, ORYLA18687, ORYLA06733, ORYLA07486, ORYLA12741, ORYLA15296, ORYLA13800, ORYLA07073, ORYLA08963, ORYLA07951, ORYLA02776, ORYLA01476
OG0000023	STRPU_20382, STRPU_04831, STRPU_00750, STRPU_00747, STRPU_00749, STRPU_00748	ORYLA03721, ORYLA03720, ORYLA12643, ORYLA15685, ORYLA18659, ORYLA18660
OG0000024	STRPU_06195, STRPU_03150, STRPU_14183, STRPU_00265, STRPU_07747	ORYLA12557, ORYLA19130, ORYLA18208, ORYLA03774, ORYLA18873, ORYLA03822, ORYLA04064
OG0000024	STRPU_01267, STRPU_16831	ORYLA04610, ORYLA19341, ORYLA19215, ORYLA19658, ORYLA15436, ORYLA19199, ORYLA01579, ORYLA16205, ORYLA18587, ORYLA16917, ORYLA16913, ORYLA08363, ORYLA17880, ORYLA10832, ORYLA08908, ORYLA08437, ORYLA19498
OG0000028	STRPU_27008	ORYLA20303, ORYLA20302, ORYLA00834, ORYLA01103, ORYLA05749, ORYLA01547
OG0000029	STRPU_09836, STRPU_17433, STRPU_17432	ORYLA01422, ORYLA01423, ORYLA13081, ORYLA13154, ORYLA04292, ORYLA04294, ORYLA04293, ORYLA15257, ORYLA13110, ORYLA02813, ORYLA04764, ORYLA00213, ORYLA03112
OG0000029	STRPU_14123	ORYLA15906
OG0000030	STRPU_23383	ORYLA01628, ORYLA19626, ORYLA02922
OG0000030	STRPU_18729, STRPU_18720	ORYLA07170
OG0000030	STRPU_10522	ORYLA20234
OG0000031	STRPU_24640	ORYLA09861, ORYLA15740
OG0000031	STRPU_24955	ORYLA13928, ORYLA09882, ORYLA05598, ORYLA01771
OG0000031	STRPU_24636	ORYLA01770
OG0000031	STRPU_27330	ORYLA06561
OG0000031	STRPU_08004	ORYLA10394, ORYLA11971
OG0000031	STRPU_05537, STRPU_05597	ORYLA04591, ORYLA04917
OG0000031	STRPU_18994	ORYLA06754, ORYLA07156, ORYLA02513
OG0000031	STRPU_05368	ORYLA09501, ORYLA00346
OG0000031	STRPU_24676	ORYLA09459, ORYLA08614, ORYLA06390
OG0000032	STRPU_21234, STRPU_24774, STRPU_24776, STRPU_02932, STRPU_12458	ORYLA14771, ORYLA03482, ORYLA10827, ORYLA12826, ORYLA04475, ORYLA04474, ORYLA14976, ORYLA12717
OG0000032	STRPU_24275, STRPU_24481, STRPU_24338, STRPU_24339, STRPU_24455, STRPU_24337, STRPU_24336, STRPU_24340, STRPU_24341, STRPU_09346, STRPU_24445, STRPU_24444, STRPU_24276, STRPU_24277, STRPU_24816	ORYLA15502
OG0000032	STRPU_24673, STRPU_24979, STRPU_24342, STRPU_10902, STRPU_10903, STRPU_08795, STRPU_24343	ORYLA06416
OG0000033	STRPU_03796, STRPU_03613, STRPU_12671, STRPU_12047, STRPU_02311, STRPU_18113, STRPU_15158, STRPU_15977, STRPU_02826, STRPU_19630	ORYLA01373
OG0000034	STRPU_11798	ORYLA16358, ORYLA12476, ORYLA15138, ORYLA11195, ORYLA16147
OG0000034	STRPU_11930, STRPU_11885	ORYLA17140, ORYLA07963, ORYLA14023, ORYLA15996, ORYLA11192, ORYLA14993, ORYLA14558
OG0000034	STRPU_27315	ORYLA07312
OG0000034	STRPU_11793	ORYLA12339, ORYLA14860
OG0000034	STRPU_04070	ORYLA19697
OG0000034	STRPU_12141, STRPU_12106	ORYLA14655
OG0000035	STRPU_25195, STRPU_01880, STRPU_04279, STRPU_01879, STRPU_25194	ORYLA16101
OG0000035	STRPU_27002	ORYLA17474, ORYLA12588, ORYLA14952
OG0000035	STRPU_13051	ORYLA11104, ORYLA14870, ORYLA12119
OG0000035	STRPU_12705, STRPU_12704	ORYLA18031, ORYLA17191, ORYLA15336, ORYLA11216
OG0000035	STRPU_12998, STRPU_12553	ORYLA13992, ORYLA14838, ORYLA12754, ORYLA14991, ORYLA14992, ORYLA11268
OG0000035	STRPU_12700	ORYLA17117, ORYLA14783
OG0000036	STRPU_26319, STRPU_09906, STRPU_26130, STRPU_25659	ORYLA15615, ORYLA15153, ORYLA07495, ORYLA20280, ORYLA12724
OG0000036	STRPU_26325, STRPU_26324, STRPU_26321, STRPU_16183, STRPU_16230, STRPU_25724	ORYLA12571
OG0000037	STRPU_20762	ORYLA05151, ORYLA08136, ORYLA03090
OG0000037	STRPU_24785	ORYLA15954, ORYLA02209, ORYLA10771, ORYLA11448
OG0000037	STRPU_10295, STRPU_10296, STRPU_10297	ORYLA04725
OG0000038	STRPU_17412, STRPU_17401	ORYLA16079
OG0000038	STRPU_18075, STRPU_01765	ORYLA08393, ORYLA09754
OG0000039	STRPU_13266	ORYLA13584, ORYLA13588, ORYLA13587
OG0000039	STRPU_05101, STRPU_05100, STRPU_05180	ORYLA07496
OG0000039	STRPU_18542, STRPU_18578, STRPU_18572, STRPU_12032, STRPU_12031, STRPU_12034, STRPU_01246	ORYLA15984, ORYLA18454, ORYLA16125, ORYLA16124
OG0000040	STRPU_00136	ORYLA04846, ORYLA04844
OG0000040	STRPU_21773, STRPU_17271, STRPU_21617, STRPU_22119, STRPU_03662, STRPU_03674, STRPU_03673, STRPU_03661, STRPU_01945, STRPU_22786, STRPU_01944, STRPU_25141, STRPU_21378, STRPU_03732, STRPU_03735, STRPU_03733, STRPU_03734, STRPU_08305, STRPU_03737, STRPU_08238	ORYLA04843, ORYLA04845, ORYLA04842, ORYLA04841, ORYLA18544, ORYLA18406
OG0000041	STRPU_13000	ORYLA16345, ORYLA07970, ORYLA13989, ORYLA15806, ORYLA13990, ORYLA15807, ORYLA14735, ORYLA19535, ORYLA15808, ORYLA14736, ORYLA19536, ORYLA12118
OG0000043	STRPU_10844, STRPU_10864	ORYLA03388
OG0000044	STRPU_09802	ORYLA04503, ORYLA10718, ORYLA02275, ORYLA17868, ORYLA05261
OG0000044	STRPU_00051	ORYLA05288
OG0000045	STRPU_00473	ORYLA09209
OG0000046	STRPU_24167, STRPU_08327, STRPU_08328	ORYLA00520
OG0000048	STRPU_05493	ORYLA19472
OG0000048	STRPU_15458	ORYLA17217
OG0000048	STRPU_09674	ORYLA14101
OG0000048	STRPU_20602	ORYLA08002
OG0000048	STRPU_20482	ORYLA11420
OG0000048	STRPU_26191	ORYLA15054
OG0000049	STRPU_17072	ORYLA11559, ORYLA19044, ORYLA04067, ORYLA03584
OG0000049	STRPU_23537	ORYLA13704, ORYLA13828, ORYLA15018
OG0000049	STRPU_23536	ORYLA14190, ORYLA14191, ORYLA11029
OG0000051	STRPU_17901, STRPU_17577, STRPU_17576, STRPU_17547, STRPU_17574, STRPU_17579, STRPU_17578, STRPU_17575, STRPU_02970, STRPU_16946	ORYLA05117
OG0000052	STRPU_04659, STRPU_16539, STRPU_16559, STRPU_16119, STRPU_13068, STRPU_00276, STRPU_03183, STRPU_16462, STRPU_09642, STRPU_12463, STRPU_09640, STRPU_09643, STRPU_15631, STRPU_23975, STRPU_23951, STRPU_09641, STRPU_12462, STRPU_10210, STRPU_06254, STRPU_06255, STRPU_05990, STRPU_18874	ORYLA18368, ORYLA18615, ORYLA19851
OG0000054	STRPU_04629, STRPU_04651, STRPU_21552, STRPU_04633, STRPU_04661, STRPU_04884, STRPU_04631, STRPU_04653	ORYLA00519
OG0000056	STRPU_19327	ORYLA07324, ORYLA00315, ORYLA13076, ORYLA07014, ORYLA16605, ORYLA00874, ORYLA00878, ORYLA16604, ORYLA13077
OG0000056	STRPU_12248, STRPU_11783	ORYLA17860
OG0000057	STRPU_09574, STRPU_09581, STRPU_15511, STRPU_15515, STRPU_15513, STRPU_15522, STRPU_15517, STRPU_15521, STRPU_15512, STRPU_15518, STRPU_15524, STRPU_15520, STRPU_15523, STRPU_15510, STRPU_15514, STRPU_06456, STRPU_18393, STRPU_10377, STRPU_10376, STRPU_03172, STRPU_10378, STRPU_10379, STRPU_11849, STRPU_11850, STRPU_11851, STRPU_10380, STRPU_16444, STRPU_10382	ORYLA17686, ORYLA14639, ORYLA12170
OG0000057	STRPU_09580	ORYLA13554, ORYLA12219
OG0000058	STRPU_08551	ORYLA11907
OG0000058	STRPU_08934	ORYLA18104
OG0000058	STRPU_09783	ORYLA11895, ORYLA12524, ORYLA19070
OG0000058	STRPU_07320, STRPU_07322, STRPU_07323, STRPU_07321	ORYLA18100, ORYLA18099, ORYLA18101, ORYLA18068
OG0000059	STRPU_05220	ORYLA09176
OG0000059	STRPU_24694, STRPU_24697, STRPU_24828, STRPU_24005	ORYLA04122, ORYLA03135, ORYLA01146
OG0000060	STRPU_24855	ORYLA01946, ORYLA04743
OG0000060	STRPU_12994	ORYLA16841, ORYLA08032, ORYLA12328, ORYLA14832, ORYLA15092
OG0000061	STRPU_13962	ORYLA09666, ORYLA08403, ORYLA01785, ORYLA15422
OG0000061	STRPU_02428, STRPU_13635	ORYLA10018, ORYLA07904, ORYLA07058, ORYLA16623, ORYLA08006, ORYLA08288, ORYLA08710, ORYLA09144, ORYLA06720, ORYLA07094, ORYLA13357, ORYLA13574, ORYLA07095, ORYLA13356, ORYLA06400, ORYLA19115
OG0000061	STRPU_13960, STRPU_13959, STRPU_13958	ORYLA07060, ORYLA08273
OG0000062	STRPU_12717, STRPU_26540, STRPU_26538, STRPU_26536, STRPU_26537, STRPU_12721, STRPU_24303, STRPU_12720, STRPU_12719, STRPU_26408	ORYLA08512, ORYLA08511, ORYLA08509, ORYLA03554, ORYLA03555, ORYLA03552, ORYLA03551, ORYLA18546
OG0000062	STRPU_08191	ORYLA10585, ORYLA11804
OG0000063	STRPU_18989	ORYLA06843, ORYLA13091, ORYLA13092, ORYLA07328, ORYLA00312, ORYLA12933
OG0000063	STRPU_23711	ORYLA19987, ORYLA10868, ORYLA20199
OG0000063	STRPU_18657	ORYLA14082, ORYLA04940, ORYLA08134
OG0000066	STRPU_19100	ORYLA06398
OG0000067	STRPU_24522, STRPU_10727, STRPU_10726, STRPU_04075, STRPU_11266, STRPU_11228, STRPU_16178, STRPU_16224, STRPU_16227, STRPU_16177, STRPU_02655, STRPU_16176, STRPU_16181, STRPU_16229, STRPU_11824, STRPU_10905, STRPU_00137, STRPU_11385	ORYLA04851, ORYLA01183, ORYLA06203, ORYLA19414
OG0000069	STRPU_00005	ORYLA00084
OG0000070	STRPU_17447, STRPU_05505	ORYLA11329, ORYLA09412
OG0000070	STRPU_26776, STRPU_26437, STRPU_26424, STRPU_13775, STRPU_13137, STRPU_13158, STRPU_13139, STRPU_13160, STRPU_26426, STRPU_26931, STRPU_26775, STRPU_26438, STRPU_26932	ORYLA07085, ORYLA17312
OG0000072	STRPU_05231	ORYLA01510, ORYLA00516, ORYLA03563, ORYLA04070
OG0000072	STRPU_05349	ORYLA00527, ORYLA04050, ORYLA03176
OG0000072	STRPU_05343	ORYLA20464
OG0000072	STRPU_04704, STRPU_04707	ORYLA05266
OG0000073	STRPU_10042, STRPU_10116, STRPU_06184, STRPU_06189, STRPU_06216, STRPU_06191, STRPU_06178, STRPU_06177, STRPU_16126, STRPU_04632, STRPU_04654, STRPU_21421, STRPU_21420	ORYLA06148, ORYLA06147
OG0000073	STRPU_14789	ORYLA09058, ORYLA06772, ORYLA12397, ORYLA18725
