Orthogroup	STRPU_ok	APOSC_ok
OG0000000	STRPU_10146, STRPU_10084	APOSC_11837, APOSC_12606
OG0000000	STRPU_10304	APOSC_11472, APOSC_29094
OG0000000	STRPU_10083, STRPU_10145	APOSC_25410
OG0000000	STRPU_10015	APOSC_11604
OG0000000	STRPU_10016	APOSC_28354
OG0000000	STRPU_19865, STRPU_19892	APOSC_19137
OG0000000	STRPU_02929	APOSC_11544
OG0000000	STRPU_19906	APOSC_13522
OG0000000	STRPU_03800	APOSC_06717
OG0000000	STRPU_09982, STRPU_09961	APOSC_04208
OG0000000	STRPU_20780	APOSC_07565
OG0000000	STRPU_23557	APOSC_11499
OG0000000	STRPU_23206	APOSC_22022
OG0000000	STRPU_05654	APOSC_04964
OG0000000	STRPU_05390	APOSC_16565
OG0000000	STRPU_23198	APOSC_27318
OG0000000	STRPU_23196	APOSC_06302
OG0000000	STRPU_23194	APOSC_14732
OG0000000	STRPU_23756	APOSC_24894
OG0000000	STRPU_22253	APOSC_24788
OG0000000	STRPU_09852	APOSC_28968
OG0000000	STRPU_23199	APOSC_18629
OG0000000	STRPU_23200	APOSC_01689
OG0000000	STRPU_25072	APOSC_01343
OG0000000	STRPU_23201	APOSC_25317
OG0000000	STRPU_23202	APOSC_25315, APOSC_25316
OG0000000	STRPU_05830	APOSC_10621
OG0000000	STRPU_23207	APOSC_22429
OG0000000	STRPU_10189	APOSC_04636
OG0000000	STRPU_09890	APOSC_18693
OG0000000	STRPU_21017	APOSC_00117
OG0000000	STRPU_21014	APOSC_08607
OG0000001	STRPU_05173, STRPU_05094	APOSC_06332, APOSC_06333, APOSC_10705, APOSC_01009, APOSC_10025, APOSC_10024, APOSC_10026, APOSC_24040, APOSC_19294, APOSC_19295, APOSC_01893, APOSC_20334, APOSC_02191, APOSC_28216, APOSC_18157, APOSC_23353, APOSC_19105, APOSC_25618, APOSC_25619, APOSC_25617
OG0000001	STRPU_00074	APOSC_14768, APOSC_07507, APOSC_17360
OG0000001	STRPU_11067	APOSC_12124, APOSC_24525, APOSC_00358, APOSC_15381, APOSC_11275, APOSC_07220, APOSC_02525, APOSC_09129, APOSC_04420, APOSC_26949, APOSC_05393, APOSC_00625, APOSC_18025
OG0000001	STRPU_12910, STRPU_12667, STRPU_13102	APOSC_02499, APOSC_01751, APOSC_07766
OG0000002	STRPU_21867	APOSC_17563
OG0000002	STRPU_01111, STRPU_24188, STRPU_24739, STRPU_12686, STRPU_23131, STRPU_24784, STRPU_24781, STRPU_24779, STRPU_24782, STRPU_24496	APOSC_09040, APOSC_26016
OG0000002	STRPU_22731, STRPU_04929, STRPU_10056, STRPU_10135, STRPU_10129, STRPU_13264, STRPU_11045, STRPU_00383, STRPU_10128, STRPU_13989, STRPU_13992, STRPU_13990, STRPU_13991	APOSC_12200, APOSC_12199, APOSC_23614
OG0000002	STRPU_25851, STRPU_22729	APOSC_00935
