Orthogroup	STRPU_ok	BRAFL
OG0000000	STRPU_10146, STRPU_10084	bflo_10712, bflo_10733
OG0000000	STRPU_22262	bflo_04183
OG0000000	STRPU_10304	bflo_24421, bflo_24425, bflo_09165
OG0000000	STRPU_10010	bflo_08798
OG0000000	STRPU_10083, STRPU_10145	bflo_09701
OG0000000	STRPU_10015	bflo_10072
OG0000000	STRPU_10016	bflo_10147
OG0000000	STRPU_19865, STRPU_19892	bflo_16599
OG0000000	STRPU_02929	bflo_24252
OG0000000	STRPU_19906	bflo_16111
OG0000000	STRPU_03800	bflo_08732
OG0000000	STRPU_23673, STRPU_23648	bflo_26435
OG0000000	STRPU_09982, STRPU_09961	bflo_10637
OG0000000	STRPU_20780	bflo_19045
OG0000000	STRPU_23557	bflo_00450
OG0000000	STRPU_23206	bflo_00191
OG0000000	STRPU_05654	bflo_15523
OG0000000	STRPU_23197, STRPU_23198	bflo_00195
OG0000000	STRPU_23194	bflo_00197
OG0000000	STRPU_23756	bflo_00617, bflo_23916
OG0000000	STRPU_22253	bflo_00176
OG0000000	STRPU_09852	bflo_10639
OG0000000	STRPU_23199	bflo_26449, bflo_00194, bflo_00920
OG0000000	STRPU_05830	bflo_14857
OG0000000	STRPU_23207	bflo_26417, bflo_00526
OG0000000	STRPU_10189	bflo_10437
OG0000000	STRPU_09890	bflo_10148
OG0000000	STRPU_21014	bflo_18457
OG0000001	STRPU_05173, STRPU_05094	bflo_12230, bflo_11781, bflo_09432, bflo_18518, bflo_18507
OG0000001	STRPU_16294, STRPU_16314, STRPU_16310, STRPU_16293, STRPU_16221	bflo_26771, bflo_03786, bflo_24105, bflo_23954, bflo_11884, bflo_11883, bflo_24341, bflo_27049, bflo_26880, bflo_15240, bflo_04862, bflo_25093, bflo_27451, bflo_05304, bflo_24933, bflo_17889, bflo_17890, bflo_27452, bflo_27036, bflo_14077, bflo_22059, bflo_27450
OG0000001	STRPU_01290, STRPU_18232, STRPU_01177, STRPU_19476, STRPU_18414	bflo_23582, bflo_21621, bflo_13782, bflo_21347, bflo_23767, bflo_16185
OG0000001	STRPU_07468, STRPU_07469, STRPU_07465, STRPU_07471, STRPU_07897, STRPU_07925, STRPU_07896, STRPU_07924, STRPU_07461, STRPU_07462, STRPU_07464, STRPU_07466, STRPU_07467, STRPU_07463, STRPU_07470, STRPU_14233, STRPU_14227, STRPU_19145, STRPU_04228, STRPU_09860, STRPU_06022, STRPU_06407, STRPU_06414, STRPU_06404, STRPU_06405, STRPU_24972, STRPU_10538, STRPU_10540, STRPU_10542, STRPU_07738, STRPU_12930, STRPU_07737, STRPU_07352, STRPU_11067, STRPU_12910, STRPU_12667, STRPU_13102	bflo_24437, bflo_24440
OG0000002	STRPU_21867	bflo_10743, bflo_14897, bflo_23881, bflo_05739, bflo_21182, bflo_13707, bflo_13715, bflo_17652, bflo_09097, bflo_09099
