Orthogroup	STRPU_ok	HELIO_ok
OG0000000	STRPU_10146, STRPU_10084	HELIO_01999
OG0000000	STRPU_10304	HELIO_08880
OG0000000	STRPU_10010	HELIO_10837
OG0000000	STRPU_10083, STRPU_10145	HELIO_06752
OG0000000	STRPU_10015	HELIO_10666
OG0000000	STRPU_10016	HELIO_00795
OG0000000	STRPU_03800	HELIO_03148
OG0000000	STRPU_23673, STRPU_23648	HELIO_09005
OG0000000	STRPU_09982, STRPU_09961	HELIO_02157
OG0000000	STRPU_20780	HELIO_11687
OG0000000	STRPU_05390	HELIO_04988
OG0000000	STRPU_23196	HELIO_00700
OG0000000	STRPU_23756	HELIO_00534
OG0000000	STRPU_09852	HELIO_08573
OG0000000	STRPU_25072	HELIO_11400
OG0000000	STRPU_23201	HELIO_04994
OG0000000	STRPU_23207	HELIO_06829
OG0000000	STRPU_21017	HELIO_00816
OG0000000	STRPU_21014	HELIO_04090
OG0000001	STRPU_16294, STRPU_16314, STRPU_16310, STRPU_16293, STRPU_16221	HELIO_11550
OG0000001	STRPU_07468, STRPU_07469, STRPU_07465, STRPU_07471, STRPU_07897, STRPU_07925, STRPU_07896, STRPU_07924, STRPU_07461, STRPU_07462, STRPU_07464, STRPU_07466, STRPU_07467, STRPU_07463, STRPU_07470	HELIO_06891
OG0000001	STRPU_14233, STRPU_14227	HELIO_10957
OG0000001	STRPU_19145	HELIO_04926
OG0000001	STRPU_04228, STRPU_09860	HELIO_03604
OG0000001	STRPU_06407, STRPU_06414, STRPU_06404, STRPU_06405	HELIO_03121
OG0000001	STRPU_07738, STRPU_12930, STRPU_07737, STRPU_07352	HELIO_03866
OG0000001	STRPU_11067	HELIO_06455
OG0000002	STRPU_21867	HELIO_06940
OG0000002	STRPU_01111, STRPU_24188	HELIO_06215
OG0000002	STRPU_24739, STRPU_12686	HELIO_12339
OG0000002	STRPU_23131	HELIO_07200
OG0000002	STRPU_24784, STRPU_24781	HELIO_07091
OG0000002	STRPU_24779, STRPU_24782	HELIO_05970
OG0000002	STRPU_24496	HELIO_10154
OG0000002	STRPU_04929	HELIO_04237
OG0000002	STRPU_25851	HELIO_03388
OG0000002	STRPU_22729	HELIO_11987
OG0000002	STRPU_07177, STRPU_18026	HELIO_05342
OG0000002	STRPU_03083	HELIO_01248
OG0000002	STRPU_22053, STRPU_10449, STRPU_10451, STRPU_10453	HELIO_10853
OG0000002	STRPU_04204, STRPU_04244	HELIO_05803
OG0000002	STRPU_03069, STRPU_04415, STRPU_16798, STRPU_15494, STRPU_16800, STRPU_16796	HELIO_05585
OG0000002	STRPU_04913	HELIO_02102
OG0000002	STRPU_04447	HELIO_10641
OG0000002	STRPU_25048	HELIO_06844
OG0000002	STRPU_00361	HELIO_12021, HELIO_07207
OG0000003	STRPU_08514	HELIO_07277
OG0000003	STRPU_06609	HELIO_02559
