Orthogroup	STRPU_ok	PFLAV
OG0000000	STRPU_10146, STRPU_10084	TCONS_00026365.p1
OG0000000	STRPU_22262	TCONS_00019737.p1
OG0000000	STRPU_10304	TCONS_00027826.p1
OG0000000	STRPU_10083, STRPU_10145	TCONS_00026612.p1
OG0000000	STRPU_10015	TCONS_00026711.p1
OG0000000	STRPU_10016	TCONS_00026377.p1
OG0000000	STRPU_19865, STRPU_19892	TCONS_00014809.p1, TCONS_00014810.p1
OG0000000	STRPU_02929	TCONS_00018852.p1
OG0000000	STRPU_19906	TCONS_00015367.p1
OG0000000	STRPU_03800	TCONS_00017786.p1
OG0000000	STRPU_23673, STRPU_23648	TCONS_00020801.p1
OG0000000	STRPU_09982, STRPU_09961	TCONS_00026487.p1
OG0000000	STRPU_20780	TCONS_00010493.p1
OG0000000	STRPU_23557	TCONS_00020105.p1
OG0000000	STRPU_23206	TCONS_00032259.p1
OG0000000	STRPU_05654	TCONS_00043772.p1
OG0000000	STRPU_05390	TCONS_00043771.p1
OG0000000	STRPU_23197, STRPU_23198	TCONS_00032269.p1
OG0000000	STRPU_23196	TCONS_00032267.p1
OG0000000	STRPU_23194	TCONS_00032264.p1
OG0000000	STRPU_23756	TCONS_00019139.p1
OG0000000	STRPU_22253	TCONS_00018960.p1, TCONS_00018945.p1
OG0000000	STRPU_09852	TCONS_00027510.p1
OG0000000	STRPU_23199	TCONS_00032270.p1
OG0000000	STRPU_23200	TCONS_00032272.p1
OG0000000	STRPU_25072	TCONS_00031628.p1, TCONS_00031626.p1
OG0000000	STRPU_05830	TCONS_00042478.p1
OG0000000	STRPU_23207	TCONS_00031629.p1
OG0000000	STRPU_10189	TCONS_00026601.p1
OG0000000	STRPU_09890	TCONS_00026600.p1
OG0000000	STRPU_21017	TCONS_00009627.p1
OG0000000	STRPU_21014	TCONS_00009628.p1
OG0000001	STRPU_00074	TCONS_00027439.p1
OG0000001	STRPU_01290, STRPU_18232, STRPU_01177, STRPU_19476, STRPU_18414	TCONS_00034555.p1, TCONS_00007091.p1
OG0000001	STRPU_02027, STRPU_07060, STRPU_08023, STRPU_02028, STRPU_08024, STRPU_02029, STRPU_16260, STRPU_16256, STRPU_16259, STRPU_16275, STRPU_16315, STRPU_16295, STRPU_16296, STRPU_16218, STRPU_16250, STRPU_16276, STRPU_16261, STRPU_16277, STRPU_16262	TCONS_00001512.p1, TCONS_00001513.p1, TCONS_00001514.p1, TCONS_00001510.p2
OG0000001	STRPU_07468, STRPU_07469, STRPU_07465, STRPU_07471, STRPU_07897, STRPU_07925, STRPU_07896, STRPU_07924, STRPU_07461, STRPU_07462, STRPU_07464, STRPU_07466, STRPU_07467, STRPU_07463, STRPU_07470, STRPU_14233, STRPU_14227, STRPU_19145, STRPU_04228, STRPU_09860, STRPU_06022, STRPU_06407, STRPU_06414, STRPU_06404, STRPU_06405, STRPU_24972, STRPU_10538, STRPU_10540, STRPU_10542, STRPU_07738, STRPU_12930, STRPU_07737, STRPU_07352, STRPU_11067, STRPU_12910, STRPU_12667, STRPU_13102	TCONS_00051578.p1, TCONS_00050528.p1, TCONS_00050529.p1, TCONS_00051579.p1, TCONS_00050527.p1, TCONS_00051590.p1, TCONS_00050520.p1, TCONS_00051592.p2, TCONS_00050519.p1, TCONS_00050521.p1, TCONS_00051589.p1, TCONS_00050525.p1, TCONS_00051582.p1, TCONS_00051581.p1, TCONS_00050526.p1, TCONS_00051580.p1
OG0000002	STRPU_21867	TCONS_00010137.p1
OG0000002	STRPU_25851, STRPU_22729	TCONS_00028990.p1, TCONS_00028992.p1
OG0000002	STRPU_07176, STRPU_07177, STRPU_18026, STRPU_03083	TCONS_00017417.p1, TCONS_00017418.p1, TCONS_00053860.p1, TCONS_00053848.p1, TCONS_00018470.p1, TCONS_00001082.p1
OG0000002	STRPU_22053, STRPU_10449, STRPU_10451, STRPU_10453, STRPU_11801, STRPU_04204, STRPU_04244, STRPU_03069, STRPU_04415, STRPU_16798, STRPU_15494, STRPU_16800, STRPU_16796, STRPU_04913, STRPU_04447	TCONS_00003695.p1, TCONS_00003696.p1, TCONS_00003697.p1
OG0000002	STRPU_25048, STRPU_20582, STRPU_20566	TCONS_00000388.p1, TCONS_00000392.p1, TCONS_00000390.p1, TCONS_00000387.p1, TCONS_00000394.p1, TCONS_00000393.p1, TCONS_00000389.p1
OG0000002	STRPU_00361	TCONS_00048938.p1
OG0000003	STRPU_08968, STRPU_08981	TCONS_00043593.p1
OG0000003	STRPU_06609	TCONS_00012459.p1
OG0000003	STRPU_17011	TCONS_00043525.p1
OG0000003	STRPU_02120	TCONS_00031472.p1
OG0000003	STRPU_00064, STRPU_13505	TCONS_00018253.p1
OG0000003	STRPU_18662	TCONS_00045158.p1
OG0000003	STRPU_17010	TCONS_00057090.p1
OG0000003	STRPU_06867, STRPU_06866	TCONS_00013356.p1
OG0000004	STRPU_07696, STRPU_07682	TCONS_00045168.p1, TCONS_00046035.p1
OG0000004	STRPU_04563	TCONS_00030290.p1
OG0000004	STRPU_26969	TCONS_00028773.p1
OG0000004	STRPU_18793, STRPU_18804, STRPU_18942, STRPU_18792, STRPU_18791, STRPU_25306	TCONS_00051408.p1, TCONS_00051404.p1, TCONS_00050286.p1, TCONS_00040010.p1, TCONS_00039986.p1, TCONS_00039985.p1, TCONS_00040009.p1, TCONS_00040789.p1
OG0000004	STRPU_19329	TCONS_00039987.p1
OG0000004	STRPU_05439, STRPU_05438, STRPU_14686, STRPU_14682, STRPU_11682, STRPU_08661, STRPU_11826, STRPU_11842, STRPU_19610	TCONS_00020025.p1, TCONS_00020017.p1, TCONS_00001702.p1, TCONS_00000548.p1, TCONS_00001700.p1, TCONS_00000558.p1
OG0000005	STRPU_18110, STRPU_02307, STRPU_02309	TCONS_00020907.p1
OG0000005	STRPU_17631, STRPU_02287	TCONS_00033021.p1
OG0000005	STRPU_02285, STRPU_00429, STRPU_17634, STRPU_02288, STRPU_17632, STRPU_02286, STRPU_17633, STRPU_19124, STRPU_02289, STRPU_17623, STRPU_02297, STRPU_17967, STRPU_17969, STRPU_02293, STRPU_02291, STRPU_02294, STRPU_17627, STRPU_17624, STRPU_02296, STRPU_17968, STRPU_17713, STRPU_17714, STRPU_21910, STRPU_15486, STRPU_15487, STRPU_22203, STRPU_22202, STRPU_17272	TCONS_00001294.p1, TCONS_00050179.p1, TCONS_00050176.p1, TCONS_00050178.p1, TCONS_00051419.p1, TCONS_00051326.p1, TCONS_00040757.p1
OG0000005	STRPU_26723	TCONS_00025571.p1, TCONS_00024813.p1, TCONS_00024774.p1, TCONS_00052605.p1, TCONS_00007440.p1, TCONS_00007335.p1
OG0000006	STRPU_12837	TCONS_00023170.p1, TCONS_00025030.p1
OG0000006	STRPU_04777	TCONS_00031049.p1, TCONS_00031040.p1, TCONS_00031041.p1, TCONS_00031046.p1, TCONS_00031039.p1
OG0000006	STRPU_05111, STRPU_05037	TCONS_00042787.p1
OG0000006	STRPU_06684	TCONS_00021207.p1
OG0000006	STRPU_19989	TCONS_00016646.p1
OG0000006	STRPU_06500	TCONS_00021581.p1
OG0000006	STRPU_12594, STRPU_12593	TCONS_00023551.p1
OG0000006	STRPU_20521	TCONS_00003496.p1
OG0000006	STRPU_09165, STRPU_02127	TCONS_00012810.p1
OG0000006	STRPU_09164	TCONS_00013984.p1, TCONS_00012809.p1
OG0000006	STRPU_27184, STRPU_27203	TCONS_00027932.p1
OG0000006	STRPU_27125	TCONS_00027931.p1
OG0000006	STRPU_07314	TCONS_00045950.p1
OG0000006	STRPU_27126	TCONS_00028953.p1
OG0000006	STRPU_04454, STRPU_04403, STRPU_04401	TCONS_00030792.p1
OG0000006	STRPU_21069	TCONS_00011489.p1
OG0000006	STRPU_21071	TCONS_00011491.p1
OG0000006	STRPU_14340	TCONS_00011052.p1
OG0000006	STRPU_22384	TCONS_00019371.p1, TCONS_00048901.p1, TCONS_00048902.p1
OG0000007	STRPU_25459	TCONS_00008966.p1
OG0000007	STRPU_26581	TCONS_00029574.p1
OG0000007	STRPU_21427	TCONS_00009611.p1
OG0000007	STRPU_26977	TCONS_00029143.p1
OG0000007	STRPU_18763	TCONS_00052518.p1
OG0000007	STRPU_09815	TCONS_00026068.p1
OG0000007	STRPU_10770	TCONS_00051149.p1
OG0000007	STRPU_25304	TCONS_00008968.p1
OG0000007	STRPU_25458	TCONS_00008967.p1
OG0000007	STRPU_08156, STRPU_08157	TCONS_00024115.p1
OG0000007	STRPU_16477	TCONS_00055417.p1
OG0000007	STRPU_21790	TCONS_00011336.p1
OG0000007	STRPU_08442	TCONS_00014249.p1
OG0000007	STRPU_08417	TCONS_00012754.p1
OG0000007	STRPU_12872	TCONS_00025375.p1
OG0000007	STRPU_10590	TCONS_00051989.p1
OG0000007	STRPU_21559	TCONS_00009689.p1
OG0000008	STRPU_19365	TCONS_00016587.p1, TCONS_00005048.p1
OG0000008	STRPU_13280	TCONS_00016727.p1, TCONS_00016728.p1, TCONS_00015622.p1, TCONS_00015620.p1, TCONS_00015621.p1
OG0000008	STRPU_10510	TCONS_00054551.p1, TCONS_00054547.p1, TCONS_00052874.p1
OG0000008	STRPU_13475, STRPU_13258, STRPU_13930, STRPU_13915	TCONS_00015623.p1
