Orthogroup	STRPU_ok	CAEEL
OG0000000	STRPU_10146, STRPU_10084	CAEEL18735
OG0000000	STRPU_10010	CAEEL08140
OG0000000	STRPU_10083, STRPU_10145	CAEEL18754
OG0000000	STRPU_10015	CAEEL06523
OG0000000	STRPU_10016	CAEEL00081
OG0000000	STRPU_19865, STRPU_19892	CAEEL18467, CAEEL18466
OG0000000	STRPU_03800	CAEEL04771
OG0000000	STRPU_23673, STRPU_23648	CAEEL10851
OG0000000	STRPU_09982, STRPU_09961	CAEEL18086
OG0000000	STRPU_23557	CAEEL05734
OG0000000	STRPU_23206	CAEEL08092
OG0000000	STRPU_05654, STRPU_23204, STRPU_23203, STRPU_05390, STRPU_23197, STRPU_23198, STRPU_23196, STRPU_23194, STRPU_23195	CAEEL08135, CAEEL08091
OG0000000	STRPU_23756	CAEEL00979
OG0000000	STRPU_09852	CAEEL19601
OG0000000	STRPU_23199, STRPU_23200, STRPU_25072, STRPU_23201, STRPU_25677, STRPU_23202	CAEEL09056, CAEEL09057, CAEEL09058
OG0000000	STRPU_05830	CAEEL07441
OG0000000	STRPU_23207	CAEEL08875
OG0000000	STRPU_09890, STRPU_21017, STRPU_21014	CAEEL16213
OG0000001	STRPU_16294, STRPU_16314, STRPU_16310, STRPU_16293, STRPU_16221	CAEEL00558, CAEEL10892, CAEEL06622, CAEEL17769, CAEEL17450, CAEEL17770
OG0000002	STRPU_06289, STRPU_06334	CAEEL13228, CAEEL12925, CAEEL13245, CAEEL13244, CAEEL13243, CAEEL13242, CAEEL13246, CAEEL13682, CAEEL13221, CAEEL13223, CAEEL17594, CAEEL16944, CAEEL13479, CAEEL14996, CAEEL14636, CAEEL11003, CAEEL11002, CAEEL11012, CAEEL20200, CAEEL14075, CAEEL20203, CAEEL20199, CAEEL20201, CAEEL01553, CAEEL04143
OG0000002	STRPU_00361	CAEEL18977
OG0000003	STRPU_08968, STRPU_08981	CAEEL08453, CAEEL08460
OG0000003	STRPU_02120, STRPU_20651	CAEEL20577
OG0000005	STRPU_18110, STRPU_02307, STRPU_02309	CAEEL13168
OG0000005	STRPU_17631, STRPU_02287	CAEEL20591, CAEEL05556, CAEEL19115
OG0000005	STRPU_26723, STRPU_06288, STRPU_06333	CAEEL17405, CAEEL08039, CAEEL04792
OG0000006	STRPU_12837	CAEEL20510
OG0000006	STRPU_05111, STRPU_05037	CAEEL00696
OG0000006	STRPU_20521	CAEEL07700
OG0000006	STRPU_09165, STRPU_02127, STRPU_09164	CAEEL05532
OG0000006	STRPU_27126	CAEEL01533
OG0000006	STRPU_04454, STRPU_04403, STRPU_04401	CAEEL12101
OG0000006	STRPU_21069	CAEEL00153
OG0000006	STRPU_21071	CAEEL17819
OG0000006	STRPU_14340	CAEEL15182
OG0000007	STRPU_26581	CAEEL04050
OG0000007	STRPU_21427	CAEEL17965
OG0000007	STRPU_18763	CAEEL05829
OG0000007	STRPU_25458	CAEEL01108
OG0000007	STRPU_16477, STRPU_21790	CAEEL10238, CAEEL04602
OG0000007	STRPU_21559	CAEEL18586
OG0000008	STRPU_15692	CAEEL19465, CAEEL14382
OG0000010	STRPU_11420, STRPU_01204, STRPU_19975	CAEEL10534
OG0000012	STRPU_06380, STRPU_06825	CAEEL20690
OG0000013	STRPU_03494, STRPU_03492, STRPU_03491, STRPU_03490, STRPU_24550, STRPU_24549, STRPU_03493, STRPU_13013, STRPU_13016, STRPU_13015, STRPU_26140, STRPU_26139, STRPU_26141, STRPU_26142, STRPU_26063, STRPU_26143, STRPU_26144, STRPU_26145, STRPU_26138, STRPU_12240, STRPU_17902, STRPU_12241, STRPU_05609, STRPU_18744, STRPU_18801, STRPU_18564, STRPU_18562, STRPU_19588, STRPU_25542, STRPU_26621, STRPU_26619, STRPU_13855, STRPU_22248, STRPU_22985, STRPU_05310, STRPU_03335, STRPU_03341, STRPU_05350, STRPU_17608, STRPU_10835, STRPU_10854, STRPU_27045, STRPU_27048, STRPU_27049, STRPU_14795, STRPU_15013, STRPU_15028, STRPU_15009, STRPU_15023, STRPU_15021, STRPU_21089, STRPU_27050, STRPU_21244, STRPU_17615, STRPU_17609, STRPU_17614, STRPU_23920, STRPU_13091, STRPU_13105	CAEEL19127
OG0000015	STRPU_05602, STRPU_05543	CAEEL07962, CAEEL08800, CAEEL08801, CAEEL08799, CAEEL20727, CAEEL14381, CAEEL17815, CAEEL12449, CAEEL00283, CAEEL04309
OG0000015	STRPU_05547, STRPU_05606	CAEEL15587
OG0000016	STRPU_06927, STRPU_06051, STRPU_06086, STRPU_06084, STRPU_06503, STRPU_06525, STRPU_06574, STRPU_06085, STRPU_06200, STRPU_06221	CAEEL20493
OG0000016	STRPU_09277	CAEEL19614, CAEEL20639, CAEEL17751, CAEEL09082, CAEEL18079, CAEEL18078
OG0000016	STRPU_19934, STRPU_02593, STRPU_06663, STRPU_23484, STRPU_06664, STRPU_06873, STRPU_06665	CAEEL18647
OG0000019	STRPU_27424, STRPU_27423, STRPU_27421, STRPU_27422, STRPU_27112, STRPU_27113	CAEEL20377, CAEEL20739, CAEEL19383, CAEEL19258, CAEEL10676, CAEEL00531, CAEEL01379, CAEEL01513
OG0000020	STRPU_19861, STRPU_19888	CAEEL00627
OG0000020	STRPU_11453, STRPU_04309, STRPU_04336	CAEEL05927
OG0000020	STRPU_05521	CAEEL13362
OG0000020	STRPU_21977	CAEEL09273
OG0000021	STRPU_23367	CAEEL15603
