Orthogroup	STRPU_ok	SCHMD
OG0000000	STRPU_10146, STRPU_10084	SCHMD20461, SCHMD14540, SCHMD00971
OG0000000	STRPU_22262	SCHMD09645
OG0000000	STRPU_10083, STRPU_10145	SCHMD20523, SCHMD24588
OG0000000	STRPU_10015	SCHMD03805
OG0000000	STRPU_10016	SCHMD20256, SCHMD22099
OG0000000	STRPU_19865, STRPU_19892	SCHMD09133, SCHMD27825
OG0000000	STRPU_19906	SCHMD03766
OG0000000	STRPU_03800	SCHMD27182, SCHMD16896
OG0000000	STRPU_23673, STRPU_23648	SCHMD28523
OG0000000	STRPU_23206	SCHMD18969
OG0000000	STRPU_23203	SCHMD08046
OG0000000	STRPU_23197, STRPU_23198	SCHMD22390, SCHMD21735
OG0000000	STRPU_23756	SCHMD21303
OG0000000	STRPU_09852	SCHMD01868, SCHMD02255
OG0000000	STRPU_23207	SCHMD24693
OG0000000	STRPU_10189	SCHMD05281, SCHMD04291
OG0000000	STRPU_09890, STRPU_21017, STRPU_21014	SCHMD13268
OG0000001	STRPU_01290, STRPU_18232, STRPU_01177, STRPU_19476, STRPU_18414	SCHMD16091
OG0000002	STRPU_25048, STRPU_20582, STRPU_20566	SCHMD15297
OG0000002	STRPU_18021, STRPU_18027	SCHMD02695
OG0000003	STRPU_06865	SCHMD14034
OG0000003	STRPU_02120, STRPU_20651	SCHMD26463, SCHMD28579, SCHMD15478, SCHMD23092
OG0000003	STRPU_12409, STRPU_12413, STRPU_12410, STRPU_12414, STRPU_12412	SCHMD08141, SCHMD02635, SCHMD12732
OG0000003	STRPU_08511, STRPU_12408, STRPU_17010, STRPU_05808, STRPU_19339, STRPU_15479, STRPU_02103, STRPU_20154	SCHMD00325
OG0000005	STRPU_18110, STRPU_02307, STRPU_02309	SCHMD06848
OG0000005	STRPU_17631, STRPU_02287	SCHMD02886, SCHMD16397, SCHMD12141, SCHMD01757
OG0000005	STRPU_17625, STRPU_17635, STRPU_02284	SCHMD06849
OG0000005	STRPU_26723, STRPU_06288, STRPU_06333	SCHMD15919
OG0000006	STRPU_05111, STRPU_05037	SCHMD00178
OG0000006	STRPU_06684	SCHMD18704
OG0000006	STRPU_06500, STRPU_12594, STRPU_12593, STRPU_20521, STRPU_09165, STRPU_02127, STRPU_09164, STRPU_27184, STRPU_27203, STRPU_27125	SCHMD09638
OG0000006	STRPU_27126	SCHMD20660, SCHMD20659, SCHMD16131, SCHMD21341
OG0000006	STRPU_04454, STRPU_04403, STRPU_04401	SCHMD13710
OG0000006	STRPU_14340	SCHMD18814
OG0000007	STRPU_25459	SCHMD12323
OG0000007	STRPU_21427	SCHMD08294
OG0000007	STRPU_26977	SCHMD22164, SCHMD13502
OG0000007	STRPU_18763	SCHMD14635, SCHMD17075
OG0000007	STRPU_09815	SCHMD03666
OG0000007	STRPU_25304, STRPU_25458	SCHMD12296, SCHMD02893
OG0000007	STRPU_08156, STRPU_08157	SCHMD08423
OG0000007	STRPU_16477, STRPU_21790	SCHMD22068, SCHMD08894, SCHMD06998
OG0000007	STRPU_08442	SCHMD19134
OG0000007	STRPU_08417	SCHMD00558, SCHMD06747, SCHMD22968, SCHMD29142, SCHMD15439, SCHMD19350, SCHMD15440, SCHMD11082, SCHMD05985
OG0000007	STRPU_21559	SCHMD02246
OG0000008	STRPU_08296	SCHMD02053
OG0000010	STRPU_08974, STRPU_08975	SCHMD16346
OG0000011	STRPU_03188, STRPU_03644, STRPU_13118, STRPU_15611, STRPU_01277, STRPU_02577	SCHMD05659
OG0000012	STRPU_06380, STRPU_06825	SCHMD06044, SCHMD24599, SCHMD26528, SCHMD04657, SCHMD00960
OG0000015	STRPU_05546, STRPU_05605	SCHMD16724
OG0000015	STRPU_05547, STRPU_05606	SCHMD18317, SCHMD16528, SCHMD16031, SCHMD20432
OG0000016	STRPU_06872	SCHMD23829
OG0000016	STRPU_06663, STRPU_23484	SCHMD16694
OG0000016	STRPU_21110	SCHMD02183
