Orthogroup	STRPU_ok	LYTVA_ok
OG0000000	STRPU_10146, STRPU_10084	LYTVA_01679
OG0000000	STRPU_22262	LYTVA_23170
OG0000000	STRPU_10304	LYTVA_01380
OG0000000	STRPU_10010	LYTVA_25096
OG0000000	STRPU_10083, STRPU_10145	LYTVA_01827
OG0000000	STRPU_10015	LYTVA_18988
OG0000000	STRPU_10016	LYTVA_18985
OG0000000	STRPU_02929	LYTVA_13103
OG0000000	STRPU_19906	LYTVA_27688
OG0000000	STRPU_23673, STRPU_23648	LYTVA_21959
OG0000000	STRPU_09982, STRPU_09961	LYTVA_22602
OG0000000	STRPU_20780	LYTVA_19974
OG0000000	STRPU_23557	LYTVA_27704
OG0000000	STRPU_23206	LYTVA_08678
OG0000000	STRPU_23203	LYTVA_08668
OG0000000	STRPU_05390	LYTVA_23667
OG0000000	STRPU_23198	LYTVA_22477
OG0000000	STRPU_23196	LYTVA_22478
OG0000000	STRPU_23194	LYTVA_22480
OG0000000	STRPU_23195	LYTVA_22479
OG0000000	STRPU_23756	LYTVA_23047
OG0000000	STRPU_22253	LYTVA_14838
OG0000000	STRPU_09852	LYTVA_06897, LYTVA_22068
OG0000000	STRPU_23199	LYTVA_22476
OG0000000	STRPU_23200	LYTVA_22475
OG0000000	STRPU_23201	LYTVA_29838
OG0000000	STRPU_25677	LYTVA_27097
OG0000000	STRPU_23202	LYTVA_29834
OG0000000	STRPU_05830	LYTVA_22714
OG0000000	STRPU_23207	LYTVA_19015
OG0000000	STRPU_10189	LYTVA_26599
OG0000000	STRPU_09890	LYTVA_17046
OG0000000	STRPU_21017	LYTVA_23349
OG0000000	STRPU_21014	LYTVA_23351
OG0000001	STRPU_05173, STRPU_05094	LYTVA_16225
OG0000001	STRPU_01290, STRPU_18232, STRPU_01177, STRPU_19476, STRPU_18414	LYTVA_16521
OG0000001	STRPU_02027, STRPU_07060, STRPU_08023, STRPU_02028, STRPU_08024, STRPU_02029, STRPU_16260, STRPU_16256, STRPU_16259, STRPU_16275, STRPU_16315, STRPU_16295, STRPU_16296, STRPU_16218, STRPU_16250, STRPU_16276, STRPU_16261, STRPU_16277, STRPU_16262	LYTVA_19190, LYTVA_26158
OG0000001	STRPU_07468, STRPU_07469, STRPU_07465, STRPU_07471, STRPU_07897, STRPU_07925, STRPU_07896, STRPU_07924, STRPU_07461, STRPU_07462, STRPU_07464, STRPU_07466, STRPU_07467, STRPU_07463, STRPU_07470	LYTVA_04837
OG0000001	STRPU_14233, STRPU_14227	LYTVA_04757
OG0000001	STRPU_06022	LYTVA_28493
OG0000001	STRPU_06407, STRPU_06414, STRPU_06404, STRPU_06405	LYTVA_09014, LYTVA_04284
OG0000001	STRPU_24972	LYTVA_06287
OG0000001	STRPU_10538, STRPU_10540, STRPU_10542	LYTVA_18436, LYTVA_05266
OG0000001	STRPU_07738, STRPU_12930, STRPU_07737, STRPU_07352	LYTVA_22102
OG0000001	STRPU_11067	LYTVA_14761
OG0000001	STRPU_12910	LYTVA_12818
OG0000001	STRPU_12667	LYTVA_24053, LYTVA_08107, LYTVA_24049
OG0000001	STRPU_13102	LYTVA_11602
OG0000002	STRPU_21867	LYTVA_28398
OG0000002	STRPU_01111, STRPU_24188	LYTVA_16491, LYTVA_27186, LYTVA_12758
OG0000002	STRPU_24739, STRPU_12686	LYTVA_12336
OG0000002	STRPU_23131	LYTVA_23101
OG0000002	STRPU_24779, STRPU_24782	LYTVA_29091
OG0000002	STRPU_24496	LYTVA_16674
OG0000002	STRPU_22731	LYTVA_03491
OG0000002	STRPU_04929	LYTVA_22589
OG0000002	STRPU_10056, STRPU_10135, STRPU_10129, STRPU_13264, STRPU_11045, STRPU_00383, STRPU_10128	LYTVA_22154, LYTVA_22588
OG0000002	STRPU_13989, STRPU_13992, STRPU_13990, STRPU_13991	LYTVA_25289
OG0000002	STRPU_25851	LYTVA_01784
OG0000002	STRPU_07176	LYTVA_07084
OG0000002	STRPU_07177, STRPU_18026	LYTVA_09655, LYTVA_07085
OG0000002	STRPU_03083	LYTVA_29176
OG0000002	STRPU_22053, STRPU_10449, STRPU_10451, STRPU_10453	LYTVA_09815
OG0000002	STRPU_11801	LYTVA_04765
OG0000002	STRPU_03069	LYTVA_26938
OG0000002	STRPU_04415, STRPU_16798	LYTVA_07995, LYTVA_23824
OG0000002	STRPU_15494, STRPU_16800, STRPU_16796	LYTVA_17551
OG0000002	STRPU_04913	LYTVA_25582
OG0000002	STRPU_04447	LYTVA_22408
OG0000002	STRPU_06289, STRPU_06334	LYTVA_05820
OG0000002	STRPU_18021, STRPU_18027	LYTVA_21553
OG0000003	STRPU_19737	LYTVA_28727
OG0000003	STRPU_08514	LYTVA_23292
OG0000003	STRPU_24147	LYTVA_29159
OG0000003	STRPU_06865	LYTVA_21164
OG0000003	STRPU_00063	LYTVA_25607, LYTVA_21606
OG0000003	STRPU_07634	LYTVA_15536
OG0000003	STRPU_17996	LYTVA_06469
OG0000003	STRPU_20154	LYTVA_20987
OG0000004	STRPU_27010	LYTVA_04445
OG0000004	STRPU_27431	LYTVA_03048
OG0000004	STRPU_09499, STRPU_09497	LYTVA_22297
OG0000004	STRPU_07696, STRPU_07682, STRPU_22142	LYTVA_07389, LYTVA_03537
OG0000004	STRPU_26215, STRPU_26214	LYTVA_23131
OG0000004	STRPU_26969	LYTVA_04400
OG0000004	STRPU_26895	LYTVA_13223
OG0000004	STRPU_18793, STRPU_18804, STRPU_18942, STRPU_18792, STRPU_18791	LYTVA_02998
OG0000004	STRPU_25306	LYTVA_25806
OG0000004	STRPU_07761	LYTVA_27784, LYTVA_21700, LYTVA_21699
OG0000004	STRPU_07767, STRPU_15502	LYTVA_11605
OG0000004	STRPU_03859, STRPU_25874, STRPU_03860	LYTVA_23685, LYTVA_10559
OG0000004	STRPU_14052, STRPU_24326	LYTVA_13382
OG0000004	STRPU_12010, STRPU_01672, STRPU_12009	LYTVA_25777
OG0000004	STRPU_19328	LYTVA_27196
OG0000004	STRPU_20214, STRPU_02497, STRPU_15118	LYTVA_05937
OG0000004	STRPU_09105, STRPU_02076, STRPU_24332	LYTVA_25040
OG0000004	STRPU_03320, STRPU_03321	LYTVA_08631
OG0000004	STRPU_03895	LYTVA_08482, LYTVA_13991
OG0000004	STRPU_25881	LYTVA_22300
OG0000004	STRPU_25882	LYTVA_22328
OG0000004	STRPU_14825, STRPU_00765, STRPU_14824, STRPU_14822, STRPU_14823, STRPU_14826	LYTVA_25768
OG0000004	STRPU_19329	LYTVA_11730
OG0000004	STRPU_05439, STRPU_05438	LYTVA_12705
OG0000004	STRPU_07212, STRPU_07214	LYTVA_03880
OG0000004	STRPU_07213	LYTVA_11529
OG0000004	STRPU_18587, STRPU_18596, STRPU_18643, STRPU_18598, STRPU_02836, STRPU_18641, STRPU_18592, STRPU_18603, STRPU_18636, STRPU_18639, STRPU_18645, STRPU_18591, STRPU_18600, STRPU_18604, STRPU_18595, STRPU_05674, STRPU_02831, STRPU_18647	LYTVA_21459
OG0000004	STRPU_18588, STRPU_18648, STRPU_18590	LYTVA_00032
OG0000005	STRPU_18110, STRPU_02307, STRPU_02309	LYTVA_24142
OG0000005	STRPU_17631, STRPU_02287	LYTVA_01017
OG0000005	STRPU_17625	LYTVA_15338
