protein_ID	transcript_ID	gene_ID
XP_030835448.1	rna-XM_030979588.1	LOC115919120
XP_030843320.1	rna-XM_030987460.1	LOC115923689
XP_030836142.1	rna-XM_030980282.1	LOC115921875
XP_030838589.1	rna-XM_030982729.1	LOC115922805
XP_030830328.1	rna-XM_030974468.1	LOC115919121
XP_030835449.1	rna-XM_030979589.1	LOC115921627
XP_030836988.1	rna-XM_030981128.1	LOC115922266
XP_030834659.1	rna-XM_030978799.1	LOC115921242
XP_030837781.1	rna-XM_030981921.1	LOC115922573
XP_030842468.1	rna-XM_030986608.1	LOC115924307
XP_030843321.1	rna-XM_030987461.1	LOC115924613
XP_030848072.1	rna-XM_030992212.1	LOC115926724
XP_030849608.1	rna-XM_030993748.1	LOC115927487
XP_030848742.1	rna-XM_030992882.1	LOC115927141
XP_030850402.1	rna-XM_030994542.1	LOC115927922
XP_030851261.1	rna-XM_030995401.1	LOC115928199
XP_030852068.1	rna-XM_030996208.1	LOC115928573
XP_030852858.1	rna-XM_030996998.1	LOC115928816
XP_030853712.1	rna-XM_030997852.1	LOC115929161
XP_030854457.1	rna-XM_030998597.1	LOC115929444
XP_030855231.1	rna-XM_030999371.1	LOC115929597
XP_030855896.1	rna-XM_031000036.1	LOC115929792
XP_030828069.1	rna-XM_030972209.1	LOC115919122
XP_030828809.1	rna-XM_030972949.1	LOC115919290
XP_030829531.1	rna-XM_030973671.1	LOC115919497
XP_030830329.1	rna-XM_030974469.1	LOC115919819
XP_030831028.1	rna-XM_030975168.1	LOC115920049
XP_030831808.1	rna-XM_030975948.1	LOC115920278
XP_030832579.1	rna-XM_030976719.1	LOC115920550
XP_030833548.1	rna-XM_030977688.1	LOC115920907
XP_030833632.1	rna-XM_030977772.1	LOC115920947
XP_030833903.1	rna-XM_030978043.1	LOC115921029
XP_030833984.1	rna-XM_030978124.1	LOC115921061
XP_030834068.1	rna-XM_030978208.1	LOC115921099
XP_030834149.1	rna-XM_030978289.1	LOC115921137
XP_030834313.1	rna-XM_030978453.1	LOC115921201
XP_030834383.1	rna-XM_030978523.1	LOC115921232
XP_030834518.1	rna-XM_030978658.1	LOC115921292
XP_030834597.1	rna-XM_030978737.1	LOC115921331
XP_030834777.1	rna-XM_030978917.1	LOC115921420
XP_030834688.1	rna-XM_030978828.1	LOC115921374
XP_030834879.1	rna-XM_030979019.1	LOC115921515
XP_030834930.1	rna-XM_030979070.1	LOC115921546
XP_030835015.1	rna-XM_030979155.1	LOC115921565
XP_011674898.2	rna-XM_011676596.2	LOC105443448
XP_030835249.1	rna-XM_030979389.1	LOC115921639
XP_030835757.1	rna-XM_030979897.1	LOC105438765
XP_030835919.1	rna-XM_030980059.1	LOC115921815
XP_030836005.1	rna-XM_030980145.1	LOC115921857
XP_030836016.1	rna-XM_030980156.1	LOC115921962
XP_030836044.1	rna-XM_030980184.1	LOC115922104
XP_030836110.1	rna-XM_030980250.1	LOC115922130
XP_030836204.1	rna-XM_030980344.1	LOC115922143
XP_030836285.1	rna-XM_030980425.1	LOC115922153
XP_030836378.1	rna-XM_030980518.1	LOC115922180
XP_030836458.1	rna-XM_030980598.1	LOC115922202
XP_030836539.1	rna-XM_030980679.1	LOC115922226
XP_030836707.1	rna-XM_030980847.1	LOC115922261
XP_030836783.1	rna-XM_030980923.1	LOC115922284
XP_030836957.1	rna-XM_030981097.1	LOC115922320
XP_030837128.1	rna-XM_030981268.1	LOC115922344
XP_030837205.1	rna-XM_030981345.1	LOC115922376
XP_030837410.1	rna-XM_030981550.1	LOC115922538
XP_030837243.1	rna-XM_030981383.1	LOC115922458
XP_030837324.1	rna-XM_030981464.1	LOC115922500
XP_030837484.1	rna-XM_030981624.1	LOC115922565
XP_030837660.1	rna-XM_030981800.1	LOC115922611
XP_030837833.1	rna-XM_030981973.1	LOC100892607
XP_030837918.1	rna-XM_030982058.1	LOC115922678
XP_030838014.1	rna-XM_030982154.1	LOC115922710
XP_030838097.1	rna-XM_030982237.1	LOC115922727
XP_030838181.1	rna-XM_030982321.1	LOC115922750
XP_030838360.1	rna-XM_030982500.1	LOC115922798
XP_030838498.1	rna-XM_030982638.1	LOC115922875
XP_030838559.1	rna-XM_030982699.1	LOC115922927
XP_030838637.1	rna-XM_030982777.1	LOC115922953
XP_030838746.1	rna-XM_030982886.1	LOC115922975
XP_030838829.1	rna-XM_030982969.1	LOC115922998
XP_030838914.1	rna-XM_030983054.1	LOC115923021
XP_030838999.1	rna-XM_030983139.1	LOC115923039
XP_030839305.1	rna-XM_030983445.1	LOC115923148
