Orthogroup	HELIO_ok	CAEEL
OG0000000	HELIO_01999	CAEEL18735
OG0000000	HELIO_10837	CAEEL08140
OG0000000	HELIO_06752	CAEEL18754
OG0000000	HELIO_10666	CAEEL06523
OG0000000	HELIO_00795	CAEEL00081
OG0000000	HELIO_03148	CAEEL04771
OG0000000	HELIO_09005	CAEEL10851
OG0000000	HELIO_02157	CAEEL18086
OG0000000	HELIO_04988, HELIO_00700	CAEEL08135, CAEEL08091
OG0000000	HELIO_00534	CAEEL00979
OG0000000	HELIO_08573	CAEEL19601
OG0000000	HELIO_11400, HELIO_04994	CAEEL09056, CAEEL09057, CAEEL09058
OG0000000	HELIO_06829	CAEEL08875
OG0000000	HELIO_00816, HELIO_04090	CAEEL16213
OG0000001	HELIO_11550	CAEEL00558, CAEEL10892, CAEEL06622, CAEEL17769, CAEEL17450, CAEEL17770
OG0000002	HELIO_12021, HELIO_07207	CAEEL18977
OG0000003	HELIO_07118, HELIO_08034	CAEEL14751
OG0000005	HELIO_00211, HELIO_09686	CAEEL17405, CAEEL08039, CAEEL04792
OG0000006	HELIO_00413	CAEEL20510
OG0000006	HELIO_06349	CAEEL07700
OG0000006	HELIO_00150	CAEEL05532
OG0000006	HELIO_08890	CAEEL01533
OG0000006	HELIO_11381, HELIO_00450	CAEEL12101
OG0000006	HELIO_08227	CAEEL00153
OG0000006	HELIO_06418	CAEEL17819
OG0000007	HELIO_10106	CAEEL04050
OG0000007	HELIO_00643	CAEEL17965
OG0000007	HELIO_00352	CAEEL05829
OG0000007	HELIO_04873	CAEEL01108
OG0000007	HELIO_03703, HELIO_07978	CAEEL10238, CAEEL04602
OG0000007	HELIO_11721	CAEEL18586
OG0000010	HELIO_07073	CAEEL04259
OG0000011	HELIO_09607	CAEEL08004
OG0000012	HELIO_04072, HELIO_05750	CAEEL20690
OG0000013	HELIO_05698, HELIO_02247, HELIO_05055, HELIO_04730, HELIO_06663, HELIO_03869, HELIO_04774, HELIO_05617, HELIO_06871, HELIO_00215, HELIO_05802, HELIO_03214, HELIO_09936, HELIO_00850, HELIO_04016, HELIO_04491, HELIO_12769, HELIO_05315, HELIO_05049, HELIO_10683, HELIO_05716, HELIO_11357, HELIO_00073, HELIO_05056, HELIO_05998	CAEEL19127
OG0000015	HELIO_09049	CAEEL07962, CAEEL08800, CAEEL08801, CAEEL08799, CAEEL20727, CAEEL14381, CAEEL17815, CAEEL12449, CAEEL00283, CAEEL04309
OG0000016	HELIO_05159, HELIO_08806, HELIO_03950, HELIO_10054	CAEEL20493
OG0000016	HELIO_05456	CAEEL19614, CAEEL20639, CAEEL17751, CAEEL09082, CAEEL18079, CAEEL18078
OG0000016	HELIO_09779, HELIO_03738	CAEEL18647
OG0000019	HELIO_04729, HELIO_05273	CAEEL20377, CAEEL20739, CAEEL19383, CAEEL19258, CAEEL10676, CAEEL00531, CAEEL01379, CAEEL01513
OG0000020	HELIO_12285	CAEEL00627
OG0000020	HELIO_10575, HELIO_05888	CAEEL05927
OG0000020	HELIO_08365	CAEEL13362
OG0000020	HELIO_01918	CAEEL09273
OG0000021	HELIO_09286	CAEEL00784, CAEEL15377
OG0000023	HELIO_07600, HELIO_09870	CAEEL13426
OG0000028	HELIO_06962	CAEEL01691, CAEEL12110, CAEEL19077, CAEEL19076, CAEEL00764, CAEEL00826, CAEEL19899, CAEEL19703, CAEEL20254, CAEEL00656
OG0000028	HELIO_06306	CAEEL01726, CAEEL20276, CAEEL05087, CAEEL06397, CAEEL18628, CAEEL05010, CAEEL01184, CAEEL14863, CAEEL14864, CAEEL10517
OG0000028	HELIO_06269	CAEEL19515, CAEEL07887
OG0000029	HELIO_10546, HELIO_00115	CAEEL11851, CAEEL20612
OG0000030	HELIO_04525, HELIO_09505	CAEEL00681, CAEEL00682, CAEEL00680
OG0000030	HELIO_06628	CAEEL15855, CAEEL16494, CAEEL16974, CAEEL00280, CAEEL15338, CAEEL14827, CAEEL17980, CAEEL05619, CAEEL05420, CAEEL05421, CAEEL05419, CAEEL05617, CAEEL03830
