Orthogroup	HELIO_ok	PFLAV
OG0000000	HELIO_01999	TCONS_00026365.p1
OG0000000	HELIO_08880	TCONS_00027826.p1
OG0000000	HELIO_06752	TCONS_00026612.p1
OG0000000	HELIO_10666	TCONS_00026711.p1
OG0000000	HELIO_00795	TCONS_00026377.p1
OG0000000	HELIO_03148	TCONS_00017786.p1
OG0000000	HELIO_09005	TCONS_00020801.p1
OG0000000	HELIO_02157	TCONS_00026487.p1
OG0000000	HELIO_11687	TCONS_00010493.p1
OG0000000	HELIO_04988	TCONS_00043771.p1
OG0000000	HELIO_00700	TCONS_00032267.p1
OG0000000	HELIO_00534	TCONS_00019139.p1
OG0000000	HELIO_08573	TCONS_00027510.p1
OG0000000	HELIO_11400	TCONS_00031628.p1, TCONS_00031626.p1
OG0000000	HELIO_06829	TCONS_00031629.p1
OG0000000	HELIO_00816	TCONS_00009627.p1
OG0000000	HELIO_04090	TCONS_00009628.p1
OG0000001	HELIO_06891, HELIO_10957, HELIO_04926, HELIO_03604, HELIO_03121, HELIO_03866, HELIO_06455	TCONS_00051578.p1, TCONS_00050528.p1, TCONS_00050529.p1, TCONS_00051579.p1, TCONS_00050527.p1, TCONS_00051590.p1, TCONS_00050520.p1, TCONS_00051592.p2, TCONS_00050519.p1, TCONS_00050521.p1, TCONS_00051589.p1, TCONS_00050525.p1, TCONS_00051582.p1, TCONS_00051581.p1, TCONS_00050526.p1, TCONS_00051580.p1
OG0000002	HELIO_06940	TCONS_00010137.p1
OG0000002	HELIO_03388, HELIO_11987	TCONS_00028990.p1, TCONS_00028992.p1
OG0000002	HELIO_05342, HELIO_01248	TCONS_00017417.p1, TCONS_00017418.p1, TCONS_00053860.p1, TCONS_00053848.p1, TCONS_00018470.p1, TCONS_00001082.p1
OG0000002	HELIO_10853, HELIO_05803, HELIO_05585, HELIO_02102, HELIO_10641	TCONS_00003695.p1, TCONS_00003696.p1, TCONS_00003697.p1
OG0000002	HELIO_06844	TCONS_00000388.p1, TCONS_00000392.p1, TCONS_00000390.p1, TCONS_00000387.p1, TCONS_00000394.p1, TCONS_00000393.p1, TCONS_00000389.p1
OG0000002	HELIO_12021, HELIO_07207	TCONS_00048938.p1
OG0000003	HELIO_02559	TCONS_00012459.p1
OG0000003	HELIO_07172	TCONS_00043525.p1
OG0000003	HELIO_08472, HELIO_00669	TCONS_00018253.p1
OG0000003	HELIO_10386	TCONS_00057090.p1
OG0000003	HELIO_04687	TCONS_00005704.p1
OG0000003	HELIO_00130	TCONS_00028112.p1
OG0000003	HELIO_01179	TCONS_00013648.p1, TCONS_00013356.p1
OG0000004	HELIO_00029	TCONS_00046040.p1
OG0000004	HELIO_07102	TCONS_00030290.p1
OG0000004	HELIO_05964, HELIO_06973	TCONS_00015076.p1
OG0000004	HELIO_08003	TCONS_00028773.p1
OG0000004	HELIO_11715	TCONS_00051408.p1, TCONS_00051404.p1, TCONS_00050286.p1, TCONS_00040010.p1, TCONS_00039986.p1, TCONS_00039985.p1, TCONS_00040009.p1, TCONS_00040789.p1
OG0000004	HELIO_10453	TCONS_00020025.p1, TCONS_00020017.p1, TCONS_00001702.p1, TCONS_00000548.p1, TCONS_00001700.p1, TCONS_00000558.p1
OG0000005	HELIO_04530, HELIO_05062, HELIO_02098	TCONS_00001294.p1, TCONS_00050179.p1, TCONS_00050176.p1, TCONS_00050178.p1, TCONS_00051419.p1, TCONS_00051326.p1, TCONS_00040757.p1
OG0000005	HELIO_00211	TCONS_00025571.p1, TCONS_00024813.p1, TCONS_00024774.p1, TCONS_00052605.p1, TCONS_00007440.p1, TCONS_00007335.p1
OG0000006	HELIO_00413	TCONS_00023170.p1, TCONS_00025030.p1
OG0000006	HELIO_09248	TCONS_00031049.p1, TCONS_00031040.p1, TCONS_00031041.p1, TCONS_00031046.p1, TCONS_00031039.p1
OG0000006	HELIO_04245	TCONS_00021581.p1
OG0000006	HELIO_08707, HELIO_08259, HELIO_08264	TCONS_00023551.p1
OG0000006	HELIO_06349	TCONS_00003496.p1
OG0000006	HELIO_00150	TCONS_00012810.p1
OG0000006	HELIO_12770	TCONS_00027932.p1
OG0000006	HELIO_10345	TCONS_00027931.p1
OG0000006	HELIO_08890	TCONS_00028953.p1
OG0000006	HELIO_11381, HELIO_00450	TCONS_00030792.p1
OG0000006	HELIO_08227	TCONS_00011489.p1
OG0000006	HELIO_06418	TCONS_00011491.p1
OG0000006	HELIO_00028	TCONS_00019371.p1, TCONS_00048901.p1, TCONS_00048902.p1
OG0000007	HELIO_01296	TCONS_00008966.p1
OG0000007	HELIO_10106	TCONS_00029574.p1
OG0000007	HELIO_00643	TCONS_00009611.p1
OG0000007	HELIO_06396	TCONS_00029143.p1
OG0000007	HELIO_00352	TCONS_00052518.p1
OG0000007	HELIO_11362	TCONS_00026068.p1
OG0000007	HELIO_04873	TCONS_00008967.p1
OG0000007	HELIO_06738	TCONS_00024115.p1
OG0000007	HELIO_03703	TCONS_00055417.p1
OG0000007	HELIO_07978	TCONS_00011336.p1
OG0000007	HELIO_03118	TCONS_00014249.p1
OG0000007	HELIO_07991	TCONS_00012754.p1
OG0000007	HELIO_01456	TCONS_00025375.p1
OG0000007	HELIO_04275	TCONS_00051989.p1
OG0000007	HELIO_11721	TCONS_00009689.p1
OG0000008	HELIO_09201	TCONS_00016587.p1, TCONS_00005048.p1
OG0000008	HELIO_07041	TCONS_00016727.p1, TCONS_00016728.p1, TCONS_00015622.p1, TCONS_00015620.p1, TCONS_00015621.p1
OG0000008	HELIO_01945, HELIO_05140, HELIO_07090	TCONS_00015623.p1
OG0000009	HELIO_03078	TCONS_00025851.p1, TCONS_00043074.p1, TCONS_00009542.p1
OG0000009	HELIO_04671	TCONS_00028883.p1, TCONS_00029472.p1
OG0000009	HELIO_06781	TCONS_00025230.p1, TCONS_00023849.p1, TCONS_00024354.p1
OG0000009	HELIO_07076	TCONS_00003938.p1
OG0000009	HELIO_12655	TCONS_00001483.p1
OG0000009	HELIO_11928	TCONS_00041833.p1, TCONS_00028866.p1, TCONS_00017705.p1
OG0000009	HELIO_07717, HELIO_06614	TCONS_00003937.p1, TCONS_00040217.p1, TCONS_00006910.p1, TCONS_00028935.p1, TCONS_00024506.p1, TCONS_00037020.p1
OG0000009	HELIO_07493	TCONS_00017823.p1, TCONS_00056063.p1
OG0000009	HELIO_07413	TCONS_00028635.p1
OG0000009	HELIO_05505, HELIO_04932	TCONS_00037803.p1, TCONS_00017368.p1, TCONS_00033541.p1
OG0000009	HELIO_06297	TCONS_00019627.p1
OG0000010	HELIO_07073	TCONS_00017959.p1, TCONS_00017993.p1, TCONS_00018277.p1
OG0000011	HELIO_07225	TCONS_00044809.p1, TCONS_00015385.p1
OG0000011	HELIO_04043, HELIO_04510, HELIO_11100, HELIO_03543	TCONS_00034059.p1
OG0000011	HELIO_08950	TCONS_00008526.p1
OG0000011	HELIO_05491	TCONS_00022026.p1, TCONS_00038549.p1
OG0000011	HELIO_04800	TCONS_00009419.p1, TCONS_00014539.p1
OG0000011	HELIO_01844, HELIO_04250, HELIO_06749, HELIO_07221	TCONS_00031358.p1
OG0000011	HELIO_01241	TCONS_00034929.p1, TCONS_00004504.p1, TCONS_00005682.p1
OG0000011	HELIO_05340	TCONS_00025195.p1, TCONS_00051327.p1
OG0000011	HELIO_04969	TCONS_00035599.p1
OG0000011	HELIO_03053	TCONS_00050721.p1
OG0000011	HELIO_07608	TCONS_00051583.p1, TCONS_00054546.p1, TCONS_00038556.p1
OG0000011	HELIO_07482	TCONS_00020984.p3, TCONS_00034049.p1
OG0000011	HELIO_09607	TCONS_00041434.p1, TCONS_00057000.p1
OG0000011	HELIO_07282	TCONS_00031655.p1, TCONS_00002470.p1
OG0000012	HELIO_04072, HELIO_05750	TCONS_00015125.p1, TCONS_00011214.p1, TCONS_00011213.p1, TCONS_00011211.p1, TCONS_00009883.p1, TCONS_00015085.p1, TCONS_00044328.p1, TCONS_00015086.p1, TCONS_00011207.p1, TCONS_00011209.p1, TCONS_00021579.p1, TCONS_00021578.p1
OG0000012	HELIO_00143	TCONS_00040143.p1, TCONS_00041124.p1, TCONS_00040147.p2, TCONS_00035663.p1
OG0000012	HELIO_04633, HELIO_04925, HELIO_00422, HELIO_06460	TCONS_00002832.p1
OG0000012	HELIO_06831	TCONS_00041660.p1, TCONS_00041661.p1
OG0000013	HELIO_05617, HELIO_06871, HELIO_00215, HELIO_05802, HELIO_03214, HELIO_09936, HELIO_00850, HELIO_04016, HELIO_04491, HELIO_12769, HELIO_05315, HELIO_05049, HELIO_10683, HELIO_05716, HELIO_11357, HELIO_00073, HELIO_05056, HELIO_05998	TCONS_00017254.p1
OG0000014	HELIO_03075	TCONS_00027485.p1, TCONS_00027177.p1, TCONS_00026948.p1, TCONS_00026951.p1, TCONS_00026432.p1, TCONS_00026431.p1, TCONS_00011368.p1, TCONS_00011367.p1, TCONS_00019370.p1, TCONS_00055951.p1
OG0000014	HELIO_08197, HELIO_07557, HELIO_08798	TCONS_00000124.p1
OG0000014	HELIO_12068	TCONS_00048226.p1, TCONS_00048227.p1, TCONS_00048225.p1, TCONS_00001555.p1, TCONS_00000431.p1
OG0000014	HELIO_07123	TCONS_00018576.p1, TCONS_00018574.p1, TCONS_00018581.p1, TCONS_00000312.p1, TCONS_00001858.p1, TCONS_00017715.p1, TCONS_00017563.p1, TCONS_00017559.p1, TCONS_00017555.p1, TCONS_00017562.p1, TCONS_00017557.p1, TCONS_00018572.p1, TCONS_00017567.p1, TCONS_00017565.p1, TCONS_00017560.p1, TCONS_00017553.p1, TCONS_00017554.p1, TCONS_00018563.p1, TCONS_00017039.p1, TCONS_00017041.p1, TCONS_00017038.p1, TCONS_00016927.p1, TCONS_00053337.p1, TCONS_00054007.p1, TCONS_00017566.p1, TCONS_00017552.p1, TCONS_00017551.p1
OG0000015	HELIO_10603	TCONS_00029137.p1, TCONS_00028127.p1
OG0000015	HELIO_09049	TCONS_00043495.p1
