Orthogroup	HELIO_ok	MOUSE
OG0000000	HELIO_01999	MOUSE35835, MOUSE46731
OG0000000	HELIO_08880	MOUSE40493, MOUSE21445
OG0000000	HELIO_06752	MOUSE46719, MOUSE46718, MOUSE35959
OG0000000	HELIO_10666	MOUSE47799, MOUSE46854, MOUSE36974
OG0000000	HELIO_03148	MOUSE50880
OG0000000	HELIO_02157	MOUSE20961
OG0000000	HELIO_11687	MOUSE24692
OG0000000	HELIO_04988	MOUSE38795
OG0000000	HELIO_00534	MOUSE35589, MOUSE35590
OG0000000	HELIO_08573	MOUSE36056, MOUSE09425, MOUSE46881
OG0000000	HELIO_06829	MOUSE39822, MOUSE26482, MOUSE26483
OG0000000	HELIO_00816	MOUSE28110, MOUSE28109
OG0000000	HELIO_04090	MOUSE07114
OG0000001	HELIO_00196, HELIO_00018, HELIO_00128	MOUSE47421, MOUSE47420, MOUSE47416, MOUSE47415, MOUSE47417, MOUSE47418, MOUSE47419
OG0000002	HELIO_06215, HELIO_12339, HELIO_07200, HELIO_07091, HELIO_05970, HELIO_10154, HELIO_04237	MOUSE31557, MOUSE31558
OG0000002	HELIO_05342, HELIO_01248	MOUSE45935, MOUSE45932, MOUSE45933, MOUSE45934, MOUSE45931, MOUSE14276, MOUSE14281, MOUSE14277, MOUSE14278, MOUSE14279, MOUSE14280, MOUSE14283, MOUSE14284
OG0000002	HELIO_12021, HELIO_07207	MOUSE15413, MOUSE15412
OG0000003	HELIO_00523, HELIO_01732	MOUSE23701, MOUSE23700
OG0000003	HELIO_06683, HELIO_04847	MOUSE36184
OG0000004	HELIO_05213	MOUSE38228, MOUSE38227, MOUSE38229, MOUSE38231, MOUSE38230, MOUSE38226
OG0000005	HELIO_04655	MOUSE30956, MOUSE30955, MOUSE30957
OG0000006	HELIO_00413	MOUSE48684, MOUSE48683
OG0000006	HELIO_09248	MOUSE33561, MOUSE33562
OG0000006	HELIO_08707, HELIO_08259, HELIO_08264	MOUSE31158, MOUSE02096, MOUSE02095, MOUSE02097, MOUSE27112, MOUSE27111
OG0000006	HELIO_06349	MOUSE28165, MOUSE07632, MOUSE07631
OG0000006	HELIO_00150	MOUSE38532, MOUSE38531
OG0000006	HELIO_12770	MOUSE10280
OG0000006	HELIO_08890	MOUSE19675
OG0000006	HELIO_11381, HELIO_00450	MOUSE31507, MOUSE31506, MOUSE31503, MOUSE31505, MOUSE31501, MOUSE21233, MOUSE21234, MOUSE09568, MOUSE09567
OG0000006	HELIO_08227	MOUSE08011, MOUSE15296
OG0000006	HELIO_06418	MOUSE11795, MOUSE11796, MOUSE11797, MOUSE11799, MOUSE11800, MOUSE02988, MOUSE02987, MOUSE42610, MOUSE42611, MOUSE42608, MOUSE42609, MOUSE11798
OG0000007	HELIO_01296	MOUSE09063, MOUSE49748
OG0000007	HELIO_10106	MOUSE51845, MOUSE20686
OG0000007	HELIO_00643	MOUSE42742, MOUSE28113, MOUSE28115, MOUSE28114, MOUSE07122
OG0000007	HELIO_00352	MOUSE20752, MOUSE33185, MOUSE10368, MOUSE33510
