Orthogroup	HELIO_ok	SACKO_ok
OG0000000	HELIO_01999	SACKO_12749
OG0000000	HELIO_08880	SACKO_25619
OG0000000	HELIO_06752	SACKO_05553
OG0000000	HELIO_10666	SACKO_16683
OG0000000	HELIO_00795	SACKO_25799
OG0000000	HELIO_03148	SACKO_19489
OG0000000	HELIO_09005	SACKO_26485
OG0000000	HELIO_02157	SACKO_31887
OG0000000	HELIO_04988	SACKO_11588
OG0000000	HELIO_00700	SACKO_24031
OG0000000	HELIO_00534	SACKO_26673
OG0000000	HELIO_08573	SACKO_31872
OG0000000	HELIO_11400	SACKO_23994, SACKO_24038
OG0000000	HELIO_06829	SACKO_22872
OG0000000	HELIO_00816	SACKO_11978
OG0000000	HELIO_04090	SACKO_12011
OG0000001	HELIO_06891, HELIO_10957, HELIO_04926, HELIO_03604, HELIO_03121, HELIO_03866, HELIO_06455	SACKO_32181, SACKO_32204, SACKO_09602, SACKO_09587, SACKO_09589, SACKO_09586, SACKO_09607, SACKO_09600, SACKO_09584, SACKO_09591, SACKO_09592
OG0000002	HELIO_06940	SACKO_14603
OG0000002	HELIO_06215, HELIO_12339, HELIO_07200, HELIO_07091, HELIO_05970, HELIO_10154	SACKO_11085
OG0000002	HELIO_03388, HELIO_11987	SACKO_06701, SACKO_06700, SACKO_21327, SACKO_06693, SACKO_17170, SACKO_06704, SACKO_06690, SACKO_06691, SACKO_06696, SACKO_12813, SACKO_06698, SACKO_21313, SACKO_21320, SACKO_08727, SACKO_08706
OG0000002	HELIO_05342, HELIO_01248	SACKO_18256, SACKO_21544, SACKO_20829, SACKO_09450, SACKO_09460
OG0000002	HELIO_10853, HELIO_05803, HELIO_05585, HELIO_02102, HELIO_10641	SACKO_18605, SACKO_04997, SACKO_05015, SACKO_02276
OG0000002	HELIO_06844	SACKO_21130
OG0000002	HELIO_12021, HELIO_07207	SACKO_00245, SACKO_00252
OG0000003	HELIO_03324	SACKO_29380
OG0000003	HELIO_07172	SACKO_30791
OG0000003	HELIO_07314	SACKO_25210, SACKO_25215
OG0000003	HELIO_06076	SACKO_27116
OG0000004	HELIO_11549	SACKO_18852
OG0000004	HELIO_07102	SACKO_02249
OG0000004	HELIO_08003	SACKO_16987
OG0000004	HELIO_11715	SACKO_32657
OG0000004	HELIO_04180, HELIO_04162, HELIO_05704, HELIO_06644, HELIO_05598, HELIO_04311, HELIO_05602	SACKO_20132
OG0000005	HELIO_00211	SACKO_00899, SACKO_02650, SACKO_00900
OG0000006	HELIO_00413	SACKO_21129
OG0000006	HELIO_09248	SACKO_11503
OG0000006	HELIO_06349	SACKO_23250
OG0000006	HELIO_00150	SACKO_15817
OG0000006	HELIO_12770	SACKO_32444
OG0000006	HELIO_10345	SACKO_32440
OG0000006	HELIO_08890	SACKO_32500
OG0000006	HELIO_11381, HELIO_00450	SACKO_06429
OG0000006	HELIO_08227	SACKO_32477
OG0000006	HELIO_06418	SACKO_20803
OG0000006	HELIO_00028	SACKO_22000
OG0000007	HELIO_01296	SACKO_33112
OG0000007	HELIO_10106	SACKO_16486
OG0000007	HELIO_00643	SACKO_25751
OG0000007	HELIO_06396	SACKO_30170
OG0000007	HELIO_00352	SACKO_17363
OG0000007	HELIO_11362	SACKO_03410
OG0000007	HELIO_11129	SACKO_33128
OG0000007	HELIO_04873	SACKO_22717
OG0000007	HELIO_06738	SACKO_04591
OG0000007	HELIO_03703	SACKO_27771
OG0000007	HELIO_07978	SACKO_27817
OG0000007	HELIO_03118	SACKO_00927
OG0000007	HELIO_07991	SACKO_02233
OG0000007	HELIO_01456	SACKO_03579
OG0000007	HELIO_04275	SACKO_31073
OG0000007	HELIO_11721	SACKO_11981
