Orthogroup	HELIO_ok	NEMVE
OG0000000	HELIO_01999	NEMVE15388
OG0000000	HELIO_08880	NEMVE09627, NEMVE02365
OG0000000	HELIO_10837	NEMVE04822
OG0000000	HELIO_06752	NEMVE05015
OG0000000	HELIO_10666	NEMVE11246
OG0000000	HELIO_00795	NEMVE02875
OG0000000	HELIO_09005	NEMVE07200
OG0000000	HELIO_02157	NEMVE02364
OG0000000	HELIO_11687	NEMVE04732, NEMVE07124
OG0000000	HELIO_04988	NEMVE05986
OG0000000	HELIO_00700	NEMVE15281
OG0000000	HELIO_00534	NEMVE07211
OG0000000	HELIO_08573	NEMVE05017
OG0000000	HELIO_06829	NEMVE07203
OG0000000	HELIO_00816	NEMVE10113
OG0000000	HELIO_04090	NEMVE14999, NEMVE10106
OG0000001	HELIO_00196, HELIO_00018, HELIO_00128	NEMVE02679, NEMVE07926, NEMVE01328, NEMVE12744, NEMVE10293, NEMVE11094
OG0000002	HELIO_06940, HELIO_06215, HELIO_12339, HELIO_07200, HELIO_07091, HELIO_05970, HELIO_10154, HELIO_04237, HELIO_03388, HELIO_11987, HELIO_05342, HELIO_01248, HELIO_10853, HELIO_05803, HELIO_05585, HELIO_02102, HELIO_10641, HELIO_06844, HELIO_12021, HELIO_07207	NEMVE23078, NEMVE22396, NEMVE21720, NEMVE07891
OG0000003	HELIO_02559	NEMVE11586, NEMVE03490, NEMVE06078
OG0000003	HELIO_06998, HELIO_07220	NEMVE08017
OG0000003	HELIO_07172	NEMVE19709, NEMVE11132, NEMVE02994
OG0000003	HELIO_07314	NEMVE09864, NEMVE02602, NEMVE10394
OG0000003	HELIO_06573	NEMVE02445
OG0000003	HELIO_06283	NEMVE03485, NEMVE03052, NEMVE05193
OG0000003	HELIO_04687	NEMVE03309
OG0000003	HELIO_07587	NEMVE02981, NEMVE00038
OG0000003	HELIO_07060, HELIO_05284	NEMVE19925
OG0000003	HELIO_06683, HELIO_04847	NEMVE00057, NEMVE03335
OG0000003	HELIO_01179	NEMVE03053, NEMVE00079, NEMVE05207
OG0000004	HELIO_07338	NEMVE07999
OG0000004	HELIO_06422	NEMVE08317
OG0000004	HELIO_08003	NEMVE19262
OG0000004	HELIO_11715	NEMVE17481
OG0000004	HELIO_04180, HELIO_04162, HELIO_05704, HELIO_06644, HELIO_05598, HELIO_04311, HELIO_05602	NEMVE10715, NEMVE21151
OG0000004	HELIO_12155	NEMVE02866, NEMVE15796, NEMVE12892
OG0000005	HELIO_00211, HELIO_09686	NEMVE05730
OG0000006	HELIO_00413	NEMVE02889
OG0000006	HELIO_09248	NEMVE12700, NEMVE08468
OG0000006	HELIO_04245	NEMVE09176
OG0000006	HELIO_08707, HELIO_08259, HELIO_08264	NEMVE21901
OG0000006	HELIO_06349	NEMVE02590
OG0000006	HELIO_00150	NEMVE03392
