Orthogroup	HELIO_ok	XENTR
OG0000000	HELIO_01999	XENTR10493, XENTR08878
OG0000000	HELIO_08880	XENTR18066, XENTR08976, XENTR07932
OG0000000	HELIO_10837	XENTR07929
OG0000000	HELIO_06752	XENTR13401, XENTR10509, XENTR10508, XENTR13402
OG0000000	HELIO_10666	XENTR02223, XENTR10492, XENTR10560
OG0000000	HELIO_03148	XENTR16086
OG0000000	HELIO_02157	XENTR12445
OG0000000	HELIO_11687	XENTR07618
OG0000000	HELIO_04988	XENTR04389
OG0000000	HELIO_00534	XENTR06295, XENTR04184
OG0000000	HELIO_08573	XENTR12464, XENTR08726
OG0000000	HELIO_06829	XENTR03327, XENTR07175
OG0000000	HELIO_00816	XENTR12981
OG0000000	HELIO_04090	XENTR06679
OG0000002	HELIO_06215, HELIO_12339, HELIO_07200, HELIO_07091, HELIO_05970, HELIO_10154, HELIO_04237	XENTR12747
OG0000002	HELIO_05342, HELIO_01248	XENTR16022, XENTR06263, XENTR03914, XENTR03913, XENTR03939, XENTR03940, XENTR05151, XENTR03912
OG0000002	HELIO_12021, HELIO_07207	XENTR17667
OG0000004	HELIO_00370, HELIO_07295, HELIO_04128, HELIO_00658, HELIO_12195, HELIO_09679, HELIO_06594, HELIO_07359, HELIO_02720	XENTR07291
OG0000005	HELIO_04655	XENTR16849, XENTR09568
OG0000006	HELIO_09248	XENTR00026
OG0000006	HELIO_08707, HELIO_08259, HELIO_08264	XENTR00399, XENTR09859
OG0000006	HELIO_06349	XENTR09947, XENTR11692
OG0000006	HELIO_00150	XENTR11329
OG0000006	HELIO_12770	XENTR15046
OG0000006	HELIO_08890	XENTR15729, XENTR08627
OG0000006	HELIO_11381, HELIO_00450	XENTR04854, XENTR07280, XENTR07527
OG0000006	HELIO_08227	XENTR07719
OG0000006	HELIO_06418	XENTR12339, XENTR03854, XENTR12781
OG0000006	HELIO_00028	XENTR18680, XENTR15398
OG0000007	HELIO_01296	XENTR04989, XENTR07641
OG0000007	HELIO_10106	XENTR10435
OG0000007	HELIO_00643	XENTR12787, XENTR08906, XENTR06676
OG0000007	HELIO_00352	XENTR07000, XENTR07001, XENTR00358, XENTR05826, XENTR00041
OG0000007	HELIO_11362	XENTR10333, XENTR09768, XENTR09769, XENTR02009
OG0000007	HELIO_11129	XENTR07642
